symbol,exchange,type,organ_short_name,organ_name
YTC,UPCOM,STOCK,XNK Y tế TP.HCM,Công ty Cổ phần Xuất nhập khẩu Y tế Thành phố Hồ Chí Minh
YEG,HSX,STOCK,Tập đoàn Yeah1,Công ty Cổ phần Tập đoàn Yeah1
YBM,HSX,STOCK,Khoáng sản CN Yên Bái,Công ty Cổ phần Khoáng sản Công nghiệp Yên Bái
YBC,UPCOM,STOCK,Xi măng và Khoáng sản Yên Bái,Công ty Cổ phần Xi măng và Khoáng sản Yên Bái
XPH,UPCOM,STOCK,Xà phòng Hà Nội,Công ty Cổ phần Xà phòng Hà Nội
XMP,UPCOM,STOCK,Thủy điện Xuân Minh,Công ty Cổ phần Thủy điện Xuân Minh
XMD,UPCOM,STOCK,Xuân Mai - Đạo Tú,Công ty Cổ phần Xuân Mai - Đạo Tú
XMC,UPCOM,STOCK,Bê tông Xuân Mai,Công ty cổ phần Đầu tư và Xây dựng Xuân Mai
XLV,UPCOM,STOCK,XL và DV Sông Đà,Công ty Cổ phần Xây lắp và Dịch vụ Sông Đà
XHC,UPCOM,STOCK,Nội thất Xuân Hòa,Công ty Cổ phần Xuân Hòa Việt Nam
XDH,UPCOM,STOCK,Đầu tư XD Dân dụng Hà Nội,Công ty Cổ phần Đầu tư Xây dựng Dân dụng Hà Nội
XDC,DELISTED,STOCK,Xây dựng Công trình Tân Cảng,Công ty Cổ phần Xây dựng Công trình Tân Cảng
X77,UPCOM,STOCK,Thành An 77,Công ty Cổ phần Thành An 77
X26,UPCOM,STOCK,Công ty 26,Công ty Cổ phần 26
X20,HNX,STOCK,May mặc X20,Công ty Cổ phần X20
WTC,UPCOM,STOCK,Vận tải thủy Vinacomin,Công ty Cổ phần Vận tải thủy - Vinacomin
WSS,HNX,STOCK,Chứng khoán Phố Wall,Công ty Cổ phần Chứng khoán Phố Wall
WSB,UPCOM,STOCK,Bia Sài Gòn - Miền Tây,Công ty Cổ phần Bia Sài Gòn - Miền Tây
WCS,HNX,STOCK,Bến xe Miền Tây,Công ty Cổ phần Bến xe Miền Tây
VXT,UPCOM,STOCK,Kho vận và DV Thương mại,Công ty Cổ phần Kho vận và dịch vụ thương mại
VXP,UPCOM,STOCK,Thuốc Thú y Trung ương VETVACO,Công ty Cổ phần Thuốc Thú y Trung ương VETVACO
VXB,UPCOM,STOCK,VLXD Bến Tre,Công ty Cổ phần Vật liệu xây dựng Bến Tre
VWS,UPCOM,STOCK,Nước và Môi trường VN,Công ty Cổ phần Nước và Môi trường Việt Nam
VW3,UPCOM,STOCK,VIWASEEN.3,Công ty Cổ phần VIWASEEN3
VVS,UPCOM,STOCK,Đầu tư Phát triển Máy Việt Nam,Công ty Cổ phần Đầu tư Phát triển Máy Việt Nam
VVN,UPCOM,STOCK,XD Công nghiệp Việt Nam,Tổng Công ty Cổ phần Xây dựng Công nghiệp Việt Nam
VUA,UPCOM,STOCK,Chứng khoán Stanley Brothers,Công ty Cổ phần Chứng khoán Stanley Brothers
VTZ,HNX,STOCK,Nhựa Việt Thành,Công ty Cổ phần Sản xuất và Thương mại Nhựa Việt Thành
VTX,UPCOM,STOCK,Vận tải Đa phương thức,Công ty Cổ phần Vận tải Đa phương thức VIETRANSTIMEX
VTV,HNX,STOCK,Năng lượng và Môi trường VICEM,Công ty Cổ phần Năng lượng và Môi trường VICEM
VTS,UPCOM,STOCK,Gạch Ngói Từ Sơn,Công ty Cổ phần Gạch Ngói Từ Sơn
VTR,UPCOM,STOCK,Du lịch Vietravel,Công ty Cổ phần Du lịch và tiếp thị giao thông vận tải Việt Nam - Vietravel
VTQ,UPCOM,STOCK,Việt Trung Quảng Bình,Công ty Cổ phần Việt Trung Quảng Bình
VTP,HSX,STOCK,Bưu chính Viettel,Tổng Công ty Cổ phần Bưu chính Viettel
VTO,HSX,STOCK,VITACO,Công ty Cổ phần Vận tải Xăng dầu VITACO
VTM,UPCOM,STOCK,Đưa đón thợ mỏ - Vinacomin,Công ty Cổ phần Vận tải và Đưa đón thợ mỏ - Vinacomin
VTL,UPCOM,STOCK,Vang Thăng Long,Công ty Cổ phần Vang Thăng Long
VTK,UPCOM,STOCK,Tư vấn thiết kế Viettel,Công ty Cổ phần Tư vấn và Dịch vụ Viettel
VTJ,HNX,STOCK,TM và Đầu tư VINATABA,Công ty Cổ phần Thương mại và Đầu tư VI NA TA BA
VTI,UPCOM,STOCK,Sản xuất - XNK Dệt may,Công ty Cổ phần Sản xuất - Xuất nhập khẩu Dệt may
VTH,HNX,STOCK,Dây cáp điện Việt Thái,Công ty Cổ phần Dây cáp điện Việt Thái
VTG,UPCOM,STOCK,Du lịch tỉnh BR-VT,Công ty Cổ phần Du lịch tỉnh Bà Rịa - Vũng Tàu
VTE,UPCOM,STOCK,VINACAP Kim Long,Công ty Cổ phần VINACAP Kim Long
VTD,UPCOM,STOCK,Du lịch Vietourist,Công ty Cổ phần Vietourist Holdings
VTC,HNX,STOCK,Viễn thông VTC,Công ty Cổ phần Viễn Thông VTC
VTB,HSX,STOCK,Viettronics Tân Bình,Công ty Cổ phần Viettronics Tân Bình
VTA,UPCOM,STOCK,Gạch men VITALY,Công ty Cổ phần VITALY
VST,UPCOM,STOCK,Vận tải và Thuê Tàu biển Việt Nam,Công ty Cổ phần Vận tải và Thuê Tàu biển Việt Nam
VSP,DELISTED,STOCK,ShinPetrol,Công ty Cổ phần Vận tải biển và Bất động sản Việt Hải
VSN,UPCOM,STOCK,VN Kỹ Nghệ Súc Sản (VISSAN),Công ty Cổ phần Việt Nam Kỹ Nghệ Súc Sản
VSM,HNX,STOCK,Container Miền Trung,Công ty Cổ phần Container Miền Trung
VSI,HSX,STOCK,Đầu tư và Xây dựng Cấp thoát nước,Công ty Cổ phần Đầu tư và Xây dựng Cấp thoát nước
