symbol,exchange,close_price,foreign_buy_volume,foreign_sell_volume,foreign_net_volume,foreign_net_value
WCS,HNX,282.9,0.0,-832444.0,832444.0,235498407600.0
SZL,HOSE,47.0,0.0,-4730375.0,4730375.0,222327625000.0
SGT,HOSE,15.9,0.0,-8144997.0,8144997.0,129505452300.0
ACC,HOSE,13.0,0.0,-7847096.0,7847096.0,102012248000.0
SZB,HNX,38.8,0.0,-2058700.0,2058700.0,79877560000.0
DRC,HOSE,14.9,0.0,-5171962.0,5171962.0,77062233800.0
VSN,UPCOM,17.0,0.0,-3319920.0,3319920.0,56438640000.0
QTP,UPCOM,12.4,0.0,-4259510.0,4259510.0,52817924000.0
VGI,UPCOM,104.9,0.0,-477365.0,477365.0,50075588500.0
EID,HNX,23.3,0.0,-1819302.0,1819302.0,42389736600.0
UIC,HOSE,61.7,0.0,-686560.0,686560.0,42360752000.0
DCL,HOSE,57.7,0.0,-690063.0,690063.0,39816635100.0
CHP,HOSE,27.7,0.0,-1326238.0,1326238.0,36736792600.0
PET,HOSE,32.1,0.0,-848935.0,848935.0,27250813500.0
TCT,HOSE,19.8,0.0,-1300390.0,1300390.0,25747722000.0
CST,HNX,13.1,0.0,-1774524.0,1774524.0,23246264400.0
DAD,HNX,16.0,0.0,-1398904.0,1398904.0,22382464000.0
VNC,HNX,40.5,0.0,-538610.0,538610.0,21813705000.0
MH3,UPCOM,29.1,0.0,-643700.0,643700.0,18731670000.0
PDN,HOSE,112.6,0.0,-128023.0,128023.0,14415389800.0
