symbol,exchange,close_price,foreign_buy_volume,foreign_sell_volume,foreign_net_volume,foreign_net_value
VIC,HOSE,141.5,2278495.0,3496843797.0,-3494565302.0,-494480990233000.0
VHM,HOSE,101.3,1341400.0,1717396017.0,-1716054617.0,-173836332702100.0
GAS,HOSE,107.7,820480.0,1124636009.0,-1123815529.0,-121034932473300.0
TCX,HOSE,54.5,196505.0,2085184288.0,-2084987783.0,-113631834173500.0
ACV,UPCOM,53.7,843308.0,1679896929.0,-1679053621.0,-90165179447700.0
MSN,HOSE,76.8,222410.0,1170123151.0,-1169900741.0,-89848376908800.0
VPL,HOSE,84.5,70300.0,860401201.0,-860330901.0,-72697961134500.0
VNM,HOSE,68.4,1166020.0,1036996222.0,-1035830202.0,-70850785816800.0
MCH,HOSE,150.0,108566.0,451083185.0,-450974619.0,-67646192850000.0
VCK,HOSE,45.65,1027700.0,1479113580.0,-1478085880.0,-67474620422000.0
HPG,HOSE,26.55,2660375.0,2155574866.0,-2152914491.0,-57159879736050.0
BSR,HOSE,23.1,1978900.0,2368186832.0,-2366207932.0,-54659403229200.0
SSI,HOSE,29.95,917115.0,1680915401.0,-1679998286.0,-50315948665700.0
VPX,HOSE,27.6,600.0,1779477019.0,-1779476419.0,-49113549164400.0
VCB,HOSE,63.1,2419465.0,748348757.0,-745929292.0,-47068138325200.0
BID,HOSE,47.1,1626900.0,888169861.0,-886542961.0,-41756173463100.0
KSF,HNX,82.0,0.0,449793627.0,-449793627.0,-36883077414000.0
MSR,UPCOM,32.5,8700.0,1098624341.0,-1098615641.0,-35705008332500.0
VIX,HOSE,21.2,664900.0,1411124890.0,-1410459990.0,-29901751788000.0
GEE,HOSE,160.0,1600.0,181015670.0,-181014070.0,-28962251200000.0
