symbol,close_price,percent_change,total_trades,total_value
NCS,39.9,14.985590778097983,600.0,23940000.0
GTD,99.9,14.564220183486237,100.0,9990000.0
BHI,8.2,13.88888888888889,100.0,820000.0
VLW,36.9,11.818181818181818,500.0,18410000.0
SLD,9.6,11.627906976744185,200.0,1910000.0
DNC,63.1,9.930313588850174,4700.0,292560000.0
FIC,16.4,7.18954248366013,17500.0,287950000.0
VIC,141.5,6.953892668178383,6103600.0,856780000000.0
VCK,45.65,6.908665105386416,3065700.0,134306580000.0
VHM,101.3,6.631578947368421,8656800.0,862578590000.0
LLM,19.5,6.557377049180328,39700.0,769600000.0
F88,193.0,5.579868708971554,34100.0,6590630000.0
MPC,17.7,4.117647058823529,425600.0,7458520000.0
CKD,25.5,4.081632653061225,100.0,2550000.0
BCA,15.5,4.026845637583892,38600.0,607400000.0
KDH,27.6,3.954802259887006,8868300.0,241727415000.0
BHN,32.95,3.779527559055118,600.0,19775000.0
TIN,100.0,3.7344398340248963,69500.0,7068680000.0
VNC,40.5,3.580562659846547,1300.0,51270000.0
NAF,43.5,3.32541567695962,752900.0,32266275000.0
CRE,7.1,2.898550724637681,211700.0,1477037000.0
BTH,25.3,2.8455284552845526,2600.0,64720000.0
VRE,28.95,2.6595744680851063,11245800.0,325647545000.0
IDV,27.3,2.631578947368421,11600.0,309490000.0
ACC,13.0,2.3622047244094486,25000.0,311875000.0
GEE,160.0,2.3017902813299234,150400.0,23933610000.0
PVM,18.5,2.209944751381215,12100.0,217850000.0
PAN,31.2,2.127659574468085,2362700.0,73544025000.0
CHP,27.7,1.8382352941176472,42200.0,1158360000.0
VPL,84.5,1.8072289156626504,461800.0,39053240000.0
