symbol,close_price,percent_change,total_trades,total_value
DCF,30.1,-13.505747126436782,1800.0,56250000.0
VEC,28.0,-13.043478260869565,1900.0,54400000.0
PAP,23.3,-12.406015037593985,2100.0,49910000.0
PSP,17.0,-11.917098445595855,4000.0,67830000.0
EIC,22.2,-10.843373493975903,5300.0,118480000.0
VCR,32.1,-10.833333333333334,11200.0,362580000.0
HTC,41.6,-9.761388286334057,4100.0,188160000.0
PLC,29.6,-9.75609756097561,2015100.0,61753060000.0
PVC,13.0,-9.722222222222223,6470600.0,86636150000.0
FOX,76.0,-9.090909090909092,1124700.0,86820800000.0
VGI,104.9,-8.223972003499561,2655800.0,281509430000.0
PVB,33.0,-8.07799442896936,443800.0,15089030000.0
PVS,42.2,-8.061002178649238,14132500.0,614974150000.0
OIL,15.4,-7.784431137724551,11727600.0,182590800000.0
DGW,48.55,-6.992337164750957,6337000.0,315951370000.0
GVR,35.95,-6.985769728331177,10816400.0,398136520000.0
PLX,53.3,-6.980802792321117,11387800.0,619866620000.0
BID,47.1,-6.91699604743083,22973600.0,1098113155000.0
GAS,107.7,-6.914433880726016,6158900.0,684617610000.0
DLG,2.72,-6.8493150684931505,2960700.0,8360214000.0
KSV,163.0,-6.375646180356117,83200.0,13653200000.0
BSR,23.1,-6.288032454361055,37264600.0,884109060000.0
PRT,10.8,-6.086956521739131,6200.0,67080000.0
TEG,5.8,-5.537459283387622,36800.0,212344000.0
MSR,32.5,-5.523255813953488,2966300.0,97617630000.0
LSG,36.0,-5.263157894736842,23300.0,828330000.0
PSD,16.4,-5.202312138728324,238700.0,3894770000.0
PVT,19.9,-4.784688995215311,5347800.0,108022580000.0
SJG,20.0,-4.761904761904762,4300.0,96510000.0
PVD,32.45,-4.5588235294117645,12323400.0,405463020000.0
