time,open,high,low,close,volume,symbol,sma_20,sma_50,sma_200,rsi_14,macd,macd_signal,macd_hist,bb_upper,bb_lower,daily_return,volatility_20d
2025-02-10,862.54,862.54,850.12,850.12,66893500,VNREAL,850.12,850.12,850.12,,0.0,0.0,0.0,,,,
2025-02-11,850.72,851.46,847.45,850.48,53625600,VNREAL,850.3,850.3,850.3,,0.028717948718053776,0.005743589743610756,0.02297435897444302,,,0.04234696278173633,
2025-02-12,852.65,855.59,850.13,850.79,51387400,VNREAL,850.4633333333333,850.4633333333333,850.4633333333333,,0.0756198407481179,0.019718839944512186,0.05590100080360571,,,0.03645000470322568,
2025-02-13,851.02,854.87,847.71,854.31,45926400,VNREAL,851.425,851.425,851.425,,0.39230229358372526,0.09423553067235481,0.29806676291137046,,,0.4137331186309101,
2025-02-14,854.6,860.99,854.6,857.73,60850800,VNREAL,852.686,852.686,852.686,,0.9087651578441864,0.2571414561067211,0.6516237017374653,,,0.4003230677388947,
2025-02-17,858.29,862.16,857.29,858.03,61409400,VNREAL,853.5766666666667,853.5766666666667,853.5766666666667,,1.3269766308932276,0.4711084910640224,0.8558681398292052,,,0.03497604141162736,
2025-02-18,859.29,868.49,858.55,862.51,64436600,VNREAL,854.8528571428571,854.8528571428571,854.8528571428571,,1.9968918689700104,0.77626516664522,1.2206267023247903,,,0.5221262659813819,
2025-02-19,862.94,875.74,862.94,875.74,117247200,VNREAL,857.46375,857.46375,857.46375,,3.554382247873832,1.3318885828909426,2.2224936649828892,,,1.5338952591854138,
2025-02-20,878.61,887.59,877.94,883.53,90114600,VNREAL,860.36,860.36,860.36,,5.355556963563458,2.1366222590254456,3.218934704538013,,,0.8895334231621144,
2025-02-21,883.55,884.39,876.87,878.55,73568400,VNREAL,862.1789999999999,862.1789999999999,862.1789999999999,,6.308436789661528,2.970985165152662,3.3374516245088657,,,-0.5636480934433474,
2025-02-24,875.99,881.04,873.47,881.04,72443600,VNREAL,863.8936363636363,863.8936363636363,863.8936363636363,,7.181736519058404,3.8131354359338108,3.3686010831245934,,,0.28342154686700205,
2025-02-25,883.42,892.46,882.03,883.39,79109900,VNREAL,865.5183333333333,865.5183333333333,865.5183333333333,,7.9715669450068845,4.644821737748426,3.3267452072584582,,,0.2667302279124595,
2025-02-26,885.51,887.54,881.08,882.59,66466500,VNREAL,866.8315384615385,866.8315384615385,866.8315384615385,,8.435718225222786,5.403001035243298,3.032717189979488,,,-0.09056022821176679,
2025-02-27,883.53,891.31,879.71,891.31,93576700,VNREAL,868.5799999999999,868.5799999999999,868.5799999999999,88.17575103710068,9.39884850772546,6.20217052973973,3.196677977985731,,,0.9880012236712199,
2025-02-28,892.65,898.88,889.23,896.12,105311900,VNREAL,870.4159999999999,870.4159999999999,870.4159999999999,89.60765512926993,10.43003207939887,7.0477428396715585,3.382289239727312,,,0.5396551143822093,
2025-03-03,896.29,909.9,896.16,907.89,80450800,VNREAL,872.758125,872.758125,872.758125,92.1217698836694,12.05799605060281,8.04979348185781,4.008202568745,,,1.3134401642637128,
2025-03-04,908.42,913.8,903.56,906.57,114979800,VNREAL,874.7470588235294,874.7470588235294,874.7470588235294,89.5065482081017,13.090754192707436,9.057985624027735,4.0327685686797015,,,-0.1453920629151062,
2025-03-05,907.89,912.45,904.61,904.64,87332400,VNREAL,876.4077777777778,876.4077777777778,876.4077777777778,85.67673828898867,13.596752689311074,9.965739037084404,3.6310136522266703,,,-0.21289034492648629,
2025-03-06,906.76,912.88,905.77,912.88,82108000,VNREAL,878.3273684210527,878.3273684210527,878.3273684210527,88.03136297520754,14.495563446600954,10.871703918987714,3.6238595276132397,,,0.9108595684471199,
