time,open,high,low,close,volume,symbol
2025-02-10,8.6,8.7,8.5,8.5,300680,AAS
2025-02-11,8.5,8.8,8.5,8.8,446045,AAS
2025-02-12,8.8,9.0,8.7,8.7,603311,AAS
2025-02-13,8.7,8.7,8.5,8.6,401064,AAS
2025-02-14,8.6,8.8,8.5,8.6,805573,AAS
2025-02-17,8.5,9.2,8.5,9.1,2037525,AAS
2025-02-18,9.1,9.3,8.9,9.1,735221,AAS
2025-02-19,9.1,9.1,8.9,9.0,454680,AAS
2025-02-20,9.0,9.0,8.5,8.7,2095160,AAS
2025-02-21,8.6,8.8,8.6,8.7,346765,AAS
2025-02-24,8.7,8.8,8.6,8.8,704863,AAS
2025-02-25,8.8,9.0,8.7,8.9,750899,AAS
2025-02-26,8.9,9.2,8.7,9.1,1943059,AAS
2025-02-27,9.0,9.2,8.8,8.9,1187343,AAS
2025-02-28,8.9,9.1,8.8,8.9,412665,AAS
2025-03-03,8.9,9.1,8.8,9.1,898741,AAS
2025-03-04,9.0,9.1,8.8,8.9,751584,AAS
2025-03-05,8.9,9.0,8.7,8.8,687085,AAS
2025-03-06,8.8,9.2,8.8,9.2,2026181,AAS
2025-03-07,9.1,9.4,9.1,9.2,2012617,AAS
2025-03-10,9.2,9.4,8.9,9.0,1637322,AAS
2025-03-11,8.9,9.0,8.8,8.9,911951,AAS
2025-03-12,8.9,9.0,8.8,8.9,473457,AAS
2025-03-13,8.8,9.0,8.6,8.6,859814,AAS
2025-03-14,8.7,8.8,8.6,8.7,488842,AAS
2025-03-17,8.7,8.8,8.7,8.7,175604,AAS
2025-03-18,8.7,8.8,8.5,8.7,577188,AAS
2025-03-19,8.6,8.7,8.5,8.6,223175,AAS
2025-03-20,8.5,8.8,8.5,8.7,212648,AAS
2025-03-21,8.7,8.7,8.5,8.7,135388,AAS
2025-03-24,8.7,8.7,8.5,8.7,212425,AAS
2025-03-25,8.6,8.8,8.6,8.8,188838,AAS
2025-03-26,8.8,8.8,8.6,8.6,243082,AAS
2025-03-27,8.6,8.7,8.5,8.6,95486,AAS
2025-03-28,8.5,8.5,8.4,8.4,399608,AAS
2025-03-31,8.4,8.5,8.2,8.4,876358,AAS
2025-04-01,8.4,8.5,8.3,8.5,364360,AAS
2025-04-02,8.4,8.6,8.3,8.4,188572,AAS
2025-04-03,8.4,8.4,7.3,7.3,1936255,AAS
2025-04-04,7.0,7.4,6.6,7.3,783377,AAS
2025-04-08,7.0,7.3,6.3,6.3,472121,AAS
2025-04-09,6.3,6.9,6.0,6.6,782441,AAS
2025-04-10,7.1,7.4,7.1,7.4,273856,AAS
2025-04-11,7.5,7.8,7.3,7.5,1064911,AAS
2025-04-14,7.8,7.8,7.3,7.4,475889,AAS
2025-04-15,7.4,7.5,7.2,7.3,338475,AAS
2025-04-16,7.3,7.4,7.2,7.3,315911,AAS
2025-04-17,7.3,7.3,7.2,7.3,174200,AAS
2025-04-18,7.3,7.4,7.3,7.3,229104,AAS
2025-04-21,7.3,7.4,7.2,7.2,145568,AAS
2025-04-22,7.2,7.4,6.9,7.2,719306,AAS
2025-04-23,7.2,8.0,7.2,7.5,487771,AAS
2025-04-24,7.6,7.6,7.3,7.5,385228,AAS
2025-04-25,7.5,7.5,7.3,7.4,266957,AAS
2025-04-28,7.5,7.6,7.3,7.4,165955,AAS
