time,open,high,low,close,volume,symbol
2025-02-10,6.839,6.839,6.657,6.748,721617,ABB
2025-02-11,6.657,6.839,6.657,6.839,531644,ABB
2025-02-12,6.748,6.839,6.657,6.748,400538,ABB
2025-02-13,6.748,6.748,6.566,6.748,721994,ABB
2025-02-14,6.566,7.022,6.566,7.022,2489065,ABB
2025-02-17,7.022,7.295,6.93,7.204,2936316,ABB
2025-02-18,7.204,7.204,7.022,7.113,1340165,ABB
2025-02-19,7.113,7.113,6.839,7.022,1733652,ABB
2025-02-20,7.022,7.204,6.93,7.113,2062320,ABB
2025-02-21,7.113,7.295,7.022,7.204,1865805,ABB
2025-02-24,7.204,7.204,7.022,7.204,1052716,ABB
2025-02-25,7.113,7.204,7.022,7.204,906837,ABB
2025-02-26,7.113,7.204,6.93,7.022,1969282,ABB
2025-02-27,7.022,7.113,6.93,7.022,559803,ABB
2025-02-28,7.022,7.022,6.839,6.93,1292755,ABB
2025-03-03,6.93,6.93,6.839,6.839,742032,ABB
2025-03-04,6.93,6.93,6.748,6.93,683695,ABB
2025-03-05,6.839,7.022,6.839,6.93,1006391,ABB
2025-03-06,6.93,7.022,6.839,7.022,638892,ABB
2025-03-07,6.93,7.386,6.93,7.204,6830747,ABB
2025-03-10,7.204,7.66,7.204,7.478,9494409,ABB
2025-03-11,7.478,7.478,7.295,7.478,1282131,ABB
2025-03-12,7.478,7.569,7.204,7.295,10458204,ABB
2025-03-13,7.295,7.295,7.113,7.295,1558082,ABB
2025-03-14,7.204,7.478,7.204,7.478,3097747,ABB
2025-03-17,7.386,7.66,7.386,7.66,5395303,ABB
2025-03-18,8.663,8.663,7.569,7.842,20722023,ABB
2025-03-19,9.028,9.028,7.386,7.569,4368360,ABB
2025-03-20,7.569,7.66,7.113,7.204,6012296,ABB
2025-03-21,8.025,8.025,7.204,7.478,2614842,ABB
2025-03-24,7.569,7.569,7.204,7.386,1193082,ABB
2025-03-25,7.386,7.478,7.204,7.386,1922783,ABB
2025-03-26,7.386,7.386,7.113,7.204,1997006,ABB
2025-03-27,7.204,7.295,7.113,7.204,1486243,ABB
2025-03-28,7.204,7.204,7.022,7.204,1492578,ABB
2025-03-31,7.113,7.204,7.022,7.113,1441900,ABB
2025-04-01,7.204,7.204,7.113,7.204,596406,ABB
2025-04-02,7.204,7.386,7.204,7.386,3361239,ABB
2025-04-03,7.204,7.295,6.474,6.748,8472241,ABB
2025-04-04,6.748,6.748,6.201,6.566,4865285,ABB
2025-04-08,6.474,6.657,5.927,6.201,4687149,ABB
2025-04-09,5.563,6.292,5.563,6.11,2674757,ABB
2025-04-10,6.383,7.022,6.383,7.022,4817837,ABB
2025-04-11,7.022,7.204,6.657,6.93,3223005,ABB
2025-04-14,6.93,6.93,6.566,6.657,1761447,ABB
2025-04-15,6.748,6.748,6.566,6.566,1004435,ABB
2025-04-16,6.566,6.657,6.474,6.657,1444765,ABB
2025-04-17,6.566,6.657,6.474,6.657,1156002,ABB
2025-04-18,6.657,6.839,6.657,6.839,2415594,ABB
2025-04-21,6.748,6.93,6.657,6.748,839020,ABB
2025-04-22,6.748,6.748,6.201,6.474,3329580,ABB
2025-04-23,6.566,6.748,6.566,6.657,698182,ABB
2025-04-24,6.657,6.748,6.566,6.657,1067833,ABB
2025-04-25,6.657,6.748,6.566,6.748,1215572,ABB
2025-04-28,6.657,6.748,6.566,6.657,794542,ABB
2025-04-29,6.657,6.748,6.566,6.748,868676,ABB
2025-05-05,6.748,6.839,6.657,6.839,1114701,ABB
2025-05-06,6.839,6.839,6.657,6.839,1415601,ABB
2025-05-07,6.839,6.839,6.657,6.748,792650,ABB
2025-05-08,6.748,6.839,6.657,6.839,1455252,ABB
2025-05-09,6.748,6.839,6.657,6.839,863316,ABB
2025-05-12,6.839,6.839,6.657,6.839,749138,ABB
2025-05-13,6.748,6.839,6.748,6.839,1176636,ABB
2025-05-14,6.748,6.93,6.748,6.93,2510600,ABB
2025-05-15,6.93,7.113,6.839,7.113,4010848,ABB
2025-05-16,7.022,7.113,6.839,7.022,1795249,ABB
2025-05-19,6.93,7.022,6.839,6.93,1491952,ABB
2025-05-20,6.93,7.022,6.839,6.93,1562182,ABB
2025-05-21,6.93,7.113,6.839,7.022,2960659,ABB
2025-05-22,7.022,7.022,6.839,6.93,1552834,ABB
2025-05-23,6.93,6.93,6.839,6.93,1125611,ABB
2025-05-26,6.93,7.022,6.748,7.022,3432784,ABB
2025-05-27,6.93,7.386,6.93,7.295,6122769,ABB
2025-05-28,7.295,7.569,7.204,7.478,7972467,ABB
2025-05-29,7.386,7.569,7.295,7.386,3499328,ABB
2025-05-30,7.386,7.478,7.204,7.295,2733234,ABB
2025-06-02,7.295,7.386,7.113,7.386,2989360,ABB
2025-06-03,7.386,7.478,7.204,7.386,2717730,ABB
2025-06-04,7.386,7.569,7.295,7.386,3130881,ABB
2025-06-05,7.386,7.478,7.295,7.386,2032311,ABB
2025-06-06,7.386,7.386,7.204,7.295,2013093,ABB
2025-06-09,7.295,7.295,7.113,7.204,2373826,ABB
2025-06-10,7.204,7.386,7.113,7.295,3052163,ABB
2025-06-11,7.295,7.751,7.295,7.569,6891811,ABB
2025-06-12,7.569,7.751,7.478,7.66,2949141,ABB
2025-06-13,7.569,7.66,7.386,7.478,3268050,ABB
2025-06-16,7.478,7.66,7.386,7.66,2655468,ABB
2025-06-17,7.66,7.934,7.569,7.751,3833515,ABB
2025-06-18,7.751,7.751,7.569,7.66,2735219,ABB
2025-06-19,7.66,7.751,7.478,7.66,2322745,ABB
2025-06-20,7.569,7.751,7.478,7.751,2656538,ABB
2025-06-23,7.66,7.751,7.478,7.66,1951610,ABB
2025-06-24,7.569,7.66,7.569,7.66,1880026,ABB
2025-06-25,7.66,7.751,7.478,7.66,3213922,ABB
2025-06-26,7.66,7.66,7.478,7.569,1905547,ABB
2025-06-27,7.569,7.751,7.569,7.66,2145380,ABB
2025-06-30,7.66,7.751,7.569,7.66,1227979,ABB
2025-07-01,7.569,7.66,7.478,7.66,1855142,ABB
2025-07-02,7.569,7.66,7.478,7.66,1070542,ABB
2025-07-03,7.569,7.66,7.478,7.569,1894023,ABB
2025-07-04,7.569,7.66,7.478,7.66,1307016,ABB
2025-07-07,7.934,7.934,7.569,7.751,5680979,ABB
2025-07-08,7.751,7.934,7.569,7.842,4262700,ABB
2025-07-09,7.842,8.207,7.751,8.116,6707319,ABB
2025-07-10,8.116,8.207,7.934,8.025,3156067,ABB
2025-07-11,8.025,8.116,7.934,8.116,3990131,ABB
2025-07-14,8.116,8.207,7.934,8.207,2971973,ABB
2025-07-15,8.207,8.298,8.116,8.207,4006985,ABB
2025-07-16,8.207,8.207,8.025,8.207,2292018,ABB
2025-07-17,8.116,8.389,8.116,8.298,4018210,ABB
2025-07-18,8.298,8.389,8.207,8.298,3479816,ABB
2025-07-21,8.298,8.389,8.116,8.207,3316333,ABB
2025-07-22,8.207,8.298,8.025,8.298,3602347,ABB
2025-07-23,8.298,9.301,8.207,9.028,13464429,ABB
2025-07-24,9.028,9.301,8.937,9.119,4760301,ABB
2025-07-25,9.119,9.393,9.119,9.301,6651076,ABB
2025-07-28,9.301,10.487,9.301,10.396,17920991,ABB
2025-07-29,10.487,10.852,9.666,9.849,14788722,ABB
2025-07-30,9.757,10.943,9.757,10.943,13986137,ABB
2025-07-31,11.399,11.946,11.034,11.946,28358972,ABB
2025-08-01,12.037,12.675,11.672,11.855,12175625,ABB
2025-08-04,11.946,11.946,11.49,11.855,10527568,ABB
2025-08-05,11.855,12.219,11.034,11.581,16646703,ABB
2025-08-06,11.764,11.855,11.308,11.672,9679025,ABB
2025-08-07,11.581,11.764,11.308,11.581,7430486,ABB
2025-08-08,11.581,12.219,11.581,11.764,11646307,ABB
2025-08-11,11.764,11.946,11.49,11.855,9266461,ABB
2025-08-12,11.855,12.037,11.672,11.855,8778094,ABB
2025-08-13,11.855,12.584,11.855,12.219,14729473,ABB
2025-08-14,12.584,12.584,12.037,12.493,14408205,ABB
2025-08-15,12.493,12.584,11.855,12.037,11278622,ABB
2025-08-18,12.037,12.128,11.672,11.855,9699083,ABB
2025-08-19,11.855,12.037,11.672,11.855,9058593,ABB
