time,open,high,low,close,volume,symbol
2025-02-10,20.557,20.7,20.201,20.415,42402,ABI
2025-02-11,20.415,20.415,20.058,20.272,19658,ABI
2025-02-12,20.129,20.843,20.129,20.772,108299,ABI
2025-02-13,17.774,20.843,17.774,20.7,29228,ABI
2025-02-14,20.629,20.7,20.557,20.629,32055,ABI
2025-02-17,20.629,20.629,20.129,20.629,12442,ABI
2025-02-18,20.415,20.7,20.415,20.415,41443,ABI
2025-02-19,20.129,21.2,19.986,20.843,117065,ABI
2025-02-20,21.057,21.057,20.772,20.772,79033,ABI
2025-02-21,20.557,21.557,20.557,21.271,58649,ABI
2025-02-24,21.343,21.414,21.057,21.128,7703,ABI
2025-02-25,21.343,21.914,21.128,21.343,10754,ABI
2025-02-26,21.271,21.414,21.057,21.128,18873,ABI
2025-02-27,21.343,21.343,20.986,21.057,14190,ABI
2025-02-28,21.128,21.2,21.057,21.128,13509,ABI
2025-03-03,21.414,22.485,20.557,21.057,12149,ABI
2025-03-04,20.986,21.2,20.7,20.7,8202,ABI
2025-03-05,21.057,21.057,20.557,20.7,6931,ABI
2025-03-06,20.629,20.843,20.415,20.7,13865,ABI
2025-03-07,20.843,20.914,20.629,20.843,13174,ABI
2025-03-10,20.629,20.629,20.486,20.629,22868,ABI
2025-03-11,20.201,21.057,18.773,20.415,23810,ABI
2025-03-12,20.486,20.986,20.343,20.986,137107,ABI
2025-03-13,20.486,21.414,20.415,20.986,38979,ABI
2025-03-14,19.986,20.914,19.273,20.7,17548,ABI
2025-03-17,20.415,20.7,20.343,20.415,36870,ABI
2025-03-18,19.986,20.7,19.986,20.7,45308,ABI
2025-03-19,20.129,20.7,19.915,20.557,1490,ABI
2025-03-20,20.343,20.7,19.915,20.7,49713,ABI
2025-03-21,20.343,20.629,20.272,20.629,8166,ABI
2025-03-24,20.201,20.629,20.201,20.486,4802,ABI
2025-03-25,20.343,20.557,20.272,20.557,12911,ABI
2025-03-26,20.343,20.486,20.201,20.415,20721,ABI
2025-03-27,20.201,20.201,19.915,20.201,24041,ABI
2025-03-28,19.986,20.129,19.915,20.129,4500,ABI
2025-03-31,19.63,21.343,19.63,21.343,61077,ABI
2025-04-01,20.629,20.629,20.272,20.629,4212,ABI
2025-04-02,20.343,20.557,20.201,20.201,21251,ABI
2025-04-03,19.63,19.986,19.201,19.63,138103,ABI
2025-04-04,19.273,19.273,18.559,19.13,99016,ABI
2025-04-08,19.13,19.13,17.06,17.417,81766,ABI
2025-04-09,16.132,17.845,16.132,17.774,68404,ABI
2025-04-10,18.202,19.701,18.202,19.487,202539,ABI
2025-04-11,19.273,19.344,18.702,18.702,85831,ABI
2025-04-14,18.844,18.916,17.845,18.487,149142,ABI
2025-04-15,18.559,18.916,18.416,18.559,77562,ABI
2025-04-16,18.773,18.916,18.345,18.416,19002,ABI
2025-04-17,18.273,18.416,18.131,18.131,92973,ABI
2025-04-18,18.202,18.559,18.131,18.559,70656,ABI
2025-04-21,18.559,18.559,18.059,18.559,79498,ABI
2025-04-22,18.273,18.702,18.202,18.63,71700,ABI
2025-04-23,18.487,19.13,18.487,19.13,31129,ABI
2025-04-24,18.773,19.701,18.773,19.273,86209,ABI
2025-04-25,19.344,19.558,19.058,19.058,8765,ABI
2025-04-28,19.201,19.844,18.987,19.844,91661,ABI
2025-04-29,19.844,20.201,19.487,20.129,45004,ABI
2025-05-05,19.772,20.7,19.63,20.557,13255,ABI
2025-05-06,20.129,20.486,19.772,20.343,8103,ABI
2025-05-07,20.343,20.343,19.701,20.272,19030,ABI
2025-05-08,20.272,20.343,19.63,19.986,21753,ABI
2025-05-09,19.844,20.343,19.487,20.343,37171,ABI
2025-05-12,20.343,20.343,19.487,19.772,39078,ABI
2025-05-13,19.701,19.844,19.273,19.844,64873,ABI
2025-05-14,19.558,19.986,19.558,19.915,55275,ABI
2025-05-15,19.844,19.986,19.63,19.915,31841,ABI
2025-05-16,19.772,19.915,19.344,19.772,65897,ABI
2025-05-19,19.844,19.844,19.273,19.273,93221,ABI
2025-05-20,19.273,19.772,19.13,19.63,102725,ABI
2025-05-21,19.344,19.844,19.344,19.558,15937,ABI
2025-05-22,19.415,19.63,19.344,19.63,20939,ABI
2025-05-23,19.772,20.343,19.63,19.844,53235,ABI
2025-05-26,19.701,19.986,19.487,19.915,49757,ABI
2025-05-27,19.844,20.058,19.772,19.986,22318,ABI
2025-05-28,19.915,19.986,19.701,19.986,628,ABI
2025-05-29,19.915,20.129,19.844,20.129,143499,ABI
2025-05-30,20.272,20.7,19.772,20.343,66925,ABI
2025-06-02,20.415,20.7,20.272,20.7,91164,ABI
2025-06-03,20.7,21.2,20.629,20.629,45928,ABI
2025-06-04,20.772,20.843,20.7,20.772,82904,ABI
2025-06-05,20.772,20.986,20.629,20.7,24702,ABI
2025-06-06,20.7,20.986,20.7,20.843,214743,ABI
2025-06-09,20.772,21.128,20.7,20.7,8362,ABI
2025-06-10,20.7,20.7,20.415,20.415,9244,ABI
2025-06-11,20.415,20.486,20.201,20.486,30771,ABI
2025-06-12,20.415,20.415,20.343,20.343,13863,ABI
2025-06-13,20.129,20.415,20.129,20.129,9995,ABI
2025-06-16,20.415,20.486,20.415,20.486,9622,ABI
2025-06-17,20.486,20.7,20.486,20.557,6794,ABI
2025-06-18,20.486,20.7,20.415,20.415,6171,ABI
2025-06-19,20.415,20.7,20.343,20.7,13359,ABI
2025-06-20,20.415,20.7,20.415,20.7,19821,ABI
2025-06-23,20.343,20.557,20.129,20.557,56977,ABI
2025-06-24,20.272,20.557,20.272,20.415,21252,ABI
2025-06-25,20.415,20.7,20.272,20.7,12104,ABI
2025-06-26,20.343,21.057,20.343,21.057,49781,ABI
2025-06-27,20.772,21.343,20.772,21.271,135087,ABI
2025-06-30,21.128,21.985,21.128,21.914,77479,ABI
2025-07-01,21.485,21.842,21.2,21.2,55379,ABI
2025-07-02,20.914,21.271,20.914,21.271,7449,ABI
2025-07-03,20.772,21.2,20.772,21.2,951,ABI
2025-07-04,20.843,21.2,20.843,21.057,23097,ABI
2025-07-07,21.057,21.128,20.843,20.843,3752,ABI
2025-07-08,20.7,21.557,20.7,20.986,32449,ABI
2025-07-09,20.772,20.914,20.7,20.7,11432,ABI
2025-07-10,20.7,20.843,20.7,20.772,8346,ABI
2025-07-11,20.629,20.843,20.415,20.629,22198,ABI
2025-07-14,20.557,21.343,20.486,21.128,44910,ABI
2025-07-15,21.057,21.057,20.415,20.629,46233,ABI
2025-07-16,20.772,20.914,20.557,20.914,9766,ABI
2025-07-17,20.914,20.914,20.7,20.914,34637,ABI
2025-07-18,20.843,21.057,20.629,20.914,58964,ABI
2025-07-21,20.415,20.772,20.272,20.272,89416,ABI
2025-07-22,20.415,20.7,20.272,20.343,43035,ABI
2025-07-23,20.272,20.629,20.272,20.415,12086,ABI
2025-07-24,20.486,20.629,20.343,20.415,20093,ABI
2025-07-25,20.629,20.629,20.272,20.486,69016,ABI
2025-07-28,20.557,20.557,20.343,20.415,70675,ABI
2025-07-29,20.415,20.415,19.915,19.915,148286,ABI
2025-07-30,20.058,20.343,20.058,20.201,13055,ABI
2025-07-31,20.201,20.7,19.915,20.7,47132,ABI
2025-08-01,20.629,20.629,20.201,20.201,9037,ABI
2025-08-04,20.201,20.343,20.201,20.201,117515,ABI
