time,open,high,low,close,volume,sma_20,sma_50,sma_200,rsi_14,macd,macd_signal,macd_hist,bb_upper,bb_lower,daily_return,volatility_20d,symbol
2025-02-10,45.576,45.576,44.973,44.973,6316,44.973,44.973,44.973,,0.0,0.0,0.0,,,,,APF
2025-02-11,45.318,45.318,45.145,45.145,5536,45.059,45.059,45.059,,0.013720797720800704,0.002744159544160141,0.010976638176640564,,,0.38245169323818384,,APF
2025-02-12,45.231,45.231,45.231,45.231,2,45.11633333333333,45.11633333333333,45.11633333333333,,0.031174746958221533,0.00843027702697242,0.022744469931249112,,,0.19049728652120734,,APF
2025-02-13,45.231,45.231,45.231,45.231,1300,45.145,45.145,45.145,,0.044494225740159266,0.01564306676960979,0.028851158970549476,,,0.0,,APF
2025-02-14,45.231,45.318,44.887,44.973,6400,45.1106,45.1106,45.1106,,0.033841461529540595,0.019282745721595954,0.014558715807944642,,,-0.5704052530344339,,APF
2025-02-17,45.231,45.231,45.231,45.231,965,45.13066666666666,45.13066666666666,45.13066666666666,,0.04569081764338989,0.024564360105954745,0.021126457537435146,,,0.5736775398572647,,APF
2025-02-18,45.662,45.662,45.231,45.231,8601,45.144999999999996,45.144999999999996,45.144999999999996,,0.05445380812981426,0.03054224971072665,0.02391155841908761,,,0.0,,APF
2025-02-19,45.318,45.404,45.231,45.318,9042,45.166625,45.166625,45.166625,,0.06763901368892533,0.03796160250636639,0.02967741118255894,,,0.19234595741857152,,APF
2025-02-20,45.49,45.576,45.231,45.231,9601,45.17377777777778,45.17377777777778,45.17377777777778,,0.07025831703365526,0.04442094541182417,0.02583737162183109,,,-0.1919766980007842,,APF
2025-02-21,45.576,46.524,45.576,45.748,20655,45.2312,45.2312,45.2312,,0.1127519784344102,0.058087152016341376,0.05466482641806883,,,1.143021379142617,,APF
2025-02-24,46.179,46.179,45.921,45.921,3300,45.29390909090909,45.29390909090909,45.29390909090909,,0.15856038006252504,0.07818179762557811,0.08037858243694693,,,0.37815860802659085,,APF
2025-02-25,46.179,46.351,46.093,46.093,8600,45.3605,45.3605,45.3605,,0.20636399524054383,0.10381823714857126,0.10254575809197257,,,0.3745563032164112,,APF
2025-02-26,46.093,46.093,46.093,46.093,2914,45.41684615384615,45.41684615384615,45.41684615384615,,0.24146524365362154,0.13134763844958133,0.11011760520404021,,,0.0,,APF
2025-02-27,46.093,46.265,39.201,46.093,4924,45.46514285714286,45.46514285714286,45.46514285714286,83.55966868174909,0.26621448108662094,0.15832100697698925,0.10789347410963168,,,0.0,,APF
2025-02-28,45.318,45.662,45.318,45.662,1600,45.47826666666666,45.47826666666666,45.47826666666666,59.837502020186015,0.24818935963285327,0.17629467750816205,0.07189468212469122,,,-0.9350660620918716,,APF
2025-03-03,45.49,45.662,44.801,45.662,7110,45.48975,45.48975,45.48975,59.837502020186015,0.2312387447088753,0.1872834909483047,0.04395525376057058,,,0.0,,APF
2025-03-04,45.231,45.318,45.145,45.231,2900,45.474529411764706,45.474529411764706,45.474529411764706,45.01595648751468,0.18094138264925164,0.1860150692884941,-0.0050736866392424584,,,-0.943892076562558,,APF
2025-03-05,45.318,45.318,45.231,45.318,2535,45.465833333333336,45.465833333333336,45.465833333333336,47.825311159275934,0.14641277838430966,0.17809461110765723,-0.03168183272334757,,,0.19234595741857152,,APF
2025-03-06,45.318,45.318,45.145,45.231,15310,45.45347368421053,45.45347368421053,45.45347368421053,45.331004084662936,0.11075176047435065,0.16462604098099592,-0.05387428050664528,,,-0.1919766980007842,,APF
2025-03-07,45.145,45.145,44.801,45.059,1700,45.433749999999996,45.433749999999996,45.433749999999996,40.800453514706334,0.06782929048250708,0.14526669088129815,-0.07743740039879107,46.18868293532744,44.67881706467255,-0.3802701686896226,,APF
2025-03-10,45.145,45.231,45.145,45.231,650,45.446650000000005,45.42409523809524,45.42409523809524,46.55304213297341,0.0471483890304043,0.12564303051111939,-0.07849464148071508,46.176844862240294,44.716455137759716,0.3817217426041575,0.49270520765208325,APF
2025-03-11,44.887,45.231,44.801,45.231,7937,45.45095,45.415318181818186,45.415318181818186,46.55304213297341,0.03040809998354632,0.10659604440560479,-0.07618794442205847,46.174649406921795,44.7272505930782,0.0,0.4856677645202997,APF
2025-03-12,44.887,44.887,44.542,44.542,8120,45.4165,45.37734782608696,45.37734782608696,32.07357797609663,-0.038017005109963975,0.07767343450249105,-0.11569043961245502,46.242631759594396,44.5903682404056,-1.5232915478322395,0.5918447279107663,APF
2025-03-13,44.542,44.801,44.542,44.542,2830,45.38205,45.34254166666667,45.34254166666667,32.07357797609663,-0.09119317570904428,0.04390011246018398,-0.13509328816922828,46.29378044839269,44.47031955160731,0.0,0.5918447279107663,APF
2025-03-14,44.456,44.456,44.37,44.37,4610,45.3519,45.30364,45.30364,29.42395509990324,-0.14553697688258183,0.00601269459163082,-0.15154967147421264,46.3558072928471,44.3479927071529,-0.38615239549190106,0.5851241350593492,APF
2025-03-17,44.37,44.542,44.37,44.542,3500,45.31745,45.27434615384615,45.27434615384615,35.18982125621805,-0.17273469031617594,-0.029736782389930532,-0.14299790792624542,46.38414947921024,44.250750520789765,0.3876493125986036,0.5758277518945804,APF
2025-03-18,44.111,44.801,44.111,44.456,3202,45.2787,45.24403703703703,45.24403703703703,33.7070221543469,-0.198935352518383,-0.06357649641562103,-0.135358856102762,46.41279998630958,44.14460001369042,-0.19307619774594498,0.5761200941125016,APF
2025-03-19,44.542,44.887,44.542,44.801,4967,45.25285,45.22821428571429,45.22821428571429,43.91654292517022,-0.18967449979910356,-0.08879609709231755,-0.10087840270678601,46.40657682619141,44.09912317380859,0.7760482274608682,0.6049611374980426,APF
2025-03-20,44.801,44.801,44.628,44.801,3300,45.231350000000006,45.21348275862069,45.21348275862069,43.91654292517022,-0.1802573131979699,-0.10708834031344802,-0.07316897288452187,46.40268325295311,44.0600167470469,0.0,0.6042061093503848,APF
2025-03-21,44.628,44.628,44.542,44.628,4402,45.17535,45.19396666666667,45.19396666666667,40.30652345058143,-0.18462553095265122,-0.12259577844128866,-0.06202975251136256,46.34976914422229,44.00093085577771,-0.38615209481931423,0.5390642118802342,APF
2025-03-24,44.628,44.801,44.628,44.801,607,45.11935,45.18129032258065,45.18129032258065,45.16113556989609,-0.17214335932509783,-0.1325052946180505,-0.03963806470704734,46.250061052484476,43.98863894751552,0.38764900959038506,0.5395320662971246,APF
2025-03-25,44.542,44.542,44.025,44.456,8050,45.0375,45.158625,45.158625,38.44624068569708,-0.18792349996647317,-0.14358893568773504,-0.04433456427873814,46.10678023012041,43.968219769879596,-0.770072096604979,0.5447710003131301,APF
2025-03-26,44.198,44.198,43.939,43.939,5000,44.9298,45.12166666666667,45.12166666666667,31.006148467792883,-0.23938744491380248,-0.16274863753294855,-0.07663880738085393,45.985271678046324,43.874328321953676,-1.1629476336152633,0.5851988232363311,APF
2025-03-27,44.025,44.025,43.078,43.508,5100,44.80055,45.07420588235294,45.07420588235294,26.41657471677351,-0.31136190383363527,-0.1924712907930859,-0.11889061304054938,45.88885790438041,43.712242095619594,-0.9809053460479222,0.6050262720015628,APF
2025-03-28,43.681,43.681,43.681,43.681,1653,44.7015,45.0344,45.0344,30.841669216339483,-0.3504032958211454,-0.22405769179869778,-0.1263456040224476,45.819867701513914,43.58313229848609,0.39762802243263895,0.6032130514440844,APF
