time,open,high,low,close,volume,symbol
2025-02-10,8.7,8.7,8.35,8.41,416800,APG
2025-02-11,8.21,8.59,8.21,8.48,525800,APG
2025-02-12,8.6,8.7,8.38,8.48,420500,APG
2025-02-13,8.5,8.5,8.38,8.46,294400,APG
2025-02-14,8.46,8.71,8.45,8.59,283300,APG
2025-02-17,8.55,9.1,8.55,8.93,639700,APG
2025-02-18,9.0,9.0,8.75,8.85,361500,APG
2025-02-19,8.8,8.99,8.75,8.83,463400,APG
2025-02-20,8.84,8.98,8.82,8.84,208300,APG
2025-02-21,8.84,8.95,8.68,8.8,199400,APG
2025-02-24,8.76,9.35,8.76,9.19,688800,APG
2025-02-25,9.19,9.24,9.09,9.09,264600,APG
2025-02-26,9.09,9.18,9.02,9.16,257400,APG
2025-02-27,9.38,9.38,9.01,9.06,161900,APG
2025-02-28,9.06,9.17,9.0,9.06,294000,APG
2025-03-03,9.07,9.1,8.85,9.1,378000,APG
2025-03-04,9.09,9.09,8.9,9.04,250500,APG
2025-03-05,9.11,9.28,8.95,9.04,480700,APG
2025-03-06,9.1,9.18,9.04,9.08,226900,APG
2025-03-07,9.1,9.1,9.0,9.03,312100,APG
2025-03-10,9.15,9.66,9.15,9.66,575000,APG
2025-03-11,9.78,10.15,9.7,10.15,941100,APG
2025-03-12,10.35,10.4,9.9,10.1,555000,APG
2025-03-13,10.1,10.25,9.91,9.91,703900,APG
2025-03-14,9.91,9.91,9.25,9.81,526500,APG
2025-03-17,10.0,10.05,9.81,9.9,549200,APG
2025-03-18,10.05,10.05,9.91,9.91,272600,APG
2025-03-19,10.0,10.3,9.99,10.1,803500,APG
2025-03-20,10.3,10.35,10.1,10.25,727900,APG
2025-03-21,10.25,10.55,10.25,10.55,446400,APG
2025-03-24,10.55,10.75,10.45,10.55,521300,APG
2025-03-25,10.55,10.75,10.45,10.55,703300,APG
2025-03-26,10.7,10.7,10.5,10.55,499300,APG
2025-03-27,10.55,10.55,10.25,10.55,325900,APG
2025-03-28,10.55,10.55,10.4,10.45,175800,APG
2025-03-31,10.45,10.45,10.0,10.35,368500,APG
2025-04-01,10.35,10.35,10.1,10.3,164400,APG
2025-04-02,10.3,10.5,10.2,10.45,202100,APG
2025-04-03,9.79,10.15,9.72,9.72,1206600,APG
2025-04-04,9.1,9.72,9.04,9.72,706700,APG
2025-04-08,9.12,9.2,9.04,9.04,419200,APG
2025-04-09,8.41,8.99,8.41,8.41,656700,APG
2025-04-10,8.99,8.99,8.99,8.99,188900,APG
2025-04-11,9.61,9.61,9.22,9.58,357700,APG
2025-04-14,9.92,9.92,9.58,9.9,528200,APG
2025-04-15,9.9,10.55,9.83,10.55,1099300,APG
2025-04-16,10.8,11.2,10.75,10.75,643000,APG
2025-04-17,10.75,10.8,10.6,10.7,355800,APG
2025-04-18,10.9,10.9,10.7,10.7,478300,APG
2025-04-21,10.65,10.65,10.2,10.3,679800,APG
2025-04-22,10.2,10.6,9.99,10.6,990300,APG
2025-04-23,10.9,11.3,10.9,11.3,1406400,APG
