time,open,high,low,close,volume,symbol
2025-02-10,11.9,11.9,11.0,11.6,29869,BCA
2025-02-11,11.4,12.9,11.4,12.9,111210,BCA
2025-02-12,13.0,13.0,12.1,12.2,24201,BCA
2025-02-13,12.4,12.5,11.6,11.7,55402,BCA
2025-02-14,11.7,12.0,11.3,11.5,38902,BCA
2025-02-17,11.4,12.0,11.3,11.8,43072,BCA
2025-02-18,11.7,12.0,11.7,12.0,39504,BCA
2025-02-19,12.1,13.6,12.1,13.5,221705,BCA
2025-02-20,13.5,14.7,13.0,13.0,56653,BCA
2025-02-21,14.2,14.2,12.8,12.9,20627,BCA
2025-02-24,12.9,14.1,12.7,13.4,115206,BCA
2025-02-25,13.0,13.4,13.0,13.1,23947,BCA
2025-02-26,13.8,14.9,13.3,14.3,220007,BCA
2025-02-27,14.3,15.1,13.5,14.2,113110,BCA
2025-02-28,14.8,15.6,13.9,13.9,64663,BCA
2025-03-03,14.4,15.3,14.1,14.1,40812,BCA
2025-03-04,14.1,14.5,13.8,13.8,59003,BCA
2025-03-05,14.2,14.2,13.6,13.7,34460,BCA
2025-03-06,13.7,13.8,13.5,13.5,24061,BCA
2025-03-07,13.7,13.7,13.3,13.5,7700,BCA
2025-03-10,14.0,14.0,13.0,13.4,41431,BCA
2025-03-11,13.2,13.4,13.0,13.4,12001,BCA
2025-03-12,13.6,13.8,13.0,13.4,38101,BCA
2025-03-13,13.4,13.4,12.9,12.9,23701,BCA
2025-03-14,13.4,13.4,12.5,13.0,18201,BCA
2025-03-17,13.4,13.4,12.7,12.8,12520,BCA
2025-03-18,12.6,13.0,12.3,12.9,65033,BCA
2025-03-19,12.5,13.2,12.4,12.5,14351,BCA
2025-03-20,12.6,12.6,12.3,12.4,3831,BCA
2025-03-21,12.4,12.7,12.0,12.4,25500,BCA
2025-03-24,12.2,12.2,12.1,12.2,21502,BCA
2025-03-25,11.9,12.4,11.9,12.4,18700,BCA
2025-03-26,12.3,12.3,11.9,11.9,16301,BCA
2025-03-27,12.4,13.1,12.4,12.6,16400,BCA
2025-03-28,13.0,13.0,12.4,12.4,37000,BCA
2025-03-31,12.2,12.8,12.2,12.3,14700,BCA
2025-04-01,12.2,12.7,12.1,12.7,61613,BCA
2025-04-02,12.4,12.9,12.4,12.9,16800,BCA
2025-04-03,12.7,12.7,10.8,10.8,120300,BCA
2025-04-04,10.8,10.9,9.8,10.5,56900,BCA
2025-04-08,9.5,9.7,8.9,8.9,62500,BCA
2025-04-09,8.0,9.1,7.8,8.9,42610,BCA
2025-04-10,9.6,9.7,9.6,9.7,1400,BCA
2025-04-11,9.7,11.1,9.7,11.1,69300,BCA
2025-04-14,11.0,12.5,11.0,12.5,41739,BCA
2025-04-15,12.5,12.7,12.0,12.7,38700,BCA
2025-04-16,12.7,12.7,12.0,12.6,15400,BCA
2025-04-17,12.6,12.6,12.3,12.6,12900,BCA
2025-04-18,12.5,13.0,12.5,12.8,7100,BCA
2025-04-21,12.6,13.0,12.5,12.5,36400,BCA
2025-04-22,12.6,12.6,11.3,12.5,19301,BCA
2025-04-23,12.0,12.4,12.0,12.3,23803,BCA
2025-04-24,12.6,12.6,11.1,12.4,4507,BCA
2025-04-25,12.0,12.6,11.6,11.6,56229,BCA
2025-04-28,11.6,12.9,11.6,12.4,50700,BCA
2025-04-29,12.9,12.9,12.0,12.0,5200,BCA
2025-05-05,12.6,12.6,11.2,11.6,19200,BCA
2025-05-06,12.6,12.6,12.4,12.4,1600,BCA
2025-05-07,11.6,11.8,11.6,11.8,4400,BCA
2025-05-08,12.1,12.1,12.1,12.1,100,BCA
2025-05-09,11.9,11.9,11.8,11.8,12100,BCA
