time,open,high,low,close,volume,symbol
2025-02-10,34.802,34.802,34.802,34.802,0,BCF
2025-02-11,34.208,34.208,34.208,34.208,1010,BCF
2025-02-12,36.5,36.5,35.227,35.227,2200,BCF
2025-02-13,35.227,35.227,35.227,35.227,10,BCF
2025-02-14,34.802,34.802,34.038,34.038,8500,BCF
2025-02-17,35.312,35.651,35.142,35.312,701,BCF
2025-02-18,35.651,35.651,34.802,34.802,361,BCF
2025-02-19,35.057,35.057,34.802,34.802,1419,BCF
2025-02-20,35.651,35.651,35.651,35.651,300,BCF
2025-02-21,35.651,35.651,35.651,35.651,0,BCF
2025-02-24,35.651,35.651,35.227,35.227,1100,BCF
2025-02-25,35.227,35.227,34.802,34.802,600,BCF
2025-02-26,35.227,35.227,35.227,35.227,204,BCF
2025-02-27,34.802,35.227,34.802,35.142,2200,BCF
2025-02-28,34.972,34.972,34.972,34.972,1000,BCF
2025-03-03,34.802,34.972,34.802,34.972,3301,BCF
2025-03-04,34.972,34.972,34.972,34.972,500,BCF
2025-03-05,34.972,34.972,34.972,34.972,1,BCF
2025-03-06,34.463,34.463,34.463,34.463,103,BCF
2025-03-07,35.397,35.397,35.397,35.397,100,BCF
2025-03-10,35.397,35.397,35.397,35.397,0,BCF
2025-03-11,34.972,34.972,34.887,34.887,200,BCF
2025-03-12,34.802,34.887,34.802,34.802,4001,BCF
2025-03-13,34.633,34.633,34.463,34.463,200,BCF
2025-03-14,36.245,36.245,36.245,36.245,100,BCF
2025-03-17,35.651,35.651,34.717,34.802,400,BCF
2025-03-18,34.802,34.802,34.802,34.802,10,BCF
2025-03-19,34.463,34.802,34.463,34.802,800,BCF
2025-03-20,34.802,34.802,34.802,34.802,100,BCF
2025-03-21,34.802,34.802,34.802,34.802,1000,BCF
2025-03-24,34.802,34.802,34.802,34.802,0,BCF
2025-03-25,34.802,34.802,34.802,34.802,0,BCF
2025-03-26,36.076,36.076,36.076,36.076,2000,BCF
2025-03-27,36.076,36.076,36.076,36.076,201,BCF
2025-03-28,36.076,36.076,36.076,36.076,0,BCF
2025-03-31,34.802,34.802,34.802,34.802,900,BCF
2025-04-01,34.802,34.802,34.802,34.802,0,BCF
2025-04-02,34.802,34.802,34.802,34.802,100,BCF
2025-04-03,34.802,34.802,34.378,34.463,13702,BCF
2025-04-04,34.463,34.463,34.463,34.463,1500,BCF
2025-04-08,33.954,33.954,33.529,33.529,700,BCF
2025-04-09,33.529,33.529,33.529,33.529,1905,BCF
2025-04-10,33.954,33.954,33.954,33.954,300,BCF
2025-04-11,34.123,34.123,33.954,33.954,1010,BCF
2025-04-14,33.954,33.954,33.954,33.954,0,BCF
2025-04-15,33.954,33.954,33.954,33.954,721,BCF
2025-04-16,33.954,33.954,33.954,33.954,100,BCF
2025-04-17,33.954,33.954,33.954,33.954,0,BCF
2025-04-18,33.954,33.954,33.529,33.529,2900,BCF
2025-04-21,33.529,33.529,33.529,33.529,0,BCF
2025-04-22,33.529,33.529,33.529,33.529,0,BCF
2025-04-23,33.529,33.529,33.529,33.529,0,BCF
2025-04-24,33.529,33.529,33.529,33.529,0,BCF
2025-04-25,33.954,33.954,33.954,33.954,100,BCF
2025-04-28,33.954,36.076,33.614,36.076,8100,BCF
2025-04-29,33.954,33.954,33.954,33.954,500,BCF
2025-05-05,33.954,33.954,33.954,33.954,200,BCF
2025-05-06,33.954,33.954,33.614,33.614,1300,BCF
2025-05-07,33.954,33.954,33.954,33.954,1000,BCF
2025-05-08,33.954,34.802,33.954,33.954,5368,BCF
2025-05-09,33.954,33.954,33.869,33.954,1600,BCF
2025-05-12,33.784,33.784,33.699,33.699,1100,BCF
2025-05-13,33.699,33.699,33.699,33.699,1500,BCF
