time,open,high,low,close,volume,symbol
2025-02-10,70.0,72.9,70.0,70.9,410500,BCM
2025-02-11,71.0,71.4,70.0,70.1,233900,BCM
2025-02-12,70.3,71.5,70.0,70.5,213900,BCM
2025-02-13,70.5,70.5,69.7,70.1,164600,BCM
2025-02-14,70.9,71.2,70.1,70.1,228600,BCM
2025-02-17,70.1,70.3,69.8,69.8,279800,BCM
2025-02-18,69.8,70.0,69.3,69.5,157200,BCM
2025-02-19,69.6,71.3,69.5,71.3,494200,BCM
2025-02-20,71.6,72.4,70.8,72.4,485700,BCM
2025-02-21,72.5,75.6,72.5,74.9,1248300,BCM
2025-02-24,75.1,76.2,74.3,74.5,506700,BCM
2025-02-25,74.5,76.9,74.5,76.6,699600,BCM
2025-02-26,77.1,77.1,75.8,76.4,391900,BCM
2025-02-27,76.5,76.5,74.5,76.0,469400,BCM
2025-02-28,75.5,75.9,74.7,75.7,420300,BCM
2025-03-03,75.6,76.5,75.0,75.6,287300,BCM
2025-03-04,75.5,76.0,74.8,75.8,457000,BCM
2025-03-05,76.0,76.4,75.1,75.1,339800,BCM
2025-03-06,75.1,75.7,74.9,75.2,284600,BCM
2025-03-07,75.2,76.0,75.0,75.0,373300,BCM
2025-03-10,75.1,80.2,74.9,80.2,2435900,BCM
2025-03-11,80.6,82.2,79.6,80.2,526700,BCM
2025-03-12,80.2,82.1,79.9,80.6,827800,BCM
2025-03-13,81.0,81.0,78.6,78.8,577100,BCM
2025-03-14,79.0,79.9,78.7,79.0,657500,BCM
2025-03-17,79.7,82.3,78.2,81.8,1325300,BCM
2025-03-18,82.3,82.4,80.8,81.8,738000,BCM
2025-03-19,81.8,81.8,80.3,80.7,662000,BCM
2025-03-20,80.1,81.1,77.5,79.5,916700,BCM
2025-03-21,80.0,80.0,78.1,78.7,372500,BCM
2025-03-24,78.7,78.7,76.7,77.3,398600,BCM
2025-03-25,77.7,79.2,77.5,78.1,403800,BCM
2025-03-26,78.1,78.6,77.6,78.0,369000,BCM
2025-03-27,78.0,79.5,77.4,77.4,402100,BCM
2025-03-28,77.7,79.4,77.6,77.6,588100,BCM
2025-03-31,77.6,77.6,74.8,74.8,799000,BCM
