time,open,high,low,close,volume,symbol
2025-02-10,11.6,11.6,11.6,11.6,0,BHI
2025-02-11,11.6,11.6,11.6,11.6,2100,BHI
2025-02-12,11.6,11.6,11.6,11.6,0,BHI
2025-02-13,10.1,11.6,10.1,11.6,1508,BHI
2025-02-14,10.6,10.6,10.6,10.6,0,BHI
2025-02-17,10.6,10.6,10.6,10.6,0,BHI
2025-02-18,10.6,10.6,10.6,10.6,0,BHI
2025-02-19,10.6,10.6,10.6,10.6,0,BHI
2025-02-20,10.6,10.6,10.6,10.6,0,BHI
2025-02-21,10.6,10.6,10.6,10.6,0,BHI
2025-02-24,10.6,10.6,10.6,10.6,0,BHI
2025-02-25,12.1,12.1,12.0,12.0,300,BHI
2025-02-26,12.0,12.0,12.0,12.0,38,BHI
2025-02-27,12.0,12.0,12.0,12.0,1,BHI
2025-02-28,12.0,12.0,12.0,12.0,100,BHI
2025-03-03,12.0,12.0,12.0,12.0,0,BHI
2025-03-04,12.0,12.0,12.0,12.0,901,BHI
2025-03-05,12.0,12.0,12.0,12.0,700,BHI
2025-03-06,12.0,12.0,12.0,12.0,0,BHI
2025-03-07,12.0,12.0,12.0,12.0,0,BHI
2025-03-10,13.8,13.8,10.4,10.4,1400,BHI
2025-03-11,10.5,10.6,10.5,10.6,335,BHI
2025-03-12,12.0,12.0,12.0,12.0,510,BHI
2025-03-13,12.0,12.0,12.0,12.0,200,BHI
2025-03-14,12.0,12.0,12.0,12.0,0,BHI
2025-03-17,12.0,12.0,12.0,12.0,8,BHI
2025-03-18,12.0,12.0,12.0,12.0,0,BHI
2025-03-19,12.0,12.0,12.0,12.0,0,BHI
2025-03-20,12.0,12.0,12.0,12.0,0,BHI
2025-03-21,12.0,12.0,12.0,12.0,0,BHI
2025-03-24,12.0,12.0,12.0,12.0,0,BHI
2025-03-25,12.0,12.0,12.0,12.0,1,BHI
2025-03-26,12.0,12.0,12.0,12.0,0,BHI
2025-03-27,12.0,12.0,12.0,12.0,0,BHI
2025-03-28,12.0,12.0,12.0,12.0,0,BHI
2025-03-31,12.0,12.0,12.0,12.0,8,BHI
2025-04-01,12.0,12.0,12.0,12.0,38,BHI
2025-04-02,12.0,12.0,12.0,12.0,8,BHI
2025-04-03,12.0,12.0,12.0,12.0,0,BHI
2025-04-04,12.0,12.0,12.0,12.0,0,BHI
2025-04-08,12.0,12.0,12.0,12.0,0,BHI
2025-04-09,12.0,12.0,12.0,12.0,0,BHI
2025-04-10,12.0,12.0,12.0,12.0,109,BHI
2025-04-11,12.0,12.0,11.0,11.0,1603,BHI
2025-04-14,11.8,11.8,11.0,11.0,200,BHI
2025-04-15,11.4,11.4,11.4,11.4,2,BHI
2025-04-16,10.2,10.2,10.2,10.2,3906,BHI
2025-04-17,10.2,10.2,10.2,10.2,10,BHI
2025-04-18,10.2,10.2,10.2,10.2,103,BHI
2025-04-21,10.2,10.2,10.2,10.2,0,BHI
2025-04-22,10.0,10.0,10.0,10.0,2200,BHI
2025-04-23,10.0,10.0,10.0,10.0,0,BHI
