time,open,high,low,close,volume,symbol
2025-02-10,8.4,8.6,8.4,8.5,1120401,C4G
2025-02-11,8.5,8.9,8.5,8.8,1587714,C4G
2025-02-12,8.8,9.0,8.6,8.8,1222148,C4G
2025-02-13,8.8,8.8,8.6,8.8,570419,C4G
2025-02-14,8.8,9.0,8.7,8.8,794548,C4G
2025-02-17,8.8,9.0,8.7,8.9,1265776,C4G
2025-02-18,8.9,8.9,8.7,8.9,902140,C4G
2025-02-19,8.9,8.9,8.7,8.9,838949,C4G
2025-02-20,8.8,8.9,8.7,8.9,934582,C4G
2025-02-21,8.8,9.3,8.7,9.1,1911354,C4G
2025-02-24,9.1,9.1,8.9,9.0,864235,C4G
2025-02-25,9.0,9.1,8.8,8.9,1246560,C4G
2025-02-26,8.9,8.9,8.7,8.7,967504,C4G
2025-02-27,8.8,8.8,8.6,8.8,797307,C4G
2025-02-28,8.8,8.8,8.7,8.8,495781,C4G
2025-03-03,8.8,8.8,8.5,8.6,1067632,C4G
2025-03-04,8.6,8.8,8.5,8.7,648334,C4G
2025-03-05,8.6,8.7,8.5,8.6,586459,C4G
2025-03-06,8.6,8.6,8.5,8.6,456622,C4G
2025-03-07,8.6,8.8,8.6,8.8,1024419,C4G
2025-03-10,8.8,8.8,8.6,8.8,1420747,C4G
2025-03-11,8.8,9.0,8.6,8.9,1110769,C4G
2025-03-12,8.8,8.9,8.7,8.7,419747,C4G
2025-03-13,8.8,8.8,8.4,8.5,992750,C4G
2025-03-14,8.4,8.6,8.4,8.6,656557,C4G
2025-03-17,8.5,8.6,8.4,8.5,781396,C4G
2025-03-18,8.6,8.7,8.4,8.6,613865,C4G
2025-03-19,8.6,8.6,8.5,8.5,464960,C4G
2025-03-20,8.5,8.6,8.4,8.6,387366,C4G
2025-03-21,8.5,8.6,8.5,8.5,296390,C4G
2025-03-24,8.5,8.6,8.4,8.5,924410,C4G
2025-03-25,8.5,8.6,8.4,8.5,523700,C4G
2025-03-26,8.5,8.5,8.4,8.5,301580,C4G
2025-03-27,8.4,8.5,8.3,8.4,447885,C4G
2025-03-28,8.4,8.4,8.2,8.3,460104,C4G
2025-03-31,8.3,8.4,8.2,8.3,311477,C4G
2025-04-01,8.3,8.4,8.2,8.3,265315,C4G
2025-04-02,8.0,8.4,8.0,8.2,768157,C4G
2025-04-03,8.2,8.2,7.0,7.1,3931081,C4G
2025-04-04,7.0,7.3,6.4,7.0,2086655,C4G
2025-04-08,7.0,7.0,5.9,6.0,2006139,C4G
2025-04-09,6.0,6.3,5.6,6.0,1553375,C4G
2025-04-10,6.7,6.7,6.7,6.7,204325,C4G
2025-04-11,7.4,7.7,6.9,7.3,1822408,C4G
2025-04-14,7.2,7.4,7.1,7.3,751765,C4G
2025-04-15,7.3,7.4,7.0,7.1,833621,C4G
2025-04-16,7.1,7.3,7.1,7.1,521482,C4G
2025-04-17,7.1,7.3,7.1,7.2,449313,C4G
2025-04-18,7.2,7.4,7.2,7.3,725278,C4G
2025-04-21,7.3,7.4,7.2,7.3,266229,C4G
2025-04-22,7.2,7.3,6.6,7.1,1216981,C4G
2025-04-23,7.2,7.3,7.1,7.2,438158,C4G
2025-04-24,7.2,7.3,7.1,7.2,267609,C4G
2025-04-25,7.1,7.4,7.1,7.3,767792,C4G
2025-04-28,7.3,7.4,7.2,7.2,449708,C4G
2025-04-29,7.2,7.3,7.1,7.3,474649,C4G
2025-05-05,7.3,7.3,7.2,7.3,237691,C4G
2025-05-06,7.3,7.4,7.2,7.3,654904,C4G
2025-05-07,7.3,7.3,7.1,7.2,1044906,C4G
2025-05-08,7.2,7.3,7.1,7.3,1679143,C4G
2025-05-09,7.3,7.4,7.2,7.2,793362,C4G
2025-05-12,7.2,7.2,7.0,7.2,990200,C4G
2025-05-13,7.2,7.3,7.1,7.3,584056,C4G
2025-05-14,7.2,7.3,7.1,7.2,731314,C4G
2025-05-15,7.3,7.4,7.2,7.4,1168800,C4G
2025-05-16,7.4,7.8,7.3,7.5,2006303,C4G
2025-05-19,7.5,7.7,7.4,7.4,755610,C4G
2025-05-20,7.2,7.5,7.2,7.3,823847,C4G
2025-05-21,7.4,7.6,7.2,7.6,1660589,C4G
2025-05-22,7.5,7.6,7.3,7.5,632880,C4G
2025-05-23,7.5,7.5,7.3,7.3,684350,C4G
2025-05-26,7.2,7.4,7.2,7.3,559079,C4G
2025-05-27,7.4,7.5,7.3,7.5,1145308,C4G
2025-05-28,7.5,7.8,7.5,7.7,1823164,C4G
2025-05-29,7.7,7.7,7.5,7.7,711493,C4G
2025-05-30,7.6,7.7,7.3,7.5,679320,C4G
2025-06-02,7.5,7.7,7.3,7.6,1087692,C4G
2025-06-03,7.5,8.2,7.5,8.1,3041620,C4G
2025-06-04,8.2,8.6,8.2,8.3,2385128,C4G
2025-06-05,8.4,8.8,8.3,8.5,2536871,C4G
2025-06-06,8.5,8.6,8.2,8.4,1797245,C4G
2025-06-09,8.4,8.4,7.9,8.0,1254519,C4G
2025-06-10,8.0,8.2,7.9,8.1,854197,C4G
2025-06-11,8.1,8.2,8.0,8.1,510125,C4G
2025-06-12,8.1,8.5,8.1,8.3,1414353,C4G
2025-06-13,8.3,8.3,8.0,8.1,1539982,C4G
2025-06-16,8.0,8.2,8.0,8.2,866394,C4G
2025-06-17,8.1,8.4,8.1,8.2,647780,C4G
2025-06-18,8.2,8.4,8.1,8.2,831713,C4G
2025-06-19,8.2,8.2,8.0,8.2,623129,C4G
2025-06-20,8.2,8.2,8.0,8.2,478647,C4G
2025-06-23,8.1,8.1,7.9,8.1,528074,C4G
2025-06-24,8.1,8.2,8.0,8.2,591925,C4G
2025-06-25,8.2,8.7,8.2,8.5,3301263,C4G
2025-06-26,8.5,8.5,8.3,8.5,979412,C4G
2025-06-27,8.5,8.5,8.2,8.3,1620826,C4G
2025-06-30,8.3,8.4,8.1,8.2,1530707,C4G
2025-07-01,8.2,8.6,8.1,8.2,1483285,C4G
2025-07-02,8.2,8.3,8.1,8.2,923127,C4G
2025-07-03,8.1,8.3,8.0,8.0,1158346,C4G
2025-07-04,8.1,8.2,8.1,8.2,736860,C4G
2025-07-07,8.2,8.2,8.1,8.2,694511,C4G
2025-07-08,8.2,8.4,8.2,8.4,1888965,C4G
2025-07-09,8.4,8.6,8.3,8.5,2653855,C4G
2025-07-10,8.5,8.6,8.3,8.4,1385935,C4G
2025-07-11,8.4,8.4,8.2,8.3,1369336,C4G
2025-07-14,8.3,8.4,8.1,8.4,1098140,C4G
2025-07-15,8.4,8.5,8.2,8.3,1329633,C4G
2025-07-16,8.3,9.0,8.2,8.7,4202398,C4G
2025-07-17,8.7,9.2,8.7,9.1,4659866,C4G
2025-07-18,9.0,9.1,8.6,8.9,2442942,C4G
2025-07-21,8.9,9.3,8.7,8.8,2149199,C4G
2025-07-22,8.7,8.9,8.6,8.8,1334320,C4G
2025-07-23,8.8,9.2,8.8,9.0,3085469,C4G
2025-07-24,8.8,9.0,8.8,8.9,1436634,C4G
2025-07-25,9.0,9.1,8.9,9.0,2174406,C4G
2025-07-28,9.0,9.3,9.0,9.3,3517115,C4G
2025-07-29,9.3,9.5,8.7,8.8,5395606,C4G
2025-07-30,8.6,9.1,8.6,8.9,1962438,C4G
2025-07-31,8.9,8.9,8.6,8.8,2252492,C4G
2025-08-01,8.8,9.1,8.6,8.9,1790124,C4G
2025-08-04,8.9,9.2,8.8,9.2,3007951,C4G
2025-08-05,8.9,9.5,8.9,9.2,5948513,C4G
2025-08-06,9.2,9.5,9.1,9.4,1921461,C4G
2025-08-07,9.4,9.5,9.2,9.5,5220933,C4G
2025-08-08,9.6,9.8,9.4,9.6,3972882,C4G
2025-08-11,9.6,10.3,9.6,10.0,5512716,C4G
2025-08-12,10.2,10.2,9.7,9.9,2967130,C4G
2025-08-13,9.9,10.1,9.5,9.9,3587202,C4G
2025-08-14,9.9,9.9,9.6,9.8,2198075,C4G
2025-08-15,9.8,9.8,9.3,9.5,4113997,C4G
2025-08-18,9.5,10.5,9.5,10.4,6471317,C4G
2025-08-19,10.4,10.9,10.2,10.6,5416916,C4G
2025-08-20,10.8,10.8,9.5,10.1,6137469,C4G
2025-08-21,10.3,10.3,9.7,9.7,2131869,C4G
2025-08-22,9.7,9.7,9.2,9.3,4157842,C4G
2025-08-25,9.3,9.5,8.8,9.0,3656108,C4G
2025-08-26,9.0,9.4,8.8,9.3,1828194,C4G
2025-08-27,9.3,9.5,9.1,9.2,1717621,C4G
2025-08-28,9.2,9.3,9.1,9.3,1279257,C4G
2025-08-29,9.3,9.4,9.1,9.3,2044863,C4G
2025-09-03,9.3,9.6,9.2,9.5,2778764,C4G
2025-09-04,9.5,9.7,9.4,9.7,3871299,C4G
2025-09-05,9.7,9.8,9.5,9.6,4311660,C4G
2025-09-08,8.2,9.6,8.2,9.2,2310979,C4G
2025-09-09,9.3,9.4,9.1,9.4,1199917,C4G
2025-09-10,9.3,9.6,9.3,9.4,1866374,C4G
2025-09-11,9.3,9.4,9.1,9.3,1213658,C4G
2025-09-12,9.2,9.7,9.2,9.5,1727612,C4G
2025-09-15,9.6,9.7,9.4,9.6,2147452,C4G
2025-09-16,10.1,10.1,9.3,9.5,5692195,C4G
2025-09-17,9.6,9.6,9.3,9.3,860872,C4G
2025-09-18,9.3,9.5,9.3,9.4,952854,C4G
2025-09-19,9.4,9.4,9.2,9.3,656268,C4G
2025-09-22,9.2,9.3,9.0,9.2,1673731,C4G
2025-09-23,9.3,9.3,9.1,9.2,557855,C4G
2025-09-24,9.2,9.4,9.1,9.3,857698,C4G
2025-09-25,9.3,9.6,9.3,9.5,2354348,C4G
2025-09-26,9.5,9.7,9.4,9.5,1916785,C4G
2025-09-29,9.5,9.7,9.4,9.5,1453365,C4G
2025-09-30,9.5,9.6,9.1,9.4,1545821,C4G
2025-10-01,9.4,9.4,9.2,9.3,405412,C4G
2025-10-02,9.2,9.4,9.1,9.2,805423,C4G
2025-10-03,9.2,9.2,9.0,9.0,846148,C4G
2025-10-06,9.1,9.4,9.0,9.3,816310,C4G
2025-10-07,9.2,9.4,9.1,9.2,754060,C4G
2025-10-08,9.3,9.4,9.0,9.2,944276,C4G
2025-10-09,9.2,9.2,9.1,9.1,491525,C4G
2025-10-10,9.2,9.4,9.1,9.2,707440,C4G
2025-10-13,9.2,9.2,8.4,9.1,1033841,C4G
2025-10-14,9.1,9.2,8.8,8.8,1364284,C4G
2025-10-15,8.8,8.9,8.5,8.7,1704084,C4G
2025-10-16,8.7,8.8,8.5,8.7,1317466,C4G
2025-10-17,8.7,8.8,8.6,8.7,547358,C4G
2025-10-20,8.7,8.7,7.5,8.4,2699612,C4G
2025-10-21,8.3,8.4,8.0,8.2,933244,C4G
2025-10-22,8.3,8.3,8.0,8.2,556101,C4G
2025-10-23,8.2,8.3,8.1,8.1,384564,C4G
2025-10-24,8.2,8.3,8.1,8.3,581517,C4G
2025-10-27,8.3,8.4,8.1,8.2,427131,C4G
2025-10-28,8.2,8.3,8.1,8.3,490996,C4G
2025-10-29,8.3,8.4,8.2,8.4,621193,C4G
2025-10-30,8.3,8.4,8.2,8.3,376000,C4G
2025-10-31,8.3,8.4,8.2,8.4,647773,C4G
2025-11-03,8.4,8.4,8.1,8.2,616117,C4G
2025-11-04,8.1,8.2,8.0,8.1,1053946,C4G
2025-11-05,8.2,8.2,8.1,8.1,317969,C4G
2025-11-06,8.1,8.2,8.1,8.1,255678,C4G
2025-11-07,8.1,8.2,8.0,8.2,983403,C4G
2025-11-10,8.2,8.4,8.1,8.2,1307603,C4G
2025-11-11,8.2,8.3,8.1,8.3,917643,C4G
2025-11-12,8.3,8.5,8.3,8.5,1382689,C4G
2025-11-13,8.5,8.6,8.4,8.5,975978,C4G
2025-11-14,8.5,8.6,8.4,8.5,1094232,C4G
2025-11-17,8.5,8.6,8.4,8.6,1282973,C4G
2025-11-18,8.5,8.5,8.4,8.5,945320,C4G
2025-11-19,8.5,8.5,8.3,8.5,899501,C4G
2025-11-20,8.5,8.5,8.3,8.3,167535,C4G
2025-11-21,8.4,8.4,8.3,8.3,648958,C4G
2025-11-24,8.3,8.4,8.3,8.4,596785,C4G
2025-11-25,8.4,8.4,8.2,8.2,762936,C4G
2025-11-26,8.3,8.4,8.3,8.3,720171,C4G
2025-11-27,8.4,8.6,8.4,8.4,1231257,C4G
2025-11-28,8.5,8.5,8.3,8.4,739654,C4G
2025-12-01,8.3,8.4,8.2,8.3,395363,C4G
2025-12-02,8.3,8.4,8.2,8.3,791720,C4G
2025-12-03,8.4,8.6,8.3,8.4,1229561,C4G
2025-12-04,8.3,8.5,8.3,8.5,987315,C4G
2025-12-05,8.4,8.7,8.4,8.5,1815851,C4G
2025-12-08,8.5,8.6,8.4,8.5,1078628,C4G
2025-12-09,8.5,8.6,8.3,8.5,1574361,C4G
2025-12-10,8.5,8.8,8.4,8.8,3306016,C4G
2025-12-11,8.7,9.1,8.7,8.7,1420003,C4G
2025-12-12,8.8,9.0,8.3,8.5,2691674,C4G
2025-12-15,8.5,8.6,8.3,8.4,1280165,C4G
2025-12-16,8.5,8.7,8.4,8.7,1248755,C4G
2025-12-17,8.7,8.9,8.6,8.7,2007515,C4G
