time,open,high,low,close,volume,symbol
2025-02-10,6.3,6.4,6.2,6.4,368612,C69
2025-02-11,6.3,6.5,6.3,6.5,620981,C69
2025-02-12,6.4,6.5,6.2,6.5,741445,C69
2025-02-13,6.5,6.5,6.3,6.4,459427,C69
2025-02-14,6.4,6.5,6.3,6.4,405176,C69
2025-02-17,6.4,6.4,6.3,6.3,409664,C69
2025-02-18,6.3,6.5,6.3,6.4,621384,C69
2025-02-19,6.4,6.5,6.4,6.5,522896,C69
2025-02-20,6.4,6.7,6.4,6.5,726990,C69
2025-02-21,6.5,6.7,6.4,6.6,637531,C69
2025-02-24,6.6,6.7,6.5,6.6,360641,C69
2025-02-25,6.6,6.6,6.4,6.4,366955,C69
2025-02-26,6.4,6.5,6.3,6.3,360941,C69
2025-02-27,6.4,6.5,6.3,6.5,357070,C69
2025-02-28,6.5,6.5,6.3,6.5,346143,C69
2025-03-03,6.4,6.5,6.4,6.5,447805,C69
2025-03-04,6.5,6.5,6.3,6.4,593054,C69
2025-03-05,6.4,6.5,6.3,6.3,224913,C69
2025-03-06,6.3,6.4,6.3,6.4,276209,C69
2025-03-07,6.4,6.4,6.3,6.4,306411,C69
2025-03-10,6.4,6.4,6.3,6.4,259422,C69
2025-03-11,6.3,6.4,6.3,6.4,265574,C69
2025-03-12,6.3,6.4,6.3,6.3,272033,C69
2025-03-13,6.3,6.4,6.2,6.3,225030,C69
2025-03-14,6.3,6.3,6.2,6.2,213732,C69
2025-03-17,6.2,6.3,6.2,6.3,321525,C69
2025-03-18,6.3,6.4,6.2,6.4,433985,C69
2025-03-19,6.1,6.4,6.1,6.4,299741,C69
2025-03-20,6.3,6.4,6.3,6.4,419095,C69
2025-03-21,6.4,6.4,6.2,6.2,340195,C69
2025-03-24,6.3,6.4,6.2,6.4,358968,C69
2025-03-25,6.4,6.4,6.3,6.4,318870,C69
2025-03-26,6.4,6.4,6.3,6.4,281061,C69
2025-03-27,6.4,6.4,6.2,6.2,284042,C69
2025-03-28,6.2,6.3,6.2,6.2,275454,C69
2025-03-31,6.2,6.3,6.2,6.3,245801,C69
2025-04-01,6.2,6.4,6.2,6.4,484524,C69
2025-04-02,6.4,6.4,6.3,6.3,305501,C69
2025-04-03,6.2,6.3,5.7,6.0,1177165,C69
2025-04-04,6.0,6.2,5.6,6.0,494415,C69
2025-04-08,6.0,6.0,5.5,5.9,380620,C69
2025-04-09,5.6,5.8,5.5,5.5,281215,C69
2025-04-10,5.7,6.0,5.7,6.0,442943,C69
2025-04-11,6.0,6.0,5.7,5.9,279334,C69
2025-04-14,5.8,5.9,5.8,5.9,173594,C69
2025-04-15,5.8,6.0,5.8,5.8,353034,C69
2025-04-16,5.8,6.2,5.8,6.2,547226,C69
2025-04-17,6.2,6.3,6.1,6.3,271314,C69
2025-04-18,6.2,6.3,6.1,6.2,339400,C69
2025-04-21,6.2,6.3,6.1,6.3,262286,C69
2025-04-22,6.2,6.3,5.8,6.2,265999,C69
2025-04-23,6.2,6.3,6.0,6.3,327600,C69
2025-04-24,6.2,6.3,6.2,6.3,187759,C69
2025-04-25,6.2,6.4,6.2,6.2,323201,C69
2025-04-28,6.2,6.2,6.1,6.1,167201,C69
2025-04-29,6.1,6.2,6.0,6.1,181110,C69
2025-05-05,6.1,6.2,6.2,6.2,253502,C69
2025-05-06,6.1,6.2,6.0,6.0,213697,C69
2025-05-07,6.1,6.1,6.0,6.1,343152,C69
2025-05-08,6.1,6.2,6.0,6.0,169135,C69
2025-05-09,6.0,6.1,5.9,6.0,224303,C69
2025-05-12,5.9,6.0,5.9,6.0,231201,C69
2025-05-13,6.0,6.1,5.9,6.1,274989,C69
2025-05-14,6.1,6.2,6.0,6.1,322602,C69
2025-05-15,6.0,6.1,6.0,6.0,256952,C69
2025-05-16,6.0,6.1,5.9,6.1,365446,C69
2025-05-19,6.0,6.1,5.9,6.0,314802,C69
2025-05-20,6.0,6.1,5.9,6.1,349101,C69
2025-05-21,6.0,6.1,5.9,6.0,283778,C69
2025-05-22,5.9,6.0,5.9,5.9,243213,C69
2025-05-23,5.8,5.9,5.8,5.9,287801,C69
2025-05-26,5.8,6.0,5.8,6.0,217596,C69
2025-05-27,6.0,6.0,5.9,6.0,236358,C69
