time,open,high,low,close,volume,symbol
2025-02-10,15.398,16.36,15.398,16.129,93300,CKG
2025-02-11,16.129,16.129,15.475,15.783,25500,CKG
2025-02-12,15.783,15.821,15.244,15.783,8200,CKG
2025-02-13,15.283,15.898,15.283,15.898,24900,CKG
2025-02-14,16.245,16.245,15.475,16.014,16200,CKG
2025-02-17,17.13,17.13,16.168,16.245,47900,CKG
2025-02-18,16.245,16.553,15.783,16.553,10000,CKG
2025-02-19,16.014,16.591,16.014,16.283,36700,CKG
2025-02-20,16.553,16.553,16.129,16.476,19600,CKG
2025-02-21,16.168,16.399,16.168,16.399,11200,CKG
2025-02-24,16.399,16.399,15.629,15.783,78800,CKG
2025-02-25,16.091,16.129,15.552,15.783,44300,CKG
2025-02-26,15.783,15.783,15.398,15.398,25300,CKG
2025-02-27,15.436,15.783,15.436,15.744,28300,CKG
2025-02-28,15.59,16.553,15.475,15.783,52900,CKG
2025-03-03,15.783,15.783,15.475,15.475,41700,CKG
2025-03-04,15.783,15.783,15.321,15.398,40200,CKG
2025-03-05,15.552,15.552,15.36,15.36,40000,CKG
2025-03-06,15.398,15.475,15.321,15.321,40100,CKG
2025-03-07,15.321,15.629,15.321,15.475,88400,CKG
2025-03-10,15.436,15.706,15.321,15.436,52000,CKG
2025-03-11,15.09,15.475,15.09,15.398,36200,CKG
2025-03-12,15.398,15.475,15.321,15.36,16700,CKG
2025-03-13,15.36,15.398,15.283,15.36,47100,CKG
2025-03-14,15.321,15.36,15.167,15.244,35200,CKG
2025-03-17,15.321,15.475,15.321,15.436,33300,CKG
2025-03-18,15.475,15.475,15.321,15.321,68200,CKG
2025-03-19,15.398,15.398,15.244,15.283,57000,CKG
2025-03-20,15.283,15.475,15.167,15.167,76300,CKG
2025-03-21,15.244,16.168,15.244,15.398,267800,CKG
2025-03-24,15.321,15.398,15.244,15.36,20500,CKG
2025-03-25,15.36,15.398,14.975,14.975,104700,CKG
2025-03-26,15.013,15.321,14.936,14.936,27700,CKG
2025-03-27,14.705,14.936,14.628,14.936,47000,CKG
2025-03-28,14.936,14.936,14.628,14.821,25000,CKG
2025-03-31,14.821,14.936,14.474,14.551,48600,CKG
2025-04-01,15.013,15.013,14.359,14.551,126800,CKG
2025-04-02,14.782,14.782,14.282,14.32,82300,CKG
2025-04-03,14.166,14.166,13.319,13.319,129500,CKG
2025-04-04,12.395,13.088,12.395,12.395,68100,CKG
2025-04-08,12.395,12.395,11.549,11.549,47700,CKG
2025-04-09,10.74,11.164,10.74,10.74,132300,CKG
2025-04-10,11.472,11.472,11.472,11.472,3300,CKG
2025-04-11,12.164,12.164,11.395,11.625,219100,CKG
2025-04-14,12.434,12.434,12.395,12.434,35800,CKG
2025-04-15,13.088,13.281,13.05,13.281,93900,CKG
2025-04-16,13.319,13.396,12.703,12.703,36500,CKG
2025-04-17,12.857,12.857,11.856,12.472,14500,CKG
2025-04-18,12.549,12.973,12.164,12.472,15800,CKG
2025-04-21,13.165,13.165,12.395,12.472,34300,CKG
2025-04-22,12.549,12.742,11.933,12.164,36100,CKG
2025-04-23,12.203,12.472,12.164,12.357,30600,CKG
2025-04-24,12.549,12.626,12.318,12.318,13900,CKG
2025-04-25,13.165,13.165,12.78,13.165,62600,CKG
2025-04-28,13.473,13.781,13.396,13.473,81700,CKG
2025-04-29,12.857,13.473,12.857,13.088,80300,CKG
2025-05-05,13.1,14.0,13.1,14.0,56958,CKG
2025-05-06,14.0,14.7,14.0,14.0,38600,CKG
2025-05-07,13.35,13.85,13.35,13.65,45420,CKG
2025-05-08,13.65,13.8,13.5,13.8,42294,CKG
2025-05-09,13.8,13.8,13.35,13.4,77100,CKG
2025-05-12,13.4,13.6,13.35,13.4,26616,CKG
2025-05-13,13.4,13.45,13.2,13.3,21000,CKG
2025-05-14,13.45,13.45,13.15,13.2,59800,CKG
2025-05-15,13.3,13.3,13.15,13.2,57800,CKG
2025-05-16,13.2,13.4,13.05,13.2,39400,CKG
2025-05-19,13.15,13.25,13.0,13.0,64800,CKG
2025-05-20,13.0,13.15,12.8,13.0,30700,CKG
2025-05-21,12.8,13.0,12.5,12.9,101100,CKG
2025-05-22,12.4,12.8,12.4,12.65,20500,CKG
2025-05-23,12.95,13.5,12.95,13.5,190400,CKG
2025-05-26,14.1,14.4,14.0,14.4,506900,CKG
2025-05-27,15.4,15.4,14.45,14.6,217300,CKG
2025-05-28,14.7,14.7,13.6,14.0,202100,CKG
2025-05-29,14.1,14.6,14.1,14.25,116500,CKG
2025-05-30,14.25,14.25,13.85,14.1,106800,CKG
2025-06-02,14.1,15.0,14.1,14.45,158000,CKG
2025-06-03,14.8,14.8,14.2,14.25,238200,CKG
2025-06-04,14.25,14.3,14.0,14.0,226200,CKG
2025-06-05,14.0,14.4,13.9,14.1,153100,CKG
2025-06-06,14.1,14.1,13.8,13.85,84400,CKG
2025-06-09,13.8,14.0,13.75,13.8,80200,CKG
2025-06-10,13.85,14.0,13.85,13.85,62400,CKG
2025-06-11,13.75,13.8,13.5,13.7,73800,CKG
2025-06-12,13.7,13.8,13.5,13.75,69100,CKG
2025-06-13,13.8,13.8,13.6,13.7,54100,CKG
2025-06-16,13.7,13.8,13.4,13.7,81100,CKG
2025-06-17,13.75,14.4,13.75,13.9,101800,CKG
2025-06-18,13.9,14.1,13.7,13.9,57800,CKG
2025-06-19,13.9,14.0,13.7,13.85,66800,CKG
2025-06-20,13.95,13.95,13.65,13.65,66200,CKG
2025-06-23,13.65,13.8,13.45,13.7,90400,CKG
2025-06-24,13.75,13.8,13.6,13.6,155000,CKG
2025-06-25,13.6,13.7,13.4,13.4,103300,CKG
2025-06-26,13.4,13.5,13.2,13.3,65191,CKG
2025-06-27,12.8,13.6,12.8,13.25,115100,CKG
2025-06-30,13.3,13.55,13.2,13.45,82314,CKG
2025-07-01,13.45,13.7,13.4,13.45,63600,CKG
2025-07-02,13.45,13.5,13.35,13.45,111900,CKG
2025-07-03,13.5,13.5,13.3,13.35,82300,CKG
2025-07-04,13.35,13.55,13.35,13.45,112500,CKG
2025-07-07,13.45,13.7,13.35,13.5,101700,CKG
2025-07-08,13.5,13.75,13.5,13.55,144500,CKG
2025-07-09,13.7,13.75,13.5,13.7,179900,CKG
2025-07-10,13.8,14.3,13.8,14.0,385800,CKG
2025-07-11,14.0,14.1,13.7,13.8,165700,CKG
2025-07-14,14.05,14.05,13.5,13.95,226900,CKG
2025-07-15,14.05,14.1,13.8,13.8,189100,CKG
2025-07-16,13.8,14.75,13.5,14.75,761500,CKG
2025-07-17,15.3,15.35,14.75,14.8,637200,CKG
2025-07-18,15.1,15.2,14.45,14.6,417400,CKG
2025-07-21,14.8,14.8,14.25,14.3,370400,CKG
2025-07-22,14.3,14.45,14.05,14.2,211300,CKG
2025-07-23,15.1,15.1,14.3,14.45,306900,CKG
2025-07-24,14.45,14.55,14.0,14.2,189500,CKG
2025-07-25,14.45,14.45,14.2,14.45,337500,CKG
2025-07-28,14.45,15.45,14.45,15.0,696100,CKG
2025-07-29,15.0,15.15,14.1,14.1,457900,CKG
2025-07-30,14.1,14.4,14.0,14.1,256300,CKG
2025-07-31,14.3,15.05,14.1,15.0,478100,CKG
2025-08-01,15.0,15.6,14.9,15.1,411500,CKG
2025-08-04,15.0,15.3,14.7,14.8,253800,CKG
2025-08-05,14.9,15.05,14.6,14.6,534500,CKG
2025-08-06,14.6,14.7,14.4,14.7,221500,CKG
2025-08-07,14.65,14.8,14.6,14.75,259300,CKG
2025-08-08,14.85,15.7,14.75,15.45,885100,CKG
2025-08-11,15.55,16.3,15.5,15.9,571200,CKG
2025-08-12,16.15,16.15,15.25,15.6,437800,CKG
2025-08-13,15.65,16.0,15.0,15.5,542400,CKG
2025-08-14,15.5,15.8,15.25,15.25,419000,CKG
2025-08-15,15.25,15.3,15.0,15.0,380800,CKG
2025-08-18,15.25,15.3,15.0,15.2,426400,CKG
2025-08-19,15.6,16.0,15.2,15.65,873500,CKG
2025-08-20,15.7,15.7,14.7,15.0,427300,CKG
2025-08-21,15.05,15.5,14.6,14.7,401200,CKG
2025-08-22,14.5,14.55,13.85,14.15,372100,CKG
2025-08-25,14.5,14.5,13.8,13.8,188100,CKG
2025-08-26,13.8,14.45,13.8,14.45,85800,CKG
2025-08-27,14.3,14.6,14.25,14.3,139500,CKG
2025-08-28,14.6,14.6,14.2,14.3,53600,CKG
2025-08-29,14.35,14.55,14.1,14.3,183400,CKG
2025-09-03,14.35,14.5,14.25,14.45,115000,CKG
2025-09-04,14.6,14.9,14.3,14.45,199300,CKG
2025-09-05,14.6,14.6,14.3,14.3,315300,CKG
2025-09-08,14.35,14.35,13.8,13.8,223000,CKG
2025-09-09,13.95,13.95,13.5,13.65,151900,CKG
2025-09-10,13.7,13.7,13.5,13.65,119700,CKG
2025-09-11,13.65,13.8,13.35,13.75,90000,CKG
2025-09-12,13.85,13.9,13.8,13.85,68300,CKG
2025-09-15,13.95,14.15,13.85,14.05,78800,CKG
2025-09-16,14.05,14.1,13.9,13.9,114400,CKG
2025-09-17,14.05,14.05,13.8,13.8,68200,CKG
2025-09-18,13.8,13.9,13.6,13.75,60300,CKG
2025-09-19,13.75,14.05,13.65,13.9,63300,CKG
2025-09-22,13.7,14.0,13.65,13.7,43500,CKG
2025-09-23,13.6,13.85,13.5,13.85,33100,CKG
2025-09-24,13.85,13.85,13.65,13.7,71600,CKG
2025-09-25,13.75,14.1,13.75,13.95,121400,CKG
2025-09-26,14.0,14.0,13.6,13.8,125900,CKG
2025-09-29,13.9,13.9,13.35,13.5,149100,CKG
2025-09-30,13.5,13.7,13.15,13.4,108600,CKG
2025-10-01,13.4,13.5,13.2,13.3,54000,CKG
2025-10-02,13.35,13.55,13.2,13.2,26600,CKG
2025-10-03,13.2,13.2,12.8,12.8,126500,CKG
2025-10-06,13.0,13.15,12.8,13.05,145900,CKG
2025-10-07,13.05,13.05,12.7,12.85,111000,CKG
2025-10-08,12.95,13.1,12.0,12.4,597900,CKG
2025-10-09,12.45,12.8,12.2,12.65,85700,CKG
2025-10-10,12.9,12.9,12.3,12.4,195700,CKG
2025-10-13,12.0,12.35,12.0,12.05,171200,CKG
2025-10-14,12.3,12.4,12.1,12.35,145900,CKG
2025-10-15,12.15,12.3,12.1,12.2,82900,CKG
2025-10-16,12.45,12.45,12.2,12.4,80900,CKG
2025-10-17,12.5,12.5,12.2,12.2,114300,CKG
2025-10-20,12.15,12.4,11.5,11.6,145700,CKG
2025-10-21,11.65,11.9,11.5,11.7,106000,CKG
2025-10-22,12.0,12.0,11.4,11.5,115300,CKG
2025-10-23,11.7,11.75,11.55,11.6,37500,CKG
2025-10-24,11.6,11.6,11.25,11.35,72400,CKG
2025-10-27,11.35,11.4,11.2,11.2,74900,CKG
2025-10-28,11.2,11.5,11.15,11.5,44200,CKG
2025-10-29,11.7,12.0,11.7,11.75,43600,CKG
2025-10-30,11.6,11.9,11.6,11.8,26600,CKG
2025-10-31,11.9,12.2,11.8,11.8,57100,CKG
2025-11-03,11.85,11.95,11.5,11.5,44300,CKG
2025-11-04,11.5,11.6,11.3,11.6,64100,CKG
2025-11-05,11.8,11.8,11.45,11.45,18800,CKG
2025-11-06,11.45,11.55,11.45,11.5,17000,CKG
2025-11-07,11.55,11.55,11.3,11.3,32900,CKG
2025-11-10,11.3,11.6,11.3,11.3,24700,CKG
2025-11-11,11.3,11.5,11.2,11.35,29700,CKG
2025-11-12,11.5,11.5,11.35,11.35,27600,CKG
2025-11-13,11.35,11.5,11.35,11.4,30200,CKG
2025-11-14,11.55,11.9,11.45,11.8,97200,CKG
2025-11-17,12.05,12.05,11.8,11.95,43400,CKG
2025-11-18,11.8,12.0,11.8,11.8,41200,CKG
2025-11-19,11.9,11.9,11.8,11.85,18600,CKG
2025-11-20,11.8,11.85,11.65,11.7,33100,CKG
2025-11-21,11.6,11.7,11.4,11.6,75800,CKG
2025-11-24,11.7,11.75,11.5,11.5,42600,CKG
2025-11-25,11.5,11.55,11.25,11.5,119800,CKG
2025-11-26,11.5,11.55,11.0,11.5,53600,CKG
2025-11-27,11.75,11.75,11.3,11.45,17000,CKG
2025-11-28,11.45,11.45,11.2,11.4,36000,CKG
2025-12-01,11.25,11.4,11.25,11.35,34000,CKG
2025-12-02,11.35,11.35,11.15,11.2,73200,CKG
2025-12-03,11.2,11.3,11.15,11.25,52900,CKG
2025-12-04,11.3,11.65,11.3,11.4,30700,CKG
2025-12-05,11.5,11.5,11.3,11.4,16200,CKG
2025-12-08,11.45,11.45,11.25,11.25,27400,CKG
2025-12-09,11.4,11.4,11.15,11.2,65200,CKG
2025-12-10,11.35,11.4,11.15,11.2,41000,CKG
2025-12-11,11.3,11.3,11.2,11.2,24400,CKG
2025-12-12,11.2,11.3,11.0,11.0,101600,CKG
2025-12-15,11.1,11.1,10.7,10.9,78800,CKG
2025-12-16,10.9,11.05,10.85,11.0,14500,CKG
2025-12-17,11.05,11.15,11.05,11.1,18200,CKG
2025-12-18,11.1,11.1,10.9,10.95,10200,CKG
2025-12-19,10.95,10.95,10.85,10.85,31400,CKG
2025-12-22,10.8,10.85,10.8,10.85,51800,CKG
2025-12-23,10.85,10.85,10.65,10.75,72600,CKG
2025-12-24,10.8,10.8,10.7,10.75,15200,CKG
2025-12-25,10.75,10.75,10.5,10.5,66300,CKG
2025-12-26,10.5,10.5,10.2,10.3,44300,CKG
2025-12-29,10.2,10.3,10.15,10.15,41300,CKG
2025-12-30,10.2,10.3,10.15,10.15,62600,CKG
2025-12-31,10.1,10.2,10.0,10.0,70000,CKG
2026-01-05,10.0,10.1,9.7,9.72,36200,CKG
2026-01-06,9.7,10.0,9.7,9.9,40900,CKG
2026-01-07,9.7,10.4,9.7,10.35,36300,CKG
2026-01-08,10.35,10.5,9.93,10.05,46500,CKG
2026-01-09,10.05,10.2,10.0,10.05,28200,CKG
2026-01-12,10.1,10.2,10.0,10.1,63300,CKG
2026-01-13,10.05,10.35,10.05,10.2,39500,CKG
2026-01-14,10.35,10.35,10.1,10.3,57900,CKG
2026-01-15,10.3,10.3,10.1,10.25,38300,CKG
2026-01-16,10.3,10.3,10.05,10.1,49500,CKG
2026-01-19,10.05,10.3,10.0,10.0,36800,CKG
2026-01-20,10.0,10.05,9.95,9.95,31700,CKG
2026-01-21,10.25,10.25,9.95,9.97,31100,CKG
2026-01-22,9.83,10.35,9.83,10.3,55800,CKG
2026-01-23,10.2,10.2,10.05,10.15,5800,CKG
2026-01-26,10.15,10.15,9.9,9.9,34100,CKG
2026-01-27,9.9,10.2,9.83,9.89,58600,CKG
2026-01-28,9.9,9.9,9.78,9.8,46300,CKG
2026-01-29,9.9,9.98,9.75,9.8,32800,CKG
2026-01-30,9.8,9.99,9.78,9.99,26400,CKG
2026-02-02,9.99,9.99,9.8,9.82,38500,CKG
2026-02-03,9.6,10.0,9.6,9.76,67400,CKG
2026-02-04,9.76,9.76,9.62,9.75,24500,CKG
2026-02-05,9.7,9.8,9.62,9.8,40200,CKG
2026-02-06,9.6,9.62,9.55,9.56,60400,CKG
2026-02-09,9.55,9.55,9.25,9.25,94600,CKG
2026-02-10,9.25,9.33,9.2,9.2,28400,CKG
