time,open,high,low,close,volume,symbol
2025-02-10,32.388,32.97,32.0,32.873,9000,CQN
2025-02-11,32.582,32.582,32.0,32.485,10800,CQN
2025-02-12,32.388,32.485,31.515,32.485,5800,CQN
2025-02-13,32.388,32.388,31.806,31.806,5800,CQN
2025-02-14,32.0,32.097,32.0,32.0,7000,CQN
2025-02-17,32.097,32.097,31.806,32.097,10400,CQN
2025-02-18,32.0,32.0,31.612,31.903,4300,CQN
2025-02-19,31.903,33.649,31.903,33.649,29600,CQN
2025-02-20,32.582,34.909,32.582,34.909,19501,CQN
2025-02-21,33.552,34.909,33.552,33.94,25800,CQN
2025-02-24,34.327,34.327,33.746,33.746,10800,CQN
2025-02-25,33.843,34.327,33.843,34.327,7200,CQN
2025-02-26,34.23,34.618,33.94,34.327,18000,CQN
2025-02-27,34.327,34.424,33.649,33.649,12000,CQN
2025-02-28,34.036,34.036,33.455,33.455,5801,CQN
2025-03-03,33.455,33.455,33.067,33.067,4800,CQN
2025-03-04,33.358,33.455,33.261,33.455,7300,CQN
2025-03-05,33.261,33.455,33.261,33.455,7300,CQN
2025-03-06,33.261,33.455,33.261,33.261,11200,CQN
2025-03-07,32.97,33.261,32.97,33.261,8200,CQN
2025-03-10,33.067,33.261,33.067,33.261,5600,CQN
2025-03-11,33.261,33.455,33.261,33.455,5700,CQN
2025-03-12,33.455,33.552,33.164,33.455,14400,CQN
2025-03-13,33.358,38.109,33.261,37.818,42200,CQN
2025-03-14,36.849,36.849,36.849,36.849,5702,CQN
2025-03-17,35.879,35.879,35.879,35.879,2700,CQN
2025-03-18,34.909,35.394,34.909,35.394,10454,CQN
2025-03-19,32.485,34.909,32.485,34.909,4467,CQN
2025-03-20,33.94,34.424,33.94,34.424,8400,CQN
2025-03-21,32.97,35.879,32.97,32.97,49710,CQN
2025-03-24,33.455,33.746,33.455,33.746,4201,CQN
2025-03-25,32.97,33.94,32.873,33.94,12100,CQN
2025-03-26,32.97,33.455,32.485,33.455,4100,CQN
2025-03-27,32.97,33.358,32.582,33.261,7100,CQN
2025-03-28,33.164,33.164,32.873,32.97,11500,CQN
2025-03-31,32.97,32.97,32.776,32.873,10000,CQN
2025-04-01,32.873,33.164,32.873,33.067,10800,CQN
2025-04-02,32.97,33.067,32.873,32.873,4600,CQN
2025-04-03,32.97,33.164,32.097,32.097,8802,CQN
2025-04-04,32.776,32.776,32.097,32.097,1200,CQN
2025-04-08,32.388,32.388,31.127,31.127,1500,CQN
2025-04-09,31.903,31.903,31.127,31.127,1100,CQN
2025-04-10,31.515,33.455,31.515,31.709,29913,CQN
2025-04-11,32.485,32.873,32.388,32.485,16200,CQN
2025-04-14,32.582,32.873,32.097,32.776,9100,CQN
2025-04-15,32.679,32.97,29.964,32.97,40113,CQN
2025-04-16,31.127,33.261,31.03,33.261,15200,CQN
2025-04-17,32.582,33.455,32.582,33.455,9400,CQN
2025-04-18,33.067,33.067,32.873,33.067,11104,CQN
2025-04-21,32.485,32.873,32.485,32.776,4500,CQN
2025-04-22,32.776,32.873,32.776,32.873,4110,CQN
2025-04-23,31.515,32.97,31.515,32.873,14400,CQN
2025-04-24,32.582,32.873,32.582,32.776,14601,CQN
2025-04-25,32.776,32.97,32.582,32.873,9547,CQN
2025-04-28,32.485,32.97,32.485,32.873,11980,CQN
2025-04-29,32.485,33.067,32.0,33.067,16200,CQN
2025-05-05,32.485,32.97,32.0,32.97,20600,CQN
2025-05-06,32.679,32.873,32.0,32.679,9700,CQN
2025-05-07,32.582,32.873,32.0,32.873,30500,CQN
2025-05-08,32.291,32.582,32.0,32.582,10200,CQN
2025-05-09,32.485,32.582,32.194,32.485,10700,CQN
2025-05-12,32.485,33.067,32.0,32.679,21700,CQN
2025-05-13,32.873,32.97,32.0,32.873,17000,CQN
2025-05-14,32.873,33.067,32.873,32.97,15900,CQN
2025-05-15,32.97,32.97,32.291,32.582,17355,CQN
2025-05-16,32.582,32.679,32.0,32.485,14900,CQN
2025-05-19,32.485,32.485,31.515,31.806,15848,CQN
2025-05-20,31.806,33.455,31.224,32.485,40900,CQN
2025-05-21,31.515,32.97,31.515,32.776,18200,CQN
2025-05-22,31.515,32.679,30.933,32.582,9300,CQN
2025-05-23,32.0,32.194,31.612,32.0,9200,CQN
2025-05-26,31.612,32.097,31.515,31.612,10900,CQN
2025-05-27,31.903,32.097,31.903,32.097,16800,CQN
2025-05-28,31.224,33.455,31.03,33.164,18600,CQN
2025-05-29,32.485,32.97,32.485,32.97,14800,CQN
2025-05-30,32.0,32.873,32.0,32.485,10300,CQN
2025-06-02,32.194,32.873,32.194,32.776,12200,CQN
2025-06-03,31.515,32.679,31.515,32.485,18500,CQN
2025-06-04,32.194,32.679,32.194,32.485,9600,CQN
2025-06-05,31.612,32.485,31.612,32.485,9200,CQN
2025-06-06,31.806,32.485,31.806,32.485,6800,CQN
2025-06-09,32.0,32.194,32.0,32.194,13310,CQN
2025-06-10,31.515,32.097,31.515,32.0,10800,CQN
2025-06-11,31.515,32.388,31.515,32.291,9809,CQN
2025-06-12,31.515,32.097,31.515,32.0,11500,CQN
2025-06-13,32.0,32.4,31.6,31.6,8900,CQN
2025-06-16,32.2,36.2,31.5,31.5,18316,CQN
2025-06-17,32.0,32.3,31.5,32.0,15230,CQN
2025-06-18,32.0,32.1,31.6,31.9,10161,CQN
2025-06-19,31.5,31.7,31.5,31.7,19400,CQN
2025-06-20,31.5,31.7,31.5,31.7,15500,CQN
2025-06-23,31.5,31.6,31.1,31.5,13100,CQN
2025-06-24,31.0,31.5,31.0,31.4,7400,CQN
2025-06-25,31.0,31.7,31.0,31.7,24900,CQN
2025-06-26,31.6,31.7,31.3,31.3,22001,CQN
2025-06-27,30.5,31.4,30.5,31.4,21700,CQN
2025-06-30,31.0,31.7,31.0,31.7,23400,CQN
2025-07-01,31.6,31.7,31.6,31.6,10100,CQN
