time,open,high,low,close,volume,symbol
2025-02-10,22.627,22.808,22.627,22.718,87212,CSC
2025-02-11,20.446,23.535,20.446,22.808,17370,CSC
2025-02-12,22.808,22.99,22.718,22.899,38379,CSC
2025-02-13,23.081,23.081,22.718,22.808,42633,CSC
2025-02-14,22.899,23.081,22.808,22.99,38741,CSC
2025-02-17,22.99,23.081,22.718,22.899,61090,CSC
2025-02-18,22.808,23.172,22.808,23.172,80260,CSC
2025-02-19,23.172,23.626,22.899,23.626,96974,CSC
2025-02-20,23.717,23.717,23.172,23.354,50442,CSC
2025-02-21,23.263,23.535,22.99,23.263,32434,CSC
2025-02-24,23.444,23.444,22.808,22.99,18701,CSC
2025-02-25,22.99,23.626,22.99,23.354,38074,CSC
2025-02-26,23.354,23.444,22.899,23.172,40089,CSC
2025-02-27,22.899,23.354,22.808,23.354,21422,CSC
2025-02-28,23.354,23.444,22.99,23.263,62592,CSC
2025-03-03,23.444,23.444,22.899,23.172,17609,CSC
2025-03-04,20.9,23.172,20.9,22.899,50627,CSC
2025-03-05,22.899,23.172,22.808,22.99,60069,CSC
2025-03-06,23.081,23.263,22.899,23.081,32045,CSC
2025-03-07,22.99,23.354,22.808,22.99,106810,CSC
2025-03-10,23.081,23.081,22.808,22.899,18535,CSC
2025-03-11,22.99,23.263,22.899,23.172,41234,CSC
2025-03-12,23.172,23.354,22.99,23.172,25421,CSC
2025-03-13,22.99,23.172,22.808,22.808,37901,CSC
2025-03-14,22.899,23.081,22.808,22.808,31352,CSC
2025-03-17,22.808,22.99,22.808,22.99,32130,CSC
2025-03-18,23.081,23.263,23.081,23.081,52952,CSC
2025-03-19,23.081,23.172,22.808,23.081,42639,CSC
2025-03-20,23.081,23.081,22.718,22.808,34425,CSC
2025-03-21,22.99,22.99,22.627,22.718,42829,CSC
2025-03-24,22.536,22.808,22.263,22.808,31974,CSC
2025-03-25,22.808,22.99,22.718,22.99,42542,CSC
2025-03-26,22.899,22.99,22.718,22.899,44296,CSC
2025-03-27,22.99,22.99,22.627,22.808,59122,CSC
2025-03-28,22.808,23.172,22.718,22.99,48863,CSC
2025-03-31,22.899,22.99,22.627,22.899,36835,CSC
2025-04-01,22.899,22.99,22.718,22.99,12562,CSC
2025-04-02,22.899,22.99,22.718,22.99,31508,CSC
2025-04-03,22.718,22.718,20.718,20.718,150992,CSC
2025-04-04,19.991,20.537,18.719,19.083,169762,CSC
2025-04-08,17.174,19.083,17.174,17.174,138491,CSC
2025-04-09,15.539,16.266,15.539,15.539,220799,CSC
2025-04-10,17.084,17.084,17.084,17.084,10646,CSC
2025-04-11,18.447,18.719,17.629,17.811,206869,CSC
2025-04-14,17.992,18.174,17.811,17.901,42090,CSC
2025-04-15,16.175,17.811,16.175,16.993,77730,CSC
2025-04-16,16.993,17.629,16.902,17.629,42217,CSC
2025-04-17,17.265,18.356,17.265,17.538,33611,CSC
2025-04-18,17.811,18.174,17.265,17.629,57301,CSC
2025-04-21,17.174,17.629,17.084,17.538,12501,CSC
2025-04-22,17.265,17.447,16.266,17.084,45850,CSC
2025-04-23,17.901,17.992,17.084,17.629,22804,CSC
2025-04-24,18.083,18.083,16.357,17.72,60601,CSC
2025-04-25,17.72,18.174,17.447,17.811,4802,CSC
2025-04-28,17.811,17.901,17.356,17.811,14370,CSC
2025-04-29,17.447,17.811,17.447,17.72,15187,CSC
2025-05-05,17.72,17.72,17.174,17.629,19060,CSC
2025-05-06,16.357,17.992,16.357,17.538,7122,CSC
2025-05-07,17.447,17.992,17.356,17.72,13530,CSC
2025-05-08,17.629,17.72,17.265,17.629,24279,CSC
2025-05-09,17.629,18.083,17.629,18.083,51049,CSC
2025-05-12,18.083,19.81,18.083,19.81,198392,CSC
2025-05-13,20.9,21.354,19.991,20.082,43088,CSC
2025-05-14,19.991,20.355,18.537,19.537,161131,CSC
2025-05-15,19.901,19.901,18.265,19.355,49164,CSC
2025-05-16,19.355,19.901,18.719,19.719,41609,CSC
2025-05-19,19.719,19.719,19.083,19.628,23972,CSC
2025-05-20,19.537,19.628,19.355,19.537,16317,CSC
2025-05-21,19.537,19.537,19.083,19.446,22761,CSC
2025-05-22,19.174,19.446,18.901,19.264,24211,CSC
2025-05-23,19.264,19.537,18.537,19.083,31711,CSC
2025-05-26,19.446,19.81,18.265,19.719,43336,CSC
2025-05-27,19.719,20.718,19.719,20.718,96920,CSC
2025-05-28,20.718,21.264,20.446,20.809,101139,CSC
2025-05-29,20.809,20.809,19.901,20.718,15689,CSC
2025-05-30,20.9,21.264,20.082,20.718,21609,CSC
2025-06-02,20.264,21.354,20.264,20.809,41223,CSC
2025-06-03,20.9,21.536,20.537,21.173,124780,CSC
2025-06-04,20.991,21.082,20.355,20.627,19169,CSC
2025-06-05,20.9,21.082,20.446,20.809,33750,CSC
2025-06-06,18.81,21.718,18.81,21.264,93590,CSC
2025-06-09,21.082,21.718,20.446,20.627,70923,CSC
2025-06-10,20.9,21.264,20.355,20.627,17025,CSC
2025-06-11,20.9,21.173,20.082,20.627,4331,CSC
2025-06-12,20.809,21.173,20.355,20.627,13610,CSC
2025-06-13,19.991,20.627,19.991,20.537,17787,CSC
2025-06-16,19.537,20.537,19.537,19.628,84173,CSC
2025-06-17,20.446,20.446,19.537,20.264,7520,CSC
2025-06-18,20.446,20.991,20.264,20.537,24602,CSC
2025-06-19,20.627,20.718,20.446,20.718,22473,CSC
2025-06-20,20.537,20.809,20.355,20.627,6401,CSC
2025-06-23,19.991,20.9,19.901,19.901,59642,CSC
2025-06-24,21.5,21.6,20.8,21.2,29850,CSC
2025-06-25,21.2,21.3,20.8,21.2,8446,CSC
2025-06-26,21.0,21.0,20.7,21.0,10939,CSC
2025-06-27,20.6,20.9,20.5,20.6,9871,CSC
2025-06-30,21.0,21.2,20.7,20.7,16347,CSC
2025-07-01,20.9,20.9,20.0,20.7,26270,CSC
2025-07-02,20.5,20.7,20.2,20.6,4861,CSC
2025-07-03,20.6,21.0,20.1,20.4,31537,CSC
2025-07-04,20.7,21.0,20.3,20.8,40461,CSC
2025-07-07,20.8,21.4,20.8,21.1,36260,CSC
2025-07-08,21.3,21.3,20.8,21.1,49177,CSC
2025-07-09,21.4,22.0,20.8,21.4,45340,CSC
2025-07-10,21.4,21.8,21.3,21.5,51848,CSC
2025-07-11,21.8,22.9,21.6,21.9,59903,CSC
2025-07-14,21.9,21.9,21.1,21.7,21227,CSC
2025-07-15,22.1,22.1,21.1,21.1,70520,CSC
2025-07-16,21.5,21.5,21.1,21.4,24394,CSC
2025-07-17,21.0,22.6,21.0,22.3,151367,CSC
2025-07-18,22.4,23.0,22.2,22.4,102522,CSC
2025-07-21,23.0,23.4,21.9,22.7,95850,CSC
2025-07-22,22.0,22.8,21.8,22.8,52258,CSC
2025-07-23,23.0,23.0,22.0,22.0,55325,CSC
2025-07-24,22.0,22.3,21.7,22.0,45915,CSC
2025-07-25,22.0,22.0,21.5,21.8,69009,CSC
2025-07-28,21.8,22.7,21.7,22.4,180038,CSC
2025-07-29,22.4,22.8,21.6,21.6,120676,CSC
2025-07-30,21.6,22.3,21.4,22.3,59528,CSC
2025-07-31,22.5,22.9,22.0,22.7,224066,CSC
2025-08-01,23.0,24.9,22.9,24.9,391693,CSC
2025-08-04,24.9,26.9,24.4,24.9,193514,CSC
2025-08-05,24.9,25.5,22.6,23.7,224570,CSC
2025-08-06,23.7,24.3,22.8,23.9,81059,CSC
2025-08-07,24.3,24.3,23.0,23.8,57451,CSC
2025-08-08,23.7,24.5,23.0,24.3,171278,CSC
2025-08-11,24.5,25.0,24.0,24.4,80318,CSC
2025-08-12,24.1,24.4,23.0,24.2,99232,CSC
2025-08-13,24.2,24.6,23.1,24.6,187804,CSC
2025-08-14,24.7,24.7,23.7,24.3,140897,CSC
2025-08-15,24.3,24.3,22.9,23.1,165477,CSC
2025-08-18,23.1,23.7,22.8,23.6,61741,CSC
2025-08-19,23.7,25.2,23.4,24.1,271728,CSC
2025-08-20,24.1,24.7,22.9,23.3,149160,CSC
2025-08-21,24.4,24.4,22.1,23.3,153282,CSC
2025-08-22,23.4,23.4,22.2,22.8,59546,CSC
2025-08-25,22.8,23.1,21.0,22.0,53941,CSC
2025-08-26,22.0,22.5,21.6,22.3,44294,CSC
2025-08-27,22.4,22.8,22.1,22.2,31557,CSC
2025-08-28,22.2,22.3,21.6,21.8,31772,CSC
2025-08-29,21.8,22.8,21.7,22.6,89531,CSC
2025-09-03,22.6,22.9,22.0,22.2,87630,CSC
2025-09-04,22.7,23.9,22.0,22.7,90994,CSC
2025-09-05,22.7,23.0,22.1,22.1,57045,CSC
2025-09-08,22.1,22.7,21.1,21.6,58858,CSC
2025-09-09,21.5,21.6,21.0,21.1,40894,CSC
2025-09-10,21.4,21.7,20.8,20.8,45831,CSC
2025-09-11,20.8,21.3,20.5,21.3,38758,CSC
2025-09-12,21.6,21.7,21.1,21.5,15869,CSC
2025-09-15,21.7,21.7,21.0,21.1,41609,CSC
2025-09-16,21.7,21.7,20.9,20.9,21916,CSC
2025-09-17,21.3,21.4,20.9,20.9,23332,CSC
2025-09-18,21.0,21.2,20.8,21.2,11428,CSC
2025-09-19,21.2,21.3,20.7,21.3,16880,CSC
2025-09-22,21.1,21.2,20.8,20.8,31987,CSC
2025-09-23,21.0,21.0,20.5,21.0,27500,CSC
2025-09-24,21.0,21.3,20.7,21.2,11068,CSC
2025-09-25,21.2,21.7,21.2,21.5,27360,CSC
2025-09-26,21.5,21.5,21.0,21.1,26460,CSC
2025-09-29,21.8,21.8,21.0,21.0,10506,CSC
2025-09-30,21.0,21.5,20.4,20.9,39530,CSC
2025-10-01,20.7,21.0,20.5,21.0,1146,CSC
2025-10-02,21.0,21.0,20.4,20.9,14075,CSC
2025-10-03,20.5,20.5,20.0,20.2,42258,CSC
2025-10-06,20.0,21.4,19.5,20.7,13755,CSC
2025-10-07,20.7,20.7,20.0,20.1,32547,CSC
2025-10-08,20.4,20.9,20.1,20.8,14803,CSC
2025-10-09,21.2,21.2,20.7,20.7,3633,CSC
2025-10-10,20.4,20.8,20.2,20.2,21841,CSC
2025-10-13,19.5,20.8,18.6,20.5,82952,CSC
2025-10-14,20.9,20.9,20.0,20.0,13286,CSC
2025-10-15,20.5,20.5,19.6,20.0,25522,CSC
2025-10-16,20.1,20.4,19.7,20.3,47564,CSC
2025-10-17,20.5,20.5,19.0,19.5,38840,CSC
2025-10-20,20.3,20.3,18.1,18.1,47931,CSC
2025-10-21,18.1,19.0,18.1,18.6,43919,CSC
2025-10-22,18.7,18.9,18.3,18.9,7125,CSC
2025-10-23,19.0,19.1,18.9,19.1,8279,CSC
2025-10-24,19.0,19.0,18.3,18.4,15787,CSC
2025-10-27,18.7,19.0,18.4,19.0,10051,CSC
2025-10-28,18.9,19.0,18.2,19.0,11365,CSC
2025-10-29,19.0,19.7,18.7,19.6,21200,CSC
2025-10-30,19.6,19.6,19.0,19.6,17052,CSC
2025-10-31,19.5,19.5,19.0,19.5,2030,CSC
2025-11-03,19.3,19.3,19.0,19.2,4949,CSC
2025-11-04,19.0,19.4,19.0,19.4,14459,CSC
2025-11-05,19.4,19.4,19.0,19.0,17804,CSC
2025-11-06,19.0,19.0,18.2,18.9,5089,CSC
2025-11-07,20.7,20.7,18.5,18.9,10852,CSC
2025-11-10,18.7,18.7,18.1,18.6,7879,CSC
2025-11-11,18.6,19.0,18.3,19.0,17305,CSC
2025-11-12,19.0,19.0,18.0,18.3,29004,CSC
2025-11-13,18.5,18.6,18.0,18.4,34267,CSC
2025-11-14,18.2,18.4,18.1,18.1,12600,CSC
2025-11-17,18.7,18.7,17.9,18.3,32114,CSC
2025-11-18,18.1,18.3,18.1,18.3,3174,CSC
2025-11-19,18.2,18.3,18.0,18.0,19400,CSC
2025-11-20,18.0,18.2,17.5,18.0,36700,CSC
2025-11-21,18.0,18.1,18.0,18.1,3300,CSC
2025-11-24,17.0,18.3,16.3,17.7,138918,CSC
2025-11-25,18.0,18.0,17.2,17.2,21247,CSC
2025-11-26,17.8,18.9,17.2,17.6,20950,CSC
2025-11-27,17.5,17.9,16.0,17.5,34938,CSC
2025-11-28,17.5,17.7,17.3,17.3,10372,CSC
2025-12-01,17.7,17.7,17.0,17.5,12933,CSC
2025-12-02,17.2,17.7,17.2,17.7,4050,CSC
2025-12-03,17.2,17.9,17.2,17.9,27740,CSC
2025-12-04,17.4,18.0,17.4,18.0,6402,CSC
2025-12-05,17.8,18.1,17.8,18.1,19802,CSC
2025-12-08,18.0,18.1,17.9,18.1,14986,CSC
2025-12-09,18.0,18.0,17.8,18.0,11222,CSC
2025-12-10,16.6,19.0,16.6,18.2,8501,CSC
2025-12-11,17.8,18.1,16.9,18.0,18002,CSC
2025-12-12,18.0,18.0,17.8,18.0,3064,CSC
2025-12-15,17.9,18.0,16.7,17.7,11825,CSC
2025-12-16,17.6,18.3,17.5,18.1,18002,CSC
2025-12-17,17.6,18.0,17.5,18.0,10076,CSC
2025-12-18,17.8,17.9,17.0,17.9,7725,CSC
2025-12-19,17.9,17.9,17.2,17.8,10371,CSC
2025-12-22,17.8,18.2,17.8,18.0,14726,CSC
