time,open,high,low,close,volume,symbol
2025-02-10,41.879,42.609,41.49,41.782,1780700,CSV
2025-02-11,41.733,42.755,41.539,42.755,1999800,CSV
2025-02-12,43.095,43.581,42.268,42.268,1548000,CSV
2025-02-13,42.122,44.992,42.074,44.749,5084000,CSV
2025-02-14,44.943,44.943,44.116,44.457,1811900,CSV
2025-02-17,44.408,45.187,42.609,42.609,5213800,CSV
2025-02-18,42.511,42.803,41.83,42.657,2624100,CSV
2025-02-19,42.706,43.436,42.511,43.144,1797100,CSV
2025-02-20,43.192,44.116,42.949,42.949,1669000,CSV
2025-02-21,42.949,43.046,42.22,42.657,1315100,CSV
2025-02-24,42.414,42.511,41.539,41.83,3745000,CSV
2025-02-25,41.879,42.268,41.83,42.074,1143000,CSV
2025-02-26,42.317,42.755,41.928,42.074,1451200,CSV
2025-02-27,42.074,42.463,41.83,42.268,1226700,CSV
2025-02-28,42.268,42.852,42.171,42.365,1751800,CSV
2025-03-03,42.414,43.63,42.414,42.998,2670900,CSV
2025-03-04,43.192,43.436,42.22,42.511,1593800,CSV
2025-03-05,42.56,42.657,41.782,41.782,2333900,CSV
2025-03-06,41.879,42.317,41.684,42.22,1734900,CSV
2025-03-07,42.414,42.511,41.976,41.976,1197300,CSV
2025-03-10,41.976,42.268,41.83,42.025,1044500,CSV
2025-03-11,41.733,41.928,41.684,41.733,1292400,CSV
2025-03-12,42.025,42.074,40.955,40.955,2000900,CSV
2025-03-13,41.052,41.393,39.788,39.885,2377500,CSV
2025-03-14,39.885,40.128,38.912,38.912,1730200,CSV
2025-03-17,39.398,39.398,38.863,39.107,911700,CSV
2025-03-18,39.009,39.933,39.009,39.642,1150400,CSV
2025-03-19,39.642,39.933,39.544,39.593,662600,CSV
2025-03-20,39.739,39.788,38.961,39.252,838500,CSV
2025-03-21,39.204,39.398,38.961,39.009,660200,CSV
2025-03-24,39.301,39.885,38.912,39.593,858900,CSV
2025-03-25,39.593,40.225,39.252,39.933,935200,CSV
2025-03-26,39.933,40.323,39.107,39.69,634600,CSV
2025-03-27,39.496,39.788,39.204,39.398,619800,CSV
2025-03-28,39.398,39.69,39.009,39.058,839400,CSV
2025-03-31,38.669,38.912,36.966,37.161,2077000,CSV
2025-04-01,37.21,37.696,37.112,37.258,911300,CSV
2025-04-02,37.307,37.55,37.015,37.015,562900,CSV
2025-04-03,34.437,35.021,34.437,34.437,1857600,CSV
2025-04-04,32.054,32.054,32.054,32.054,1400100,CSV
2025-04-08,29.816,29.816,29.816,29.816,139400,CSV
2025-04-09,27.773,27.773,27.773,27.773,395700,CSV
2025-04-10,29.67,29.67,29.67,29.67,838900,CSV
2025-04-11,29.67,31.13,27.628,30.984,3184300,CSV
2025-04-14,31.616,33.124,31.616,33.124,1947100,CSV
2025-04-15,33.075,34.097,31.227,32.637,1535200,CSV
2025-04-16,32.589,32.589,30.497,30.595,1841400,CSV
2025-04-17,28.6,31.13,28.6,30.643,1119000,CSV
2025-04-18,31.227,31.421,30.886,30.886,1232600,CSV
2025-04-21,31.13,31.519,30.157,30.449,715700,CSV
2025-04-22,29.914,30.449,28.357,29.184,2741900,CSV
2025-04-23,30.157,31.13,29.573,31.13,1317100,CSV
2025-04-24,31.373,32.443,31.178,31.519,1197700,CSV
2025-04-25,31.519,31.956,31.227,31.324,1007600,CSV
2025-04-28,31.859,32.297,31.373,31.373,865200,CSV
2025-04-29,31.13,31.811,31.032,31.324,930100,CSV
2025-05-05,31.859,33.513,31.47,33.513,3024100,CSV
2025-05-06,33.951,35.507,33.562,34.243,1834500,CSV
2025-05-07,34.243,34.924,33.513,33.659,1752100,CSV
2025-05-08,34.243,34.437,33.416,33.805,1539100,CSV
2025-05-09,33.853,34.243,33.61,33.756,1033100,CSV
2025-05-12,34.048,34.048,32.929,33.659,1070300,CSV
2025-05-13,33.902,34.632,33.756,34.34,1944300,CSV
2025-05-14,34.437,34.68,33.951,34.194,1420100,CSV
2025-05-15,34.437,35.313,34.194,34.778,2395400,CSV
2025-05-16,34.778,34.778,33.902,33.902,1432000,CSV
2025-05-19,33.416,34.048,32.881,33.027,1993800,CSV
2025-05-20,32.881,33.562,32.881,33.27,1041200,CSV
2025-05-21,33.513,33.562,32.783,33.027,1205600,CSV
2025-05-22,33.027,33.951,32.881,32.881,1318500,CSV
2025-05-23,33.124,33.659,33.027,33.172,986900,CSV
2025-05-26,33.172,33.999,32.346,33.999,1683300,CSV
2025-05-27,34.583,34.583,33.853,34.291,1808500,CSV
2025-05-28,34.632,35.069,34.048,34.34,2228800,CSV
2025-05-29,34.632,34.632,33.659,33.756,1214700,CSV
2025-05-30,33.659,33.999,33.172,33.221,1528600,CSV
2025-06-02,33.221,33.805,32.929,33.562,1105700,CSV
2025-06-03,33.61,35.313,33.61,34.534,2554200,CSV
2025-06-04,34.632,34.875,34.243,34.437,1125100,CSV
2025-06-05,34.534,35.459,34.534,35.167,2568200,CSV
2025-06-06,35.313,35.313,34.097,34.145,1498800,CSV
2025-06-09,34.34,34.34,33.172,33.318,1330200,CSV
2025-06-10,33.27,34.388,33.172,33.853,1274600,CSV
2025-06-11,33.902,35.167,33.659,34.534,1893900,CSV
2025-06-12,34.632,35.118,34.34,34.534,1131100,CSV
2025-06-13,34.048,35.702,34.048,35.507,4332300,CSV
2025-06-16,36.334,36.675,35.702,36.48,2822700,CSV
2025-06-17,36.48,36.529,35.653,36.383,2429100,CSV
2025-06-18,36.48,36.48,35.507,35.75,2431100,CSV
2025-06-19,35.9,35.95,35.0,35.5,1441100,CSV
2025-06-20,35.5,35.65,35.05,35.1,1099200,CSV
