time,open,high,low,close,volume,symbol
2025-02-10,75.771,79.536,75.771,76.807,1443100,CTD
2025-02-11,77.371,80.666,77.371,79.066,1614000,CTD
2025-02-12,79.348,80.195,78.689,79.724,806300,CTD
2025-02-13,80.195,84.713,80.007,84.713,1848300,CTD
2025-02-14,83.866,87.255,83.866,86.69,1499700,CTD
2025-02-17,86.69,87.349,83.207,83.395,2809500,CTD
2025-02-18,83.772,85.372,82.172,84.901,1728100,CTD
2025-02-19,85.278,88.572,85.278,86.031,1435800,CTD
2025-02-20,88.008,88.008,85.184,86.125,1024700,CTD
2025-02-21,86.125,89.419,85.372,89.419,1296400,CTD
2025-02-24,90.267,91.302,88.478,88.572,770600,CTD
2025-02-25,89.419,90.267,86.878,88.949,795400,CTD
2025-02-26,89.325,89.702,87.16,87.16,1206300,CTD
2025-02-27,86.878,88.572,85.654,88.102,1954500,CTD
2025-02-28,87.537,88.478,84.995,86.596,2414000,CTD
2025-03-03,86.69,86.69,83.772,83.772,1956800,CTD
2025-03-04,84.713,86.972,84.054,86.125,1223100,CTD
2025-03-05,87.066,87.16,85.372,86.031,1654900,CTD
2025-03-06,86.313,90.361,86.313,90.361,2296400,CTD
2025-03-07,90.831,92.055,88.478,88.478,1083500,CTD
2025-03-10,88.384,89.231,85.937,85.937,2503100,CTD
2025-03-11,84.713,87.537,84.619,86.125,1567500,CTD
2025-03-12,86.596,86.596,83.772,83.772,3312800,CTD
2025-03-13,84.337,85.09,79.63,79.913,3616900,CTD
2025-03-14,79.819,81.042,78.124,78.124,1729400,CTD
2025-03-17,77.654,80.383,77.089,79.066,2174600,CTD
2025-03-18,79.819,79.819,78.124,78.313,902600,CTD
2025-03-19,78.313,80.948,78.313,79.254,1366800,CTD
2025-03-20,79.913,82.172,78.783,81.795,1822300,CTD
2025-03-21,81.795,82.736,81.325,81.889,1017800,CTD
2025-03-24,82.454,82.454,80.76,81.136,672900,CTD
2025-03-25,81.23,82.642,81.136,81.136,720900,CTD
2025-03-26,81.136,82.172,80.666,81.419,939600,CTD
2025-03-27,81.607,83.113,81.607,81.701,1083300,CTD
2025-03-28,82.36,82.36,79.63,79.63,1018600,CTD
2025-03-31,78.595,80.007,78.124,80.007,1472300,CTD
2025-04-01,80.572,80.948,79.536,80.477,487200,CTD
2025-04-02,80.76,81.701,80.383,80.76,706000,CTD
2025-04-03,75.112,77.465,75.112,75.112,1642300,CTD
2025-04-04,69.935,71.818,69.935,69.935,4033800,CTD
2025-04-08,68.712,69.653,65.041,65.041,1000000,CTD
2025-04-09,60.523,65.135,60.523,60.523,2401600,CTD
2025-04-10,64.758,64.758,64.758,64.758,222500,CTD
2025-04-11,68.241,69.277,64.476,69.182,3184600,CTD
2025-04-14,70.124,70.124,68.524,69.841,1534300,CTD
2025-04-15,69.465,73.042,68.241,73.042,2293400,CTD
2025-04-16,73.042,73.324,71.912,72.1,1476000,CTD
2025-04-17,71.253,73.606,71.253,73.23,911700,CTD
2025-04-18,73.606,74.077,71.912,71.912,986500,CTD
2025-04-21,72.006,73.418,71.63,73.23,1353300,CTD
2025-04-22,72.947,74.171,68.147,72.665,2675300,CTD
2025-04-23,73.23,75.112,73.136,74.736,994500,CTD
2025-04-24,74.83,76.901,74.736,76.712,1748500,CTD
2025-04-25,77.654,79.913,75.959,79.16,1532200,CTD
2025-04-28,77.748,78.595,77.371,77.748,601300,CTD
2025-04-29,78.124,78.218,76.148,76.148,558400,CTD
2025-05-05,75.018,76.242,73.136,76.242,1625200,CTD
