time,open,high,low,close,volume,symbol
2025-02-10,23.001,23.131,22.74,22.784,3612300,DBC
2025-02-11,22.957,23.523,22.914,23.479,8384500,DBC
2025-02-12,23.653,23.653,23.262,23.262,2586500,DBC
2025-02-13,23.392,23.61,23.262,23.479,3255500,DBC
2025-02-14,23.653,24.044,23.61,23.871,7085800,DBC
2025-02-17,24.131,24.523,23.784,23.784,8778500,DBC
2025-02-18,23.74,24.044,23.61,23.653,3737900,DBC
2025-02-19,23.914,24.436,23.827,24.175,7428900,DBC
2025-02-20,24.436,24.523,24.088,24.218,3760200,DBC
2025-02-21,24.349,24.61,24.175,24.305,5963200,DBC
2025-02-24,24.436,25.001,24.392,24.697,6597600,DBC
2025-02-25,24.914,24.958,24.523,24.61,4526600,DBC
2025-02-26,24.827,25.175,24.697,24.958,8158100,DBC
2025-02-27,25.175,25.653,25.131,25.61,10771800,DBC
2025-02-28,25.653,25.914,25.392,25.74,8516900,DBC
2025-03-03,26.392,27.132,26.218,26.436,14440000,DBC
2025-03-04,26.349,26.523,25.871,26.523,7921100,DBC
2025-03-05,26.697,26.871,26.262,26.479,6224700,DBC
2025-03-06,26.784,26.958,26.61,26.958,7659100,DBC
2025-03-07,27.045,27.132,26.61,26.653,7448200,DBC
2025-03-10,26.697,26.697,26.175,26.218,10645100,DBC
2025-03-11,25.914,26.784,25.914,26.784,8502300,DBC
2025-03-12,26.74,26.827,26.218,26.218,9424700,DBC
2025-03-13,26.784,27.349,26.262,26.392,13817800,DBC
2025-03-14,26.436,26.436,25.436,25.523,15227100,DBC
2025-03-17,25.61,25.871,25.479,25.566,4309100,DBC
2025-03-18,25.566,25.914,25.479,25.566,4908100,DBC
2025-03-19,25.61,25.697,25.479,25.697,3385000,DBC
2025-03-20,25.827,25.827,25.001,25.566,7182300,DBC
2025-03-21,25.566,25.566,25.001,25.001,4866700,DBC
2025-03-24,25.523,26.088,25.392,26.088,10010800,DBC
2025-03-25,26.349,26.349,25.871,26.001,5636300,DBC
2025-03-26,26.001,26.001,25.436,25.566,5516200,DBC
2025-03-27,25.479,26.001,25.349,25.74,6314900,DBC
2025-03-28,25.914,26.045,25.566,25.914,4291200,DBC
2025-03-31,26.001,26.523,25.479,25.871,9196500,DBC
2025-04-01,25.914,26.001,25.392,25.784,8787500,DBC
2025-04-02,25.784,25.914,25.479,25.479,5587800,DBC
2025-04-03,24.175,24.523,23.697,23.697,11577000,DBC
2025-04-04,22.044,22.436,22.044,22.044,16623300,DBC
2025-04-08,22.001,22.175,20.523,20.523,8560700,DBC
2025-04-09,19.088,19.957,19.088,19.088,17179100,DBC
2025-04-10,20.392,20.392,20.392,20.392,706300,DBC
2025-04-11,21.783,21.783,20.783,21.783,13182300,DBC
2025-04-14,22.001,23.175,21.74,22.914,10034700,DBC
2025-04-15,22.697,22.74,22.131,22.523,5937900,DBC
2025-04-16,22.784,22.87,22.175,22.566,4735700,DBC
2025-04-17,22.349,22.784,22.218,22.784,3748400,DBC
2025-04-18,23.044,23.74,22.827,23.305,7971800,DBC
2025-04-21,23.871,23.871,23.305,23.697,5434100,DBC
2025-04-22,23.74,24.349,22.175,23.523,16320200,DBC
2025-04-23,24.131,24.871,23.914,24.479,8983500,DBC
2025-04-24,24.523,24.566,23.827,24.305,6529200,DBC
2025-04-25,24.479,24.479,23.653,23.653,7414200,DBC
2025-04-28,23.479,23.871,23.479,23.653,2855100,DBC
2025-04-29,23.697,24.218,23.653,23.871,4761200,DBC
2025-05-05,24.131,24.436,23.827,24.436,5337900,DBC
2025-05-06,24.436,24.566,23.957,23.957,5604300,DBC
2025-05-07,23.914,24.218,23.871,23.957,4073700,DBC
2025-05-08,24.131,24.131,23.74,24.001,5542700,DBC
2025-05-09,24.175,24.566,24.088,24.349,7269000,DBC
2025-05-12,24.436,25.001,24.218,24.871,9397600,DBC
2025-05-13,25.131,25.305,24.871,25.088,7200700,DBC
2025-05-14,25.131,25.305,24.914,25.262,8578700,DBC
2025-05-15,25.392,25.392,24.914,25.262,7064400,DBC
2025-05-16,25.218,25.262,24.697,24.784,6430700,DBC
2025-05-19,24.566,24.74,23.653,23.74,16596200,DBC
2025-05-20,23.827,24.218,23.653,24.088,5330600,DBC
2025-05-21,24.088,24.479,23.74,24.262,7898600,DBC
2025-05-22,24.262,24.479,23.957,24.001,7134400,DBC
2025-05-23,23.957,24.436,23.957,24.262,5257100,DBC
2025-05-26,24.436,24.784,23.827,24.784,8795200,DBC
2025-05-27,24.958,25.001,24.74,24.784,5526300,DBC
2025-05-28,24.827,25.175,24.436,24.61,8277000,DBC
2025-05-29,24.653,24.871,24.436,24.523,6161200,DBC
2025-05-30,24.436,24.479,23.827,23.827,10233800,DBC
2025-06-02,23.74,24.044,23.653,23.871,6064000,DBC
2025-06-03,24.088,24.479,24.044,24.131,4538300,DBC
2025-06-04,24.349,25.784,24.305,25.784,26858300,DBC
2025-06-05,26.175,26.218,25.566,25.566,9227600,DBC
2025-06-06,25.653,26.262,25.479,25.914,12864200,DBC
2025-06-09,26.262,27.001,26.262,26.305,12118300,DBC
2025-06-10,26.175,26.479,25.827,25.914,7303000,DBC
2025-06-11,25.958,26.827,25.653,26.697,10759300,DBC
2025-06-12,26.958,27.653,26.61,26.61,11456400,DBC
2025-06-13,26.175,26.784,26.045,26.392,12421500,DBC
2025-06-16,26.349,26.958,26.262,26.74,8681100,DBC
2025-06-17,26.74,27.001,26.392,26.479,6185500,DBC
2025-06-18,26.697,27.262,26.436,26.479,7643300,DBC
2025-06-19,26.523,26.523,25.566,26.045,12083000,DBC
2025-06-20,26.175,26.958,25.871,26.61,11158600,DBC
2025-06-23,26.523,27.914,26.436,27.697,19779500,DBC
2025-06-24,27.914,27.914,27.436,27.653,7282800,DBC
2025-06-25,27.827,28.349,27.349,27.479,9379200,DBC
2025-06-26,27.697,27.74,27.088,27.74,6650200,DBC
2025-06-27,27.958,28.219,27.566,27.827,9281700,DBC
2025-06-30,28.175,29.74,27.958,29.566,17772800,DBC
2025-07-01,29.697,30.306,29.349,30.175,11995800,DBC
2025-07-02,30.436,30.784,29.914,30.088,9327400,DBC
2025-07-03,29.914,30.697,29.74,29.827,12363400,DBC
2025-07-04,29.827,30.306,29.784,30.088,6785900,DBC
2025-07-07,30.262,30.349,29.74,30.219,8002300,DBC
2025-07-08,30.436,30.827,30.001,30.219,7344000,DBC
2025-07-09,30.436,30.523,29.306,29.566,18140300,DBC
2025-07-10,29.392,29.827,28.914,29.175,12854000,DBC
2025-07-11,29.306,29.697,28.871,29.306,7533000,DBC
2025-07-14,29.219,29.784,28.958,29.653,7487400,DBC
2025-07-15,29.871,29.958,29.219,29.219,8583200,DBC
2025-07-16,29.349,29.479,29.132,29.219,7084400,DBC
2025-07-17,29.262,30.306,29.001,29.566,18269200,DBC
2025-07-18,29.653,29.784,29.219,29.306,7215400,DBC
2025-07-21,29.479,29.784,28.523,28.61,11192300,DBC
