time,open,high,low,close,volume,symbol
2025-02-10,32.727,32.727,32.207,32.207,2311200,DCM
2025-02-11,32.019,32.727,32.019,32.68,1236200,DCM
2025-02-12,32.774,33.152,32.491,33.01,2414800,DCM
2025-02-13,33.152,34.38,33.105,34.285,7122900,DCM
2025-02-14,34.285,34.333,33.908,34.002,2026400,DCM
2025-02-17,34.002,34.521,33.719,33.766,3006500,DCM
2025-02-18,33.813,33.955,33.53,33.719,1428100,DCM
2025-02-19,33.813,34.096,33.719,33.86,1711200,DCM
2025-02-20,33.908,34.191,33.671,33.908,2428300,DCM
2025-02-21,33.908,34.049,33.766,33.908,1347200,DCM
2025-02-24,33.955,33.955,33.483,33.624,1838600,DCM
2025-02-25,33.908,34.191,33.624,33.908,2196100,DCM
2025-02-26,34.238,34.569,33.813,33.86,2487300,DCM
2025-02-27,33.86,33.908,33.246,33.671,2953200,DCM
2025-02-28,33.813,33.86,33.388,33.388,1745100,DCM
2025-03-03,33.577,33.86,33.388,33.53,1079600,DCM
2025-03-04,33.53,33.813,33.246,33.388,1860800,DCM
2025-03-05,33.388,33.577,33.058,33.058,1456500,DCM
2025-03-06,33.152,33.388,32.963,33.199,2437500,DCM
2025-03-07,33.53,33.813,33.246,33.341,2232800,DCM
2025-03-10,33.388,33.483,33.01,33.058,2593900,DCM
2025-03-11,32.821,33.341,32.585,32.869,3253900,DCM
2025-03-12,32.963,33.199,32.727,32.821,1401500,DCM
2025-03-13,32.869,32.963,32.255,32.302,2436500,DCM
2025-03-14,32.491,32.491,31.924,32.066,2696600,DCM
2025-03-17,32.207,32.207,31.971,32.019,1787500,DCM
2025-03-18,32.019,32.444,32.019,32.113,1480400,DCM
2025-03-19,32.302,32.585,32.16,32.302,1609500,DCM
2025-03-20,32.396,32.444,32.16,32.349,938200,DCM
2025-03-21,32.349,32.349,32.113,32.113,1176400,DCM
2025-03-24,32.396,32.396,31.971,32.066,1153200,DCM
2025-03-25,32.113,32.302,32.019,32.16,1034800,DCM
2025-03-26,32.302,32.349,31.971,32.113,976200,DCM
2025-03-27,32.113,32.113,31.877,31.877,1263800,DCM
2025-03-28,31.924,32.302,31.782,31.782,1468900,DCM
2025-03-31,31.688,31.735,31.216,31.216,2842300,DCM
2025-04-01,31.357,31.688,31.263,31.263,701900,DCM
2025-04-02,31.452,31.546,31.216,31.216,931500,DCM
2025-04-03,29.043,30.035,29.043,29.043,3523100,DCM
2025-04-04,27.013,27.863,27.013,27.013,6014400,DCM
2025-04-08,25.407,26.068,25.124,25.124,3272500,DCM
2025-04-09,23.376,26.446,23.376,23.801,6425400,DCM
2025-04-10,25.454,25.454,25.454,25.454,111000,DCM
2025-04-11,27.202,27.202,26.352,27.202,4502800,DCM
2025-04-14,27.579,29.091,27.579,29.091,4767400,DCM
2025-04-15,29.091,29.563,28.477,29.28,3396400,DCM
2025-04-16,29.327,29.421,29.043,29.232,2288900,DCM
2025-04-17,28.902,29.28,28.571,29.28,1958100,DCM
2025-04-18,29.28,29.752,29.091,29.138,2146800,DCM
2025-04-21,29.61,29.61,28.996,29.28,1569800,DCM
2025-04-22,29.138,29.752,27.249,29.043,3317600,DCM
2025-04-23,29.468,29.988,28.949,29.752,3328100,DCM
2025-04-24,30.035,30.13,29.468,29.705,1532900,DCM
2025-04-25,30.035,30.177,29.705,30.082,2208300,DCM
2025-04-28,30.46,30.98,30.224,30.696,1924600,DCM
2025-04-29,30.602,30.885,30.318,30.507,1502500,DCM
2025-05-05,30.791,32.302,30.743,32.019,3431800,DCM
2025-05-06,32.113,32.538,31.782,31.924,2214000,DCM
2025-05-07,32.207,33.058,32.207,32.302,2288700,DCM
2025-05-08,32.302,32.491,31.688,32.113,2262400,DCM
2025-05-09,32.113,32.207,31.735,31.924,1681900,DCM
2025-05-12,31.877,31.971,31.452,31.971,2052400,DCM
2025-05-13,32.302,32.302,31.735,31.735,3072800,DCM
2025-05-14,31.735,32.255,31.546,31.877,2151100,DCM
2025-05-15,31.924,32.396,31.83,31.924,2331000,DCM
2025-05-16,32.019,32.207,31.641,31.641,1549900,DCM
2025-05-19,31.546,32.207,31.216,31.405,1943200,DCM
2025-05-20,31.594,31.641,31.31,31.499,1149300,DCM
2025-05-21,31.594,31.594,30.932,31.121,2639100,DCM
2025-05-22,31.074,32.066,30.98,31.735,3327400,DCM
2025-05-23,31.782,32.774,31.782,32.538,5312900,DCM
2025-05-26,32.585,32.963,31.782,32.821,3402300,DCM
2025-05-27,32.963,33.01,32.113,32.444,3478300,DCM
2025-05-28,32.444,32.727,31.971,32.019,3025000,DCM
2025-05-29,32.066,32.207,31.735,31.735,2084200,DCM
2025-05-30,31.499,31.83,31.169,31.263,2823800,DCM
2025-06-02,31.263,31.877,31.074,31.877,2831700,DCM
2025-06-03,31.971,33.294,31.971,33.105,8260500,DCM
2025-06-04,33.246,33.246,32.585,32.68,2869900,DCM
2025-06-05,32.585,32.916,32.585,32.727,2319900,DCM
2025-06-06,32.916,32.916,31.877,31.877,4350000,DCM
2025-06-09,31.735,32.019,31.546,31.546,2429000,DCM
2025-06-10,31.499,32.396,31.499,31.877,2464700,DCM
2025-06-11,32.113,32.491,31.735,31.83,1973300,DCM
2025-06-12,32.019,32.444,31.971,32.302,3083000,DCM
2025-06-13,31.924,32.963,31.83,32.207,4955000,DCM
2025-06-16,32.727,33.766,32.727,33.294,5311700,DCM
2025-06-17,33.624,34.333,33.058,34.333,9985800,DCM
2025-06-18,34.663,34.758,34.096,34.38,4622100,DCM
2025-06-19,34.663,34.947,34.191,34.569,5315400,DCM
2025-06-20,34.852,34.899,34.238,34.38,3766200,DCM
2025-06-23,34.947,35.513,34.38,34.758,6641900,DCM
2025-06-24,34.38,34.38,34.049,34.333,5708300,DCM
2025-06-25,34.144,34.333,33.766,33.908,4700700,DCM
2025-06-26,34.096,34.285,33.813,34.049,3227789,DCM
2025-06-27,34.2,34.5,33.55,33.65,4316300,DCM
2025-06-30,33.7,34.0,33.45,33.7,3732235,DCM
2025-07-01,33.75,34.05,33.4,33.45,2975800,DCM
2025-07-02,33.5,33.9,33.4,33.7,3033300,DCM
2025-07-03,33.7,33.95,33.3,33.55,3390000,DCM
2025-07-04,33.75,33.75,33.4,33.4,3473600,DCM
2025-07-07,33.6,34.1,33.55,33.75,4062000,DCM
2025-07-08,33.75,34.1,33.65,33.8,3993500,DCM
2025-07-09,33.95,34.35,33.85,34.25,7789000,DCM
2025-07-10,34.55,34.6,34.1,34.2,2661100,DCM
2025-07-11,34.25,34.35,33.55,33.8,5492700,DCM
2025-07-14,33.85,34.1,33.5,34.05,3218400,DCM
2025-07-15,34.15,34.8,34.0,34.2,6364100,DCM
2025-07-16,34.1,34.6,34.1,34.3,2967500,DCM
2025-07-17,34.5,34.55,33.8,34.05,5548400,DCM
