time,open,high,low,close,volume,symbol
2025-02-10,17.813,17.91,17.426,17.619,822726,DDV
2025-02-11,17.619,18.394,17.523,18.103,1686762,DDV
2025-02-12,18.103,18.878,18.007,18.491,1608741,DDV
2025-02-13,18.491,19.265,18.394,19.072,2541809,DDV
2025-02-14,19.265,19.362,18.684,18.878,1999251,DDV
2025-02-17,18.878,19.362,18.781,18.878,1935862,DDV
2025-02-18,18.878,18.975,18.684,18.878,1203122,DDV
2025-02-19,18.878,19.362,18.878,19.072,1918108,DDV
2025-02-20,19.265,19.265,18.878,18.878,1413330,DDV
2025-02-21,19.362,19.362,18.588,18.684,1417917,DDV
2025-02-24,18.684,18.781,18.588,18.684,1094827,DDV
2025-02-25,18.684,19.556,18.684,19.459,3742265,DDV
2025-02-26,19.556,20.524,19.459,19.846,3903132,DDV
2025-02-27,20.04,20.04,19.556,19.943,1874799,DDV
2025-02-28,19.943,20.136,19.556,19.652,2727344,DDV
2025-03-03,19.652,20.136,19.652,19.749,2288425,DDV
2025-03-04,19.943,19.943,18.878,19.459,3187016,DDV
2025-03-05,19.362,19.652,18.781,18.781,2031490,DDV
2025-03-06,18.878,19.072,18.684,18.975,1952591,DDV
2025-03-07,18.878,19.459,18.588,19.168,1374381,DDV
2025-03-10,19.265,19.362,18.878,18.975,1444735,DDV
2025-03-11,18.975,19.265,18.684,19.072,1772839,DDV
2025-03-12,19.072,19.362,18.878,19.072,1779142,DDV
2025-03-13,18.975,18.975,18.2,18.297,3720886,DDV
2025-03-14,18.2,18.394,18.007,18.103,1488754,DDV
2025-03-17,18.103,18.297,18.007,18.007,1309414,DDV
2025-03-18,18.103,18.491,18.007,18.103,1020413,DDV
2025-03-19,18.297,18.491,18.103,18.394,1499363,DDV
2025-03-20,18.394,19.072,18.2,19.072,3542020,DDV
2025-03-21,18.684,19.072,18.684,18.781,1021570,DDV
2025-03-24,18.975,18.975,18.588,18.878,861248,DDV
2025-03-25,18.878,19.459,18.781,19.168,2773002,DDV
2025-03-26,19.168,19.362,18.878,18.975,1178052,DDV
2025-03-27,18.975,19.362,18.878,19.265,1588275,DDV
2025-03-28,19.362,19.652,18.975,19.168,2350413,DDV
2025-03-31,19.072,19.072,18.588,18.684,1597062,DDV
2025-04-01,18.781,18.878,18.394,18.781,1448905,DDV
2025-04-02,18.491,18.878,18.491,18.781,452422,DDV
2025-04-03,18.491,18.491,16.07,16.361,6212161,DDV
2025-04-04,16.264,16.555,15.199,16.555,2382316,DDV
2025-04-08,15.974,16.458,13.553,13.553,4000893,DDV
2025-04-09,13.553,14.328,12.198,13.844,1994634,DDV
2025-04-10,15.683,15.683,15.006,15.683,327492,DDV
2025-04-11,16.264,16.845,15.683,16.651,4033807,DDV
2025-04-14,16.748,17.426,16.555,17.329,2289595,DDV
2025-04-15,17.426,17.523,16.651,17.039,2441657,DDV
2025-04-16,17.039,17.716,17.039,17.232,1696702,DDV
2025-04-17,17.232,17.91,17.135,17.813,1609180,DDV
2025-04-18,17.91,18.103,17.523,17.619,1032965,DDV
2025-04-21,18.297,20.233,18.297,19.459,5652398,DDV
2025-04-22,19.556,19.652,17.619,19.168,3478615,DDV
2025-04-23,19.362,21.008,19.362,20.33,4670096,DDV
2025-04-24,20.814,21.008,20.33,20.911,2968637,DDV
2025-04-25,20.911,21.395,20.136,20.524,2756586,DDV
2025-04-28,20.717,20.717,20.233,20.524,1751387,DDV
2025-04-29,20.427,22.169,20.427,21.201,2553561,DDV
2025-05-05,21.105,22.266,21.105,22.266,3328029,DDV
2025-05-06,22.266,23.138,22.266,22.363,2852476,DDV
2025-05-07,22.363,22.75,22.073,22.46,2575123,DDV
2025-05-08,22.46,22.944,21.589,21.976,3787901,DDV
2025-05-09,21.879,22.169,21.589,21.782,1950694,DDV
2025-05-12,21.782,22.363,21.298,22.266,2662475,DDV
2025-05-13,22.363,22.654,21.976,22.169,1996813,DDV
2025-05-14,22.169,22.363,21.589,21.879,2869962,DDV
2025-05-15,21.782,23.138,21.395,22.847,4963236,DDV
2025-05-16,22.847,23.138,22.46,22.944,2392907,DDV
2025-05-19,22.944,23.912,22.75,23.138,2610848,DDV
2025-05-20,23.234,23.331,22.847,23.138,1535797,DDV
2025-05-21,23.041,23.234,22.073,22.557,2934265,DDV
2025-05-22,22.46,23.041,22.169,22.654,2228983,DDV
2025-05-23,22.654,24.396,22.654,23.525,4022950,DDV
2025-05-26,23.525,24.88,23.041,24.783,5619114,DDV
2025-05-27,24.783,25.074,23.912,24.106,2193820,DDV
2025-05-28,24.299,25.074,23.912,24.493,4032515,DDV
2025-05-29,24.493,24.977,24.299,24.59,2315656,DDV
2025-05-30,24.783,24.783,23.912,24.009,2394029,DDV
2025-06-02,24.106,25.267,23.718,24.88,4284985,DDV
2025-06-03,24.977,25.267,24.783,25.074,1837602,DDV
2025-06-04,25.171,25.848,24.59,24.88,3425722,DDV
2025-06-05,24.88,24.977,24.203,24.59,2484354,DDV
2025-06-06,24.687,24.687,24.106,24.203,1465123,DDV
2025-06-09,24.203,24.493,23.428,23.525,2409703,DDV
2025-06-10,23.525,24.299,23.331,23.815,1427272,DDV
2025-06-11,24.009,24.687,23.912,24.299,1760802,DDV
2025-06-12,24.396,25.364,24.396,24.88,3160505,DDV
2025-06-13,24.88,26.332,24.396,25.751,5497605,DDV
2025-06-16,26.139,27.881,25.751,27.784,3396691,DDV
2025-06-17,28.559,29.043,27.3,28.075,2695759,DDV
2025-06-18,28.075,28.656,27.107,27.591,2214773,DDV
2025-06-19,27.591,27.688,27.01,27.397,2050487,DDV
2025-06-20,28.1,28.1,27.5,27.8,878238,DDV
2025-06-23,27.7,28.8,27.5,27.8,1953743,DDV
2025-06-24,27.8,28.2,27.1,27.4,3326884,DDV
2025-06-25,27.4,27.7,27.0,27.6,1621103,DDV
2025-06-26,27.6,28.2,27.5,27.7,1064258,DDV
2025-06-27,27.7,28.0,27.5,27.7,1151835,DDV
2025-06-30,27.8,28.1,27.7,27.7,1079282,DDV
2025-07-01,27.9,28.0,27.4,27.5,1391474,DDV
2025-07-02,27.6,28.4,27.5,27.7,1415301,DDV
2025-07-03,27.8,28.7,27.5,28.1,2704404,DDV
2025-07-04,28.2,28.7,27.9,28.4,1737560,DDV
2025-07-07,28.4,29.2,28.4,28.5,1983397,DDV
2025-07-08,28.7,28.8,28.1,28.7,2234095,DDV
2025-07-09,28.8,29.0,28.3,28.5,1688255,DDV
2025-07-10,28.6,28.6,27.8,28.3,2606660,DDV
2025-07-11,28.3,28.5,27.7,27.9,2439806,DDV
2025-07-14,28.1,28.1,27.4,27.8,1180140,DDV
2025-07-15,27.7,28.8,27.7,28.2,1566288,DDV
2025-07-16,28.2,29.7,28.1,29.5,3576901,DDV
2025-07-17,29.5,30.4,29.5,30.4,2251762,DDV
2025-07-18,30.2,30.9,29.4,29.9,1542911,DDV
2025-07-21,30.7,30.9,29.3,29.6,2127897,DDV
2025-07-22,30.6,30.6,29.3,29.8,1890800,DDV
2025-07-23,29.8,30.5,29.5,30.3,2285870,DDV
2025-07-24,30.3,31.3,30.3,30.8,1679965,DDV
2025-07-25,30.9,31.0,30.4,30.7,1710133,DDV
2025-07-28,30.7,31.7,30.7,31.5,2371934,DDV
2025-07-29,31.5,32.0,30.0,30.4,4032591,DDV
2025-07-30,31.1,32.0,30.4,31.2,2090393,DDV
2025-07-31,31.4,33.2,31.4,32.6,2308918,DDV
2025-08-01,32.6,33.8,32.1,33.2,1934502,DDV
2025-08-04,33.9,33.9,32.7,32.9,1456016,DDV
2025-08-05,33.0,33.2,31.0,31.5,3369551,DDV
2025-08-06,31.8,33.8,31.6,33.1,2052445,DDV
2025-08-07,33.0,33.4,32.5,33.1,1061439,DDV
2025-08-08,33.1,34.4,33.0,34.3,2363686,DDV
2025-08-11,34.5,35.1,34.3,34.9,1432747,DDV
2025-08-12,35.0,35.3,34.1,34.8,1048377,DDV
2025-08-13,35.0,35.0,34.2,34.9,1136976,DDV
2025-08-14,34.7,34.9,33.4,33.8,2335168,DDV
2025-08-15,34.0,34.0,32.5,32.8,2936289,DDV
2025-08-18,33.0,33.8,32.3,33.3,1352765,DDV
2025-08-19,33.3,33.6,32.7,33.1,952184,DDV
2025-08-20,33.1,33.5,31.1,31.5,2511361,DDV
2025-08-21,31.7,32.1,31.1,31.4,1590381,DDV
2025-08-22,31.4,31.4,29.0,29.8,2754748,DDV
2025-08-25,30.0,30.9,29.6,30.7,1319791,DDV
2025-08-26,30.7,31.4,30.6,31.4,696447,DDV
2025-08-27,31.7,32.3,31.2,31.4,863361,DDV
2025-08-28,31.4,32.0,30.8,31.2,651227,DDV
2025-08-29,31.2,31.2,30.3,30.8,1178632,DDV
2025-09-03,30.8,31.5,30.3,31.2,647417,DDV
2025-09-04,31.1,31.6,30.8,31.1,601303,DDV
2025-09-05,31.2,32.1,31.0,31.2,1506866,DDV
2025-09-08,27.0,31.1,27.0,29.8,1416800,DDV
2025-09-09,29.9,30.3,29.3,29.8,572517,DDV
2025-09-10,29.7,30.2,29.6,29.9,524184,DDV
2025-09-11,30.0,30.8,29.4,30.4,1210988,DDV
2025-09-12,30.4,31.0,30.4,31.0,484272,DDV
2025-09-15,31.1,33.0,31.0,32.5,1765031,DDV
2025-09-16,32.7,32.9,31.7,32.0,699864,DDV
2025-09-17,32.4,32.6,31.6,31.8,700671,DDV
2025-09-18,31.9,32.5,31.5,31.9,425581,DDV
2025-09-19,32.2,32.2,31.4,31.7,459049,DDV
2025-09-22,31.6,31.7,30.2,30.6,650174,DDV
2025-09-23,30.9,31.2,30.4,30.8,236953,DDV
2025-09-24,30.5,31.6,30.5,31.5,367030,DDV
2025-09-25,31.5,32.5,31.4,32.3,953825,DDV
2025-09-26,32.5,32.9,32.0,32.2,617675,DDV
2025-09-29,32.1,32.3,31.5,31.8,496863,DDV
2025-09-30,31.8,31.8,30.8,31.6,619529,DDV
2025-10-01,31.6,32.2,31.2,32.1,568689,DDV
2025-10-02,32.5,32.5,31.7,31.9,438572,DDV
2025-10-03,31.8,31.9,30.7,30.9,1045102,DDV
2025-10-06,30.9,31.8,30.4,31.2,1254797,DDV
2025-10-07,31.5,31.7,30.7,30.7,1026286,DDV
2025-10-08,31.2,31.5,30.7,30.9,1021872,DDV
2025-10-09,31.0,32.4,30.9,32.4,1572157,DDV
2025-10-10,32.4,32.9,32.1,32.6,809877,DDV
2025-10-13,32.1,33.6,31.8,33.6,1774532,DDV
2025-10-14,33.7,33.8,32.5,32.7,837277,DDV
2025-10-15,32.7,33.2,32.0,32.3,913604,DDV
2025-10-16,32.4,33.6,31.8,33.4,1514997,DDV
2025-10-17,33.4,36.0,33.3,35.0,3849603,DDV
2025-10-20,35.4,36.8,32.8,34.6,2650464,DDV
2025-10-21,34.5,35.1,32.6,33.9,1776155,DDV
2025-10-22,34.1,36.9,33.9,36.3,2888174,DDV
2025-10-23,36.5,37.0,35.5,35.6,1371154,DDV
2025-10-24,35.7,35.8,34.0,34.3,1587034,DDV
2025-10-27,34.5,34.7,31.1,31.2,3167619,DDV
2025-10-28,31.5,31.9,30.4,31.7,1661332,DDV
2025-10-29,31.7,32.8,31.6,32.3,973397,DDV
2025-10-30,32.6,32.9,31.2,31.3,1491881,DDV
2025-10-31,31.7,31.7,30.5,31.0,1465517,DDV
2025-11-03,30.8,30.9,29.4,29.7,1659996,DDV
2025-11-04,29.9,30.0,28.2,29.6,2297742,DDV
2025-11-05,29.6,30.7,29.4,30.4,1249485,DDV
2025-11-06,30.5,30.6,29.9,30.3,627790,DDV
2025-11-07,30.3,30.3,28.6,29.3,964358,DDV
2025-11-10,29.3,29.4,28.4,28.5,629136,DDV
2025-11-11,28.5,29.3,28.5,29.0,509750,DDV
2025-11-12,29.0,29.4,28.8,29.4,1031188,DDV
2025-11-13,30.0,30.8,29.2,29.5,2048143,DDV
2025-11-14,29.8,29.8,29.3,29.5,441976,DDV
2025-11-17,29.5,30.1,29.4,29.8,937361,DDV
2025-11-18,29.8,29.9,29.3,29.5,765772,DDV
2025-11-19,29.4,29.4,28.5,28.7,2117211,DDV
2025-11-20,28.5,28.9,28.1,28.7,660651,DDV
2025-11-21,28.5,28.5,28.1,28.3,645654,DDV
2025-11-24,28.4,28.5,28.0,28.1,489382,DDV
2025-11-25,28.1,28.2,26.7,27.0,1520174,DDV
2025-11-26,27.0,27.5,27.0,27.4,462368,DDV
2025-11-27,27.4,27.8,27.2,27.6,477568,DDV
2025-11-28,27.6,27.6,26.9,27.1,493658,DDV
2025-12-01,27.2,27.3,26.6,26.8,504195,DDV
2025-12-02,26.9,26.9,25.8,26.5,1273506,DDV
2025-12-03,26.6,26.7,26.1,26.4,519264,DDV
2025-12-04,26.5,26.8,26.2,26.6,901005,DDV
2025-12-05,26.6,26.7,26.1,26.2,516450,DDV
2025-12-08,26.2,26.3,25.2,25.5,1827945,DDV
2025-12-09,25.5,25.5,24.2,24.6,1289218,DDV
2025-12-10,21.0,25.5,21.0,24.9,463419,DDV
2025-12-11,24.9,25.3,24.9,24.9,350321,DDV
2025-12-12,25.0,26.5,25.0,25.5,1796196,DDV
2025-12-15,25.9,26.5,24.8,24.8,479013,DDV
2025-12-16,24.6,25.2,24.5,25.0,431254,DDV
2025-12-17,25.0,25.3,24.7,25.0,495135,DDV
2025-12-18,24.9,25.0,24.6,24.9,332725,DDV
2025-12-19,24.9,25.3,24.8,25.1,273711,DDV
2025-12-22,24.9,25.9,24.9,25.7,830913,DDV
2025-12-23,25.7,26.4,25.5,25.7,693139,DDV
