time,open,high,low,close,volume,symbol
2025-02-10,49.898,49.898,49.898,49.898,500,DNC
2025-02-11,49.898,49.898,49.898,49.898,0,DNC
2025-02-12,49.898,49.898,49.898,49.898,0,DNC
2025-02-13,49.898,49.898,49.898,49.898,0,DNC
2025-02-14,49.898,49.898,49.898,49.898,0,DNC
2025-02-17,49.745,49.745,49.745,49.745,3900,DNC
2025-02-18,49.898,49.898,49.898,49.898,700,DNC
2025-02-19,44.985,49.898,44.985,49.898,5643,DNC
2025-02-20,49.898,49.898,49.898,49.898,1800,DNC
2025-02-21,49.898,49.898,49.13,49.13,1200,DNC
2025-02-24,49.207,49.207,49.207,49.207,300,DNC
2025-02-25,49.898,50.666,49.898,50.666,4444,DNC
2025-02-26,51.357,51.357,51.357,51.357,100,DNC
2025-02-27,51.357,51.433,51.357,51.357,400,DNC
2025-02-28,51.357,51.357,51.357,51.357,0,DNC
2025-03-03,51.433,51.433,51.433,51.433,7506,DNC
2025-03-04,51.433,51.433,50.666,50.666,2722,DNC
2025-03-05,50.666,50.666,50.666,50.666,2500,DNC
2025-03-06,50.666,50.666,50.666,50.666,5300,DNC
2025-03-07,51.921,51.921,51.921,51.921,100,DNC
2025-03-10,51.843,51.843,51.843,51.843,204,DNC
2025-03-11,51.45,51.45,51.45,51.45,100,DNC
2025-03-12,49.565,50.272,49.565,50.272,6505,DNC
2025-03-13,50.272,50.272,50.272,50.272,0,DNC
2025-03-14,50.272,50.272,50.272,50.272,100,DNC
2025-03-17,55.299,55.299,55.299,55.299,100,DNC
2025-03-18,55.299,55.299,55.299,55.299,0,DNC
2025-03-19,49.879,50.35,49.879,50.35,500,DNC
2025-03-20,55.299,55.299,55.299,55.299,100,DNC
2025-03-21,55.299,55.299,55.299,55.299,0,DNC
2025-03-24,55.299,55.299,55.299,55.299,0,DNC
2025-03-25,55.299,55.299,55.299,55.299,0,DNC
2025-03-26,55.299,55.299,55.299,55.299,0,DNC
2025-03-27,50.35,60.797,50.35,60.797,800,DNC
2025-03-28,54.985,54.985,54.985,54.985,100,DNC
2025-03-31,51.057,51.057,51.057,51.057,1043,DNC
2025-04-01,51.057,51.057,51.057,51.057,0,DNC
2025-04-02,51.057,51.057,51.057,51.057,3300,DNC
2025-04-03,51.057,51.057,51.057,51.057,1,DNC
2025-04-04,51.057,51.057,51.057,51.057,0,DNC
2025-04-08,51.057,51.057,51.057,51.057,2201,DNC
2025-04-09,51.057,51.057,51.057,51.057,0,DNC
2025-04-10,51.057,51.057,51.057,51.057,0,DNC
2025-04-11,56.084,56.084,56.084,56.084,100,DNC
2025-04-14,56.084,56.084,56.084,56.084,0,DNC
2025-04-15,56.084,56.084,56.084,56.084,0,DNC
2025-04-16,51.136,51.136,51.136,51.136,400,DNC
2025-04-17,51.136,51.136,51.136,51.136,0,DNC
2025-04-18,56.241,56.241,51.843,51.843,501,DNC
2025-04-21,51.843,51.843,51.843,51.843,0,DNC
2025-04-22,46.658,46.658,46.658,46.658,302,DNC
2025-04-23,48.701,51.214,48.701,51.214,402,DNC
2025-04-24,56.084,56.084,56.084,56.084,100,DNC
2025-04-25,56.084,56.084,56.084,56.084,0,DNC
2025-04-28,56.084,56.084,56.084,56.084,0,DNC
2025-04-29,56.084,56.084,56.084,56.084,0,DNC
2025-05-05,61.583,61.583,61.583,61.583,100,DNC
2025-05-06,61.583,61.583,61.583,61.583,5,DNC
2025-05-07,55.456,55.456,55.456,55.456,700,DNC
2025-05-08,55.456,55.456,55.456,55.456,0,DNC
2025-05-09,54.985,54.985,54.985,54.985,100,DNC
2025-05-12,60.405,60.405,55.063,55.063,200,DNC
2025-05-13,55.063,55.063,55.063,55.063,0,DNC
2025-05-14,54.199,54.199,54.199,54.199,100,DNC
2025-05-15,54.199,54.199,54.199,54.199,100,DNC
2025-05-16,54.199,54.199,54.199,54.199,0,DNC
2025-05-19,59.619,59.619,59.619,59.619,100,DNC
2025-05-20,59.619,59.619,59.619,59.619,0,DNC
2025-05-21,59.619,59.619,59.619,59.619,0,DNC
2025-05-22,59.619,59.619,59.619,59.619,0,DNC
2025-05-23,59.619,59.619,59.619,59.619,0,DNC
2025-05-26,59.619,59.619,59.619,59.619,0,DNC
2025-05-27,59.619,59.619,59.619,59.619,0,DNC
2025-05-28,59.619,59.619,59.619,59.619,0,DNC
2025-05-29,59.619,59.619,59.619,59.619,0,DNC
2025-05-30,59.619,59.619,59.619,59.619,0,DNC
2025-06-02,59.226,59.226,59.226,59.226,200,DNC
2025-06-03,58.834,58.834,54.985,54.985,500,DNC
2025-06-04,60.483,60.483,60.483,60.483,100,DNC
2025-06-05,60.483,60.483,60.483,60.483,0,DNC
2025-06-06,60.483,60.483,60.483,60.483,0,DNC
2025-06-09,60.483,60.483,60.483,60.483,0,DNC
2025-06-10,60.483,60.483,60.483,60.483,0,DNC
2025-06-11,60.483,60.483,60.483,60.483,0,DNC
2025-06-12,60.483,60.483,60.483,60.483,0,DNC
2025-06-13,60.483,60.483,60.483,60.483,0,DNC
2025-06-16,59.698,59.698,58.912,58.912,640,DNC
2025-06-17,58.912,58.912,58.912,58.912,0,DNC
2025-06-18,58.912,58.912,58.912,58.912,0,DNC
2025-06-19,58.912,58.912,58.912,58.912,0,DNC
2025-06-20,58.912,58.912,58.912,58.912,0,DNC
2025-06-23,58.912,58.912,58.912,58.912,0,DNC
2025-06-24,54.985,54.985,54.592,54.592,600,DNC
2025-06-25,54.592,54.592,54.592,54.592,3,DNC
2025-06-26,54.592,54.592,54.592,54.592,0,DNC
2025-06-27,52.942,52.942,52.942,52.942,200,DNC
2025-06-30,52.942,52.942,52.942,52.942,4,DNC
2025-07-01,52.942,52.942,52.942,52.942,0,DNC
2025-07-02,51.45,51.45,51.057,51.057,403,DNC
2025-07-03,50.272,50.272,50.272,50.272,100,DNC
2025-07-04,50.272,50.272,50.272,50.272,2600,DNC
2025-07-07,55.299,55.299,55.299,55.299,100,DNC
2025-07-08,60.719,60.719,60.719,60.719,100,DNC
2025-07-09,66.767,66.767,66.767,66.767,110,DNC
2025-07-10,60.09,60.09,60.09,60.09,248,DNC
2025-07-11,54.985,54.985,54.121,54.121,312,DNC
2025-07-14,54.121,54.121,54.121,54.121,0,DNC
2025-07-15,54.121,54.121,54.042,54.121,3000,DNC
2025-07-16,54.121,54.121,53.414,53.963,900,DNC
2025-07-17,53.963,53.963,53.806,53.806,1600,DNC
2025-07-18,53.806,53.806,53.806,53.806,2100,DNC
2025-07-21,53.806,53.806,52.628,53.414,2400,DNC
2025-07-22,53.414,53.806,53.414,53.492,2900,DNC
2025-07-23,54.356,54.356,53.492,53.492,600,DNC
2025-07-24,53.492,58.399,53.492,53.983,800,DNC
2025-07-25,57.909,57.909,54.964,55.946,2616,DNC
2025-07-28,55.946,55.946,55.946,55.946,0,DNC
2025-07-29,57.418,58.89,57.418,58.89,1100,DNC
2025-07-30,58.89,58.89,58.89,58.89,0,DNC
2025-07-31,58.89,58.89,56.927,56.927,800,DNC
2025-08-01,56.927,56.927,56.927,56.927,200,DNC
2025-08-04,56.927,56.927,56.534,56.534,2300,DNC
2025-08-05,56.534,56.534,56.534,56.534,503,DNC
2025-08-06,56.534,56.534,56.534,56.534,100,DNC
2025-08-07,56.534,56.633,56.534,56.633,400,DNC
2025-08-08,56.633,56.633,56.633,56.633,0,DNC
2025-08-11,56.633,56.633,56.633,56.633,0,DNC
2025-08-12,56.633,56.633,56.633,56.633,0,DNC
2025-08-13,56.633,56.633,56.633,56.633,0,DNC
2025-08-14,56.633,56.633,56.633,56.633,1800,DNC
2025-08-15,56.633,56.633,56.633,56.633,0,DNC
2025-08-18,53.983,53.983,53.983,53.983,800,DNC
2025-08-19,53.983,53.983,53.983,53.983,157,DNC
2025-08-20,53.983,54.081,53.983,54.081,200,DNC
2025-08-21,54.081,54.081,54.081,54.081,0,DNC
2025-08-22,54.081,54.081,54.081,54.081,0,DNC
2025-08-25,53.983,53.983,53.983,53.983,400,DNC
2025-08-26,53.983,53.983,53.983,53.983,0,DNC
2025-08-27,53.983,53.983,53.983,53.983,100,DNC
2025-08-28,53.983,53.983,53.983,53.983,0,DNC
2025-08-29,53.492,53.492,53.492,53.492,102,DNC
2025-09-03,53.492,53.492,53.492,53.492,0,DNC
2025-09-04,53.492,53.492,53.492,53.492,0,DNC
2025-09-05,53.001,53.001,53.001,53.001,103,DNC
2025-09-08,53.001,53.001,53.001,53.001,0,DNC
2025-09-09,53.001,53.001,53.001,53.001,0,DNC
2025-09-10,53.001,53.001,53.001,53.001,100,DNC
2025-09-11,53.001,53.001,53.001,53.001,0,DNC
2025-09-12,53.983,53.983,53.983,53.983,2000,DNC
2025-09-15,59.381,59.381,59.381,59.381,100,DNC
2025-09-16,59.381,59.381,59.381,59.381,0,DNC
2025-09-17,55.455,55.455,54.964,54.964,2150,DNC
2025-09-18,60.46,60.46,60.46,60.46,101,DNC
