time,open,high,low,close,volume,symbol
2025-02-10,20.9,20.9,20.9,20.9,0,DNP
2025-02-11,20.8,20.8,19.6,19.6,3200,DNP
2025-02-12,20.0,20.0,20.0,20.0,402,DNP
2025-02-13,20.0,20.0,19.6,19.6,600,DNP
2025-02-14,20.0,20.8,19.6,19.6,1200,DNP
2025-02-17,19.8,19.8,19.8,19.8,200,DNP
2025-02-18,19.5,20.9,19.1,20.9,3576,DNP
2025-02-19,19.5,19.5,19.5,19.5,419,DNP
2025-02-20,19.7,19.7,19.6,19.6,800,DNP
2025-02-21,19.6,20.1,19.6,20.1,800,DNP
2025-02-24,18.7,20.1,18.7,20.1,215,DNP
2025-02-25,20.1,20.1,20.1,20.1,0,DNP
2025-02-26,19.9,19.9,19.9,19.9,200,DNP
2025-02-27,19.4,20.1,19.4,20.1,200,DNP
2025-02-28,19.3,20.0,19.3,20.0,6700,DNP
2025-03-03,19.9,19.9,19.9,19.9,100,DNP
2025-03-04,19.9,19.9,19.3,19.3,8643,DNP
2025-03-05,19.1,20.4,19.0,19.7,2100,DNP
2025-03-06,19.4,19.4,19.4,19.4,1112,DNP
2025-03-07,19.3,19.9,19.3,19.9,5401,DNP
2025-03-10,19.3,19.7,19.1,19.7,3000,DNP
2025-03-11,19.0,19.7,19.0,19.7,6370,DNP
2025-03-12,19.2,19.2,19.1,19.2,9501,DNP
2025-03-13,19.2,19.4,18.7,19.4,4600,DNP
2025-03-14,20.6,20.6,18.9,20.4,300,DNP
2025-03-17,19.1,19.2,19.1,19.2,1900,DNP
2025-03-18,18.8,19.9,18.8,19.9,211,DNP
2025-03-19,19.6,19.6,19.6,19.6,100,DNP
2025-03-20,19.6,19.6,19.6,19.6,200,DNP
2025-03-21,20.0,20.0,19.2,19.3,300,DNP
2025-03-24,19.2,19.7,19.2,19.7,200,DNP
2025-03-25,19.7,19.7,19.7,19.7,0,DNP
2025-03-26,19.4,19.4,19.4,19.4,1502,DNP
2025-03-27,19.2,20.0,19.2,20.0,900,DNP
2025-03-28,19.6,19.6,19.6,19.6,802,DNP
2025-03-31,18.9,18.9,18.9,18.9,1065,DNP
2025-04-01,19.0,19.0,19.0,19.0,101,DNP
2025-04-02,19.2,19.2,19.2,19.2,101,DNP
2025-04-03,18.2,18.2,18.1,18.1,8000,DNP
2025-04-04,19.3,19.3,19.3,19.3,102,DNP
2025-04-08,19.3,19.3,19.3,19.3,1,DNP
2025-04-09,19.3,19.3,19.3,19.3,0,DNP
2025-04-10,19.7,19.7,19.7,19.7,201,DNP
2025-04-11,18.0,19.0,18.0,19.0,5400,DNP
2025-04-14,19.0,19.0,18.1,18.6,1200,DNP
2025-04-15,19.0,19.3,18.6,18.6,1500,DNP
2025-04-16,18.1,18.1,18.1,18.1,1701,DNP
2025-04-17,18.5,18.5,17.1,18.5,1600,DNP
2025-04-18,19.3,19.3,19.3,19.3,100,DNP
2025-04-21,19.0,19.0,19.0,19.0,100,DNP
2025-04-22,19.0,19.0,19.0,19.0,100,DNP
2025-04-23,19.0,19.0,19.0,19.0,0,DNP
2025-04-24,19.0,19.0,19.0,19.0,0,DNP
2025-04-25,19.0,19.0,19.0,19.0,0,DNP
2025-04-28,19.0,19.0,19.0,19.0,3000,DNP
2025-04-29,18.4,18.4,18.4,18.4,1000,DNP
2025-05-05,18.6,18.6,18.6,18.6,200,DNP
2025-05-06,18.6,18.6,18.6,18.6,0,DNP
2025-05-07,17.3,18.5,17.3,18.4,1400,DNP
2025-05-08,18.4,18.4,18.4,18.4,0,DNP
2025-05-09,18.7,18.7,18.7,18.7,105,DNP
2025-05-12,18.5,19.3,18.3,19.3,12100,DNP
2025-05-13,19.2,21.2,19.2,21.2,27600,DNP
2025-05-14,19.5,19.5,19.5,19.5,708,DNP
2025-05-15,18.1,20.9,18.1,20.9,400,DNP
2025-05-16,20.9,20.9,20.9,20.9,30,DNP
2025-05-19,19.0,19.1,19.0,19.1,202,DNP
2025-05-20,19.1,19.1,19.1,19.1,0,DNP
2025-05-21,19.1,19.1,19.1,19.1,0,DNP
2025-05-22,17.4,19.6,17.4,19.6,3377,DNP
2025-05-23,19.6,19.6,19.6,19.6,100,DNP
2025-05-26,18.4,18.5,18.4,18.5,1901,DNP
2025-05-27,18.8,18.8,18.8,18.8,500,DNP
2025-05-28,18.6,19.3,18.6,19.3,750,DNP
2025-05-29,18.9,18.9,18.9,18.9,100,DNP
2025-05-30,18.5,19.4,18.5,19.2,303,DNP
