time,open,high,low,close,volume,symbol
2025-02-10,32.844,32.844,31.892,32.082,3400,DNW
2025-02-11,32.368,32.368,32.273,32.273,700,DNW
2025-02-12,32.368,32.368,31.892,32.273,8200,DNW
2025-02-13,32.368,33.891,31.987,32.082,53700,DNW
2025-02-14,31.987,31.987,31.987,31.987,7000,DNW
2025-02-17,31.987,32.368,31.987,31.987,9503,DNW
2025-02-18,31.987,31.987,31.797,31.797,1109,DNW
2025-02-19,31.797,31.797,31.511,31.702,9130,DNW
2025-02-20,31.702,31.702,31.226,31.226,2926,DNW
2025-02-21,31.797,31.797,31.797,31.797,100,DNW
2025-02-24,31.606,31.702,31.416,31.702,1601,DNW
2025-02-25,31.702,32.082,31.702,32.082,18300,DNW
2025-02-26,31.892,31.892,29.798,31.035,53251,DNW
2025-02-27,30.845,31.13,30.845,31.13,9400,DNW
2025-02-28,30.464,31.321,30.083,30.94,29001,DNW
2025-03-03,31.035,33.32,31.035,31.702,35122,DNW
2025-03-04,32.368,33.225,31.511,33.034,27124,DNW
2025-03-05,32.844,33.225,31.702,31.702,9200,DNW
2025-03-06,33.13,33.13,31.797,32.844,3519,DNW
2025-03-07,32.939,33.034,32.368,32.368,2000,DNW
2025-03-10,32.558,32.558,32.178,32.178,1600,DNW
2025-03-11,32.368,32.368,31.416,31.416,702,DNW
2025-03-12,32.178,32.178,31.702,31.702,3102,DNW
2025-03-13,31.606,31.797,31.416,31.797,1404,DNW
2025-03-14,31.511,31.606,29.036,31.606,39201,DNW
2025-03-17,30.654,30.654,30.654,30.654,1200,DNW
2025-03-18,31.892,32.368,30.654,32.368,5913,DNW
2025-03-19,31.987,31.987,31.987,31.987,900,DNW
2025-03-20,31.987,31.987,31.987,31.987,100,DNW
2025-03-21,31.987,31.987,31.987,31.987,0,DNW
2025-03-24,31.606,31.606,31.606,31.606,604,DNW
2025-03-25,31.606,31.606,31.606,31.606,300,DNW
2025-03-26,31.606,31.606,31.606,31.606,0,DNW
2025-03-27,31.606,31.606,31.606,31.606,100,DNW
2025-03-28,31.416,31.702,30.559,31.702,5001,DNW
2025-03-31,30.654,30.75,30.464,30.464,7603,DNW
2025-04-01,30.654,30.94,30.369,30.369,4700,DNW
2025-04-02,30.464,30.845,29.702,30.654,9719,DNW
2025-04-03,30.464,30.464,25.894,28.084,28300,DNW
2025-04-04,28.655,30.083,27.894,30.083,25300,DNW
2025-04-08,28.655,29.988,27.608,27.608,18630,DNW
2025-04-09,28.465,31.416,28.465,28.56,17200,DNW
2025-04-10,30.464,31.987,30.464,30.559,40807,DNW
2025-04-11,30.464,30.75,30.274,30.75,700,DNW
2025-04-14,30.369,30.369,30.274,30.274,5106,DNW
2025-04-15,30.464,30.75,30.464,30.75,2911,DNW
2025-04-16,30.464,31.416,29.702,31.416,2401,DNW
2025-04-17,31.226,31.226,31.226,31.226,1596,DNW
2025-04-18,30.559,30.559,29.607,30.083,26140,DNW
2025-04-21,31.226,31.321,29.798,29.798,400,DNW
2025-04-22,29.988,30.464,29.988,30.464,702,DNW
2025-04-23,30.464,30.559,29.798,29.798,5000,DNW
2025-04-24,30.178,30.178,29.512,29.512,601,DNW
2025-04-25,30.654,30.654,29.988,30.464,7800,DNW
2025-04-28,31.321,31.321,30.845,30.94,900,DNW
2025-04-29,31.035,31.035,30.94,30.94,908,DNW
2025-05-05,31.035,31.321,30.654,31.035,5220,DNW
2025-05-06,31.226,31.226,31.226,31.226,2400,DNW
2025-05-07,31.226,31.226,31.226,31.226,1200,DNW
2025-05-08,31.13,31.13,30.654,30.94,1300,DNW
2025-05-09,30.94,30.94,30.654,30.94,623,DNW
2025-05-12,30.654,31.035,30.559,30.559,7100,DNW
2025-05-13,30.75,30.845,30.75,30.845,200,DNW
2025-05-14,30.559,30.94,30.464,30.845,3200,DNW
2025-05-15,30.75,30.75,30.464,30.75,700,DNW
2025-05-16,30.559,30.75,29.988,30.75,2605,DNW
2025-05-19,30.083,30.75,30.083,30.75,1200,DNW
2025-05-20,30.75,31.226,30.75,30.75,10501,DNW
2025-05-21,31.035,31.226,30.369,31.226,3900,DNW
2025-05-22,30.75,30.75,30.559,30.559,3200,DNW
2025-05-23,30.654,30.654,30.464,30.464,11910,DNW
2025-05-26,30.464,30.559,30.464,30.559,4601,DNW
2025-05-27,30.654,30.94,30.559,30.654,6600,DNW
2025-05-28,30.654,30.654,30.654,30.654,0,DNW
2025-05-29,30.75,31.416,30.75,31.416,3718,DNW
2025-05-30,30.75,31.702,30.75,31.606,4900,DNW
2025-06-02,31.416,31.892,31.416,31.511,7703,DNW
2025-06-03,32.5,32.5,31.6,32.2,5205,DNW
2025-06-04,32.5,33.0,31.5,32.7,23900,DNW
2025-06-05,32.7,32.7,32.0,32.0,1600,DNW
2025-06-06,32.5,32.6,32.2,32.2,7300,DNW
2025-06-09,32.5,32.6,31.8,31.8,1400,DNW
2025-06-10,32.1,32.4,32.0,32.4,3100,DNW
2025-06-11,32.3,32.3,32.3,32.3,300,DNW
2025-06-12,32.3,32.3,32.3,32.3,100,DNW
2025-06-13,31.5,32.1,31.2,31.2,10500,DNW
2025-06-16,31.2,32.0,31.2,32.0,2105,DNW
2025-06-17,31.5,31.5,31.5,31.5,2805,DNW
2025-06-18,31.5,31.5,31.5,31.5,600,DNW
2025-06-19,31.5,32.3,31.5,31.5,2200,DNW
2025-06-20,31.6,31.6,31.6,31.6,100,DNW
2025-06-23,31.9,32.0,31.7,31.7,1900,DNW
2025-06-24,32.0,32.0,32.0,32.0,1300,DNW
2025-06-25,32.0,32.0,32.0,32.0,300,DNW
2025-06-26,32.0,32.0,32.0,32.0,200,DNW
2025-06-27,32.0,32.0,32.0,32.0,0,DNW
2025-06-30,31.6,31.7,31.6,31.7,433,DNW
2025-07-01,32.0,32.0,31.8,32.0,2400,DNW
2025-07-02,32.0,32.0,32.0,32.0,210,DNW
2025-07-03,32.1,32.1,32.0,32.0,1710,DNW
2025-07-04,32.1,32.1,31.6,31.6,610,DNW
2025-07-07,31.5,31.5,31.4,31.5,3006,DNW
2025-07-08,31.5,31.6,31.3,31.3,12302,DNW
2025-07-09,31.4,32.0,30.6,31.1,14620,DNW
2025-07-10,31.7,31.7,31.2,31.2,1200,DNW
2025-07-11,30.5,31.5,30.1,31.5,6207,DNW
2025-07-14,31.1,32.0,30.7,32.0,8210,DNW
2025-07-15,31.1,31.1,31.1,31.1,100,DNW
