time,open,high,low,close,volume,symbol
2025-02-10,56.43,57.572,56.24,57.096,33910,DP3
2025-02-11,57.477,60.427,56.811,58.523,37109,DP3
2025-02-12,58.999,59.285,58.048,58.523,23536,DP3
2025-02-13,58.523,58.999,57.381,58.428,21307,DP3
2025-02-14,58.428,58.523,58.428,58.428,21222,DP3
2025-02-17,58.428,58.428,56.715,58.048,13954,DP3
2025-02-18,58.048,58.048,56.906,57.572,7523,DP3
2025-02-19,57.572,57.572,56.62,56.811,26115,DP3
2025-02-20,56.811,57.191,56.811,57.191,6206,DP3
2025-02-21,57.096,57.096,57.001,57.001,7000,DP3
2025-02-24,57.001,57.667,57.001,57.667,22656,DP3
2025-02-25,57.667,57.667,57.381,57.477,11709,DP3
2025-02-26,57.572,57.857,57.477,57.477,11257,DP3
2025-02-27,57.572,57.572,57.286,57.572,21217,DP3
2025-02-28,57.572,58.048,57.572,57.952,6334,DP3
2025-03-03,57.952,58.048,57.572,57.572,8536,DP3
2025-03-04,58.333,58.809,58.048,58.238,20782,DP3
2025-03-05,58.238,58.523,57.667,58.238,9067,DP3
2025-03-06,58.714,59.38,58.619,58.809,36569,DP3
2025-03-07,58.904,59.19,58.714,59.19,29139,DP3
2025-03-10,59.285,59.856,58.999,59.665,31343,DP3
2025-03-11,59.57,59.76,59.19,59.57,27893,DP3
2025-03-12,59.665,59.76,59.19,59.475,21095,DP3
2025-03-13,59.285,59.475,58.904,58.999,21438,DP3
2025-03-14,58.904,59.475,58.904,59.19,38445,DP3
2025-03-17,59.475,59.475,58.999,58.999,20533,DP3
2025-03-18,59.285,60.427,59.285,59.76,60021,DP3
2025-03-19,59.57,59.76,58.999,59.285,29421,DP3
2025-03-20,59.285,59.76,58.999,58.999,32665,DP3
2025-03-21,59.0,61.0,58.0,58.3,40189,DP3
2025-03-24,58.3,58.4,57.7,58.0,27551,DP3
2025-03-25,58.0,58.4,57.9,58.4,22453,DP3
2025-03-26,58.4,58.7,58.3,58.7,30300,DP3
2025-03-27,58.7,59.3,58.7,58.8,24617,DP3
2025-03-28,59.0,59.0,58.4,58.7,14366,DP3
2025-03-31,58.7,58.7,58.4,58.5,9255,DP3
2025-04-01,58.5,59.0,58.4,58.7,16766,DP3
2025-04-02,58.7,59.2,58.6,59.2,17125,DP3
2025-04-03,59.0,59.0,55.8,56.1,57307,DP3
2025-04-04,56.1,56.7,55.0,56.7,31318,DP3
2025-04-08,56.4,56.5,53.3,53.5,32092,DP3
2025-04-09,52.0,53.6,49.0,53.0,29996,DP3
2025-04-10,53.5,58.3,53.5,58.3,38926,DP3
2025-04-11,59.0,59.0,56.5,57.0,12754,DP3
2025-04-14,57.0,57.0,56.1,56.4,12134,DP3
2025-04-15,56.4,56.4,54.9,55.0,30199,DP3
2025-04-16,55.0,55.0,52.0,54.0,56244,DP3
2025-04-17,52.6,55.2,52.2,54.8,14600,DP3
2025-04-18,55.0,56.2,54.4,54.8,6635,DP3
2025-04-21,55.0,55.0,53.6,54.0,6517,DP3
2025-04-22,54.0,54.6,52.8,52.9,23580,DP3
2025-04-23,54.0,54.6,53.3,53.3,2677,DP3
2025-04-24,53.3,54.0,53.3,54.0,8028,DP3
2025-04-25,54.0,54.1,53.8,54.1,7332,DP3
2025-04-28,54.1,54.6,52.5,54.3,9700,DP3
2025-04-29,54.3,54.5,54.1,54.1,2000,DP3
2025-05-05,54.1,54.3,53.7,54.3,6103,DP3
2025-05-06,53.7,54.3,53.7,54.3,7663,DP3
2025-05-07,54.1,54.3,53.2,53.2,9005,DP3
2025-05-08,54.0,54.0,53.2,53.8,2694,DP3
2025-05-09,53.8,53.9,53.5,53.9,7601,DP3
2025-05-12,53.9,54.2,53.8,54.1,6700,DP3
2025-05-13,54.2,54.2,54.1,54.2,5875,DP3
2025-05-14,54.2,54.4,53.9,53.9,13406,DP3
2025-05-15,54.3,54.6,54.3,54.3,10311,DP3
2025-05-16,54.3,54.3,54.0,54.1,6004,DP3
2025-05-19,54.3,54.4,54.1,54.1,5412,DP3
2025-05-20,54.0,54.1,53.9,54.0,10438,DP3
2025-05-21,54.0,54.1,53.9,54.0,9150,DP3
2025-05-22,53.9,54.0,53.6,53.9,14901,DP3
2025-05-23,53.8,54.1,53.4,53.9,23554,DP3
2025-05-26,53.5,54.1,53.5,54.0,3202,DP3
2025-05-27,54.0,54.5,54.0,54.1,14371,DP3
2025-05-28,54.1,54.5,53.7,53.7,11264,DP3
2025-05-29,53.7,54.1,53.6,54.1,6909,DP3
2025-05-30,53.8,53.9,53.6,53.6,8953,DP3
2025-06-02,53.6,53.8,53.5,53.6,9100,DP3
2025-06-03,53.6,53.7,53.5,53.5,2863,DP3
2025-06-04,53.7,53.7,53.4,53.7,5829,DP3
2025-06-05,53.7,53.7,53.5,53.6,4160,DP3
2025-06-06,53.6,53.6,53.4,53.6,3200,DP3
2025-06-09,53.6,53.8,53.6,53.6,2100,DP3
2025-06-10,53.9,53.9,53.7,53.7,2530,DP3
2025-06-11,53.4,53.5,53.3,53.4,5370,DP3
2025-06-12,53.4,53.8,53.1,53.4,6889,DP3
2025-06-13,53.4,53.4,52.5,52.8,13650,DP3
2025-06-16,52.1,52.6,52.0,52.5,7529,DP3
2025-06-17,52.6,53.6,52.6,52.8,5560,DP3
2025-06-18,52.7,53.0,52.3,53.0,3806,DP3
2025-06-19,53.3,53.3,53.0,53.2,2314,DP3
2025-06-20,53.2,53.3,53.2,53.2,4385,DP3
2025-06-23,53.2,53.3,53.0,53.0,10000,DP3
2025-06-24,53.0,53.2,52.9,52.9,2517,DP3
2025-06-25,52.9,53.1,52.9,53.1,1027,DP3
2025-06-26,52.8,52.8,52.7,52.8,1053,DP3
2025-06-27,52.6,52.7,52.6,52.7,2100,DP3
2025-06-30,53.9,54.5,53.3,53.3,6387,DP3
2025-07-01,53.3,53.4,53.3,53.4,8419,DP3
2025-07-02,53.5,53.5,53.1,53.3,2896,DP3
2025-07-03,53.6,53.6,53.4,53.4,3600,DP3
2025-07-04,53.4,53.5,53.4,53.4,1404,DP3
2025-07-07,53.4,53.4,53.0,53.2,15101,DP3
2025-07-08,53.2,53.2,52.9,53.0,16807,DP3
2025-07-09,47.7,53.0,47.7,52.9,17871,DP3
2025-07-10,52.8,53.4,52.8,53.4,10902,DP3
2025-07-11,53.5,53.6,53.2,53.3,8501,DP3
2025-07-14,53.3,53.5,52.9,53.0,16602,DP3
2025-07-15,52.9,53.0,52.9,52.9,14500,DP3
2025-07-16,52.9,53.2,52.8,52.8,18015,DP3
2025-07-17,53.0,53.0,52.8,53.0,10061,DP3
2025-07-18,53.0,53.0,52.8,53.0,7432,DP3
2025-07-21,53.0,53.0,52.7,52.9,6300,DP3
2025-07-22,52.8,53.0,52.8,52.9,7772,DP3
2025-07-23,52.8,52.9,52.8,52.9,9604,DP3
2025-07-24,52.9,53.0,52.8,52.9,12942,DP3
2025-07-25,52.8,53.0,52.8,53.0,10322,DP3
2025-07-28,53.3,53.3,52.8,53.0,24501,DP3
2025-07-29,53.0,53.0,52.6,52.6,20619,DP3
2025-07-30,52.7,52.8,52.0,52.7,10704,DP3
2025-07-31,52.2,52.7,52.0,52.5,7500,DP3
2025-08-01,52.5,52.7,52.5,52.5,1500,DP3
2025-08-04,52.5,52.7,52.5,52.7,5518,DP3
2025-08-05,52.5,52.5,52.1,52.2,22319,DP3
2025-08-06,52.3,52.3,52.0,52.2,9753,DP3
2025-08-07,52.2,53.0,52.2,52.3,15650,DP3
2025-08-08,52.3,52.4,52.1,52.4,11760,DP3
2025-08-11,52.4,52.4,52.2,52.3,12417,DP3
2025-08-12,52.3,52.4,52.2,52.3,24527,DP3
2025-08-13,52.3,52.3,52.1,52.2,11319,DP3
2025-08-14,52.2,52.3,52.0,52.2,21756,DP3
2025-08-15,52.2,52.3,51.9,52.0,18020,DP3
2025-08-18,52.3,52.7,51.2,52.5,41319,DP3
2025-08-19,52.3,52.4,51.9,52.0,14715,DP3
2025-08-20,52.0,52.0,51.5,51.7,9204,DP3
2025-08-21,51.3,56.6,51.3,53.0,122516,DP3
2025-08-22,53.6,53.6,52.1,52.1,2320,DP3
2025-08-25,52.1,53.2,52.1,52.4,20428,DP3
2025-08-26,52.4,52.4,52.0,52.3,5810,DP3
2025-08-27,52.3,52.4,52.0,52.3,5800,DP3
2025-08-28,52.5,52.5,52.0,52.4,11018,DP3
2025-08-29,52.2,52.4,52.2,52.4,3603,DP3
2025-09-03,51.1,52.4,50.1,52.1,4729,DP3
2025-09-04,52.1,52.1,51.9,52.1,7061,DP3
2025-09-05,52.1,52.1,52.0,52.0,5274,DP3
