time,open,high,low,close,volume,symbol
2025-02-10,12.217,12.258,11.732,12.056,62400,DSC
2025-02-11,12.056,12.379,12.015,12.298,103100,DSC
2025-02-12,12.298,12.339,12.177,12.298,104300,DSC
2025-02-13,12.42,12.622,12.379,12.541,47800,DSC
2025-02-14,12.541,12.703,12.46,12.582,65000,DSC
2025-02-17,12.784,12.905,12.42,12.824,80400,DSC
2025-02-18,12.865,12.986,12.824,12.824,56900,DSC
2025-02-19,12.905,12.946,12.824,12.865,47800,DSC
2025-02-20,12.946,13.107,12.946,13.067,63800,DSC
2025-02-21,13.188,13.674,13.107,13.593,106200,DSC
2025-02-24,13.876,13.997,13.633,13.997,153500,DSC
2025-02-25,14.119,14.119,13.714,14.038,118200,DSC
2025-02-26,14.119,14.119,13.755,13.876,103300,DSC
2025-02-27,13.997,13.997,13.633,13.957,51500,DSC
2025-02-28,14.038,14.038,13.512,13.876,49500,DSC
2025-03-03,13.755,13.876,13.633,13.876,60300,DSC
2025-03-04,13.755,13.755,13.512,13.633,79900,DSC
2025-03-05,13.512,13.714,13.512,13.552,27700,DSC
2025-03-06,13.633,13.755,13.472,13.755,60800,DSC
2025-03-07,13.755,13.755,13.633,13.674,56100,DSC
2025-03-10,13.593,13.795,13.593,13.674,29400,DSC
2025-03-11,13.633,13.674,13.431,13.552,56400,DSC
2025-03-12,13.593,13.593,13.391,13.512,34800,DSC
2025-03-13,13.552,13.552,13.391,13.391,38300,DSC
2025-03-14,13.431,13.552,13.148,13.148,53800,DSC
2025-03-17,13.107,13.148,12.865,12.946,86300,DSC
2025-03-18,13.431,13.431,12.824,13.148,49000,DSC
2025-03-19,13.188,13.188,12.986,13.188,47700,DSC
2025-03-20,13.067,13.188,12.946,12.986,49700,DSC
2025-03-21,12.986,13.067,12.946,13.067,55500,DSC
2025-03-24,13.148,13.35,12.986,13.148,81500,DSC
2025-03-25,13.269,13.269,13.027,13.107,26500,DSC
2025-03-26,13.269,13.31,13.107,13.229,44300,DSC
2025-03-27,13.269,13.35,13.148,13.269,16200,DSC
2025-03-28,13.067,13.229,13.067,13.067,62500,DSC
2025-03-31,13.067,13.188,12.946,13.027,36400,DSC
2025-04-01,13.067,13.148,13.027,13.107,32500,DSC
2025-04-02,13.391,13.917,13.107,13.917,127500,DSC
2025-04-03,13.552,13.552,12.946,12.946,127300,DSC
2025-04-04,12.056,12.703,12.056,12.703,174600,DSC
2025-04-08,11.853,12.582,11.853,11.853,71900,DSC
2025-04-09,11.044,11.287,11.044,11.044,227000,DSC
2025-04-10,11.813,11.813,11.813,11.813,25000,DSC
2025-04-11,12.339,12.339,11.691,12.137,114300,DSC
2025-04-14,12.137,12.42,11.975,12.339,66300,DSC
2025-04-15,12.298,12.298,11.813,12.096,59100,DSC
2025-04-16,12.217,12.217,11.53,11.813,26700,DSC
2025-04-17,12.137,12.137,11.853,12.096,10000,DSC
2025-04-18,12.096,12.46,12.096,12.379,53300,DSC
2025-04-21,12.258,12.42,12.056,12.056,43300,DSC
2025-04-22,12.056,12.056,11.246,11.327,65100,DSC
2025-04-23,11.489,11.853,11.206,11.732,49700,DSC
2025-04-24,12.015,12.056,11.651,12.015,11800,DSC
2025-04-25,12.217,12.217,11.813,12.096,14300,DSC
2025-04-28,12.258,12.339,12.096,12.217,46200,DSC
2025-04-29,12.784,12.784,12.217,12.339,22000,DSC
2025-05-05,12.298,12.865,12.177,12.42,15700,DSC
2025-05-06,12.662,12.662,12.177,12.379,45300,DSC
2025-05-07,12.541,12.541,12.258,12.42,28900,DSC
2025-05-08,12.42,12.46,12.258,12.379,14800,DSC
2025-05-09,12.42,12.46,12.258,12.298,35900,DSC
2025-05-12,12.42,12.46,11.489,12.339,33500,DSC
2025-05-13,12.46,12.865,12.298,12.622,69800,DSC
2025-05-14,12.703,12.743,12.582,12.703,38700,DSC
2025-05-15,12.946,12.946,12.46,12.662,28100,DSC
2025-05-16,12.703,12.824,12.541,12.662,47300,DSC
2025-05-19,12.582,12.703,12.46,12.46,13300,DSC
2025-05-20,12.298,12.582,12.298,12.501,12500,DSC
2025-05-21,12.622,12.622,12.096,12.42,28800,DSC
2025-05-22,12.42,12.541,12.217,12.379,31200,DSC
2025-05-23,12.177,12.298,12.137,12.298,4200,DSC
2025-05-26,11.772,12.501,11.772,12.42,36400,DSC
2025-05-27,12.541,12.541,12.258,12.42,69500,DSC
2025-05-28,12.582,12.905,12.501,12.622,76900,DSC
2025-05-29,12.703,12.703,12.46,12.582,10500,DSC
2025-05-30,12.662,12.662,12.298,12.541,50200,DSC
2025-06-02,12.541,12.743,12.379,12.703,73700,DSC
2025-06-03,12.824,13.027,12.703,12.986,266400,DSC
2025-06-04,13.067,13.067,12.703,12.946,96200,DSC
2025-06-05,12.946,12.946,12.703,12.743,60100,DSC
2025-06-06,12.743,12.784,12.46,12.541,17600,DSC
2025-06-09,12.582,12.622,12.298,12.582,37100,DSC
2025-06-10,12.582,12.784,12.339,12.784,33500,DSC
2025-06-11,12.46,12.622,12.379,12.582,20200,DSC
2025-06-12,12.582,12.662,12.42,12.42,11500,DSC
2025-06-13,12.42,12.501,12.056,12.217,51200,DSC
2025-06-16,12.137,12.379,12.015,12.217,75200,DSC
2025-06-17,12.46,12.46,12.096,12.137,32200,DSC
2025-06-18,12.137,12.339,12.015,12.015,28100,DSC
2025-06-19,12.015,12.056,11.327,12.015,56400,DSC
2025-06-20,12.015,12.096,11.894,11.975,27200,DSC
2025-06-23,11.975,11.975,11.732,11.934,16300,DSC
2025-06-24,11.934,12.056,11.732,11.934,58300,DSC
2025-06-25,11.975,11.975,11.813,11.853,9900,DSC
2025-06-26,11.813,11.894,11.732,11.853,46500,DSC
2025-06-27,11.813,12.015,11.813,12.015,38200,DSC
2025-06-30,12.137,12.137,11.975,12.056,20800,DSC
2025-07-01,12.137,12.258,11.975,12.096,74000,DSC
2025-07-02,12.258,12.298,11.975,12.177,100900,DSC
2025-07-03,12.298,12.42,12.177,12.177,78800,DSC
2025-07-04,12.339,12.339,12.015,12.217,20600,DSC
2025-07-07,12.339,12.339,12.177,12.258,98600,DSC
2025-07-08,12.258,12.379,12.258,12.258,71700,DSC
2025-07-09,12.46,12.865,12.298,12.541,109000,DSC
2025-07-10,12.582,12.865,12.42,12.865,202100,DSC
2025-07-11,12.905,13.714,12.905,13.431,359700,DSC
2025-07-14,13.552,13.755,13.027,13.188,178600,DSC
2025-07-15,13.188,13.674,13.148,13.472,274100,DSC
2025-07-16,13.35,13.917,13.229,13.472,119500,DSC
2025-07-17,13.755,13.917,13.512,13.633,272200,DSC
2025-07-18,13.836,14.078,13.755,13.997,215100,DSC
2025-07-21,14.038,14.24,13.674,13.836,132700,DSC
2025-07-22,13.917,13.917,13.431,13.876,115900,DSC
2025-07-23,14.078,14.564,13.876,13.917,185800,DSC
2025-07-24,14.078,14.159,13.593,13.755,84400,DSC
2025-07-25,13.593,13.997,13.593,13.997,199800,DSC
2025-07-28,14.442,14.968,14.24,14.968,797100,DSC
2025-07-29,15.737,15.737,14.402,14.402,620500,DSC
2025-07-30,14.078,14.968,14.038,14.442,220500,DSC
2025-07-31,14.483,14.928,14.119,14.321,278900,DSC
2025-08-01,14.685,14.685,14.119,14.159,193100,DSC
2025-08-04,14.159,14.523,14.119,14.483,152800,DSC
2025-08-05,14.807,14.847,14.078,14.402,516300,DSC
2025-08-06,14.564,14.766,14.483,14.766,247400,DSC
2025-08-07,15.292,15.292,14.564,14.887,256800,DSC
2025-08-08,14.968,15.13,14.564,14.766,236700,DSC
2025-08-11,14.928,14.968,14.685,14.847,268500,DSC
2025-08-12,14.807,14.968,14.483,14.726,303500,DSC
2025-08-13,14.726,14.887,14.402,14.685,168600,DSC
2025-08-14,14.685,14.968,14.604,14.807,278900,DSC
2025-08-15,14.968,15.818,14.887,15.818,976700,DSC
2025-08-18,16.91,16.91,16.91,16.91,219800,DSC
2025-08-19,18.083,18.083,17.8,18.083,2026100,DSC
2025-08-20,19.095,19.135,16.829,19.135,1360500,DSC
2025-08-21,19.216,19.216,17.8,17.8,792400,DSC
2025-08-22,17.76,17.76,16.587,17.112,1208500,DSC
2025-08-25,17.193,17.193,16.061,16.061,461400,DSC
2025-08-26,16.263,16.829,16.182,16.748,314800,DSC
2025-08-27,16.748,17.072,16.182,16.182,411900,DSC
2025-08-28,16.748,17.315,16.546,17.315,440000,DSC
2025-08-29,18.286,18.286,17.396,17.679,519100,DSC
2025-09-03,18.043,18.043,17.153,17.679,236700,DSC
2025-09-04,17.638,17.719,17.274,17.598,214000,DSC
2025-09-05,18.205,18.205,17.032,17.153,202800,DSC
2025-09-08,17.153,17.396,16.425,16.546,284200,DSC
2025-09-09,16.546,16.789,16.182,16.627,149200,DSC
2025-09-10,16.708,16.829,16.344,16.546,93600,DSC
2025-09-11,16.667,16.708,15.98,16.627,194200,DSC
2025-09-12,16.87,17.112,16.627,16.627,101300,DSC
2025-09-15,17.234,17.234,16.627,17.072,112700,DSC
2025-09-16,17.072,17.396,16.748,16.951,105900,DSC
2025-09-17,16.829,16.829,16.384,16.667,139900,DSC
2025-09-18,16.991,17.112,16.587,16.991,490800,DSC
2025-09-19,17.153,17.193,16.829,16.991,98000,DSC
2025-09-22,17.193,17.557,16.829,16.91,334400,DSC
2025-09-23,17.153,17.153,16.587,16.87,97900,DSC
2025-09-24,16.91,16.91,16.587,16.87,94900,DSC
2025-09-25,16.951,17.112,16.667,16.829,140000,DSC
2025-09-26,17.072,17.396,16.87,17.032,232900,DSC
2025-09-29,17.032,17.396,16.91,17.072,139900,DSC
2025-09-30,16.991,17.315,16.708,17.153,176500,DSC
2025-10-01,17.193,17.193,16.789,16.829,116200,DSC
2025-10-02,16.829,16.829,16.182,16.182,436100,DSC
2025-10-03,16.45,17.0,16.25,16.6,140200,DSC
2025-10-06,15.85,17.75,15.85,17.75,283600,DSC
2025-10-07,17.75,17.75,17.1,17.5,108900,DSC
2025-10-08,17.75,17.95,17.35,17.8,166200,DSC
2025-10-09,17.9,17.9,17.55,17.8,102900,DSC
2025-10-10,17.7,18.0,17.65,17.8,131600,DSC
2025-10-13,17.7,17.7,17.1,17.7,159600,DSC
2025-10-14,17.8,17.9,17.4,17.7,182600,DSC
2025-10-15,17.3,17.65,17.25,17.5,58700,DSC
2025-10-16,17.45,17.5,17.15,17.5,87000,DSC
2025-10-17,17.5,17.5,16.35,16.9,172200,DSC
2025-10-20,16.85,17.15,15.75,15.75,106700,DSC
2025-10-21,15.85,16.0,15.0,15.8,156200,DSC
2025-10-22,16.1,16.4,15.6,16.3,66300,DSC
2025-10-23,16.45,16.7,15.5,16.1,46900,DSC
2025-10-24,16.1,16.3,15.05,16.0,188100,DSC
2025-10-27,16.0,16.1,15.55,15.85,37000,DSC
2025-10-28,15.7,15.95,15.15,15.95,68100,DSC
2025-10-29,15.95,16.3,15.75,16.1,38200,DSC
2025-10-30,15.75,16.4,15.75,16.15,42700,DSC
2025-10-31,16.15,16.2,15.8,15.8,50100,DSC
2025-11-03,16.3,16.3,15.3,15.95,57200,DSC
2025-11-04,16.25,16.25,15.6,16.2,85200,DSC
2025-11-05,16.2,16.3,15.8,15.95,20300,DSC
2025-11-06,16.65,16.65,15.8,16.0,80900,DSC
2025-11-07,15.9,16.0,15.6,15.85,47800,DSC
2025-11-10,15.75,15.85,15.3,15.45,48900,DSC
2025-11-11,15.8,15.8,15.0,15.5,66800,DSC
2025-11-12,15.5,15.75,15.05,15.7,29400,DSC
2025-11-13,15.75,15.8,15.15,15.6,27900,DSC
2025-11-14,15.65,15.75,15.4,15.6,41900,DSC
2025-11-17,15.6,15.7,15.4,15.65,38700,DSC
2025-11-18,15.65,15.75,15.45,15.5,36600,DSC
2025-11-19,15.5,15.5,15.35,15.4,25800,DSC
2025-11-20,15.65,15.7,15.35,15.55,18200,DSC
2025-11-21,15.55,15.55,15.3,15.5,33700,DSC
2025-11-24,15.3,15.6,15.1,15.3,26100,DSC
2025-11-25,15.3,15.3,15.05,15.3,17200,DSC
2025-11-26,15.4,15.45,15.15,15.4,30700,DSC
2025-11-27,15.6,15.6,15.15,15.15,29000,DSC
2025-11-28,15.15,15.5,15.1,15.15,46800,DSC
2025-12-01,14.65,15.2,14.65,14.7,47800,DSC
2025-12-02,14.4,15.4,14.4,15.0,46600,DSC
2025-12-03,15.0,15.5,14.55,15.25,60400,DSC
2025-12-04,15.0,15.35,15.0,15.3,23000,DSC
2025-12-05,15.3,15.3,15.0,15.1,20500,DSC
2025-12-08,14.9,15.2,14.8,15.2,50900,DSC
2025-12-09,15.2,15.4,14.8,15.4,75900,DSC
2025-12-10,15.4,15.5,15.2,15.45,55600,DSC
2025-12-11,15.2,15.5,15.1,15.45,18400,DSC
2025-12-12,15.45,15.45,14.8,15.0,90600,DSC
2025-12-15,14.9,15.0,14.7,14.7,17200,DSC
2025-12-16,14.7,15.4,14.6,15.4,82200,DSC
2025-12-17,15.4,15.4,15.0,15.35,22800,DSC
2025-12-18,15.3,15.3,14.9,14.9,48400,DSC
2025-12-19,14.95,15.25,14.9,15.2,15700,DSC
2025-12-22,15.2,15.5,15.1,15.5,72300,DSC
2025-12-23,15.5,15.5,15.2,15.4,8500,DSC
2025-12-24,15.15,15.3,15.05,15.25,53000,DSC
2025-12-25,15.3,15.3,15.0,15.0,10900,DSC
2025-12-26,15.05,15.05,14.75,15.0,24500,DSC
2025-12-29,15.0,15.0,14.8,14.8,9000,DSC
2025-12-30,14.75,14.95,14.75,14.75,9200,DSC
2025-12-31,14.55,14.95,14.5,14.5,61400,DSC
2026-01-05,14.5,14.6,14.2,14.5,92000,DSC
2026-01-06,14.7,14.7,14.3,14.7,72800,DSC
2026-01-07,14.85,14.9,14.65,14.8,55800,DSC
2026-01-08,14.5,14.8,14.5,14.8,62800,DSC
2026-01-09,14.75,14.8,14.15,14.25,85200,DSC
2026-01-12,14.2,15.2,14.2,15.0,237000,DSC
2026-01-13,15.1,15.25,14.8,15.15,178300,DSC
2026-01-14,15.15,15.2,14.75,15.1,180100,DSC
2026-01-15,15.05,15.05,14.7,15.0,55800,DSC
2026-01-16,15.0,15.1,13.95,15.0,241000,DSC
2026-01-19,15.0,15.5,14.1,15.5,99100,DSC
2026-01-20,15.5,16.5,14.45,16.5,171400,DSC
2026-01-21,16.1,16.1,15.35,15.35,181100,DSC
2026-01-22,15.0,15.6,15.0,15.4,57700,DSC
2026-01-23,15.4,15.5,15.1,15.35,33700,DSC
2026-01-26,15.8,15.8,14.95,15.15,39100,DSC
2026-01-27,15.1,15.1,14.85,15.0,15800,DSC
2026-01-28,15.1,15.1,14.8,15.0,22900,DSC
2026-01-29,15.0,15.05,14.8,14.95,22300,DSC
2026-01-30,14.9,15.1,14.8,15.0,53900,DSC
2026-02-02,15.0,15.0,13.95,14.95,23800,DSC
2026-02-03,14.95,15.0,14.4,14.95,13500,DSC
2026-02-04,14.95,15.35,14.75,14.9,25600,DSC
2026-02-05,14.9,14.9,14.6,14.85,15500,DSC
2026-02-06,14.8,14.8,13.95,14.25,74100,DSC
2026-02-09,13.5,14.4,13.5,14.05,16800,DSC
2026-02-10,14.2,14.45,14.0,14.05,34800,DSC
