time,open,high,low,close,volume,symbol
2025-02-10,23.898,24.758,23.802,24.758,389109,DVN
2025-02-11,24.375,26.765,24.375,24.662,633571,DVN
2025-02-12,24.853,25.523,23.993,23.993,232532,DVN
2025-02-13,24.471,26.0,23.993,25.809,337305,DVN
2025-02-14,25.905,26.287,25.14,25.523,229577,DVN
2025-02-17,25.523,26.67,25.045,25.809,246250,DVN
2025-02-18,25.809,26.096,25.045,25.427,141124,DVN
2025-02-19,25.427,26.0,24.853,25.427,286917,DVN
2025-02-20,25.523,27.243,25.14,26.478,502894,DVN
2025-02-21,26.192,26.67,25.809,26.096,156847,DVN
2025-02-24,26.096,26.67,24.853,25.14,275183,DVN
2025-02-25,25.331,25.905,24.853,25.905,283401,DVN
2025-02-26,25.905,27.53,25.809,26.861,519374,DVN
2025-02-27,26.861,28.199,26.574,27.721,313536,DVN
2025-02-28,27.721,28.199,27.243,27.626,195174,DVN
2025-03-03,27.721,29.346,27.626,28.199,293331,DVN
2025-03-04,28.199,28.581,26.67,27.339,245462,DVN
2025-03-05,27.243,27.721,26.861,27.339,150617,DVN
2025-03-06,27.148,27.721,27.052,27.53,106303,DVN
2025-03-07,27.434,28.103,27.243,27.53,165544,DVN
2025-03-10,27.626,27.912,27.243,27.626,164813,DVN
2025-03-11,27.817,27.817,27.243,27.626,153813,DVN
2025-03-12,27.339,27.53,27.148,27.243,97505,DVN
2025-03-13,27.243,27.243,26.287,26.383,290252,DVN
2025-03-14,26.574,26.574,25.045,25.331,284063,DVN
2025-03-17,25.331,25.331,24.758,24.853,193923,DVN
2025-03-18,24.853,24.949,24.28,24.471,212602,DVN
2025-03-19,24.567,25.618,24.567,25.236,213007,DVN
2025-03-20,25.236,25.523,24.949,25.045,69952,DVN
2025-03-21,25.236,25.427,25.045,25.236,76400,DVN
2025-03-24,25.236,25.236,24.471,24.567,117455,DVN
2025-03-25,24.662,24.662,24.375,24.567,88701,DVN
2025-03-26,24.567,24.758,24.375,24.662,66712,DVN
2025-03-27,24.567,24.567,24.28,24.567,48608,DVN
2025-03-28,24.471,24.662,24.28,24.567,40105,DVN
2025-03-31,24.567,25.618,24.567,25.045,230210,DVN
2025-04-01,25.236,25.331,24.949,25.236,82700,DVN
2025-04-02,25.236,25.427,24.949,25.045,72845,DVN
2025-04-03,24.853,24.853,21.412,22.081,386649,DVN
2025-04-04,22.464,22.559,20.169,21.986,211520,DVN
2025-04-08,21.986,21.986,18.736,19.214,399076,DVN
2025-04-09,16.824,19.596,16.824,18.831,243751,DVN
2025-04-10,19.883,21.508,19.883,21.508,349570,DVN
2025-04-11,21.508,21.699,20.934,21.699,117530,DVN
2025-04-14,21.89,22.081,21.508,21.986,73570,DVN
2025-04-15,21.795,21.986,21.125,21.221,80350,DVN
2025-04-16,21.125,21.699,20.361,20.839,145928,DVN
2025-04-17,20.456,20.934,20.361,20.934,40973,DVN
2025-04-18,20.934,21.412,20.552,21.03,59474,DVN
2025-04-21,21.03,21.221,20.456,20.839,72650,DVN
2025-04-22,20.647,20.934,19.214,20.552,86150,DVN
2025-04-23,20.647,21.03,20.265,20.934,48627,DVN
2025-04-24,21.03,21.317,20.839,21.125,46103,DVN
2025-04-25,20.934,21.317,20.647,20.934,20981,DVN
