time,open,high,low,close,volume,symbol
2025-02-10,12.991,12.991,12.521,12.521,14891600,DXG
2025-02-11,12.607,12.65,12.436,12.521,8204400,DXG
2025-02-12,12.607,12.607,12.308,12.436,12551400,DXG
2025-02-13,12.436,12.479,12.308,12.308,7339400,DXG
2025-02-14,12.393,12.65,12.393,12.436,11781800,DXG
2025-02-17,12.436,12.65,12.436,12.479,6954200,DXG
2025-02-18,12.521,12.821,12.521,12.607,8129900,DXG
2025-02-19,12.65,13.12,12.607,13.077,15888000,DXG
2025-02-20,13.162,13.248,12.906,13.077,8394900,DXG
2025-02-21,13.077,13.205,12.949,12.949,8882800,DXG
2025-02-24,12.949,13.12,12.863,13.12,9298000,DXG
2025-02-25,13.248,13.504,13.162,13.162,13644300,DXG
2025-02-26,13.248,13.333,13.034,13.12,8372500,DXG
2025-02-27,12.991,13.675,12.991,13.632,22543000,DXG
2025-02-28,13.632,13.932,13.504,13.932,22791800,DXG
2025-03-03,13.846,14.017,13.761,13.846,10694200,DXG
2025-03-04,13.803,14.017,13.632,13.889,17028700,DXG
2025-03-05,13.974,14.017,13.59,13.59,9585600,DXG
2025-03-06,13.632,13.974,13.59,13.974,10914500,DXG
2025-03-07,14.103,14.359,13.974,13.974,18771500,DXG
2025-03-10,14.145,14.273,13.932,14.017,9711200,DXG
2025-03-11,13.761,14.273,13.761,14.273,13843500,DXG
2025-03-12,14.359,14.402,13.974,14.145,12618100,DXG
2025-03-13,14.145,14.273,13.718,13.718,14251100,DXG
2025-03-14,13.761,14.316,13.718,13.932,15906400,DXG
2025-03-17,14.103,14.487,13.974,14.487,16147100,DXG
2025-03-18,14.658,14.701,14.188,14.188,13378800,DXG
2025-03-19,14.188,14.487,14.06,14.316,15879900,DXG
2025-03-20,14.444,14.444,13.932,14.231,8011900,DXG
2025-03-21,14.231,14.359,14.103,14.145,7286600,DXG
2025-03-24,14.103,14.145,13.675,14.145,13051600,DXG
2025-03-25,14.231,14.359,14.06,14.145,6632300,DXG
2025-03-26,14.188,14.359,13.889,14.103,8524500,DXG
2025-03-27,13.889,14.103,13.846,14.017,6190300,DXG
2025-03-28,14.017,14.103,13.761,13.761,8217300,DXG
2025-03-31,13.632,13.846,13.504,13.504,11851000,DXG
2025-04-01,13.675,13.675,13.504,13.547,3561200,DXG
2025-04-02,13.547,13.932,13.547,13.632,9093200,DXG
2025-04-03,13.077,13.205,12.692,12.692,28812200,DXG
2025-04-04,11.838,12.308,11.838,12.094,33877100,DXG
2025-04-08,11.368,11.966,11.282,11.282,8089400,DXG
2025-04-09,10.513,11.111,10.513,10.513,41328000,DXG
2025-04-10,11.239,11.239,11.239,11.239,1486600,DXG
2025-04-11,11.709,12.009,11.368,11.966,29967200,DXG
2025-04-14,12.137,12.65,11.795,12.35,19216200,DXG
2025-04-15,12.051,12.479,11.923,11.966,11654800,DXG
2025-04-16,11.923,12.222,11.709,11.923,11704100,DXG
2025-04-17,11.709,12.222,11.667,12.051,11502200,DXG
2025-04-18,12.222,12.564,12.051,12.179,12383600,DXG
2025-04-21,12.179,12.393,12.094,12.222,8303300,DXG
2025-04-22,12.009,12.222,11.368,11.966,27514300,DXG
2025-04-23,12.265,12.778,12.051,12.607,20366200,DXG
2025-04-24,12.607,12.821,12.521,12.778,8281000,DXG
2025-04-25,12.821,12.821,12.393,12.735,9364800,DXG
2025-04-28,12.735,12.735,12.479,12.479,6715500,DXG
2025-04-29,12.607,12.991,12.479,12.949,11662400,DXG
2025-05-05,13.12,13.162,12.906,13.162,7572900,DXG
2025-05-06,13.162,13.419,12.991,13.077,12503500,DXG
2025-05-07,13.077,13.718,12.949,13.675,21360400,DXG
2025-05-08,13.846,13.846,13.632,13.718,12101600,DXG
2025-05-09,13.803,14.017,13.504,13.846,14066700,DXG
2025-05-12,13.932,13.974,13.718,13.932,8588600,DXG
2025-05-13,14.103,14.103,13.846,14.017,9637400,DXG
2025-05-14,13.974,14.188,13.889,14.017,12045800,DXG
2025-05-15,14.103,14.145,13.761,13.932,9064400,DXG
2025-05-16,13.846,14.231,13.846,14.145,15522900,DXG
