time,open,high,low,close,volume,symbol
2025-02-10,11.204,11.204,10.919,11.014,320847,DXP
2025-02-11,11.014,11.014,10.919,10.919,148206,DXP
2025-02-12,10.919,11.014,10.824,10.919,173928,DXP
2025-02-13,11.014,11.109,10.919,10.919,122043,DXP
2025-02-14,10.729,11.014,10.729,11.014,89400,DXP
2025-02-17,10.824,11.014,10.824,10.919,215330,DXP
2025-02-18,10.919,11.109,10.919,11.109,180700,DXP
2025-02-19,11.109,11.204,11.014,11.014,203701,DXP
2025-02-20,11.014,11.109,10.824,11.014,202400,DXP
2025-02-21,10.919,11.014,10.919,10.919,142640,DXP
2025-02-24,10.919,11.014,10.919,10.919,118463,DXP
2025-02-25,10.919,11.014,10.824,10.919,303500,DXP
2025-02-26,10.919,10.919,10.729,10.824,191550,DXP
2025-02-27,10.824,10.919,10.729,10.824,116735,DXP
2025-02-28,10.729,10.824,10.729,10.824,136911,DXP
2025-03-03,10.919,10.919,10.729,10.824,146253,DXP
2025-03-04,10.729,10.824,10.634,10.729,162482,DXP
2025-03-05,10.729,10.824,10.634,10.729,119152,DXP
2025-03-06,10.824,10.919,10.729,10.824,63615,DXP
2025-03-07,10.824,10.919,10.729,10.729,144357,DXP
2025-03-10,10.729,10.824,10.634,10.729,66810,DXP
2025-03-11,10.729,10.824,10.634,10.729,125546,DXP
2025-03-12,10.729,10.824,10.634,10.729,51601,DXP
2025-03-13,10.729,10.824,10.634,10.634,210765,DXP
2025-03-14,10.539,10.729,10.445,10.729,181600,DXP
2025-03-17,10.634,10.729,10.634,10.729,87927,DXP
2025-03-18,10.729,10.824,10.634,10.729,57839,DXP
2025-03-19,10.729,10.729,10.539,10.539,57102,DXP
2025-03-20,10.539,10.634,10.539,10.634,102914,DXP
2025-03-21,10.539,10.634,10.539,10.634,37473,DXP
2025-03-24,10.634,10.634,10.445,10.634,93350,DXP
2025-03-25,10.539,10.634,10.539,10.634,27276,DXP
2025-03-26,10.539,10.634,10.445,10.445,48652,DXP
2025-03-27,10.539,10.634,10.445,10.539,95309,DXP
2025-03-28,10.445,10.539,10.445,10.539,164640,DXP
2025-03-31,10.539,10.539,10.35,10.445,40950,DXP
2025-04-01,10.445,10.539,10.35,10.539,50126,DXP
2025-04-02,10.445,10.539,10.445,10.445,13774,DXP
2025-04-03,10.445,10.445,9.4,9.4,517294,DXP
2025-04-04,9.305,9.305,8.64,9.115,188126,DXP
2025-04-08,9.21,9.21,8.261,8.261,236734,DXP
2025-04-09,7.501,8.166,7.501,7.501,358911,DXP
2025-04-10,8.071,8.166,8.071,8.166,18550,DXP
2025-04-11,8.925,8.925,7.976,8.071,893700,DXP
2025-04-14,8.261,8.735,8.261,8.546,123290,DXP
2025-04-15,8.546,8.546,8.071,8.261,301134,DXP
2025-04-16,8.071,8.261,7.976,7.976,199168,DXP
2025-04-17,7.976,7.976,7.786,7.976,88515,DXP
2025-04-18,8.166,8.451,7.976,8.166,169442,DXP
2025-04-21,8.166,8.925,8.166,8.64,453711,DXP
2025-04-22,8.64,8.735,7.881,8.071,656155,DXP
2025-04-23,8.261,8.546,8.261,8.356,131357,DXP
2025-04-24,8.451,8.64,8.261,8.356,185789,DXP
2025-04-25,8.451,8.546,8.356,8.451,121238,DXP
2025-04-28,8.546,8.64,8.356,8.546,107655,DXP
2025-04-29,8.546,8.64,8.451,8.546,155549,DXP
2025-05-05,8.64,8.83,8.451,8.546,471106,DXP
2025-05-06,8.546,9.115,8.546,9.02,570984,DXP
2025-05-07,9.02,9.02,8.735,8.925,137522,DXP
2025-05-08,9.02,9.02,8.83,9.02,185102,DXP
2025-05-09,9.02,9.02,8.83,8.925,116923,DXP
2025-05-12,8.925,8.925,8.83,8.925,125943,DXP
2025-05-13,9.02,9.21,9.02,9.115,279057,DXP
2025-05-14,9.02,9.02,8.925,9.02,285637,DXP
2025-05-15,9.115,9.115,8.925,8.925,221979,DXP
2025-05-16,8.925,9.02,8.925,8.925,191203,DXP
2025-05-19,8.925,8.925,8.83,8.83,222100,DXP
2025-05-20,8.83,8.925,8.83,8.83,338230,DXP
2025-05-21,8.83,8.925,8.735,8.83,224394,DXP
2025-05-22,8.83,8.83,8.735,8.735,80356,DXP
2025-05-23,8.735,8.735,8.64,8.64,189901,DXP
2025-05-26,8.64,8.735,8.546,8.735,268877,DXP
2025-05-27,8.83,9.21,8.735,9.115,417007,DXP
2025-05-28,9.115,9.115,9.02,9.02,322808,DXP
2025-05-29,9.02,9.02,8.83,8.925,265023,DXP
2025-05-30,8.83,8.925,8.735,8.83,218830,DXP
2025-06-02,8.83,8.83,8.64,8.83,166988,DXP
2025-06-03,8.83,8.925,8.735,8.83,184082,DXP
2025-06-04,8.83,9.02,8.83,8.925,308296,DXP
2025-06-05,8.925,9.495,8.925,9.495,1081571,DXP
2025-06-06,9.4,9.495,9.115,9.115,271385,DXP
2025-06-09,9.115,9.4,9.02,9.21,446815,DXP
2025-06-10,9.21,9.305,9.02,9.115,247724,DXP
2025-06-11,9.115,9.115,9.02,9.115,164510,DXP
2025-06-12,9.115,9.685,9.115,9.305,527008,DXP
2025-06-13,9.305,9.305,9.02,9.21,428321,DXP
2025-06-16,9.21,9.495,9.21,9.305,362197,DXP
2025-06-17,9.305,9.305,9.115,9.305,241155,DXP
