time,open,high,low,close,volume,symbol
2025-02-10,23.1,23.1,23.1,23.1,3,EIC
2025-02-11,23.1,23.1,23.1,23.1,1244,EIC
2025-02-12,23.1,23.1,23.1,23.1,0,EIC
2025-02-13,23.1,23.1,23.1,23.1,207,EIC
2025-02-14,23.0,23.0,23.0,23.0,2700,EIC
2025-02-17,23.0,24.0,23.0,24.0,807,EIC
2025-02-18,23.3,23.3,23.3,23.3,10,EIC
2025-02-19,21.4,22.0,21.4,22.0,4000,EIC
2025-02-20,22.1,22.2,22.1,22.1,1650,EIC
2025-02-21,22.3,22.3,22.3,22.3,201,EIC
2025-02-24,22.5,22.5,22.5,22.5,100,EIC
2025-02-25,22.5,22.5,22.5,22.5,0,EIC
2025-02-26,22.6,22.6,22.5,22.5,634,EIC
2025-02-27,22.5,22.5,22.5,22.5,3,EIC
2025-02-28,23.0,23.0,23.0,23.0,1001,EIC
2025-03-03,23.1,23.1,23.1,23.1,114,EIC
2025-03-04,23.5,23.6,23.5,23.6,2423,EIC
2025-03-05,23.7,23.8,23.7,23.8,2005,EIC
2025-03-06,23.8,23.8,23.5,23.5,1204,EIC
2025-03-07,23.6,23.6,23.5,23.6,2919,EIC
2025-03-10,23.4,23.4,23.4,23.4,101,EIC
2025-03-11,23.4,23.4,23.4,23.4,900,EIC
2025-03-12,23.3,23.3,23.3,23.3,400,EIC
2025-03-13,23.2,23.2,23.0,23.0,600,EIC
2025-03-14,23.2,23.2,23.2,23.2,0,EIC
2025-03-17,22.0,22.0,21.8,22.0,1185,EIC
2025-03-18,23.0,23.0,23.0,23.0,802,EIC
2025-03-19,23.0,23.0,22.5,22.6,3104,EIC
2025-03-20,24.0,24.0,24.0,24.0,2803,EIC
2025-03-21,23.0,23.0,22.8,22.8,1700,EIC
2025-03-24,22.8,22.8,22.8,22.8,900,EIC
2025-03-25,23.7,23.7,23.7,23.7,2800,EIC
2025-03-26,23.7,23.7,23.7,23.7,0,EIC
2025-03-27,23.3,23.5,23.3,23.5,701,EIC
2025-03-28,23.3,23.4,23.3,23.4,4000,EIC
2025-03-31,22.9,22.9,22.9,22.9,706,EIC
2025-04-01,22.9,22.9,22.9,22.9,1,EIC
2025-04-02,22.9,22.9,22.9,22.9,0,EIC
2025-04-03,22.5,22.8,22.5,22.8,2901,EIC
2025-04-04,22.6,22.6,22.6,22.6,4901,EIC
2025-04-08,22.0,22.0,21.6,21.6,8606,EIC
2025-04-09,21.9,21.9,21.6,21.6,4000,EIC
2025-04-10,24.2,24.2,24.1,24.1,651,EIC
2025-04-11,22.1,22.1,22.0,22.0,751,EIC
2025-04-14,21.5,22.0,21.5,22.0,2000,EIC
2025-04-15,21.5,21.5,21.5,21.5,101,EIC
2025-04-16,22.0,22.0,22.0,22.0,1000,EIC
2025-04-17,22.0,22.0,22.0,22.0,1000,EIC
2025-04-18,22.0,22.0,22.0,22.0,0,EIC
2025-04-21,22.0,22.0,22.0,22.0,100,EIC
2025-04-22,22.0,22.1,22.0,22.1,2200,EIC
2025-04-23,22.2,22.2,22.2,22.2,701,EIC
2025-04-24,22.2,22.2,22.2,22.2,0,EIC
2025-04-25,22.2,22.2,22.2,22.2,0,EIC
2025-04-28,22.2,22.2,22.2,22.2,0,EIC
2025-04-29,22.2,22.2,22.2,22.2,23,EIC
2025-05-05,22.3,22.3,22.3,22.3,1000,EIC
2025-05-06,22.3,22.3,22.3,22.3,400,EIC
2025-05-07,22.3,22.5,22.3,22.5,1406,EIC
2025-05-08,22.3,22.3,22.3,22.3,600,EIC
2025-05-09,22.3,22.3,22.3,22.3,900,EIC
2025-05-12,22.3,22.3,22.3,22.3,0,EIC
2025-05-13,21.3,23.0,21.3,23.0,200,EIC
2025-05-14,22.2,22.2,22.2,22.2,0,EIC
2025-05-15,22.3,22.3,22.3,22.3,100,EIC
2025-05-16,23.8,23.8,23.8,23.8,102,EIC
2025-05-19,21.5,22.0,21.5,22.0,2281,EIC
2025-05-20,24.8,24.8,24.0,24.0,302,EIC
2025-05-21,24.5,24.5,24.5,24.5,0,EIC
2025-05-22,22.0,23.0,22.0,23.0,801,EIC
2025-05-23,25.5,25.5,23.9,23.9,1802,EIC
2025-05-26,24.1,24.1,24.1,24.1,16,EIC
2025-05-27,23.5,23.7,23.5,23.5,900,EIC
2025-05-28,23.1,23.5,23.1,23.5,3603,EIC
2025-05-29,23.7,23.7,23.1,23.1,200,EIC
2025-05-30,23.4,23.4,23.4,23.4,0,EIC
2025-06-02,23.4,23.4,23.4,23.4,0,EIC
2025-06-03,23.4,23.4,23.4,23.4,21,EIC
2025-06-04,23.4,23.7,23.2,23.2,1326,EIC
2025-06-05,24.0,24.0,23.9,23.9,1201,EIC
2025-06-06,23.9,23.9,23.9,23.9,46,EIC
2025-06-09,23.9,23.9,23.9,23.9,0,EIC
2025-06-10,23.0,23.8,23.0,23.8,1201,EIC
2025-06-11,22.1,22.1,22.1,22.1,600,EIC
2025-06-12,22.1,22.1,22.1,22.1,1,EIC
2025-06-13,22.5,22.5,22.5,22.5,1000,EIC
2025-06-16,22.9,22.9,22.9,22.9,800,EIC
2025-06-17,22.9,22.9,22.9,22.9,0,EIC
2025-06-18,23.0,23.3,23.0,23.3,1405,EIC
2025-06-19,23.2,23.2,23.2,23.2,1,EIC
2025-06-20,23.0,23.2,23.0,23.2,3849,EIC
2025-06-23,23.2,23.2,23.2,23.2,0,EIC
2025-06-24,23.2,23.2,23.2,23.2,18,EIC
2025-06-25,23.2,23.2,23.2,23.2,44,EIC
2025-06-26,23.2,23.2,23.2,23.2,0,EIC
2025-06-27,23.2,23.2,23.2,23.2,2,EIC
2025-06-30,21.5,21.5,21.5,21.5,3005,EIC
2025-07-01,22.2,23.0,22.2,23.0,405,EIC
2025-07-02,22.8,22.8,22.8,22.8,0,EIC
2025-07-03,22.8,22.8,22.8,22.8,425,EIC
2025-07-04,22.5,22.6,22.5,22.6,4500,EIC
2025-07-07,22.5,22.5,22.5,22.5,6,EIC
2025-07-08,22.5,22.5,22.5,22.5,0,EIC
2025-07-09,22.0,22.5,22.0,22.5,4213,EIC
2025-07-10,22.9,22.9,22.9,22.9,3000,EIC
2025-07-11,22.9,22.9,22.9,22.9,2,EIC
2025-07-14,22.9,22.9,22.9,22.9,22,EIC
2025-07-15,22.9,22.9,22.9,22.9,2,EIC
2025-07-16,22.2,22.7,22.1,22.7,1454,EIC
2025-07-17,22.8,22.8,22.4,22.4,2004,EIC
2025-07-18,22.5,22.5,22.5,22.5,527,EIC
2025-07-21,22.3,23.0,22.3,23.0,6870,EIC
2025-07-22,22.9,22.9,22.9,22.9,29,EIC
2025-07-23,23.1,23.1,23.1,23.1,143,EIC
2025-07-24,23.1,23.1,23.1,23.1,140,EIC
2025-07-25,23.1,23.2,23.1,23.2,2120,EIC
2025-07-28,23.0,23.1,22.5,22.6,4030,EIC
2025-07-29,22.7,22.7,22.7,22.7,100,EIC
2025-07-30,22.6,22.6,22.4,22.4,2000,EIC
2025-07-31,22.5,22.5,22.5,22.5,5,EIC
2025-08-01,22.5,22.5,22.5,22.5,25,EIC
2025-08-04,22.5,22.5,22.5,22.5,9,EIC
2025-08-05,22.5,22.5,22.5,22.5,830,EIC
2025-08-06,22.5,22.5,22.5,22.5,28,EIC
2025-08-07,22.5,22.5,22.5,22.5,893,EIC
2025-08-08,22.6,22.6,22.6,22.6,3700,EIC
2025-08-11,22.6,22.6,22.6,22.6,2058,EIC
2025-08-12,24.0,24.0,23.9,23.9,5935,EIC
2025-08-13,23.9,23.9,23.9,23.9,0,EIC
2025-08-14,23.0,23.0,23.0,23.0,100,EIC
2025-08-15,23.0,23.1,23.0,23.0,5108,EIC
2025-08-18,23.0,23.0,23.0,23.0,4,EIC
2025-08-19,23.0,23.0,23.0,23.0,12500,EIC
2025-08-20,23.0,23.4,22.7,23.4,3100,EIC
2025-08-21,23.4,24.0,23.4,24.0,206,EIC
2025-08-22,23.6,23.6,23.0,23.6,503,EIC
2025-08-25,23.2,23.7,23.2,23.7,5500,EIC
2025-08-26,23.2,23.4,23.2,23.4,1000,EIC
2025-08-27,23.2,23.3,23.0,23.3,5004,EIC
2025-08-28,23.6,23.6,23.3,23.3,3510,EIC
2025-08-29,23.4,23.5,23.4,23.5,6028,EIC
2025-09-03,23.4,23.5,23.4,23.5,3004,EIC
2025-09-04,23.5,23.5,23.5,23.5,3209,EIC
2025-09-05,24.2,24.2,23.6,23.6,2129,EIC
2025-09-08,23.6,23.6,23.6,23.6,2403,EIC
2025-09-09,23.6,23.6,23.6,23.6,0,EIC
2025-09-10,23.5,23.5,23.5,23.5,400,EIC
2025-09-11,23.5,23.5,23.5,23.5,1005,EIC
