time,open,high,low,close,volume,symbol
2025-02-10,36.834,37.282,36.475,36.789,1658500,FTS
2025-02-11,36.834,37.103,36.565,36.744,839000,FTS
2025-02-12,36.744,37.282,36.52,36.565,1079300,FTS
2025-02-13,36.475,36.699,36.475,36.655,648400,FTS
2025-02-14,37.192,37.596,36.655,36.923,2137700,FTS
2025-02-17,36.968,38.223,36.744,37.685,2879000,FTS
2025-02-18,37.64,37.954,37.461,37.596,1376400,FTS
2025-02-19,37.909,38.133,37.551,38.089,1678200,FTS
2025-02-20,38.492,38.895,38.133,38.133,2439500,FTS
2025-02-21,38.133,38.223,37.64,37.82,1519300,FTS
2025-02-24,37.775,40.329,37.73,40.329,5347200,FTS
2025-02-25,40.463,41.27,40.06,40.598,4855000,FTS
2025-02-26,40.777,42.973,40.463,42.211,6408100,FTS
2025-02-27,42.211,43.018,41.584,43.018,4407100,FTS
2025-02-28,43.018,43.242,42.211,42.39,3006400,FTS
2025-03-03,42.39,44.765,42.211,44.452,4230800,FTS
2025-03-04,44.452,45.258,43.062,44.362,3528900,FTS
2025-03-05,44.452,45.527,43.555,43.555,4048600,FTS
2025-03-06,43.914,46.065,43.824,45.706,4477600,FTS
2025-03-07,45.706,46.065,45.348,45.617,2055000,FTS
2025-03-10,45.975,46.782,45.348,45.527,2586100,FTS
2025-03-11,44.81,46.602,44.81,46.334,3278000,FTS
2025-03-12,46.602,46.602,45.258,45.258,2931800,FTS
2025-03-13,45.348,46.244,44.765,45.437,3528300,FTS
2025-03-14,45.079,45.706,44.72,44.9,2864500,FTS
2025-03-17,45.168,45.617,44.362,45.348,2825900,FTS
2025-03-18,45.617,45.617,44.496,44.496,2348000,FTS
2025-03-19,44.407,45.617,44.362,45.168,2560300,FTS
2025-03-20,45.348,46.513,44.72,45.079,3363300,FTS
2025-03-21,44.989,45.527,44.9,45.079,1603800,FTS
2025-03-24,44.9,46.154,44.631,46.154,2898300,FTS
2025-03-25,46.602,46.602,45.258,45.527,3000900,FTS
2025-03-26,45.258,45.617,44.003,44.362,3345500,FTS
2025-03-27,44.362,44.9,44.003,44.183,2518100,FTS
2025-03-28,44.452,45.527,43.645,44.81,3221600,FTS
2025-03-31,44.452,45.617,44.452,45.348,3838400,FTS
2025-04-01,45.527,45.617,44.452,45.079,2689100,FTS
2025-04-02,45.348,46.244,44.989,45.258,3200100,FTS
2025-04-03,42.211,43.914,42.121,42.121,6559200,FTS
2025-04-04,39.209,41.046,39.209,39.433,10238500,FTS
2025-04-08,36.699,37.237,36.699,36.699,2609800,FTS
2025-04-09,34.145,35.579,34.145,34.145,10174200,FTS
2025-04-10,36.52,36.52,36.52,36.52,251900,FTS
2025-04-11,37.372,38.447,35.848,38.268,9968600,FTS
2025-04-14,38.268,39.254,37.506,38.537,5355400,FTS
2025-04-15,38.357,38.357,36.744,36.789,4230900,FTS
2025-04-16,36.789,37.192,34.952,34.952,6255900,FTS
2025-04-17,32.711,35.758,32.711,35.265,2941400,FTS
