time,open,high,low,close,volume,symbol
2025-02-10,18.342,18.342,17.395,17.468,530107,GDA
2025-02-11,17.468,17.468,16.886,17.323,185869,GDA
2025-02-12,17.395,17.759,17.323,17.395,92344,GDA
2025-02-13,17.468,17.468,17.25,17.323,86229,GDA
2025-02-14,17.323,17.395,16.813,17.25,96331,GDA
2025-02-17,17.25,17.323,17.104,17.177,85705,GDA
2025-02-18,17.177,17.541,17.177,17.468,71281,GDA
2025-02-19,17.541,17.614,17.323,17.468,129121,GDA
2025-02-20,17.468,17.687,17.395,17.541,66572,GDA
2025-02-21,17.541,17.687,17.541,17.541,49638,GDA
2025-02-24,14.994,18.56,14.994,17.832,289067,GDA
2025-02-25,18.196,18.196,17.687,17.687,75986,GDA
2025-02-26,17.832,18.123,17.687,17.832,104043,GDA
2025-02-27,17.832,19.361,17.687,18.924,884861,GDA
2025-02-28,18.924,19.288,18.778,18.997,256288,GDA
2025-03-03,18.924,19.215,18.633,18.706,214340,GDA
2025-03-04,18.706,18.924,18.487,18.633,191413,GDA
2025-03-05,18.851,18.851,18.05,18.123,230501,GDA
2025-03-06,18.196,18.778,18.123,18.706,126323,GDA
2025-03-07,18.706,18.706,18.414,18.633,82483,GDA
2025-03-10,18.706,18.706,18.342,18.487,60762,GDA
2025-03-11,18.342,18.633,18.123,18.56,73518,GDA
2025-03-12,18.56,18.778,18.414,18.56,153592,GDA
2025-03-13,18.706,18.851,18.414,18.56,237671,GDA
2025-03-14,18.56,18.633,18.196,18.196,170700,GDA
2025-03-17,18.487,18.56,18.196,18.414,171548,GDA
2025-03-18,18.342,18.633,18.269,18.269,113569,GDA
2025-03-19,18.342,18.342,17.978,18.05,196001,GDA
2025-03-20,18.05,18.196,17.759,17.832,157519,GDA
2025-03-21,17.978,17.978,17.759,17.832,65446,GDA
2025-03-24,17.759,17.759,17.614,17.614,89300,GDA
2025-03-25,17.759,17.905,17.614,17.759,48400,GDA
2025-03-26,17.759,18.05,17.614,17.832,77787,GDA
2025-03-27,17.832,17.832,17.614,17.614,17426,GDA
2025-03-28,17.687,17.687,17.395,17.395,31601,GDA
2025-03-31,17.468,17.614,17.323,17.323,38767,GDA
2025-04-01,17.395,17.978,17.395,17.614,63002,GDA
2025-04-02,18.05,18.414,17.832,17.832,225412,GDA
2025-04-03,17.104,17.104,15.43,15.43,358305,GDA
2025-04-04,15.43,15.43,13.829,14.63,278022,GDA
2025-04-08,14.63,14.63,12.373,12.373,474323,GDA
2025-04-09,12.155,12.664,11.5,12.009,150724,GDA
2025-04-10,13.902,13.975,13.829,13.975,55521,GDA
2025-04-11,14.557,15.794,13.465,13.975,380916,GDA
2025-04-14,13.975,14.047,13.756,13.902,95857,GDA
2025-04-15,13.902,13.902,13.465,13.611,123302,GDA
2025-04-16,13.538,13.829,13.32,13.465,94792,GDA
2025-04-17,13.538,13.538,13.028,13.32,54460,GDA
2025-04-18,13.392,13.392,13.174,13.247,62520,GDA
2025-04-21,13.247,13.538,12.81,13.247,54112,GDA
2025-04-22,13.174,13.247,12.009,12.81,126514,GDA
2025-04-23,13.101,13.32,12.81,13.174,161627,GDA
2025-04-24,13.174,13.465,13.101,13.174,57560,GDA
2025-04-25,13.247,13.392,13.028,13.247,68921,GDA
2025-04-28,13.174,13.247,12.956,13.101,80012,GDA
2025-04-29,13.174,13.32,13.101,13.174,102848,GDA
2025-05-05,13.392,14.12,13.392,13.829,143128,GDA
2025-05-06,13.975,13.975,13.756,13.975,82297,GDA
2025-05-07,14.12,14.12,13.683,13.902,77230,GDA
2025-05-08,13.902,14.047,13.756,14.047,60223,GDA
2025-05-09,14.12,14.557,13.975,14.557,116082,GDA
2025-05-12,15.267,15.344,14.577,15.037,145100,GDA
2025-05-13,15.037,15.574,15.037,15.267,97675,GDA
2025-05-14,15.114,15.344,14.807,14.96,80640,GDA
2025-05-15,14.96,14.96,14.73,14.73,115646,GDA
2025-05-16,14.884,15.114,14.73,14.807,44461,GDA
2025-05-19,14.654,14.654,14.423,14.423,53482,GDA
2025-05-20,14.347,14.5,14.193,14.423,24921,GDA
2025-05-21,14.27,14.423,14.27,14.347,17821,GDA
2025-05-22,14.347,14.5,13.81,14.27,93762,GDA
2025-05-23,14.27,15.344,14.27,15.114,178167,GDA
2025-05-26,15.114,15.267,14.5,14.884,253895,GDA
2025-05-27,15.037,15.421,14.884,15.037,145181,GDA
2025-05-28,15.191,15.958,15.191,15.574,284241,GDA
2025-05-29,15.574,15.958,15.037,15.421,165154,GDA
2025-05-30,15.421,15.804,15.267,15.344,133329,GDA
2025-06-02,15.191,15.344,14.654,14.96,152422,GDA
2025-06-03,14.96,15.191,14.96,15.037,80503,GDA
2025-06-04,15.037,15.191,14.96,15.191,88028,GDA
2025-06-05,15.191,15.191,14.884,15.037,73751,GDA
2025-06-06,15.037,15.191,14.96,15.037,67310,GDA
2025-06-09,15.037,15.037,14.96,15.037,34076,GDA
2025-06-10,15.037,15.267,15.037,15.114,68220,GDA
2025-06-11,15.114,15.114,14.96,14.96,31311,GDA
2025-06-12,15.037,15.651,15.037,15.344,113620,GDA
2025-06-13,15.344,15.344,14.884,14.96,109837,GDA
2025-06-16,14.96,15.191,14.884,15.191,54178,GDA
2025-06-17,15.267,15.267,14.96,15.037,86130,GDA
2025-06-18,15.037,15.114,14.96,15.037,80315,GDA
2025-06-19,14.96,15.037,14.884,14.96,69920,GDA
2025-06-20,15.114,15.114,14.73,14.884,63815,GDA
2025-06-23,14.73,14.96,14.5,14.884,112908,GDA
2025-06-24,14.96,14.96,14.807,14.884,80143,GDA
2025-06-25,14.884,14.96,14.807,14.807,27001,GDA
2025-06-26,14.884,14.884,14.654,14.807,38700,GDA
2025-06-27,14.654,14.807,14.347,14.73,22400,GDA
2025-06-30,14.73,14.807,14.73,14.73,108504,GDA
2025-07-01,14.73,14.96,14.654,14.73,66409,GDA
2025-07-02,14.73,14.884,14.654,14.807,48908,GDA
2025-07-03,14.884,15.267,14.807,14.96,172005,GDA
2025-07-04,15.037,15.037,14.807,14.96,38006,GDA
2025-07-07,15.344,15.344,15.037,15.037,46000,GDA
2025-07-08,15.191,15.651,15.037,15.421,205660,GDA
2025-07-09,15.344,15.574,15.267,15.344,76207,GDA
2025-07-10,15.344,15.344,15.037,15.114,156926,GDA
2025-07-11,15.267,15.267,14.884,15.114,156601,GDA
2025-07-14,15.037,15.191,14.96,15.114,139529,GDA
2025-07-15,15.114,15.574,15.114,15.191,239507,GDA
2025-07-16,15.421,15.497,15.267,15.497,158655,GDA
2025-07-17,15.497,15.497,15.191,15.344,157451,GDA
2025-07-18,15.344,15.421,15.114,15.191,121210,GDA
2025-07-21,15.267,15.728,15.267,15.421,166132,GDA
2025-07-22,15.497,15.497,15.344,15.421,72039,GDA
2025-07-23,15.421,16.034,15.421,15.574,188210,GDA
2025-07-24,15.497,15.881,15.421,15.728,315425,GDA
2025-07-25,15.881,15.881,15.574,15.651,119765,GDA
2025-07-28,15.881,17.262,15.881,17.185,673176,GDA
2025-07-29,17.262,17.492,16.341,16.572,372592,GDA
2025-07-30,16.802,17.339,16.572,17.109,167109,GDA
2025-07-31,17.109,17.109,16.648,16.802,168861,GDA
2025-08-01,16.572,16.802,16.341,16.648,194080,GDA
2025-08-04,16.648,16.648,16.341,16.572,92161,GDA
2025-08-05,16.648,16.878,16.034,16.495,252711,GDA
2025-08-06,16.725,16.802,16.495,16.725,77465,GDA
2025-08-07,16.572,17.032,16.572,16.955,232817,GDA
2025-08-08,17.032,17.799,17.032,17.799,640194,GDA
2025-08-11,17.876,18.566,17.799,18.183,270813,GDA
2025-08-12,18.106,18.413,17.492,17.952,229331,GDA
2025-08-13,17.876,18.106,17.262,17.646,281794,GDA
2025-08-14,17.952,18.183,17.569,18.183,272362,GDA
2025-08-15,18.259,18.336,16.878,17.569,567537,GDA
2025-08-18,18.106,18.796,18.029,18.413,582866,GDA
2025-08-19,18.413,18.72,18.106,18.259,453202,GDA
2025-08-20,18.413,18.413,17.646,18.106,366692,GDA
2025-08-21,18.029,18.259,17.646,17.876,189103,GDA
2025-08-22,17.952,17.952,17.262,17.569,245997,GDA
2025-08-25,17.646,18.029,17.569,17.952,360736,GDA
2025-08-26,17.9,18.5,17.8,18.0,225202,GDA
2025-08-27,18.2,18.4,17.8,17.9,157731,GDA
2025-08-28,17.8,17.9,17.5,17.8,114347,GDA
2025-08-29,17.8,17.9,17.4,17.6,113414,GDA
2025-09-03,17.8,18.5,17.2,18.2,278926,GDA
2025-09-04,18.4,19.0,18.2,19.0,611452,GDA
2025-09-05,19.0,19.4,19.0,19.0,552168,GDA
2025-09-08,19.0,19.2,18.5,18.5,247476,GDA
2025-09-09,18.7,18.8,18.0,18.4,223094,GDA
2025-09-10,18.4,18.5,18.1,18.3,103902,GDA
2025-09-11,18.4,18.4,17.5,18.1,170384,GDA
2025-09-12,18.3,18.8,18.3,18.7,185758,GDA
2025-09-15,18.8,19.3,17.5,18.9,248675,GDA
2025-09-16,19.0,19.0,18.4,18.6,158821,GDA
2025-09-17,18.4,18.7,18.2,18.4,63206,GDA
2025-09-18,18.5,18.5,18.1,18.2,70155,GDA
2025-09-19,18.2,18.6,18.1,18.1,63426,GDA
2025-09-22,18.3,18.3,17.8,18.0,91665,GDA
2025-09-23,18.0,18.3,17.8,17.9,55802,GDA
2025-09-24,18.0,18.2,17.8,18.2,45132,GDA
2025-09-25,18.9,18.9,18.1,18.3,31548,GDA
2025-09-26,18.2,18.2,17.7,18.1,139507,GDA
2025-09-29,18.0,18.1,17.7,17.8,49919,GDA
2025-09-30,17.9,17.9,17.4,17.6,147284,GDA
2025-10-01,17.6,17.8,17.5,17.8,23373,GDA
2025-10-02,17.7,17.8,17.4,17.5,41947,GDA
2025-10-03,17.5,17.5,17.2,17.3,104300,GDA
2025-10-06,17.2,17.6,17.2,17.6,96725,GDA
2025-10-07,17.7,18.0,17.7,17.8,93037,GDA
2025-10-08,17.9,18.1,17.7,17.8,72885,GDA
2025-10-09,17.9,18.0,17.6,17.8,20420,GDA
2025-10-10,17.7,17.8,17.6,17.7,65344,GDA
2025-10-13,17.6,17.6,17.4,17.6,83482,GDA
2025-10-14,17.7,17.7,17.2,17.3,103080,GDA
2025-10-15,17.3,17.3,17.0,17.3,115705,GDA
2025-10-16,17.2,17.2,16.9,17.0,72443,GDA
2025-10-17,17.1,17.4,17.0,17.1,66223,GDA
2025-10-20,17.2,17.2,16.5,16.7,53954,GDA
2025-10-21,16.7,16.8,16.4,16.7,50233,GDA
2025-10-22,16.7,16.9,16.3,16.9,32381,GDA
2025-10-23,16.7,16.8,16.6,16.6,26199,GDA
2025-10-24,16.6,16.6,16.5,16.5,37706,GDA
2025-10-27,16.6,16.6,16.3,16.3,86117,GDA
2025-10-28,16.3,16.4,16.1,16.4,88400,GDA
2025-10-29,16.5,16.6,16.3,16.4,86608,GDA
2025-10-30,16.6,16.6,16.4,16.4,60947,GDA
2025-10-31,16.5,16.6,16.1,16.5,88856,GDA
2025-11-03,16.4,16.8,16.3,16.5,89295,GDA
2025-11-04,16.5,16.6,16.3,16.6,91054,GDA
2025-11-05,16.4,16.7,16.4,16.5,54406,GDA
2025-11-06,16.5,16.6,16.3,16.4,34607,GDA
2025-11-07,16.5,16.6,16.3,16.4,88425,GDA
2025-11-10,16.4,16.5,16.3,16.3,50965,GDA
2025-11-11,16.3,16.5,16.2,16.3,53047,GDA
2025-11-12,16.3,16.4,16.2,16.4,68870,GDA
2025-11-13,16.3,16.4,16.3,16.3,40798,GDA
2025-11-14,16.4,16.4,16.3,16.3,56006,GDA
2025-11-17,16.4,16.5,16.3,16.4,51247,GDA
2025-11-18,16.3,16.5,16.2,16.3,102302,GDA
2025-11-19,16.3,16.6,16.3,16.4,82758,GDA
2025-11-20,16.4,16.5,16.3,16.4,25387,GDA
