time,open,high,low,close,volume,sma_20,sma_50,sma_200,rsi_14,macd,macd_signal,macd_hist,bb_upper,bb_lower,daily_return,volatility_20d,symbol
2025-02-10,34.959,37.342,33.767,35.117,733000,35.117,35.117,35.117,,0.0,0.0,0.0,,,,,GEE
2025-02-11,36.071,36.071,34.164,34.998,350500,35.0575,35.0575,35.0575,,-0.009492877492881746,-0.0018985754985763493,-0.007594301994305397,,,-0.3388672153088246,,GEE
2025-02-12,34.959,37.422,34.959,37.422,889000,35.845666666666666,35.845666666666666,35.845666666666666,,0.17654538518355878,0.03379021663785068,0.1427551685457081,,,6.9261100634322,,GEE
2025-02-13,39.964,39.964,39.13,39.606,1295900,36.78575,36.78575,36.78575,,0.4945121677912141,0.12593460686852337,0.36857756092269073,,,5.836139169472521,,GEE
2025-02-14,39.805,40.52,38.017,39.17,1000500,37.2626,37.2626,37.2626,,0.7032153488337727,0.24139075526157322,0.46182459357219946,,,-1.1008433065697099,,GEE
2025-02-17,41.633,41.871,39.726,41.871,1174200,38.03066666666667,38.03066666666667,38.03066666666667,,1.074179774450215,0.4079485590993016,0.6662312153509135,,,6.895583354608115,,GEE
2025-02-18,41.95,44.493,41.791,44.493,1956600,38.953857142857146,38.953857142857146,38.953857142857146,,1.5617424466630894,0.6387073366120593,0.9230351100510301,,,6.26209070717203,,GEE
2025-02-19,46.082,46.082,42.506,42.824,781100,39.437625,39.437625,39.437625,,1.7927987574092157,0.8695256207714905,0.9232731366377251,,,-3.751151866585767,,GEE
2025-02-20,42.665,44.493,42.189,42.189,623600,39.74333333333333,39.74333333333333,39.74333333333333,,1.9027397557726005,1.0761684477717126,0.8265713080008878,,,-1.4828133756771833,,GEE
2025-02-21,42.268,43.38,42.189,43.38,442400,40.107,40.107,40.107,,2.062200768669584,1.273374911951287,0.7888258567182969,,,2.8230107373960145,,GEE
2025-02-24,43.063,46.4,42.904,46.4,2094600,40.67909090909091,40.67909090909091,40.67909090909091,,2.404545428133943,1.499609015187818,0.904936412946125,,,6.961733517750113,,GEE
2025-02-25,47.274,49.578,47.274,49.101,1270800,41.38091666666667,41.38091666666667,41.38091666666667,,2.8608263387896855,1.7718524799081914,1.0889738588814941,,,5.821120689655168,,GEE
2025-02-26,48.465,49.498,47.671,49.18,431300,41.98084615384615,41.98084615384615,41.98084615384615,,3.192011367493869,2.055884257425327,1.136127110068542,,,0.16089285350604499,,GEE
2025-02-27,49.657,49.657,45.764,47.512,2376600,42.375928571428574,42.375928571428574,42.375928571428574,75.91847737520769,3.2820507903533453,2.301117564010931,0.9809332263424144,,,-3.391622610817402,,GEE
2025-02-28,47.671,49.657,46.717,49.18,959000,42.82953333333333,42.82953333333333,42.82953333333333,78.60223288775575,3.448252038572548,2.5305444589232544,0.9177075796492935,,,3.51069203569625,,GEE
2025-03-03,50.452,50.452,47.432,48.863,499500,43.206625,43.206625,43.206625,76.84937287561954,3.5138826229201072,2.7272120917226252,0.786670531197482,,,-0.6445709638064234,,GEE
2025-03-04,48.704,49.18,45.446,49.101,1419600,43.55335294117647,43.55335294117647,43.55335294117647,77.25940376542765,3.5442441049824893,2.8906184943745985,0.6536256106078908,,,0.4870761107586441,,GEE
2025-03-05,49.737,49.737,48.545,49.101,682500,43.861555555555555,43.861555555555555,43.861555555555555,77.25940376542765,3.5276413447181767,3.0180230644433146,0.5096182802748621,,,0.0,,GEE
2025-03-06,49.578,52.517,49.498,52.517,3487300,44.31710526315789,44.31710526315789,44.31710526315789,82.43731866746792,3.7469338676482025,3.1638052250842925,0.58312864256391,,,6.957088450337068,,GEE
2025-03-07,55.298,55.298,51.882,53.947,836300,44.7986,44.7986,44.7986,84.07228698797468,3.990118221879449,3.329067824443324,0.6610503974361248,55.92342169981306,33.67377830018694,2.7229278138507507,,GEE
2025-03-10,55.06,55.219,53.789,53.947,736900,45.7401,45.2342380952381,45.2342380952381,84.07228698797468,4.135175841611854,3.4902894278770304,0.6448864137348238,56.59899665617431,34.88120334382569,0.0,3.6801883136960387,GEE
2025-03-11,52.517,55.616,52.438,55.616,1422900,46.771,45.70613636363636,45.70613636363636,85.85474375864774,4.334840064004908,3.659199555102606,0.6756405089023017,57.243870877703614,36.29812912229639,3.093777225795691,3.63369518658936,GEE
