time,open,high,low,close,volume,symbol
2025-02-10,19.736,19.736,19.322,19.322,6606600,GEX
2025-02-11,19.414,19.69,19.322,19.506,5439000,GEX
2025-02-12,19.506,20.196,19.506,19.828,9558000,GEX
2025-02-13,20.012,20.61,19.966,20.426,12708800,GEX
2025-02-14,20.518,20.564,20.15,20.242,6374800,GEX
2025-02-17,20.334,20.978,20.288,20.656,12267700,GEX
2025-02-18,20.656,20.84,20.472,20.702,8275900,GEX
2025-02-19,20.748,20.978,20.656,20.886,9972100,GEX
2025-02-20,20.886,20.978,20.702,20.702,11033300,GEX
2025-02-21,20.564,20.84,20.564,20.656,7969000,GEX
2025-02-24,20.656,21.3,20.656,21.07,13988700,GEX
2025-02-25,21.162,21.254,20.978,21.07,10595400,GEX
2025-02-26,21.116,21.162,20.932,21.07,7352400,GEX
2025-02-27,21.07,21.07,20.288,20.748,11936700,GEX
2025-02-28,20.748,21.116,20.748,20.932,8357700,GEX
2025-03-03,21.07,21.76,20.978,21.392,15840300,GEX
2025-03-04,21.392,21.53,20.288,21.346,22822600,GEX
2025-03-05,21.346,21.99,20.978,20.978,13539800,GEX
2025-03-06,21.162,21.622,20.932,21.53,13178800,GEX
2025-03-07,21.53,21.668,21.254,21.346,6678700,GEX
2025-03-10,21.392,21.484,21.024,21.116,7112700,GEX
2025-03-11,20.794,21.07,20.748,20.978,4786100,GEX
2025-03-12,21.024,21.438,21.024,21.162,7240200,GEX
2025-03-13,21.254,21.392,20.794,20.978,9329100,GEX
2025-03-14,20.932,21.024,20.518,20.748,6396300,GEX
2025-03-17,20.84,21.208,20.84,21.116,5198800,GEX
2025-03-18,21.3,21.438,20.84,20.84,3692800,GEX
2025-03-19,20.794,21.07,20.702,20.978,4086500,GEX
2025-03-20,21.116,21.944,20.932,21.944,17827200,GEX
2025-03-21,21.944,22.036,21.392,21.392,9409600,GEX
2025-03-24,21.484,21.622,21.3,21.438,5727600,GEX
2025-03-25,21.484,21.944,21.392,21.576,20507000,GEX
2025-03-26,21.622,21.852,21.162,21.254,6291000,GEX
2025-03-27,21.392,21.714,21.3,21.438,6808700,GEX
2025-03-28,21.438,21.53,21.208,21.484,5490200,GEX
2025-03-31,21.254,21.622,21.07,21.622,8251900,GEX
2025-04-01,21.898,22.681,21.806,22.451,32860300,GEX
2025-04-02,23.003,23.693,22.773,23.601,31837100,GEX
2025-04-03,22.451,22.819,21.99,21.99,29251600,GEX
2025-04-04,20.472,21.714,20.472,21.714,22658200,GEX
2025-04-08,20.794,21.116,20.196,20.196,12427500,GEX
2025-04-09,18.816,19.322,18.816,18.816,16641300,GEX
2025-04-10,20.104,20.104,20.104,20.104,655800,GEX
2025-04-11,20.242,21.116,19.552,21.024,22568400,GEX
2025-04-14,21.254,22.451,21.07,22.451,12766600,GEX
2025-04-15,21.944,23.601,21.944,23.141,18957500,GEX
2025-04-16,23.279,23.509,22.911,22.911,14689100,GEX
2025-04-17,22.819,24.199,22.635,24.199,17983100,GEX
2025-04-18,24.843,25.855,24.475,25.303,27688100,GEX
2025-04-21,25.855,26.361,24.245,25.119,19007600,GEX
2025-04-22,24.843,25.533,23.371,24.199,32643500,GEX
2025-04-23,25.027,25.119,24.521,24.797,10163300,GEX
2025-04-24,25.349,25.671,23.555,24.659,21096200,GEX
2025-04-25,24.613,24.941,24.379,24.894,8470900,GEX
2025-04-28,25.269,25.269,24.144,24.425,6268000,GEX
2025-04-29,24.66,25.035,24.191,24.847,6177500,GEX
2025-05-05,25.176,26.582,25.176,26.582,19169900,GEX
2025-05-06,27.004,27.567,26.582,26.816,11801800,GEX
2025-05-07,26.957,28.317,26.816,27.895,13099300,GEX
2025-05-08,28.035,28.457,27.895,28.41,10251500,GEX
2025-05-09,28.551,28.551,27.895,28.129,8091400,GEX
2025-05-12,28.129,28.598,28.035,28.176,6165400,GEX
2025-05-13,28.364,28.364,27.473,26.348,14569900,GEX
2025-05-14,28.501,28.747,28.058,28.551,5772100,GEX
2025-05-15,28.649,28.698,27.566,27.861,10453600,GEX
2025-05-16,27.911,29.19,27.861,28.895,9490000,GEX
2025-05-19,28.895,30.224,28.698,29.19,10399900,GEX
2025-05-20,29.24,29.978,29.19,29.929,9856200,GEX
2025-05-21,30.372,31.996,30.323,31.996,22250300,GEX
2025-05-22,32.489,34.211,31.307,31.504,37381100,GEX
2025-05-23,32.489,33.178,31.799,33.178,14340200,GEX
2025-05-26,33.67,34.556,32.833,34.556,13867500,GEX
2025-05-27,35.245,35.737,34.753,35.442,12872500,GEX
2025-05-28,35.442,35.688,33.965,34.95,11377800,GEX
2025-05-29,35.147,37.362,34.999,35.245,21259200,GEX
2025-05-30,35.245,35.442,34.458,34.901,7787900,GEX
2025-06-02,34.901,35.147,34.359,34.458,7268700,GEX
2025-06-03,34.704,35.885,34.556,35.344,11998600,GEX
2025-06-04,35.737,36.87,35.688,36.427,14263700,GEX
2025-06-05,36.919,36.919,35.393,35.934,10637600,GEX
2025-06-06,36.23,36.574,35.196,35.442,12538700,GEX
2025-06-09,35.639,35.836,34.162,34.458,9521600,GEX
2025-06-10,34.458,35.54,34.458,35.097,7491700,GEX
2025-06-11,35.344,35.344,33.276,33.473,9996500,GEX
2025-06-12,33.916,33.965,33.079,33.965,6546300,GEX
2025-06-13,33.867,33.867,32.489,33.375,9701200,GEX
2025-06-16,33.424,34.851,33.325,34.458,7718600,GEX
2025-06-17,34.802,34.802,33.965,34.261,3428900,GEX
2025-06-18,34.31,34.851,34.162,34.359,7053800,GEX
2025-06-19,34.458,34.95,34.014,34.458,10775800,GEX
2025-06-20,34.802,35.147,34.359,34.556,10900300,GEX
2025-06-23,34.753,35.491,34.605,35.344,14063700,GEX
2025-06-24,36.427,36.82,35.59,36.673,27172200,GEX
2025-06-25,36.968,37.559,36.82,36.919,18349500,GEX
