time,open,high,low,close,volume,symbol
2025-02-10,10.2,10.2,10.2,10.2,0,GTD
2025-02-11,10.2,10.2,10.2,10.2,0,GTD
2025-02-12,10.2,10.2,10.2,10.2,0,GTD
2025-02-13,10.2,10.2,10.2,10.2,0,GTD
2025-02-14,10.2,10.2,10.2,10.2,0,GTD
2025-02-17,10.2,10.2,10.2,10.2,0,GTD
2025-02-18,10.2,10.2,10.2,10.2,0,GTD
2025-02-19,10.2,10.2,10.2,10.2,0,GTD
2025-02-20,9.0,10.5,9.0,10.5,200,GTD
2025-02-21,9.8,9.8,9.8,9.8,0,GTD
2025-02-24,9.8,9.8,9.8,9.8,0,GTD
2025-02-25,9.8,9.8,9.8,9.8,0,GTD
2025-02-26,9.8,9.8,9.8,9.8,0,GTD
2025-02-27,9.8,9.8,9.8,9.8,0,GTD
2025-02-28,9.8,9.8,9.8,9.8,0,GTD
2025-03-03,9.8,9.8,9.8,9.8,0,GTD
2025-03-04,9.8,9.8,9.8,9.8,0,GTD
2025-03-05,9.8,9.8,9.8,9.8,1,GTD
2025-03-06,8.9,8.9,8.9,8.9,101,GTD
2025-03-07,8.9,8.9,8.9,8.9,0,GTD
2025-03-10,8.9,8.9,8.9,8.9,0,GTD
2025-03-11,8.9,8.9,8.9,8.9,0,GTD
2025-03-12,8.9,8.9,8.9,8.9,0,GTD
2025-03-13,8.9,8.9,8.9,8.9,0,GTD
2025-03-14,8.8,8.8,8.8,8.8,100,GTD
2025-03-17,8.8,8.8,8.8,8.8,0,GTD
2025-03-18,8.8,8.8,8.8,8.8,0,GTD
2025-03-19,8.1,8.1,8.1,8.1,100,GTD
2025-03-20,8.1,8.1,8.1,8.1,0,GTD
2025-03-21,9.2,9.3,9.2,9.3,200,GTD
2025-03-24,9.3,9.3,9.3,9.3,0,GTD
2025-03-25,9.3,9.3,9.3,9.3,0,GTD
2025-03-26,9.3,9.3,9.3,9.3,0,GTD
2025-03-27,9.3,9.3,9.3,9.3,0,GTD
2025-03-28,9.3,9.3,9.3,9.3,0,GTD
2025-03-31,9.3,9.3,9.3,9.3,0,GTD
2025-04-01,9.3,9.3,9.3,9.3,0,GTD
2025-04-02,10.6,10.6,10.6,10.6,100,GTD
2025-04-03,10.6,10.6,10.6,10.6,1,GTD
2025-04-04,11.7,11.7,11.7,11.7,100,GTD
2025-04-08,11.7,11.7,11.7,11.7,0,GTD
2025-04-09,11.7,11.7,11.7,11.7,0,GTD
2025-04-10,11.0,11.0,10.0,10.0,601,GTD
2025-04-11,10.2,10.2,10.2,10.2,1,GTD
2025-04-14,10.2,10.2,10.2,10.2,0,GTD
2025-04-15,10.2,10.2,10.2,10.2,1,GTD
2025-04-16,10.2,10.2,10.2,10.2,1,GTD
2025-04-17,10.2,10.2,10.2,10.2,0,GTD
2025-04-18,10.2,10.2,10.2,10.2,0,GTD
2025-04-21,10.2,10.2,10.2,10.2,0,GTD
2025-04-22,10.2,10.2,10.2,10.2,0,GTD
2025-04-23,10.2,10.2,10.2,10.2,0,GTD
2025-04-24,10.2,10.2,10.2,10.2,0,GTD
2025-04-25,10.2,10.2,10.2,10.2,0,GTD
2025-04-28,10.2,10.2,10.2,10.2,0,GTD
2025-04-29,10.2,10.2,10.2,10.2,0,GTD
2025-05-05,10.2,10.2,10.2,10.2,0,GTD
2025-05-06,10.2,10.2,10.2,10.2,0,GTD
2025-05-07,10.2,10.2,10.2,10.2,0,GTD
2025-05-08,10.2,10.2,10.2,10.2,0,GTD
2025-05-09,10.2,10.2,10.2,10.2,0,GTD
2025-05-12,10.2,10.2,10.2,10.2,0,GTD
2025-05-13,10.2,10.2,10.2,10.2,0,GTD
2025-05-14,10.0,10.0,10.0,10.0,1000,GTD
2025-05-15,10.0,10.0,10.0,10.0,0,GTD
2025-05-16,10.0,10.0,10.0,10.0,0,GTD
2025-05-19,10.0,10.0,10.0,10.0,0,GTD
2025-05-20,10.2,10.2,10.2,10.2,500,GTD
2025-05-21,10.2,10.2,10.2,10.2,0,GTD
2025-05-22,10.2,10.2,10.2,10.2,0,GTD
2025-05-23,10.2,10.2,10.2,10.2,0,GTD
2025-05-26,10.2,10.2,10.2,10.2,0,GTD
2025-05-27,10.2,10.2,10.2,10.2,0,GTD
2025-05-28,10.2,10.2,10.2,10.2,0,GTD
2025-05-29,10.2,10.2,10.2,10.2,0,GTD
2025-05-30,10.2,10.2,10.2,10.2,0,GTD
2025-06-02,10.2,10.2,10.2,10.2,0,GTD
2025-06-03,10.2,10.2,10.2,10.2,0,GTD
2025-06-04,10.2,10.2,10.2,10.2,0,GTD
2025-06-05,10.2,10.2,10.2,10.2,0,GTD
2025-06-06,10.2,10.2,10.2,10.2,0,GTD
2025-06-09,10.2,10.2,10.2,10.2,0,GTD
2025-06-10,11.6,11.6,11.6,11.6,100,GTD
2025-06-11,11.6,11.6,11.6,11.6,1800,GTD
2025-06-12,11.6,11.6,11.6,11.6,101,GTD
2025-06-13,11.7,11.7,11.6,11.6,402,GTD
2025-06-16,11.0,11.0,11.0,11.0,200,GTD
2025-06-17,10.8,10.8,10.8,10.8,100,GTD
2025-06-18,10.8,10.8,10.8,10.8,0,GTD
2025-06-19,10.8,10.8,10.8,10.8,0,GTD
2025-06-20,10.8,10.8,10.8,10.8,0,GTD
2025-06-23,10.8,10.8,10.8,10.8,0,GTD
2025-06-24,10.8,10.8,10.8,10.8,0,GTD
2025-06-25,10.8,10.8,10.8,10.8,0,GTD
2025-06-26,10.8,10.8,10.8,10.8,0,GTD
2025-06-27,10.8,10.8,10.8,10.8,0,GTD
2025-06-30,10.8,10.8,10.8,10.8,0,GTD
2025-07-01,10.8,10.8,10.8,10.8,0,GTD
2025-07-02,10.8,10.8,10.8,10.8,200,GTD
2025-07-03,10.8,10.8,10.8,10.8,100,GTD
2025-07-04,10.8,10.8,10.8,10.8,0,GTD
2025-07-07,10.8,10.8,10.8,10.8,0,GTD
2025-07-08,10.8,10.8,10.8,10.8,100,GTD
2025-07-09,10.8,10.8,10.8,10.8,0,GTD
2025-07-10,10.8,10.8,10.8,10.8,0,GTD
2025-07-11,10.8,10.8,10.8,10.8,0,GTD
2025-07-14,10.8,10.8,10.8,10.8,0,GTD
2025-07-15,10.8,10.8,10.8,10.8,0,GTD
2025-07-16,10.8,10.8,10.8,10.8,30,GTD
2025-07-17,10.8,10.8,10.8,10.8,0,GTD
2025-07-18,10.8,10.8,10.8,10.8,0,GTD
2025-07-21,10.8,10.8,10.8,10.8,0,GTD
2025-07-22,10.8,10.8,10.8,10.8,0,GTD
2025-07-23,10.8,10.8,10.8,10.8,100,GTD
2025-07-24,9.3,9.3,9.3,9.3,100,GTD
2025-07-25,9.4,9.4,9.4,9.4,101,GTD
2025-07-28,9.4,9.4,9.4,9.4,0,GTD
2025-07-29,10.8,10.8,9.4,9.4,210,GTD
2025-07-30,10.5,10.5,10.5,10.5,100,GTD
2025-07-31,10.5,10.5,10.5,10.5,0,GTD
2025-08-01,10.7,10.7,10.7,10.7,2100,GTD
2025-08-04,11.0,11.0,11.0,11.0,200,GTD
2025-08-05,11.0,11.0,11.0,11.0,2,GTD
2025-08-06,11.0,11.0,11.0,11.0,0,GTD
2025-08-07,11.0,11.0,11.0,11.0,0,GTD
2025-08-08,11.0,11.0,11.0,11.0,0,GTD
2025-08-11,12.0,12.6,11.0,12.6,2818,GTD
2025-08-12,12.4,12.4,12.4,12.4,100,GTD
2025-08-13,12.4,12.4,12.4,12.4,0,GTD
2025-08-14,12.4,12.4,12.4,12.4,0,GTD
2025-08-15,13.0,13.0,13.0,13.0,1000,GTD
2025-08-18,14.9,14.9,14.9,14.9,619,GTD
2025-08-19,17.1,17.1,17.1,17.1,334,GTD
2025-08-20,19.6,19.6,19.6,19.6,100,GTD
2025-08-21,19.6,19.6,19.6,19.6,0,GTD
2025-08-22,21.0,22.5,21.0,22.5,1000,GTD
2025-08-25,18.8,19.0,18.8,19.0,900,GTD
2025-08-26,18.0,21.6,18.0,21.6,300,GTD
2025-08-27,19.2,19.2,19.2,19.2,0,GTD
2025-08-28,19.2,19.2,19.2,19.2,900,GTD
2025-08-29,22.0,22.0,22.0,22.0,1800,GTD
2025-09-03,22.0,22.0,22.0,22.0,12,GTD
2025-09-04,22.0,22.0,22.0,22.0,0,GTD
2025-09-05,22.0,22.0,22.0,22.0,2300,GTD
2025-09-08,22.0,22.0,22.0,22.0,0,GTD
2025-09-09,22.0,22.0,22.0,22.0,0,GTD
2025-09-10,22.0,22.0,22.0,22.0,0,GTD
2025-09-11,22.0,22.0,22.0,22.0,0,GTD
2025-09-12,22.0,22.0,22.0,22.0,0,GTD
2025-09-15,22.0,22.0,22.0,22.0,0,GTD
2025-09-16,22.0,22.0,22.0,22.0,0,GTD
2025-09-17,22.1,22.1,22.1,22.1,500,GTD
2025-09-18,22.0,22.0,22.0,22.0,200,GTD
2025-09-19,22.1,22.1,22.1,22.1,300,GTD
2025-09-22,22.1,22.1,22.1,22.1,0,GTD
2025-09-23,22.1,22.1,22.1,22.1,1000,GTD
2025-09-24,22.1,22.1,22.1,22.1,0,GTD
2025-09-25,22.1,22.1,22.1,22.1,1000,GTD
2025-09-26,22.3,22.3,22.3,22.3,109,GTD
2025-09-29,22.3,22.3,22.3,22.3,1,GTD
2025-09-30,22.3,22.3,22.3,22.3,0,GTD
2025-10-01,21.0,21.0,21.0,21.0,500,GTD
2025-10-02,21.0,21.0,21.0,21.0,0,GTD
2025-10-03,19.8,19.8,19.8,19.8,800,GTD
2025-10-06,19.8,19.8,19.8,19.8,0,GTD
2025-10-07,19.8,19.8,19.8,19.8,0,GTD
2025-10-08,19.8,19.8,19.8,19.8,0,GTD
2025-10-09,19.8,19.8,19.8,19.8,0,GTD
2025-10-10,19.8,19.8,19.8,19.8,0,GTD
2025-10-13,19.8,19.8,19.8,19.8,0,GTD
2025-10-14,19.8,19.8,19.8,19.8,0,GTD
2025-10-15,19.8,19.8,19.8,19.8,0,GTD
2025-10-16,19.8,19.8,19.8,19.8,0,GTD
2025-10-17,19.8,19.8,19.8,19.8,0,GTD
2025-10-20,19.8,19.8,19.8,19.8,0,GTD
2025-10-21,19.8,19.8,19.8,19.8,0,GTD
2025-10-22,19.8,19.8,19.8,19.8,0,GTD
2025-10-23,19.8,19.8,19.8,19.8,0,GTD
2025-10-24,19.8,19.8,19.8,19.8,0,GTD
2025-10-27,17.8,17.8,17.8,17.8,501,GTD
2025-10-28,15.9,15.9,15.9,15.9,500,GTD
2025-10-29,15.9,15.9,15.9,15.9,0,GTD
2025-10-30,15.9,15.9,15.9,15.9,0,GTD
2025-10-31,15.9,15.9,15.9,15.9,0,GTD
2025-11-03,15.9,15.9,15.9,15.9,0,GTD
2025-11-04,13.6,13.6,13.6,13.6,101,GTD
2025-11-05,13.6,13.6,13.6,13.6,0,GTD
2025-11-06,13.6,13.6,13.6,13.6,0,GTD
2025-11-07,13.6,13.6,13.6,13.6,0,GTD
2025-11-10,13.6,13.6,13.6,13.6,0,GTD
2025-11-11,13.6,13.6,13.6,13.6,0,GTD
2025-11-12,13.6,13.6,13.6,13.6,0,GTD
2025-11-13,13.6,13.6,13.6,13.6,0,GTD
2025-11-14,13.6,13.6,13.6,13.6,0,GTD
2025-11-17,13.6,13.6,13.6,13.6,0,GTD
2025-11-18,11.8,11.8,11.8,11.8,100,GTD
2025-11-19,12.5,13.5,12.5,13.5,600,GTD
2025-11-20,15.1,15.1,15.1,15.1,101,GTD
2025-11-21,17.3,17.3,17.3,17.3,100,GTD
2025-11-24,19.8,19.8,19.8,19.8,200,GTD
2025-11-25,22.7,22.7,22.7,22.7,6000,GTD
2025-11-26,26.1,26.1,26.1,26.1,500,GTD
2025-11-27,30.0,30.0,30.0,30.0,100,GTD
2025-11-28,34.5,34.5,34.5,34.5,100,GTD
2025-12-01,39.6,39.6,39.6,39.6,2400,GTD
2025-12-02,45.5,45.5,40.0,45.5,16400,GTD
2025-12-03,52.2,52.2,40.5,52.2,10700,GTD
2025-12-04,59.4,59.4,52.3,59.4,42609,GTD
2025-12-05,68.3,68.3,59.5,67.0,37000,GTD
2025-12-08,68.5,70.0,57.9,62.5,22181,GTD
2025-12-09,60.8,60.8,55.5,55.5,34310,GTD
2025-12-10,50.0,50.0,48.8,48.8,33104,GTD
2025-12-11,42.2,56.3,42.1,56.3,21858,GTD
2025-12-12,56.3,63.0,56.3,63.0,16765,GTD
2025-12-15,62.9,63.5,59.0,62.9,38149,GTD
2025-12-16,63.0,72.1,63.0,72.1,25262,GTD
2025-12-17,82.8,82.8,82.8,82.8,9910,GTD
2025-12-18,95.2,95.2,95.2,95.2,26801,GTD
2025-12-19,109.0,109.4,90.0,90.0,14531,GTD
2025-12-22,90.0,91.0,87.0,89.0,42151,GTD
2025-12-23,86.1,88.6,74.3,82.0,12573,GTD
2025-12-24,82.4,82.4,77.0,79.0,6934,GTD
2025-12-25,78.7,80.0,78.0,79.0,8290,GTD
2025-12-26,80.0,80.0,77.3,77.6,21556,GTD
2025-12-29,78.1,78.1,77.8,77.8,5040,GTD
2025-12-30,77.5,89.5,77.5,89.5,8519,GTD
2025-12-31,94.7,94.7,85.0,86.0,2837,GTD
2026-01-05,86.2,87.1,86.2,86.3,6429,GTD
2026-01-06,86.8,86.8,81.5,86.0,8532,GTD
2026-01-07,85.9,87.0,84.5,85.6,16537,GTD
2026-01-08,85.1,87.1,85.1,87.0,8001,GTD
2026-01-09,85.5,87.3,85.5,87.0,5700,GTD
2026-01-12,87.0,89.0,86.7,89.0,4166,GTD
2026-01-13,87.2,87.5,87.1,87.3,2923,GTD
2026-01-14,87.5,87.6,86.9,86.9,4400,GTD
2026-01-15,86.9,87.5,86.9,87.3,3802,GTD
2026-01-16,86.8,90.0,86.8,87.2,1513,GTD
2026-01-19,88.6,88.6,88.5,88.5,905,GTD
2026-01-20,88.5,88.6,87.0,87.5,4600,GTD
2026-01-21,87.0,87.8,87.0,87.8,1803,GTD
2026-01-22,87.5,87.6,87.5,87.6,710,GTD
2026-01-23,87.5,87.5,87.5,87.5,100,GTD
