time,open,high,low,close,volume,symbol
2025-02-10,9.8,9.8,9.702,9.702,5200,HAN
2025-02-11,9.8,9.8,9.8,9.8,2400,HAN
2025-02-12,9.8,9.898,9.702,9.898,4000,HAN
2025-02-13,9.996,9.996,9.996,9.996,4500,HAN
2025-02-14,10.094,10.192,9.996,9.996,1000,HAN
2025-02-17,9.8,9.8,9.8,9.8,5000,HAN
2025-02-18,9.8,9.8,9.8,9.8,9200,HAN
2025-02-19,9.8,10.388,9.8,10.094,13100,HAN
2025-02-20,10.29,10.78,10.29,10.388,24750,HAN
2025-02-21,10.388,10.486,10.29,10.388,19601,HAN
2025-02-24,10.388,10.388,10.192,10.29,2500,HAN
2025-02-25,10.388,10.388,10.094,10.094,7736,HAN
2025-02-26,10.192,10.192,10.192,10.192,0,HAN
2025-02-27,10.192,10.192,10.094,10.094,4400,HAN
2025-02-28,10.29,10.29,9.996,10.29,4500,HAN
2025-03-03,10.192,10.192,10.192,10.192,1500,HAN
2025-03-04,10.192,10.486,10.192,10.388,8000,HAN
2025-03-05,10.192,10.192,10.192,10.192,5000,HAN
2025-03-06,9.996,9.996,9.8,9.996,1300,HAN
2025-03-07,9.996,10.29,9.996,10.29,2000,HAN
2025-03-10,10.094,10.094,10.094,10.094,10400,HAN
2025-03-11,10.094,10.094,10.094,10.094,1,HAN
2025-03-12,9.996,9.996,9.996,9.996,930,HAN
2025-03-13,9.996,10.192,9.898,9.996,6000,HAN
2025-03-14,9.996,9.996,9.898,9.898,2700,HAN
2025-03-17,9.898,10.094,9.8,10.094,1101,HAN
2025-03-18,9.898,11.368,9.898,11.172,72110,HAN
2025-03-19,11.074,11.074,10.584,10.78,13800,HAN
2025-03-20,11.074,11.074,10.192,10.682,21412,HAN
2025-03-21,10.584,10.682,10.094,10.094,31100,HAN
2025-03-24,10.682,10.682,9.8,9.898,16800,HAN
2025-03-25,10.388,10.388,9.996,10.29,3505,HAN
2025-03-26,9.996,10.388,9.996,10.094,13102,HAN
2025-03-27,10.094,10.486,10.094,10.29,14412,HAN
2025-03-28,10.388,10.388,10.094,10.094,2600,HAN
2025-03-31,10.192,10.192,10.094,10.094,3703,HAN
