time,open,high,low,close,volume,symbol
2025-02-10,271.467,294.67,267.89,283.115,12034,HGM
2025-02-11,283.39,307.235,283.39,288.892,7369,HGM
2025-02-12,284.307,317.782,284.307,317.782,19743,HGM
2025-02-13,320.074,349.514,317.782,349.514,44905,HGM
2025-02-14,374.184,384.273,320.992,328.695,33681,HGM
2025-02-17,329.246,361.528,329.246,341.168,38710,HGM
2025-02-18,366.848,366.848,307.051,307.051,38530,HGM
2025-02-19,308.082,308.082,276.431,276.431,28366,HGM
2025-02-20,258.2,304.01,258.2,304.01,16273,HGM
2025-02-21,323.907,323.907,286.889,296.143,7778,HGM
2025-02-24,269.398,282.262,269.305,273.007,6744,HGM
2025-02-25,261.254,281.336,261.254,273.562,6751,HGM
2025-02-26,274.025,277.634,274.025,274.395,5446,HGM
2025-02-27,282.262,301.789,282.262,301.789,16459,HGM
2025-02-28,302.344,327.609,302.344,314.652,7666,HGM
2025-03-03,314.652,315.67,287.444,310.95,2807,HGM
2025-03-04,296.143,296.143,279.855,282.262,5860,HGM
2025-03-05,305.398,309.932,282.262,285.038,6224,HGM
2025-03-06,286.889,295.125,285.038,285.038,1503,HGM
2025-03-07,290.591,290.591,273.562,277.634,3018,HGM
2025-03-10,277.634,305.398,277.634,305.398,7032,HGM
2025-03-11,305.398,310.025,294.385,294.385,1475,HGM
2025-03-12,294.57,294.663,286.889,291.516,3265,HGM
2025-03-13,291.516,291.516,285.038,285.963,4034,HGM
2025-03-14,287.814,305.398,287.814,304.287,2628,HGM
2025-03-17,305.398,311.876,305.398,311.876,4682,HGM
2025-03-18,297.069,300.863,297.069,300.771,1750,HGM
2025-03-19,297.069,297.069,296.143,297.069,1310,HGM
2025-03-20,297.994,304.472,292.071,304.472,3382,HGM
2025-03-21,305.398,305.398,297.994,304.472,3002,HGM
2025-03-24,304.472,307.249,304.472,306.601,5423,HGM
2025-03-25,306.601,306.601,295.31,306.601,700,HGM
2025-03-26,306.601,308.637,301.603,301.603,1904,HGM
2025-03-27,301.696,303.547,295.218,303.547,3691,HGM
2025-03-28,313.727,329.459,303.547,307.249,9910,HGM
2025-03-31,308.359,314.56,305.398,310.95,13466,HGM
2025-04-01,320.205,333.161,320.205,328.534,6680,HGM
