time,open,high,low,close,volume,symbol
2025-02-10,8.29,8.45,8.29,8.31,111700,HHP
2025-02-11,8.11,8.5,8.11,8.35,125600,HHP
2025-02-12,8.35,8.39,8.34,8.34,114000,HHP
2025-02-13,8.34,8.45,8.34,8.34,112800,HHP
2025-02-14,8.34,8.4,8.34,8.34,98200,HHP
2025-02-17,8.34,8.43,8.34,8.36,112300,HHP
2025-02-18,8.36,8.67,8.36,8.55,183200,HHP
2025-02-19,8.69,8.69,8.51,8.51,132400,HHP
2025-02-20,8.73,8.73,8.5,8.51,139600,HHP
2025-02-21,8.5,8.54,8.5,8.54,80700,HHP
2025-02-24,8.53,8.54,8.5,8.5,135800,HHP
2025-02-25,8.5,8.6,8.48,8.49,123900,HHP
2025-02-26,8.46,8.59,8.4,8.5,147000,HHP
2025-02-27,8.4,8.61,8.4,8.52,181300,HHP
2025-02-28,8.55,8.7,8.55,8.7,58700,HHP
2025-03-03,8.69,9.05,8.61,9.0,236200,HHP
2025-03-04,8.6,9.15,8.6,9.05,233000,HHP
2025-03-05,9.0,9.1,8.9,9.0,184500,HHP
2025-03-06,9.0,9.05,8.87,9.0,184100,HHP
2025-03-07,9.05,9.3,9.05,9.15,208200,HHP
2025-03-10,9.15,9.3,9.0,9.2,263700,HHP
2025-03-11,9.19,9.2,9.04,9.15,133400,HHP
2025-03-12,9.15,9.2,9.1,9.17,149500,HHP
2025-03-13,9.15,9.18,9.1,9.17,204500,HHP
2025-03-14,9.15,9.35,9.15,9.29,485100,HHP
2025-03-17,9.34,9.34,9.15,9.18,115900,HHP
2025-03-18,9.15,9.2,8.95,9.0,133600,HHP
2025-03-19,9.0,9.0,8.81,9.0,109300,HHP
2025-03-20,8.85,9.0,8.85,9.0,114400,HHP
2025-03-21,9.0,9.05,8.87,9.05,121300,HHP
2025-03-24,9.0,9.05,8.9,9.0,180400,HHP
2025-03-25,8.99,9.0,8.9,9.0,125400,HHP
2025-03-26,9.0,9.0,8.9,9.0,103400,HHP
2025-03-27,8.99,9.0,8.92,8.98,101900,HHP
2025-03-28,8.98,8.98,8.8,8.98,83500,HHP
2025-03-31,8.98,8.98,8.71,8.9,108800,HHP
2025-04-01,8.89,8.95,8.89,8.95,178800,HHP
2025-04-02,8.95,9.0,8.95,8.99,121000,HHP
2025-04-03,8.41,8.95,8.37,8.37,250300,HHP
2025-04-04,7.79,8.37,7.79,8.34,223900,HHP
2025-04-08,8.3,8.34,7.76,8.34,242900,HHP
2025-04-09,7.8,8.34,7.76,8.34,363600,HHP
2025-04-10,8.75,8.92,8.73,8.92,613500,HHP
2025-04-11,8.91,8.92,8.51,8.89,122000,HHP
2025-04-14,8.88,8.88,8.27,8.65,110400,HHP
2025-04-15,8.65,8.65,8.06,8.5,171000,HHP
2025-04-16,8.45,8.7,8.08,8.7,143300,HHP
2025-04-17,8.7,8.7,8.4,8.65,95300,HHP
2025-04-18,8.64,8.75,8.35,8.68,210000,HHP
2025-04-21,8.36,8.67,8.36,8.65,116000,HHP
2025-04-22,8.65,8.65,8.15,8.5,69800,HHP
2025-04-23,8.5,8.5,8.3,8.5,139000,HHP
2025-04-24,8.3,8.5,8.29,8.5,77100,HHP
2025-04-25,8.33,8.5,8.33,8.5,94400,HHP
2025-04-28,8.5,8.5,8.36,8.5,81300,HHP
2025-04-29,9.09,9.09,8.7,8.75,280800,HHP
2025-05-05,8.7,9.0,8.7,8.89,125458,HHP
2025-05-06,8.9,8.9,8.7,8.85,151500,HHP
2025-05-07,8.85,8.85,8.75,8.75,85446,HHP
2025-05-08,8.85,8.85,8.72,8.72,95388,HHP
2025-05-09,8.75,8.75,8.5,8.54,143000,HHP
2025-05-12,8.51,8.85,8.51,8.8,122740,HHP
2025-05-13,8.8,8.85,8.7,8.76,136600,HHP
2025-05-14,8.76,8.85,8.7,8.85,164500,HHP
2025-05-15,8.85,8.95,8.7,8.76,141100,HHP
2025-05-16,8.71,8.8,8.56,8.8,126300,HHP
2025-05-19,8.8,8.85,8.64,8.85,138000,HHP
2025-05-20,8.7,8.89,8.69,8.8,65300,HHP
2025-05-21,8.67,8.72,8.67,8.72,13900,HHP
2025-05-22,8.78,8.78,8.65,8.7,67700,HHP
2025-05-23,8.7,8.8,8.62,8.65,66900,HHP
2025-05-26,8.7,8.76,8.54,8.62,77100,HHP
2025-05-27,8.6,8.78,8.6,8.7,54200,HHP
2025-05-28,8.65,8.75,8.6,8.66,125400,HHP
2025-05-29,8.66,8.74,8.64,8.74,30800,HHP
2025-05-30,8.66,8.68,8.58,8.68,61000,HHP
2025-06-02,8.79,8.79,8.6,8.72,67200,HHP
2025-06-03,8.79,8.79,8.61,8.7,46200,HHP
2025-06-04,8.7,8.7,8.6,8.69,87100,HHP
2025-06-05,8.6,8.7,8.6,8.65,63300,HHP
2025-06-06,8.65,8.65,8.55,8.6,52800,HHP
2025-06-09,8.58,8.6,8.55,8.56,57900,HHP
2025-06-10,8.99,8.99,8.57,8.6,65600,HHP
