time,open,high,low,close,volume,symbol
2025-02-10,7.23,7.27,7.21,7.21,565400,HHS
2025-02-11,7.21,7.35,7.21,7.26,753200,HHS
2025-02-12,7.22,7.34,7.22,7.25,409900,HHS
2025-02-13,7.25,7.26,7.2,7.24,1099200,HHS
2025-02-14,7.24,7.34,7.24,7.3,1249900,HHS
2025-02-17,7.31,7.44,7.31,7.35,1088500,HHS
2025-02-18,7.35,7.7,7.35,7.7,4447500,HHS
2025-02-19,7.79,8.23,7.71,8.2,10258600,HHS
2025-02-20,8.25,8.25,8.03,8.06,3193600,HHS
2025-02-21,8.04,8.23,8.0,8.14,3195000,HHS
2025-02-24,8.15,8.15,7.97,8.0,2066500,HHS
2025-02-25,8.1,8.17,8.03,8.1,1825700,HHS
2025-02-26,8.2,8.22,8.07,8.13,1765300,HHS
2025-02-27,8.16,8.37,8.11,8.27,3940700,HHS
2025-02-28,8.29,8.33,8.18,8.24,1452300,HHS
2025-03-03,8.2,8.3,8.1,8.3,2652000,HHS
2025-03-04,8.28,8.32,8.17,8.26,2133300,HHS
2025-03-05,8.26,8.44,8.26,8.26,2901000,HHS
2025-03-06,8.3,8.32,8.25,8.31,1634500,HHS
2025-03-07,8.35,8.58,8.35,8.35,3598100,HHS
2025-03-10,8.45,8.46,8.27,8.34,1947400,HHS
2025-03-11,8.25,8.36,8.19,8.36,2634300,HHS
2025-03-12,8.39,8.39,8.24,8.26,1119700,HHS
2025-03-13,8.25,8.42,8.2,8.25,1972600,HHS
2025-03-14,8.24,8.35,8.23,8.28,1215000,HHS
2025-03-17,8.38,8.85,8.38,8.8,7085800,HHS
2025-03-18,8.9,8.92,8.75,8.82,1855100,HHS
2025-03-19,8.81,8.92,8.7,8.76,2213500,HHS
2025-03-20,8.88,8.88,8.62,8.7,2206900,HHS
2025-03-21,8.7,8.88,8.6,8.6,2116000,HHS
2025-03-24,8.6,8.82,8.6,8.76,1802900,HHS
2025-03-25,8.76,8.88,8.71,8.79,1428800,HHS
2025-03-26,9.01,9.3,9.01,9.2,3773900,HHS
2025-03-27,9.28,9.84,9.21,9.84,4068000,HHS
2025-03-28,10.25,10.5,10.2,10.3,13322000,HHS
2025-03-31,10.3,10.65,10.2,10.5,6081300,HHS
2025-04-01,10.5,10.6,10.15,10.45,5471900,HHS
2025-04-02,10.5,11.15,10.35,11.15,12124800,HHS
2025-04-03,10.4,10.8,10.4,10.4,6314200,HHS
2025-04-04,9.68,10.5,9.68,10.5,14369300,HHS
2025-04-08,9.95,10.3,9.77,9.77,2769300,HHS
2025-04-09,9.09,9.32,9.09,9.09,7226800,HHS
2025-04-10,9.72,9.72,9.72,9.72,192300,HHS
2025-04-11,10.35,10.4,9.72,10.4,12958900,HHS
2025-04-14,10.55,10.95,10.35,10.9,5317100,HHS
2025-04-15,10.9,11.0,10.2,10.5,5843100,HHS
2025-04-16,10.5,10.7,10.1,10.5,5419200,HHS
2025-04-17,10.4,11.2,10.4,11.15,9980100,HHS
2025-04-18,11.4,11.5,11.0,11.0,5481100,HHS
2025-04-21,11.0,11.4,10.75,11.15,6506100,HHS
2025-04-22,11.05,11.45,10.4,11.0,10674000,HHS
2025-04-23,11.3,11.5,10.95,11.3,5769600,HHS
2025-04-24,11.35,11.6,11.1,11.3,6653100,HHS
2025-04-25,11.45,11.45,11.0,11.0,4129100,HHS
2025-04-28,11.0,11.0,10.55,10.85,3757600,HHS
2025-04-29,10.85,11.2,10.6,11.0,4048800,HHS
2025-05-05,11.1,11.25,10.85,11.0,1805784,HHS
2025-05-06,11.1,11.4,11.1,11.15,5498000,HHS
2025-05-07,11.2,11.45,11.0,11.45,5786082,HHS
2025-05-08,11.5,12.25,11.5,12.25,14417357,HHS
2025-05-09,12.45,12.85,12.25,12.35,11144500,HHS
2025-05-12,12.6,13.2,12.45,13.05,14054362,HHS
2025-05-13,13.2,13.25,12.85,13.05,9974600,HHS
2025-05-14,13.05,13.55,12.9,13.25,6578600,HHS
2025-05-15,13.4,13.4,12.65,13.2,10782500,HHS
2025-05-16,13.2,13.8,13.05,13.2,8896700,HHS
2025-05-19,13.0,13.35,12.85,13.0,9537800,HHS
2025-05-20,13.05,13.25,12.85,13.25,7462200,HHS
2025-05-21,13.6,13.6,12.95,13.35,8219400,HHS
2025-05-22,13.3,13.95,13.1,13.35,10420900,HHS
2025-05-23,13.55,14.0,13.4,13.9,10305900,HHS
2025-05-26,14.3,14.85,13.8,14.6,16330500,HHS
2025-05-27,14.65,15.1,14.35,14.65,7217900,HHS
2025-05-28,14.95,15.0,14.2,14.4,8224200,HHS
2025-05-29,14.45,14.9,14.4,14.75,5408200,HHS
2025-05-30,14.8,14.8,14.45,14.7,5724100,HHS
2025-06-02,14.5,15.15,14.5,15.15,6917100,HHS
2025-06-03,15.2,15.25,14.75,15.15,6597900,HHS
2025-06-04,15.15,15.2,14.7,14.8,7776600,HHS
2025-06-05,14.65,14.8,14.05,14.7,10541600,HHS
2025-06-06,14.85,15.2,14.45,15.15,8118300,HHS
2025-06-09,15.0,16.1,14.9,15.7,7934200,HHS
2025-06-10,15.8,15.8,15.35,15.6,6042400,HHS
2025-06-11,15.65,15.65,15.15,15.5,4334000,HHS
2025-06-12,15.6,15.7,15.25,15.5,10304800,HHS
2025-06-13,15.15,15.4,14.65,15.3,12292500,HHS
2025-06-16,15.25,15.6,15.0,15.3,6707200,HHS
2025-06-17,15.25,15.75,15.25,15.5,6911500,HHS
2025-06-18,15.9,15.9,15.15,15.25,7685400,HHS
2025-06-19,15.25,15.25,14.85,15.05,4896200,HHS
2025-06-20,15.0,15.05,14.7,14.9,7424800,HHS
2025-06-23,14.7,14.9,14.45,14.7,6957200,HHS
2025-06-24,14.9,15.1,14.8,14.9,4147700,HHS
2025-06-25,14.9,15.0,14.65,14.95,4235300,HHS
2025-06-26,14.95,15.35,14.8,15.1,5464336,HHS
2025-06-27,15.05,15.2,14.95,15.15,2922200,HHS
2025-06-30,15.1,15.35,15.0,15.25,5289091,HHS
2025-07-01,15.2,15.2,14.75,14.8,5157300,HHS
2025-07-02,14.8,15.2,14.65,15.2,4422500,HHS
2025-07-03,15.15,15.65,15.0,15.2,5745800,HHS
2025-07-04,15.3,16.1,15.2,15.75,12705000,HHS
2025-07-07,15.9,16.45,15.7,16.4,7859800,HHS
2025-07-08,16.6,16.75,16.05,16.45,5955100,HHS
2025-07-09,16.4,16.45,16.05,16.15,8992200,HHS
2025-07-10,16.35,16.5,16.1,16.35,4287900,HHS
2025-07-11,16.3,16.5,16.0,16.3,7869200,HHS
2025-07-14,16.4,16.7,16.0,16.5,6569100,HHS
2025-07-15,16.55,16.65,16.25,16.55,6131500,HHS
2025-07-16,16.4,17.35,16.4,17.15,8218400,HHS
2025-07-17,17.35,17.9,17.15,17.45,7516900,HHS
2025-07-18,17.6,17.85,17.05,17.45,5442600,HHS
2025-07-21,17.25,17.35,16.8,17.0,8147500,HHS
2025-07-22,16.8,17.5,16.6,17.5,5559500,HHS
2025-07-23,17.8,18.25,17.5,17.85,6564400,HHS
2025-07-24,17.85,17.9,17.5,17.6,3566800,HHS
2025-07-25,17.5,18.2,17.5,18.15,5666600,HHS
2025-07-28,18.2,18.8,18.0,18.35,11223600,HHS
2025-07-29,18.45,18.45,17.1,17.1,14710000,HHS
2025-07-30,18.25,18.25,17.95,18.25,15190400,HHS
2025-07-31,19.5,19.5,17.0,18.9,35348800,HHS
2025-08-01,18.95,18.95,18.1,18.6,10464400,HHS
2025-08-04,18.35,18.4,17.45,17.9,13553500,HHS
2025-08-05,18.2,18.25,16.65,17.6,16403000,HHS
2025-08-06,17.6,17.6,16.95,17.1,11833600,HHS
2025-08-07,17.35,17.9,17.2,17.7,11650900,HHS
2025-08-08,17.7,18.0,17.2,17.7,10358900,HHS
2025-08-11,17.85,18.25,17.75,17.9,9049600,HHS
2025-08-12,18.05,18.5,17.8,18.45,10515400,HHS
2025-08-13,18.75,18.95,18.0,18.55,9414100,HHS
2025-08-14,18.6,18.65,18.2,18.25,8584700,HHS
2025-08-15,18.35,18.45,17.2,17.3,16176800,HHS
2025-08-18,17.3,17.5,16.55,17.4,7802800,HHS
2025-08-19,17.4,17.95,17.15,17.75,7748600,HHS
2025-08-20,17.95,18.0,16.7,17.15,7322000,HHS
2025-08-21,17.2,17.25,16.5,16.5,8596600,HHS
2025-08-22,16.0,16.3,15.35,15.35,20245400,HHS
2025-08-25,15.15,15.65,14.75,15.4,7254400,HHS
2025-08-26,15.4,16.0,15.3,16.0,4022200,HHS
2025-08-27,16.0,16.4,15.65,15.65,5849700,HHS
2025-08-28,15.8,16.0,15.6,16.0,3680300,HHS
2025-08-29,16.2,16.2,15.8,15.8,3616500,HHS
2025-09-03,15.95,16.55,15.85,16.5,4493100,HHS
2025-09-04,16.75,17.65,16.6,17.65,13082800,HHS
2025-09-05,18.15,18.15,17.5,17.5,9014400,HHS
2025-09-08,17.4,17.9,16.5,16.5,10786000,HHS
2025-09-09,16.8,17.1,16.2,17.0,5119900,HHS
2025-09-10,17.0,17.0,16.4,16.9,3610400,HHS
2025-09-11,16.7,17.0,16.0,17.0,4090200,HHS
2025-09-12,17.0,17.4,16.85,17.0,2870200,HHS
2025-09-15,17.05,17.6,16.95,17.35,4568000,HHS
2025-09-16,17.6,17.6,17.0,17.05,3694900,HHS
2025-09-17,17.15,17.25,16.65,16.7,3371900,HHS
2025-09-18,16.85,16.9,16.5,16.7,1847500,HHS
2025-09-19,16.85,16.9,16.55,16.7,2282000,HHS
2025-09-22,16.6,16.9,16.3,16.45,3379300,HHS
2025-09-23,16.5,16.65,16.35,16.6,1251200,HHS
2025-09-24,16.6,17.1,16.4,17.1,2048800,HHS
2025-09-25,17.1,17.5,17.05,17.4,6858700,HHS
2025-09-26,17.45,18.4,17.4,18.05,14169000,HHS
2025-09-29,18.25,18.4,17.65,18.0,5874700,HHS
2025-09-30,17.95,18.0,17.1,17.85,4633700,HHS
2025-10-01,18.05,19.05,17.85,18.7,16290900,HHS
2025-10-02,18.85,18.85,18.0,18.45,4914100,HHS
2025-10-03,18.1,18.35,17.65,17.85,6516800,HHS
2025-10-06,18.3,19.0,18.15,18.95,6752400,HHS
2025-10-07,19.05,19.05,18.3,18.35,5356100,HHS
2025-10-08,18.6,19.35,18.3,19.1,8920500,HHS
2025-10-09,19.15,19.7,19.15,19.7,5639300,HHS
2025-10-10,19.95,20.2,19.25,19.45,10177200,HHS
2025-10-13,19.1,19.7,19.05,19.1,10837900,HHS
2025-10-14,19.2,19.25,17.95,18.0,13680800,HHS
2025-10-15,18.0,18.25,17.55,18.2,6420400,HHS
2025-10-16,18.35,18.7,18.0,18.45,4385900,HHS
2025-10-17,18.45,18.6,18.1,18.1,5753000,HHS
2025-10-20,17.9,18.0,16.85,16.85,7652000,HHS
2025-10-21,16.55,17.0,15.7,15.7,9520500,HHS
2025-10-22,15.95,16.3,15.5,16.15,4113100,HHS
2025-10-23,16.3,16.3,15.6,15.6,3830100,HHS
2025-10-24,15.45,16.0,15.05,15.65,5195900,HHS
2025-10-27,15.75,15.85,14.85,14.85,3588000,HHS
2025-10-28,14.25,15.5,14.25,15.5,5520700,HHS
2025-10-29,15.5,15.65,15.2,15.65,2504100,HHS
2025-10-30,15.45,15.65,15.2,15.6,2956100,HHS
2025-10-31,15.35,15.6,14.9,14.9,3231100,HHS
2025-11-03,14.65,14.9,13.9,13.9,5578600,HHS
2025-11-04,13.5,14.85,13.5,14.85,5674500,HHS
2025-11-05,14.8,14.85,14.5,14.7,1445300,HHS
2025-11-06,14.7,14.95,14.4,14.7,1844300,HHS
2025-11-07,14.7,14.7,14.2,14.2,1699000,HHS
2025-11-10,14.0,14.65,14.0,14.3,2149000,HHS
2025-11-11,14.35,14.5,14.15,14.3,1345100,HHS
2025-11-12,14.4,14.75,14.3,14.65,1219800,HHS
2025-11-13,14.65,14.95,14.6,14.8,1480900,HHS
2025-11-14,14.65,15.15,14.6,14.8,1432000,HHS
2025-11-17,15.0,15.25,14.9,15.1,1716900,HHS
2025-11-18,15.15,15.15,14.7,14.85,2141200,HHS
2025-11-19,14.85,14.85,14.1,14.1,3186300,HHS
