time,open,high,low,close,volume,symbol
2025-02-10,19.182,19.182,19.182,19.182,200,HPW
2025-02-11,18.223,19.182,18.223,19.182,200,HPW
2025-02-12,18.702,18.702,18.702,18.702,0,HPW
2025-02-13,18.702,18.702,18.702,18.702,0,HPW
2025-02-14,18.702,18.702,18.702,18.702,50,HPW
2025-02-17,18.702,18.702,18.702,18.702,0,HPW
2025-02-18,18.702,18.702,18.702,18.702,0,HPW
2025-02-19,18.702,18.702,18.702,18.702,0,HPW
2025-02-20,19.182,19.182,19.182,19.182,1900,HPW
2025-02-21,19.182,19.182,19.182,19.182,0,HPW
2025-02-24,16.88,16.88,16.88,16.88,100,HPW
2025-02-25,16.88,16.88,16.88,16.88,0,HPW
2025-02-26,18.99,18.99,18.99,18.99,145,HPW
2025-02-27,16.88,16.88,16.88,16.88,100,HPW
2025-02-28,19.182,19.182,19.182,19.182,1000,HPW
2025-03-03,19.182,19.182,19.182,19.182,1600,HPW
2025-03-04,19.182,19.182,19.182,19.182,0,HPW
2025-03-05,17.072,17.072,17.072,17.072,100,HPW
2025-03-06,19.566,19.566,19.566,19.566,1000,HPW
2025-03-07,17.168,17.168,17.168,17.168,100,HPW
2025-03-10,17.552,17.552,17.552,17.552,100,HPW
2025-03-11,17.552,17.552,17.552,17.552,0,HPW
2025-03-12,19.374,19.374,19.374,19.374,100,HPW
2025-03-13,19.182,19.182,18.798,18.798,1000,HPW
2025-03-14,17.264,17.264,17.264,17.264,100,HPW
2025-03-17,17.264,17.264,17.264,17.264,0,HPW
2025-03-18,17.647,17.647,17.647,17.647,100,HPW
2025-03-19,19.47,19.47,19.47,19.47,100,HPW
2025-03-20,17.36,19.374,17.36,19.182,300,HPW
2025-03-21,18.607,18.607,18.607,18.607,0,HPW
2025-03-24,18.607,18.607,18.607,18.607,0,HPW
2025-03-25,18.702,18.702,18.702,18.702,100,HPW
2025-03-26,19.182,19.182,19.182,19.182,4800,HPW
2025-03-27,19.182,19.182,19.182,19.182,4800,HPW
2025-03-28,19.182,19.182,19.182,19.182,0,HPW
2025-03-31,19.182,20.141,19.182,19.182,4500,HPW
2025-04-01,19.278,19.278,19.182,19.182,9500,HPW
2025-04-02,19.278,19.278,19.182,19.278,10100,HPW
2025-04-03,19.278,19.278,18.223,18.223,400,HPW
2025-04-04,18.798,18.798,18.798,18.798,0,HPW
2025-04-08,16.497,16.497,16.497,16.497,100,HPW
2025-04-09,18.702,18.702,18.702,18.702,1100,HPW
2025-04-10,18.223,18.223,18.223,18.223,100,HPW
2025-04-11,18.223,18.223,18.223,18.223,0,HPW
2025-04-14,19.374,19.374,19.182,19.182,500,HPW
