time,open,high,low,close,volume,symbol
2025-02-10,17.052,17.1,16.42,16.42,13198800,HSG
2025-02-11,16.226,16.517,16.129,16.274,8571400,HSG
2025-02-12,16.469,16.469,16.129,16.226,2566700,HSG
2025-02-13,16.42,16.42,16.177,16.177,2052800,HSG
2025-02-14,16.226,16.663,16.226,16.517,5277900,HSG
2025-02-17,16.517,16.566,16.42,16.517,2338400,HSG
2025-02-18,16.517,16.857,16.517,16.76,5090900,HSG
2025-02-19,16.76,16.809,16.614,16.809,3273000,HSG
2025-02-20,16.857,17.294,16.857,17.052,8637000,HSG
2025-02-21,17.003,17.1,16.857,17.052,3358000,HSG
2025-02-24,17.683,17.732,17.294,17.392,11065900,HSG
2025-02-25,17.489,17.489,17.149,17.246,4541000,HSG
2025-02-26,17.489,17.635,17.392,17.392,8748800,HSG
2025-02-27,17.392,18.606,17.294,18.606,33688400,HSG
2025-02-28,18.655,18.752,18.315,18.509,8658000,HSG
2025-03-03,18.558,18.558,18.12,18.363,8293600,HSG
2025-03-04,18.218,18.412,18.023,18.169,8237900,HSG
2025-03-05,18.12,18.315,17.78,17.78,6322700,HSG
2025-03-06,17.975,18.412,17.78,18.412,7748900,HSG
2025-03-07,18.412,18.46,18.169,18.266,5992700,HSG
2025-03-10,18.315,18.363,18.072,18.169,5036900,HSG
2025-03-11,17.829,18.509,17.829,18.509,10075800,HSG
2025-03-12,18.558,18.655,18.218,18.363,6125300,HSG
2025-03-13,18.46,18.8,18.12,18.315,10326600,HSG
2025-03-14,18.315,18.363,18.072,18.169,4785300,HSG
2025-03-17,18.266,18.509,18.12,18.315,5415000,HSG
2025-03-18,18.509,18.655,17.78,17.78,11525900,HSG
2025-03-19,17.635,17.78,17.197,17.197,10948800,HSG
2025-03-20,17.197,17.44,17.1,17.343,5447800,HSG
2025-03-21,17.343,17.44,17.149,17.197,3203500,HSG
2025-03-24,17.392,17.392,17.003,17.246,3927600,HSG
2025-03-25,17.294,17.489,17.197,17.392,3969000,HSG
2025-03-26,17.392,17.635,17.294,17.489,4905600,HSG
2025-03-27,17.489,17.586,17.197,17.246,2995900,HSG
2025-03-28,17.246,17.294,16.809,16.906,5759700,HSG
2025-03-31,16.76,16.906,16.712,16.712,3959800,HSG
2025-04-01,16.906,17.246,16.76,17.1,3612200,HSG
2025-04-02,17.55,17.6,17.35,17.4,5760600,HSG
2025-04-03,16.2,16.75,16.2,16.2,10995900,HSG
2025-04-04,15.1,15.4,15.1,15.25,16137400,HSG
2025-04-08,15.15,15.15,14.2,14.2,6102500,HSG
2025-04-09,13.25,13.6,13.25,13.25,8678000,HSG
2025-04-10,14.15,14.15,14.15,14.15,1681700,HSG
2025-04-11,15.0,15.0,14.0,14.5,14997500,HSG
2025-04-14,14.5,14.7,14.15,14.4,6024000,HSG
2025-04-15,14.2,14.4,13.7,14.0,6501100,HSG
2025-04-16,14.0,14.05,13.55,13.55,6282200,HSG
2025-04-17,13.5,13.55,13.05,13.5,7480100,HSG
2025-04-18,13.6,13.9,13.55,13.7,5263400,HSG
2025-04-21,13.7,13.8,13.3,13.3,4722300,HSG
2025-04-22,13.3,13.3,12.4,12.5,13083900,HSG
2025-04-23,12.8,13.35,12.65,13.35,11022200,HSG
2025-04-24,13.6,13.9,13.35,13.5,5648200,HSG
2025-04-25,13.9,13.9,13.35,13.35,5217100,HSG
2025-04-28,13.5,13.9,13.4,13.65,5730500,HSG
2025-04-29,13.7,13.9,13.55,13.8,4509500,HSG
2025-05-05,14.1,14.7,13.8,14.65,9687957,HSG
2025-05-06,14.7,14.8,14.35,14.4,5923200,HSG
2025-05-07,14.3,14.65,14.25,14.55,5035351,HSG
2025-05-08,14.65,14.95,14.55,14.75,9759204,HSG
2025-05-09,14.8,15.05,14.6,14.9,6774100,HSG
2025-05-12,14.9,15.35,14.8,15.0,7441212,HSG
