time,open,high,low,close,volume,symbol
2025-02-10,47.656,47.656,41.386,43.706,77146,ICN
2025-02-11,44.333,44.584,43.455,43.455,16900,ICN
2025-02-12,44.521,44.834,44.207,44.834,19801,ICN
2025-02-13,44.709,45.022,43.894,43.894,13504,ICN
2025-02-14,43.894,43.956,43.267,43.58,32301,ICN
2025-02-17,42.765,43.58,42.765,42.765,13349,ICN
2025-02-18,42.64,43.267,42.514,42.577,10187,ICN
2025-02-19,42.765,43.894,42.702,43.329,6700,ICN
2025-02-20,43.267,43.894,43.267,43.831,4401,ICN
2025-02-21,43.831,43.831,43.267,43.267,5200,ICN
2025-02-24,42.89,43.58,42.64,43.141,10006,ICN
2025-02-25,42.64,43.267,42.452,42.765,13019,ICN
2025-02-26,43.267,45.085,42.89,43.831,9775,ICN
2025-02-27,44.458,45.775,44.395,45.712,12400,ICN
2025-02-28,45.524,45.775,45.022,45.148,9003,ICN
2025-03-03,45.712,45.712,43.58,44.521,4381,ICN
2025-03-04,44.207,44.897,44.082,44.897,6700,ICN
2025-03-05,45.085,45.085,44.207,44.27,6001,ICN
2025-03-06,44.772,46.339,44.772,46.088,24517,ICN
2025-03-07,45.838,46.151,45.336,45.336,3400,ICN
2025-03-10,45.461,45.712,45.211,45.211,4600,ICN
2025-03-11,44.834,45.211,44.145,45.148,10003,ICN
2025-03-12,44.709,45.211,44.709,45.211,6701,ICN
2025-03-13,46.966,46.966,44.834,45.587,4800,ICN
2025-03-14,46.966,46.966,44.333,44.646,12908,ICN
2025-03-17,45.148,45.148,44.646,45.085,3905,ICN
2025-03-18,46.277,46.277,44.834,45.65,3201,ICN
2025-03-19,45.963,45.963,44.584,45.524,4552,ICN
2025-03-20,45.65,45.65,45.148,45.148,1907,ICN
2025-03-21,45.65,45.65,45.148,45.148,1514,ICN
2025-03-24,45.273,45.524,45.273,45.336,2809,ICN
2025-03-25,45.399,45.399,45.148,45.148,4800,ICN
2025-03-26,45.712,45.712,44.646,45.211,5900,ICN
2025-03-27,45.461,46.653,44.834,45.775,21060,ICN
2025-03-28,46.841,46.904,46.214,46.402,6000,ICN
2025-03-31,46.841,46.841,44.834,44.834,15025,ICN
2025-04-01,45.524,45.587,45.148,45.524,17700,ICN
2025-04-02,46.339,46.339,45.461,45.524,24400,ICN
2025-04-03,41.448,45.336,38.752,40.382,23710,ICN
2025-04-04,40.759,40.759,39.003,40.57,24327,ICN
2025-04-08,38.877,39.504,36.369,38.564,13309,ICN
2025-04-09,36.369,38.125,36.369,37.498,8602,ICN
2025-04-10,42.64,43.141,42.138,42.138,22900,ICN
2025-04-11,42.326,42.326,40.759,40.759,6601,ICN
2025-04-14,40.194,41.448,39.504,40.194,12700,ICN
2025-04-15,39.254,39.254,38.627,39.003,14800,ICN
2025-04-16,39.003,39.003,38.877,39.003,3600,ICN
2025-04-17,37.811,38.188,37.811,38.188,4300,ICN
2025-04-18,38.25,38.564,38.25,38.564,2100,ICN
2025-04-21,38.564,38.752,38.438,38.752,2100,ICN
2025-04-22,38.25,38.25,37.623,37.623,4300,ICN
2025-04-23,38.877,39.442,38.376,39.442,1300,ICN
2025-04-24,38.877,39.379,38.877,39.379,900,ICN
2025-04-25,39.504,39.504,39.379,39.379,1108,ICN
2025-04-28,39.755,39.755,39.316,39.379,4514,ICN
2025-04-29,39.943,39.943,38.501,38.627,39115,ICN
2025-05-05,39.065,39.065,38.376,38.752,7902,ICN
2025-05-06,38.94,38.94,38.125,38.752,33200,ICN
2025-05-07,38.25,38.376,37.623,38.188,18921,ICN
2025-05-08,37.372,38.94,37.372,37.999,27200,ICN
2025-05-09,38.764,38.764,38.063,38.254,5100,ICN
2025-05-12,38.318,38.892,38.318,38.509,15800,ICN
2025-05-13,38.573,38.637,38.318,38.509,29400,ICN
2025-05-14,38.446,38.892,38.254,38.573,18700,ICN
2025-05-15,38.573,38.573,38.254,38.254,8700,ICN
2025-05-16,38.764,42.08,38.254,38.254,35000,ICN
2025-05-19,38.318,38.637,38.127,38.637,10700,ICN
2025-05-20,38.254,38.254,38.254,38.254,2000,ICN
2025-05-21,38.254,38.446,38.191,38.382,6101,ICN
2025-05-22,38.382,38.382,38.191,38.254,6600,ICN
2025-05-23,38.254,38.382,38.191,38.254,9715,ICN
2025-05-26,38.127,38.127,37.936,37.936,8500,ICN
2025-05-27,37.936,37.999,37.936,37.999,15500,ICN
2025-05-28,38.127,38.701,37.999,38.318,31600,ICN
