time,open,high,low,close,volume,symbol
2025-02-10,10.25,10.3,10.05,10.1,421600,ITC
2025-02-11,10.15,10.2,9.97,10.1,446800,ITC
2025-02-12,10.1,10.1,10.0,10.0,206900,ITC
2025-02-13,10.0,10.05,9.91,9.92,551300,ITC
2025-02-14,9.97,10.0,9.94,9.99,163900,ITC
2025-02-17,9.99,10.15,9.98,10.15,221700,ITC
2025-02-18,10.15,10.3,10.1,10.2,165100,ITC
2025-02-19,10.25,10.35,10.15,10.3,325000,ITC
2025-02-20,10.35,10.4,10.25,10.3,164300,ITC
2025-02-21,10.3,10.35,10.15,10.3,174600,ITC
2025-02-24,10.3,10.3,10.15,10.2,157500,ITC
2025-02-25,10.3,10.35,10.25,10.3,336300,ITC
2025-02-26,10.3,10.3,10.2,10.25,166700,ITC
2025-02-27,10.25,10.3,10.15,10.25,272900,ITC
2025-02-28,10.3,10.55,10.25,10.45,789700,ITC
2025-03-03,10.5,10.6,10.4,10.45,206400,ITC
2025-03-04,10.45,10.5,10.3,10.4,182500,ITC
2025-03-05,10.4,10.4,10.2,10.2,301400,ITC
2025-03-06,10.2,10.3,10.2,10.3,180600,ITC
2025-03-07,10.3,10.5,10.3,10.3,224700,ITC
2025-03-10,10.5,11.0,10.45,11.0,2322600,ITC
2025-03-11,10.9,11.1,10.8,11.05,747300,ITC
2025-03-12,11.1,11.5,11.1,11.1,1268200,ITC
2025-03-13,11.1,11.35,10.75,10.85,1025400,ITC
2025-03-14,10.95,11.0,10.65,10.85,625500,ITC
2025-03-17,10.9,11.3,10.8,11.3,952400,ITC
2025-03-18,11.25,11.45,11.05,11.25,715000,ITC
2025-03-19,11.25,11.95,11.05,11.65,1602900,ITC
2025-03-20,11.8,11.8,11.3,11.4,634900,ITC
2025-03-21,11.45,11.7,11.45,11.65,445900,ITC
2025-03-24,11.75,11.85,11.45,11.75,600600,ITC
2025-03-25,11.8,11.8,11.55,11.7,480000,ITC
2025-03-26,11.7,12.3,11.7,11.8,772100,ITC
2025-03-27,11.7,12.15,11.7,12.05,1107800,ITC
2025-03-28,12.1,12.15,11.75,11.75,466900,ITC
2025-03-31,11.7,11.8,11.5,11.6,623600,ITC
2025-04-01,11.75,11.75,11.45,11.6,468500,ITC
2025-04-02,11.6,11.7,11.5,11.6,296000,ITC
2025-04-03,11.1,11.2,10.8,10.8,1073500,ITC
2025-04-04,10.05,10.35,10.05,10.3,1342000,ITC
2025-04-08,9.91,9.92,9.58,9.58,987800,ITC
2025-04-09,8.94,9.59,8.91,8.91,627400,ITC
2025-04-10,9.53,9.53,9.53,9.53,52900,ITC
2025-04-11,10.0,10.1,9.51,10.1,634800,ITC
2025-04-14,10.1,10.3,10.0,10.25,204500,ITC
2025-04-15,10.2,10.35,10.0,10.1,302900,ITC
2025-04-16,10.2,10.2,9.94,10.0,123800,ITC
2025-04-17,9.83,10.1,9.83,10.1,115700,ITC
2025-04-18,10.15,10.3,10.1,10.15,327400,ITC
2025-04-21,10.05,10.35,10.05,10.15,362300,ITC
2025-04-22,10.15,10.2,9.44,10.1,535000,ITC
2025-04-23,10.1,10.3,9.8,10.1,590100,ITC
2025-04-24,10.05,10.2,10.05,10.1,138000,ITC
2025-04-25,10.1,10.15,10.0,10.05,228700,ITC
2025-04-28,10.1,10.1,9.95,10.0,205400,ITC
2025-04-29,10.05,10.05,9.95,9.95,238800,ITC
2025-05-05,10.0,10.1,9.96,9.96,150959,ITC
2025-05-06,10.0,10.15,10.0,10.05,240600,ITC
2025-05-07,10.1,10.35,10.1,10.3,476540,ITC
2025-05-08,10.45,11.0,10.45,11.0,918266,ITC
2025-05-09,11.65,11.75,11.35,11.75,1812300,ITC
2025-05-12,12.2,12.3,11.7,11.85,768784,ITC
2025-05-13,11.85,12.4,11.7,12.15,864100,ITC
2025-05-14,12.25,12.25,11.85,12.1,725100,ITC
2025-05-15,12.15,12.15,11.8,12.0,320300,ITC
2025-05-16,12.0,12.45,11.8,12.1,765100,ITC
2025-05-19,11.8,12.45,11.8,12.25,1040000,ITC
2025-05-20,12.3,12.4,12.1,12.3,467200,ITC
2025-05-21,12.35,12.35,11.95,12.2,567900,ITC
2025-05-22,12.1,13.05,12.0,13.0,2469400,ITC
2025-05-23,13.0,13.5,12.95,13.0,644300,ITC
2025-05-26,13.0,13.9,12.65,13.9,1529000,ITC
2025-05-27,14.2,14.2,13.7,14.0,1032500,ITC
2025-05-28,14.1,14.4,13.6,13.85,1002400,ITC
2025-05-29,14.0,14.2,13.65,14.05,810600,ITC
2025-05-30,14.1,15.0,14.1,14.7,1965900,ITC
2025-06-02,14.75,15.5,14.75,15.45,948600,ITC
2025-06-03,15.7,15.75,15.2,15.45,858100,ITC
2025-06-04,15.5,15.9,15.5,15.8,878100,ITC
2025-06-05,16.15,16.15,14.7,14.7,2674800,ITC
2025-06-06,14.45,15.05,14.3,14.75,1314100,ITC
2025-06-09,14.95,14.95,14.5,14.65,642100,ITC
2025-06-10,14.65,14.65,13.65,13.65,2815800,ITC
2025-06-11,13.6,14.2,13.25,14.1,1358700,ITC
2025-06-12,14.1,14.35,13.7,14.1,1003200,ITC
2025-06-13,13.9,14.1,13.35,13.85,1126000,ITC
2025-06-16,13.7,13.9,13.6,13.85,519700,ITC
2025-06-17,13.9,14.55,13.85,14.15,542300,ITC
2025-06-18,14.1,14.2,13.75,13.8,588700,ITC
2025-06-19,13.8,13.85,13.55,13.75,459600,ITC
2025-06-20,14.1,14.5,13.9,14.15,1081900,ITC
2025-06-23,14.0,14.05,13.7,14.05,344500,ITC
2025-06-24,14.3,15.0,14.05,15.0,1406000,ITC
2025-06-25,15.3,15.35,14.8,14.85,494000,ITC
2025-06-26,14.85,15.0,14.1,14.7,690766,ITC
2025-06-27,14.6,14.95,14.55,14.75,450000,ITC
2025-06-30,14.85,15.4,14.7,15.1,634691,ITC
2025-07-01,15.15,15.2,14.65,14.7,348400,ITC
2025-07-02,14.7,14.9,14.4,14.9,454400,ITC
2025-07-03,14.9,15.4,14.6,14.7,946200,ITC
2025-07-04,14.7,15.15,14.7,14.85,540700,ITC
2025-07-07,15.15,15.3,14.85,14.95,698000,ITC
2025-07-08,14.95,15.1,14.7,14.75,514200,ITC
2025-07-09,14.8,15.05,14.55,14.8,1053200,ITC
2025-07-10,14.95,15.25,14.75,14.8,795300,ITC
2025-07-11,14.8,14.85,14.05,14.1,1203800,ITC
2025-07-14,14.2,14.45,13.75,14.25,1288600,ITC
2025-07-15,14.45,14.6,13.75,13.85,1567800,ITC
2025-07-16,13.8,14.15,13.8,13.9,918100,ITC
2025-07-17,14.1,14.4,13.85,14.1,1487000,ITC
2025-07-18,14.3,14.6,14.15,14.45,1549600,ITC
2025-07-21,14.6,15.45,14.5,15.45,3353300,ITC
2025-07-22,15.45,16.35,15.45,15.8,1976900,ITC
2025-07-23,16.25,16.25,15.15,15.3,2127500,ITC
2025-07-24,15.4,15.5,15.05,15.3,1166600,ITC
2025-07-25,15.35,16.35,15.35,15.9,1592100,ITC
2025-07-28,16.4,17.0,16.4,17.0,2510200,ITC
2025-07-29,18.1,18.1,16.1,16.2,2529700,ITC
