time,open,high,low,close,volume,symbol
2025-02-10,29.05,29.05,28.45,28.45,4892500,KBC
2025-02-11,28.5,28.95,28.25,28.9,3551700,KBC
2025-02-12,28.95,29.45,28.9,29.0,4406300,KBC
2025-02-13,28.95,29.15,28.75,28.8,1539900,KBC
2025-02-14,28.95,29.6,28.8,29.55,8111600,KBC
2025-02-17,29.7,29.75,29.4,29.45,4068500,KBC
2025-02-18,29.5,29.7,29.2,29.2,3716100,KBC
2025-02-19,29.2,30.35,29.15,30.15,11422700,KBC
2025-02-20,30.35,30.35,29.75,29.8,3873800,KBC
2025-02-21,29.65,30.0,29.45,29.45,4294500,KBC
2025-02-24,29.45,29.8,29.1,29.8,4128100,KBC
2025-02-25,29.9,30.15,29.6,29.6,4189500,KBC
2025-02-26,29.6,30.4,29.6,29.65,8179400,KBC
2025-02-27,29.7,29.9,29.4,29.9,3391600,KBC
2025-02-28,29.95,30.2,29.65,29.7,4584000,KBC
2025-03-03,29.75,30.35,29.65,30.1,4685200,KBC
2025-03-04,30.1,30.8,30.0,30.6,7359900,KBC
2025-03-05,30.6,30.65,30.1,30.2,4934500,KBC
2025-03-06,30.2,30.45,30.15,30.45,4451900,KBC
2025-03-07,30.75,31.2,30.3,30.3,5593000,KBC
2025-03-10,30.35,30.6,30.05,30.15,4867000,KBC
2025-03-11,29.85,30.3,29.75,30.3,5215400,KBC
2025-03-12,30.4,30.45,30.05,30.3,2903800,KBC
2025-03-13,30.2,30.3,29.55,29.55,6198200,KBC
2025-03-14,29.6,29.7,29.35,29.4,4036700,KBC
2025-03-17,29.75,29.75,29.3,29.75,2604200,KBC
2025-03-18,29.9,29.95,29.45,29.45,3192500,KBC
2025-03-19,29.65,30.25,29.55,29.8,6260400,KBC
2025-03-20,30.0,30.05,29.3,29.65,2637900,KBC
2025-03-21,29.5,29.75,29.2,29.2,3994600,KBC
2025-03-24,29.2,29.4,29.1,29.2,3031700,KBC
2025-03-25,29.7,30.0,29.5,29.85,4759800,KBC
2025-03-26,29.95,29.95,29.4,29.45,2134400,KBC
2025-03-27,29.6,29.7,29.3,29.55,2175800,KBC
2025-03-28,29.65,30.2,29.5,29.9,8201200,KBC
2025-03-31,29.8,31.3,29.8,30.65,16190500,KBC
2025-04-01,30.65,30.95,30.35,30.55,4220500,KBC
2025-04-02,30.8,30.8,29.5,29.5,12240300,KBC
2025-04-03,27.45,27.8,27.45,27.45,9568500,KBC
2025-04-04,25.55,25.55,25.55,25.55,1147700,KBC
2025-04-08,23.8,23.8,23.8,23.8,2164800,KBC
2025-04-09,22.15,22.15,22.15,22.15,1402400,KBC
2025-04-10,23.7,23.7,23.0,23.7,11405400,KBC
2025-04-11,22.8,23.95,22.05,23.7,35620300,KBC
2025-04-14,25.0,25.05,23.55,23.75,10973100,KBC
2025-04-15,23.55,23.6,22.1,22.1,21594800,KBC
2025-04-16,22.15,22.5,20.6,20.6,21089800,KBC
2025-04-17,20.1,21.55,20.05,21.5,16998700,KBC
2025-04-18,22.75,22.75,21.8,21.8,8846200,KBC
2025-04-21,22.0,22.1,21.25,21.8,9236200,KBC
2025-04-22,21.3,21.5,20.3,21.35,21432600,KBC
2025-04-23,21.7,21.95,21.25,21.9,7590900,KBC
2025-04-24,22.0,23.0,21.9,22.75,12179300,KBC
2025-04-25,22.8,22.85,22.3,22.8,6512200,KBC
2025-04-28,22.8,22.8,22.3,22.5,5385900,KBC
2025-04-29,22.5,22.8,22.2,22.8,5821100,KBC
2025-05-05,23.35,23.65,23.05,23.65,6415420,KBC
2025-05-06,23.9,23.9,23.3,23.5,5694100,KBC
2025-05-07,23.35,24.35,23.3,24.3,10976637,KBC
2025-05-08,24.4,24.7,24.0,24.55,9718357,KBC
2025-05-09,24.55,24.6,24.15,24.2,5053900,KBC
2025-05-12,24.25,25.1,24.05,25.05,10470732,KBC
