time,open,high,low,close,volume,symbol
2025-02-10,30.358,31.271,29.878,30.646,71100,LIX
2025-02-11,30.742,30.742,29.974,30.55,26000,LIX
2025-02-12,31.079,31.079,30.502,30.694,16500,LIX
2025-02-13,30.454,30.646,30.454,30.598,16400,LIX
2025-02-14,30.742,30.742,30.31,30.358,58400,LIX
2025-02-17,30.502,30.983,30.406,30.694,68400,LIX
2025-02-18,30.406,31.319,30.406,30.646,72400,LIX
2025-02-19,30.646,30.79,30.55,30.742,57800,LIX
2025-02-20,30.742,31.607,30.742,31.415,80500,LIX
2025-02-21,31.223,31.559,30.935,30.935,41000,LIX
2025-02-24,30.935,31.607,30.887,31.223,90400,LIX
2025-02-25,31.607,31.703,31.031,31.031,47100,LIX
2025-02-26,31.367,31.559,31.175,31.175,60300,LIX
2025-02-27,31.175,31.511,31.127,31.415,37000,LIX
2025-02-28,31.415,31.751,31.415,31.415,40100,LIX
2025-03-03,31.415,31.703,31.415,31.415,35100,LIX
2025-03-04,31.415,31.655,31.223,31.559,49500,LIX
2025-03-05,31.559,31.607,31.319,31.319,28700,LIX
2025-03-06,31.175,31.895,31.175,31.367,41400,LIX
2025-03-07,31.415,31.655,31.271,31.511,47000,LIX
2025-03-10,31.703,31.703,31.271,31.271,39700,LIX
2025-03-11,31.319,31.607,31.223,31.415,61100,LIX
2025-03-12,31.127,31.511,30.55,30.742,67100,LIX
2025-03-13,31.031,31.031,30.358,30.358,69900,LIX
2025-03-14,30.358,30.598,30.262,30.31,60400,LIX
2025-03-17,30.262,30.935,30.214,30.598,29100,LIX
2025-03-18,30.454,30.742,30.454,30.55,32900,LIX
2025-03-19,30.598,30.646,30.358,30.598,18500,LIX
2025-03-20,30.646,30.646,30.454,30.454,47800,LIX
2025-03-21,30.55,30.55,30.454,30.454,18700,LIX
2025-03-24,30.646,30.646,30.022,30.214,52500,LIX
2025-03-25,30.262,30.262,29.974,30.214,25000,LIX
2025-03-26,30.358,30.358,30.166,30.166,17500,LIX
2025-03-27,30.262,30.262,29.878,30.262,28000,LIX
2025-03-28,30.31,30.55,29.782,29.974,21200,LIX
2025-03-31,29.974,29.974,29.782,29.974,44500,LIX
2025-04-01,29.974,30.55,29.974,30.502,15300,LIX
2025-04-02,30.502,30.502,30.07,30.118,13200,LIX
2025-04-03,29.301,29.782,28.052,28.149,171300,LIX
2025-04-04,27.812,28.725,26.9,28.004,43000,LIX
2025-04-08,27.86,27.956,26.083,26.083,111300,LIX
2025-04-09,24.306,25.17,24.306,24.978,103400,LIX
2025-04-10,26.707,26.707,26.707,26.707,7500,LIX
2025-04-11,28.341,28.533,27.572,28.341,100700,LIX
2025-04-14,29.013,29.013,27.764,28.293,28300,LIX
2025-04-15,28.245,28.341,27.956,28.1,22100,LIX
2025-04-16,27.716,27.86,27.524,27.86,13900,LIX
2025-04-17,27.86,28.629,27.764,28.052,19500,LIX
2025-04-18,27.812,28.341,27.812,28.1,10600,LIX
2025-04-21,28.149,28.245,27.86,27.86,28200,LIX
2025-04-22,27.86,27.86,26.804,27.812,35300,LIX
2025-04-23,27.764,27.956,27.764,27.86,16600,LIX
2025-04-24,28.149,28.197,27.86,28.149,10500,LIX
2025-04-25,28.149,28.533,27.716,27.812,61400,LIX
2025-04-28,27.812,27.812,27.62,27.716,9100,LIX
2025-04-29,27.764,27.956,27.764,27.764,15500,LIX
2025-05-05,28.341,28.341,27.764,28.245,11200,LIX
2025-05-06,28.533,28.533,28.149,28.293,35500,LIX
2025-05-07,28.052,28.533,28.052,28.437,11700,LIX
2025-05-08,28.437,28.965,28.149,28.437,19600,LIX
2025-05-09,28.293,29.157,28.293,29.013,19100,LIX
2025-05-12,29.205,29.638,29.013,29.109,13000,LIX
2025-05-13,29.301,29.397,29.109,29.301,17600,LIX
