time,open,high,low,close,volume,symbol
2025-02-10,19.0,20.6,17.0,18.0,284799,LSG
2025-02-11,19.1,19.1,16.5,16.5,406284,LSG
2025-02-12,16.9,17.0,15.0,15.8,219094,LSG
2025-02-13,15.9,18.2,15.9,18.2,443449,LSG
2025-02-14,19.0,19.0,17.2,17.7,245444,LSG
2025-02-17,18.0,18.0,16.9,16.9,211645,LSG
2025-02-18,16.9,18.8,16.9,17.9,443126,LSG
2025-02-19,17.9,19.8,17.9,18.5,314355,LSG
2025-02-20,18.5,21.6,18.5,21.6,401508,LSG
2025-02-21,21.0,24.3,21.0,24.3,677074,LSG
2025-02-24,24.2,27.8,24.0,24.5,733738,LSG
2025-02-25,25.2,25.4,22.8,24.2,452539,LSG
2025-02-26,24.0,25.0,22.6,23.0,263090,LSG
2025-02-27,22.6,23.8,20.3,21.2,775206,LSG
2025-02-28,21.3,24.2,20.4,22.7,724338,LSG
2025-03-03,22.2,24.0,20.0,21.7,331347,LSG
2025-03-04,21.0,22.0,20.3,21.6,232234,LSG
2025-03-05,21.4,22.6,20.6,22.0,196626,LSG
2025-03-06,21.8,23.7,21.7,22.2,643321,LSG
2025-03-07,22.2,22.8,21.0,21.3,356667,LSG
2025-03-10,21.5,22.7,20.5,20.8,482841,LSG
2025-03-11,20.8,21.0,18.3,19.7,753523,LSG
2025-03-12,19.7,20.5,17.3,18.3,397034,LSG
2025-03-13,19.1,19.2,16.4,17.0,743119,LSG
2025-03-14,17.0,19.2,16.4,18.0,430518,LSG
2025-03-17,18.0,19.0,17.5,18.3,177148,LSG
2025-03-18,18.5,18.8,17.5,17.6,249643,LSG
2025-03-19,17.9,18.0,16.9,17.5,172128,LSG
2025-03-20,17.2,18.6,17.2,18.4,202436,LSG
2025-03-21,18.5,18.8,18.2,18.5,117160,LSG
2025-03-24,18.2,18.6,17.7,18.3,90964,LSG
2025-03-25,18.2,19.5,18.2,19.3,210713,LSG
2025-03-26,19.0,19.3,18.7,19.1,81704,LSG
2025-03-27,19.4,19.4,18.8,19.0,231685,LSG
2025-03-28,18.9,18.9,17.8,18.3,282142,LSG
2025-03-31,18.5,18.8,18.1,18.6,89658,LSG
2025-04-01,19.0,20.0,18.7,19.1,153254,LSG
2025-04-02,19.1,19.5,18.8,19.1,143257,LSG
2025-04-03,19.0,19.0,16.3,16.3,515763,LSG
2025-04-04,16.3,16.4,14.7,16.0,232013,LSG
2025-04-08,16.0,16.0,14.0,14.2,711295,LSG
2025-04-09,14.2,15.9,13.7,14.6,196792,LSG
2025-04-10,16.6,16.6,16.0,16.6,29635,LSG
2025-04-11,18.0,18.5,16.3,17.5,411198,LSG
2025-04-14,17.5,18.1,17.4,17.9,187533,LSG
2025-04-15,17.9,17.9,16.7,17.1,367975,LSG
2025-04-16,17.1,17.5,16.8,17.1,99191,LSG
2025-04-17,17.0,17.1,16.6,16.9,61455,LSG
2025-04-18,16.9,17.8,16.9,17.0,62121,LSG
2025-04-21,17.4,18.1,17.0,17.8,157592,LSG
2025-04-22,17.6,17.6,15.8,16.8,199461,LSG
2025-04-23,18.0,18.3,17.1,17.5,77687,LSG
2025-04-24,17.2,17.5,16.6,17.1,68171,LSG
2025-04-25,17.0,17.3,16.8,17.1,86310,LSG
2025-04-28,17.0,17.2,16.8,16.9,57339,LSG
2025-04-29,16.9,17.0,16.8,16.9,43905,LSG
2025-05-05,16.9,17.1,16.9,17.0,37051,LSG
2025-05-06,17.0,17.5,16.9,17.2,56611,LSG
2025-05-07,17.2,17.4,17.0,17.1,52799,LSG
2025-05-08,17.2,17.2,16.8,17.2,86995,LSG
2025-05-09,17.0,17.7,17.0,17.2,126734,LSG
2025-05-12,17.0,17.4,17.0,17.1,93837,LSG
2025-05-13,16.9,17.5,16.9,17.2,133262,LSG
2025-05-14,17.2,17.4,17.0,17.4,109323,LSG
2025-05-15,17.2,17.4,16.8,17.0,111512,LSG
2025-05-16,16.9,17.1,16.8,16.8,51775,LSG
2025-05-19,16.8,17.7,16.5,17.2,316120,LSG
2025-05-20,17.5,18.7,17.2,17.9,223666,LSG
2025-05-21,18.1,18.9,17.6,18.0,123615,LSG
2025-05-22,18.0,18.0,17.2,17.2,294636,LSG
2025-05-23,17.4,18.0,17.2,17.5,131964,LSG
2025-05-26,17.5,18.0,17.4,17.7,104699,LSG
2025-05-27,17.6,18.0,17.4,17.7,78822,LSG
2025-05-28,17.7,17.8,17.4,17.4,212382,LSG
2025-05-29,17.6,17.7,17.2,17.6,161253,LSG
2025-05-30,17.3,17.7,17.3,17.4,81748,LSG
2025-06-02,17.4,17.9,17.4,17.6,133779,LSG
2025-06-03,17.8,19.0,17.8,18.0,130802,LSG
2025-06-04,17.8,18.2,17.5,17.6,96012,LSG
2025-06-05,17.7,17.8,17.5,17.6,155641,LSG
2025-06-06,17.7,17.7,16.9,17.0,280230,LSG
2025-06-09,17.2,17.3,16.9,17.2,100622,LSG
2025-06-10,16.9,17.5,16.9,17.0,48856,LSG
2025-06-11,17.0,17.2,16.9,17.2,61188,LSG
2025-06-12,17.0,17.3,17.0,17.1,78662,LSG
2025-06-13,17.1,17.1,16.9,17.0,124781,LSG
2025-06-16,17.0,17.5,16.9,17.0,84572,LSG
2025-06-17,17.2,17.3,17.0,17.2,63896,LSG
2025-06-18,17.1,18.3,17.1,18.0,418218,LSG
2025-06-19,18.0,18.2,17.6,17.7,92812,LSG
2025-06-20,17.9,18.0,17.4,17.9,61670,LSG
2025-06-23,17.5,17.7,17.4,17.5,47926,LSG
2025-06-24,17.4,17.9,17.3,17.4,61028,LSG
2025-06-25,17.6,17.6,17.4,17.5,41850,LSG
2025-06-26,17.3,18.5,17.3,18.2,279376,LSG
2025-06-27,18.3,18.6,17.9,18.1,107967,LSG
