time,open,high,low,close,volume,symbol
2025-02-10,24.197,24.547,23.758,24.284,2963323,MBS
2025-02-11,23.758,24.46,23.671,24.284,1089920,MBS
2025-02-12,21.917,24.635,21.917,24.109,1910078,MBS
2025-02-13,23.671,24.109,23.671,24.021,2033202,MBS
2025-02-14,24.109,24.635,24.109,24.109,2949613,MBS
2025-02-17,24.197,24.81,23.934,24.284,3435635,MBS
2025-02-18,24.547,24.547,24.284,24.372,1644250,MBS
2025-02-19,24.547,24.898,24.284,24.81,3587592,MBS
2025-02-20,24.898,25.599,24.81,25.249,5841664,MBS
2025-02-21,25.249,25.336,24.81,24.986,2715493,MBS
2025-02-24,24.986,25.687,24.81,25.687,4853997,MBS
2025-02-25,25.775,26.213,25.599,26.038,7064647,MBS
2025-02-26,25.95,26.651,25.775,26.038,6037247,MBS
2025-02-27,26.125,26.213,25.687,26.213,3994960,MBS
2025-02-28,26.213,26.564,25.862,26.038,4658155,MBS
2025-03-03,26.038,26.914,25.687,26.476,6817158,MBS
2025-03-04,26.038,26.827,25.95,26.651,5146704,MBS
2025-03-05,24.021,27.09,24.021,26.125,4169571,MBS
2025-03-06,26.125,27.44,26.038,27.177,7672728,MBS
2025-03-07,27.353,27.703,27.177,27.353,5270012,MBS
2025-03-10,27.177,27.791,26.827,27.177,4426087,MBS
2025-03-11,27.002,27.44,26.651,27.265,4999316,MBS
2025-03-12,27.265,27.616,27.09,27.09,3255257,MBS
2025-03-13,27.09,27.44,26.651,26.827,5577228,MBS
2025-03-14,24.197,27.002,24.197,26.739,3028000,MBS
2025-03-17,26.827,27.002,26.564,26.914,2258842,MBS
2025-03-18,27.002,27.177,26.651,26.651,2173169,MBS
2025-03-19,26.651,27.002,26.476,26.827,3523330,MBS
2025-03-20,26.651,27.616,26.476,27.09,4337652,MBS
2025-03-21,26.739,27.353,26.564,27.09,1921124,MBS
2025-03-24,26.739,27.528,26.651,27.528,3550651,MBS
2025-03-25,27.528,27.966,27.002,27.265,4798503,MBS
2025-03-26,27.265,27.265,26.564,26.651,3639992,MBS
2025-03-27,26.651,26.739,26.213,26.301,3607943,MBS
2025-03-28,26.301,26.739,25.95,26.301,3569748,MBS
2025-03-31,26.388,26.564,26.038,26.213,2718479,MBS
2025-04-01,26.564,26.564,26.038,26.388,1664204,MBS
2025-04-02,26.388,26.651,26.301,26.388,2526686,MBS
2025-04-03,25.95,26.213,23.758,23.758,11624342,MBS
2025-04-04,22.619,23.671,21.391,23.671,9459395,MBS
2025-04-08,23.671,23.671,21.304,21.304,8215052,MBS
2025-04-09,19.199,21.917,19.199,19.55,8283353,MBS
2025-04-10,21.479,21.479,21.479,21.479,558768,MBS
2025-04-11,23.583,23.583,21.917,23.057,9287166,MBS
2025-04-14,23.408,23.846,22.882,23.846,6527615,MBS
2025-04-15,23.583,23.846,22.706,23.232,4853119,MBS
2025-04-16,23.232,23.934,23.057,23.32,4677133,MBS
2025-04-17,23.32,23.495,22.969,23.495,2219221,MBS
2025-04-18,23.495,24.46,23.495,23.671,8050211,MBS
2025-04-21,23.758,23.846,22.969,23.057,4357952,MBS
2025-04-22,23.057,23.408,20.777,22.794,9022330,MBS
2025-04-23,22.794,23.671,22.794,23.32,3536832,MBS
2025-04-24,23.495,23.671,22.882,23.32,3554616,MBS
2025-04-25,23.408,23.583,23.232,23.32,3055237,MBS
2025-04-28,23.32,23.758,23.232,23.671,2152665,MBS
2025-04-29,23.671,23.758,23.408,23.495,2152892,MBS
2025-05-05,23.495,23.934,23.32,23.583,2159422,MBS
2025-05-06,23.671,24.109,23.408,23.495,3464844,MBS
2025-05-07,23.495,23.495,23.057,23.32,2750515,MBS
2025-05-08,23.32,23.758,23.145,23.583,3574335,MBS
2025-05-09,23.671,23.758,23.232,23.32,2059177,MBS
2025-05-12,23.408,23.583,23.145,23.495,2794932,MBS
2025-05-13,23.671,24.197,23.583,23.758,4460068,MBS
2025-05-14,23.758,24.284,23.495,24.197,7039563,MBS
2025-05-15,24.197,24.635,24.197,24.372,4592629,MBS
2025-05-16,24.372,24.723,24.021,24.109,4864484,MBS
2025-05-19,24.372,24.372,23.671,23.934,3297398,MBS
2025-05-20,23.846,24.284,23.758,24.109,3636895,MBS
2025-05-21,24.109,24.372,23.583,23.758,3611556,MBS
2025-05-22,23.934,24.109,23.408,23.583,5786775,MBS
2025-05-23,23.495,23.671,23.145,23.145,3734429,MBS
2025-05-26,23.145,23.583,22.706,23.583,3625766,MBS
2025-05-27,21.304,23.846,21.304,23.671,4495964,MBS
2025-05-28,23.758,24.197,23.671,23.671,4701575,MBS
2025-05-29,23.758,23.934,23.408,23.495,2780499,MBS
2025-05-30,23.671,24.197,23.32,23.408,4341264,MBS
2025-06-02,23.232,23.758,23.145,23.758,2534961,MBS
2025-06-03,24.021,25.336,23.846,24.986,14642028,MBS
2025-06-04,25.161,25.161,24.723,24.81,3334871,MBS
2025-06-05,24.898,24.986,24.547,24.635,4304681,MBS
2025-06-06,24.81,24.81,23.758,23.758,7727040,MBS
2025-06-09,23.846,23.846,23.32,23.408,3869312,MBS
2025-06-10,23.145,23.671,23.145,23.408,2869712,MBS
2025-06-11,23.145,23.583,22.882,23.408,1628158,MBS
2025-06-12,23.408,23.758,23.408,23.671,2487744,MBS
2025-06-13,23.846,23.846,22.882,23.145,6785595,MBS
2025-06-16,22.882,23.758,21.917,23.758,2247485,MBS
2025-06-17,23.758,23.934,23.495,23.671,2523166,MBS
2025-06-18,23.408,23.846,23.408,23.671,2279890,MBS
2025-06-19,23.671,23.671,23.408,23.583,1524820,MBS
2025-06-20,23.583,23.934,23.495,23.583,1942814,MBS
2025-06-23,23.583,23.583,23.145,23.408,2399218,MBS
2025-06-24,23.583,24.284,23.495,23.934,6516368,MBS
2025-06-25,23.934,24.021,23.671,23.758,3913523,MBS
2025-06-26,23.671,23.758,23.32,23.671,3046627,MBS
2025-06-27,23.671,23.846,23.408,23.671,2701399,MBS
2025-06-30,23.671,24.021,23.583,23.671,3274272,MBS
2025-07-01,23.671,23.846,23.408,23.408,3020420,MBS
2025-07-02,23.495,24.723,23.32,24.109,7873863,MBS
2025-07-03,24.021,24.635,23.758,23.934,8314554,MBS
2025-07-04,23.934,24.46,23.846,24.021,3840242,MBS
2025-07-07,24.109,24.723,24.021,24.547,6746821,MBS
2025-07-08,24.547,24.898,24.372,24.723,6866737,MBS
2025-07-09,24.723,25.775,24.723,25.249,13023601,MBS
2025-07-10,25.336,25.512,24.81,24.898,5975664,MBS
2025-07-11,24.898,26.301,24.635,25.687,12955217,MBS
2025-07-14,25.775,26.564,25.161,25.862,8373906,MBS
2025-07-15,25.95,26.827,25.424,25.512,11341375,MBS
2025-07-16,25.512,25.95,25.249,25.599,7038482,MBS
2025-07-17,25.599,26.125,25.424,25.599,7113087,MBS
2025-07-18,25.775,27.353,25.599,26.388,13415920,MBS
2025-07-21,26.388,27.002,25.862,25.95,5585099,MBS
2025-07-22,25.95,26.651,25.599,26.476,7661699,MBS
2025-07-23,26.476,27.528,26.301,26.476,10451715,MBS
2025-07-24,26.564,26.651,25.95,26.301,5776328,MBS
2025-07-25,26.476,28.054,26.213,28.054,13833274,MBS
2025-07-28,28.054,30.859,28.054,30.859,10941019,MBS
2025-07-29,31.736,32.963,29.369,29.632,18389750,MBS
2025-07-30,29.457,32.262,29.369,31.999,11230589,MBS
2025-07-31,31.999,32.788,30.947,31.911,8278852,MBS
2025-08-01,31.999,32.613,30.684,30.859,10257782,MBS
2025-08-04,30.859,31.648,29.106,31.473,6024702,MBS
2025-08-05,31.736,33.314,29.807,31.561,14048663,MBS
2025-08-06,31.561,32.087,31.298,31.911,5176903,MBS
2025-08-07,32.174,32.613,31.561,32.262,5560639,MBS
2025-08-08,32.437,33.226,31.298,31.648,11084554,MBS
2025-08-11,31.824,32.437,31.21,31.999,7343901,MBS
2025-08-12,32.174,32.437,31.473,31.999,5406408,MBS
2025-08-13,31.999,35.155,31.999,35.155,18285931,MBS
2025-08-14,36.821,38.662,35.418,38.662,11742942,MBS
2025-08-15,39.188,41.204,36.383,38.662,12217868,MBS
2025-08-18,38.662,39.276,37.259,38.662,7620623,MBS
2025-08-19,40.554,41.365,38.121,38.391,6869569,MBS
2025-08-20,39.112,39.112,34.606,36.859,13185949,MBS
2025-08-21,36.859,38.661,36.589,36.679,5606596,MBS
2025-08-22,36.949,37.4,33.975,34.336,9945267,MBS
2025-08-25,34.246,36.048,34.246,34.696,7499848,MBS
2025-08-26,34.696,38.031,33.795,37.85,8287248,MBS
2025-08-27,38.121,38.752,37.039,37.039,8149238,MBS
2025-08-28,37.039,37.49,36.408,36.769,6967413,MBS
2025-08-29,36.859,39.653,36.589,37.58,8652162,MBS
2025-09-03,37.85,37.941,36.408,36.589,7830723,MBS
2025-09-04,36.589,37.039,36.048,36.318,15023528,MBS
2025-09-05,36.949,38.301,34.516,34.696,21691307,MBS
2025-09-08,34.696,35.057,32.623,32.714,10969291,MBS
2025-09-09,32.804,33.615,31.632,33.525,8144092,MBS
2025-09-10,34.246,34.516,32.623,32.894,12598942,MBS
2025-09-11,33.435,33.435,31.182,32.533,16791509,MBS
2025-09-12,32.533,33.074,31.902,32.083,16653794,MBS
2025-09-15,32.173,33.615,32.083,33.344,10950572,MBS
2025-09-16,33.435,34.246,32.804,32.984,10139809,MBS
2025-09-17,32.984,33.074,32.263,32.263,6221088,MBS
2025-09-18,32.353,32.714,31.722,32.173,5604744,MBS
2025-09-19,32.263,32.623,31.993,32.263,3750885,MBS
2025-09-22,32.533,32.533,31.091,31.272,6820720,MBS
2025-09-23,31.272,31.812,31.001,31.001,5582322,MBS
2025-09-24,33.7,33.8,31.3,32.7,4195504,MBS
2025-09-25,33.0,33.5,32.7,33.5,5398869,MBS
2025-09-26,33.5,33.5,32.5,32.5,3678604,MBS
2025-09-29,32.5,33.0,32.2,32.8,3026578,MBS
2025-09-30,32.8,34.3,32.3,34.2,9467188,MBS
2025-10-01,34.2,34.6,34.1,34.5,3298401,MBS
2025-10-02,34.5,34.6,33.2,33.4,5330357,MBS
2025-10-03,33.4,33.4,32.4,32.7,4225747,MBS
2025-10-06,32.8,35.7,32.6,35.6,11851681,MBS
2025-10-07,36.0,36.2,34.9,34.9,6272124,MBS
2025-10-08,35.9,36.7,34.2,35.0,9693381,MBS
2025-10-09,35.0,35.7,34.3,34.6,4343535,MBS
2025-10-10,34.9,35.3,34.6,34.9,6666762,MBS
2025-10-13,34.7,34.9,33.8,34.7,6999509,MBS
2025-10-14,34.8,35.9,34.4,34.5,12162751,MBS
2025-10-15,34.5,34.7,33.8,34.0,6453485,MBS
2025-10-16,34.0,34.4,33.6,33.7,5927283,MBS
2025-10-17,33.8,34.4,33.1,33.1,6524338,MBS
2025-10-20,33.1,33.5,29.8,29.8,11215733,MBS
2025-10-21,29.8,30.7,27.1,29.5,9095929,MBS
2025-10-22,29.5,30.0,28.6,29.8,4154477,MBS
2025-10-23,29.8,30.0,28.3,28.8,3839205,MBS
2025-10-24,28.8,29.3,28.2,29.1,4185717,MBS
2025-10-27,29.2,30.8,28.8,29.3,5087445,MBS
2025-10-28,29.3,30.2,29.1,30.1,3816980,MBS
2025-10-29,30.1,30.9,29.8,29.9,2798834,MBS
2025-10-30,29.9,30.1,29.0,29.2,3918113,MBS
2025-10-31,29.7,29.7,28.8,29.1,2609617,MBS
2025-11-03,29.1,29.3,28.0,28.0,4110735,MBS
2025-11-04,28.0,30.6,27.7,30.4,7423219,MBS
2025-11-05,30.5,30.5,29.6,29.6,2343207,MBS
2025-11-06,29.6,30.1,29.2,29.7,3025714,MBS
2025-11-07,29.7,29.9,28.0,28.5,3306268,MBS
2025-11-10,28.6,29.8,28.4,28.9,2845646,MBS
2025-11-11,28.8,29.7,28.7,29.7,2680117,MBS
2025-11-12,29.7,30.2,29.7,30.1,3943626,MBS
