time,open,high,low,close,volume,symbol
2025-02-10,123.091,123.989,122.867,123.035,201581,MCH
2025-02-11,127.254,127.254,123.345,123.425,209110,MCH
2025-02-12,124.462,124.462,122.308,123.026,42094,MCH
2025-02-13,123.026,123.425,120.792,122.786,99175,MCH
2025-02-14,121.271,121.749,120.473,120.632,43522,MCH
2025-02-17,120.872,120.951,117.84,118.558,69006,MCH
2025-02-18,119.196,119.276,117.84,118.877,26856,MCH
2025-02-19,117.68,121.749,117.68,121.271,79805,MCH
2025-02-20,121.749,121.749,121.191,121.271,53606,MCH
2025-02-21,121.271,121.271,118.877,120.632,36873,MCH
2025-02-24,120.632,120.632,118.877,119.196,43395,MCH
2025-02-25,119.276,119.675,118.877,119.116,52387,MCH
2025-02-26,119.276,119.595,118.718,118.718,30110,MCH
2025-02-27,118.718,119.675,118.718,119.276,28396,MCH
2025-02-28,119.276,119.276,118.797,118.877,25620,MCH
2025-03-03,118.957,119.356,118.319,118.877,36598,MCH
2025-03-04,119.116,119.116,118.398,118.718,28051,MCH
2025-03-05,118.638,119.276,118.079,118.319,41830,MCH
2025-03-06,118.877,120.074,118.079,118.478,113380,MCH
2025-03-07,118.478,119.675,118.478,118.797,32781,MCH
2025-03-10,118.478,119.196,117.76,117.92,52630,MCH
2025-03-11,118.079,118.079,116.803,117.202,47675,MCH
2025-03-12,117.281,119.675,116.484,119.675,56407,MCH
2025-03-13,118.159,119.436,117.68,118.319,74951,MCH
2025-03-14,118.877,118.877,116.404,116.404,103832,MCH
2025-03-17,117.281,117.281,113.292,113.611,73074,MCH
2025-03-18,114.09,114.649,111.697,111.776,63126,MCH
2025-03-19,113.372,113.372,110.101,110.101,67548,MCH
2025-03-20,109.941,112.016,109.941,111.058,24732,MCH
2025-03-21,111.697,112.096,111.537,112.096,20905,MCH
2025-03-24,112.096,112.175,110.659,110.739,24118,MCH
2025-03-25,111.697,111.697,110.899,110.899,36526,MCH
2025-03-26,111.218,111.697,111.058,111.058,11439,MCH
2025-03-27,111.218,116.484,111.218,114.888,44126,MCH
2025-03-28,115.287,117.281,114.888,115.127,102518,MCH
2025-03-31,116.643,116.643,111.776,114.888,98896,MCH
2025-04-01,112.893,114.09,112.893,113.292,69702,MCH
2025-04-02,113.851,114.09,111.697,111.697,45915,MCH
2025-04-03,110.979,111.697,96.139,98.133,231615,MCH
2025-04-04,98.133,103.718,86.166,102.123,116559,MCH
2025-04-08,97.495,98.293,85.368,87.682,219476,MCH
2025-04-09,86.964,92.549,85.129,90.953,149652,MCH
2025-04-10,102.92,104.436,99.729,102.92,1468907,MCH
2025-04-11,106.112,106.112,98.931,102.123,169567,MCH
2025-04-14,102.123,102.92,95.501,96.937,209081,MCH
2025-04-15,100.527,102.522,94.144,94.144,121341,MCH
2025-04-16,94.942,95.501,93.107,93.107,124263,MCH
2025-04-17,92.549,93.346,89.517,91.033,111406,MCH
2025-04-18,91.352,95.421,91.352,94.144,55709,MCH
2025-04-21,94.144,94.224,91.671,91.751,46885,MCH
2025-04-22,91.751,91.751,82.177,88.559,233566,MCH
2025-04-23,91.751,91.751,83.852,90.075,102236,MCH
2025-04-24,91.751,91.751,89.277,91.272,86736,MCH
2025-04-25,91.352,96.538,91.272,94.144,240686,MCH
2025-04-28,98.133,98.931,93.187,95.9,168136,MCH
2025-04-29,95.74,96.458,94.304,95.421,135686,MCH
2025-05-05,95.421,95.74,93.346,95.341,69069,MCH
2025-05-06,95.341,95.341,93.825,94.144,72210,MCH
2025-05-07,93.027,94.862,93.027,94.144,57315,MCH
2025-05-08,93.745,95.102,93.027,94.224,84173,MCH
2025-05-09,94.144,96.139,93.586,95.9,164475,MCH
