time,open,high,low,close,volume,sma_20,sma_50,sma_200,rsi_14,macd,macd_signal,macd_hist,bb_upper,bb_lower,daily_return,volatility_20d,symbol
2025-02-10,15.5,16.6,15.1,15.8,8338576,15.8,15.8,15.8,,0.0,0.0,0.0,,,,,MSR
2025-02-11,16.0,16.0,14.5,14.9,2385585,15.350000000000001,15.350000000000001,15.350000000000001,,-0.07179487179487154,-0.014358974358974309,-0.057435897435897235,,,-5.696202531645566,,MSR
2025-02-12,15.0,16.1,14.9,15.7,2639511,15.466666666666667,15.466666666666667,15.466666666666667,,-0.06340857622908835,-0.024168894732997118,-0.039239681496091236,,,5.369127516778516,,MSR
2025-02-13,15.7,17.9,15.6,17.9,6326846,16.075,16.075,16.075,,0.11938306361565942,0.004541496936734189,0.11484156667892523,,,14.012738853503182,,MSR
2025-02-14,18.0,19.7,18.0,19.7,4777482,16.8,16.8,16.8,,0.4048251396921323,0.08459822548781382,0.3202269142043185,,,10.05586592178771,,MSR
2025-02-17,20.0,22.4,19.7,22.4,1673453,17.73333333333333,17.73333333333333,17.73333333333333,,0.839233317362396,0.23552524386273027,0.6037080734996658,,,13.705583756345185,,MSR
2025-02-18,25.0,25.6,19.4,20.8,11916897,18.17142857142857,18.17142857142857,18.17142857142857,,1.0423823646269916,0.39689666801558254,0.6454856966114091,,,-7.142857142857128,,MSR
2025-02-19,20.8,21.6,19.6,19.9,3982742,18.3875,18.3875,18.3875,,1.1178708504938193,0.5410915045112299,0.5767793459825894,,,-4.326923076923084,,MSR
2025-02-20,20.2,23.2,20.1,23.2,5914896,18.92222222222222,18.92222222222222,18.92222222222222,,1.427522845398098,0.7183777726886036,0.7091450727094943,,,16.582914572864315,,MSR
2025-02-21,23.2,25.0,22.6,23.3,3897160,19.36,19.36,19.36,,1.6618368260735537,0.9070695833655936,0.75476724270796,,,0.4310344827586299,,MSR
2025-02-24,23.3,23.3,19.9,20.2,6616701,19.436363636363634,19.436363636363634,19.436363636363634,,1.579184396960887,1.0414925460846525,0.5376918508762345,,,-13.30472103004292,,MSR
2025-02-25,20.3,20.8,18.7,19.3,4727551,19.425,19.425,19.425,,1.4246369451266254,1.118121425893047,0.30651551923357845,,,-4.455445544554449,,MSR
2025-02-26,19.3,21.5,19.1,20.5,2268768,19.507692307692306,19.507692307692306,19.507692307692306,,1.3830440760812408,1.1711059559306858,0.21193812015055502,,,6.217616580310881,,MSR
2025-02-27,20.7,21.9,20.6,20.9,3441547,19.607142857142858,19.607142857142858,19.607142857142858,59.84352747891443,1.3666047162755284,1.2102057079996542,0.15639900827587416,,,1.9512195121951237,,MSR
2025-02-28,21.0,21.9,20.2,20.4,2294798,19.66,19.66,19.66,57.43544877958146,1.2982649931653505,1.2278175650327934,0.07044742813255711,,,-2.392344497607657,,MSR
2025-03-03,20.6,21.3,20.3,20.5,2093802,19.7125,19.7125,19.7125,57.80118537832088,1.2379046403791385,1.2298349801020625,0.008069660277076007,,,0.4901960784313708,,MSR
2025-03-04,20.7,20.7,19.6,20.1,2631199,19.735294117647058,19.735294117647058,19.735294117647058,55.73810001386189,1.144597758391317,1.2127875357599134,-0.06818977736859644,,,-1.9512195121951126,,MSR
2025-03-05,19.9,21.3,19.9,20.7,2483170,19.788888888888888,19.788888888888888,19.788888888888888,58.15101134406764,1.1063134746869956,1.1914927235453299,-0.08517924885833428,,,2.985074626865658,,MSR
2025-03-06,20.8,21.8,20.5,21.1,3048089,19.857894736842105,19.857894736842105,19.857894736842105,59.727229206806165,1.0956199364606825,1.1723181661284003,-0.07669822966771789,,,1.9323671497584627,,MSR
2025-03-07,21.1,21.8,20.5,20.7,2164590,19.9,19.9,19.9,57.39902805524899,1.0428472790302585,1.1464239887087722,-0.10357670967851362,24.44636928594791,15.353630714052088,-1.8957345971564066,,MSR
2025-03-10,20.6,23.4,20.4,22.6,5297924,20.24,20.02857142857143,20.02857142857143,64.48144803972801,1.141183831994681,1.145375957365954,-0.004192125371273114,24.50362830413129,15.976371695868707,9.178743961352676,7.793271984323699,MSR
2025-03-11,22.6,23.0,21.9,22.4,2820969,20.615000000000002,20.136363636363637,20.136363636363637,63.28869808448641,1.1892687799640171,1.1541545218855669,0.035114258078450256,24.159766342236487,17.070233657763517,-0.8849557522124019,7.612524880355254,MSR
2025-03-12,22.4,22.7,21.3,21.6,2875429,20.910000000000004,20.2,20.2,58.61791529875287,1.1495715878606312,1.15323793508058,-0.00366634721994874,23.6150829348119,18.20491706518811,-3.5714285714285587,7.686682788916409,MSR
2025-03-13,21.6,22.1,20.9,21.0,2577759,21.064999999999998,20.233333333333334,20.233333333333334,55.3203430440614,1.0575060203966018,1.1340915521437842,-0.07658553174718241,23.36948076124479,18.760519238755204,-2.777777777777779,7.192986296749317,MSR
2025-03-14,20.9,21.3,20.3,20.4,2692446,21.1,20.24,20.24,52.16032938434336,0.9254602792735476,1.0923652975697369,-0.1669050182961893,23.337479785265938,18.862520214734065,-2.857142857142869,6.915435500114348,MSR
2025-03-17,20.4,21.6,20.4,20.7,1315391,21.015,20.25769230769231,20.25769230769231,53.58787577114324,0.8353907068349855,1.0409703794227867,-0.2055796725878012,23.172264349514037,18.857735650485964,1.4705882352941124,6.1778874921649445,MSR
2025-03-18,20.8,21.0,20.3,20.4,1667590,20.994999999999997,20.262962962962963,20.262962962962963,51.91941305642118,0.7313716320545183,0.9790506299491331,-0.24767899789461478,23.168016336800072,18.821983663199923,-1.449275362318847,5.969566724774518,MSR
2025-03-19,20.4,20.6,19.4,19.9,2126978,20.995,20.25,20.25,49.17153675592213,0.6016544466048082,0.903571393280268,-0.3019169466754599,23.168016336800076,18.821983663199926,-2.450980392156865,5.911319949530499,MSR
2025-03-20,20.1,20.4,19.6,20.0,1277941,20.835,20.24137931034483,20.24137931034483,49.744420329787985,0.5011449201515639,0.8230860986545272,-0.32194117850296333,22.784115858941938,18.885884141058064,0.5025125628140836,4.480865467379111,MSR
2025-03-21,20.0,20.2,19.8,20.0,651316,20.669999999999998,20.233333333333334,20.233333333333334,49.744420329787985,0.4166870869457284,0.7418062963127675,-0.3251192093670391,22.26749804381727,19.072501956182727,0.0,4.476469366505282,MSR
2025-03-24,20.0,20.1,19.2,19.3,1743084,20.625,20.203225806451613,20.203225806451613,45.57431568168707,0.2899273932722579,0.6514305157046656,-0.3615031224324077,22.325619082322053,18.924380917677947,-3.499999999999992,3.434869696391296,MSR
2025-03-25,19.4,20.2,19.2,19.7,1571235,20.645000000000003,20.1875,20.1875,48.2442923422437,0.2192190589893741,0.5649882243616072,-0.3457691653722331,22.288455922262923,19.001544077737083,2.072538860103612,3.314555841246789,MSR
2025-03-26,19.3,20.5,19.3,19.8,931310,20.61,20.175757575757576,20.175757575757576,48.918957084024186,0.1692997764715649,0.48585053478359874,-0.31655075831203383,22.29572957811338,18.924270421886618,0.5076142131979822,2.9952682657642855,MSR
2025-03-27,20.0,20.0,19.6,19.7,519045,20.55,20.16176470588235,20.16176470588235,48.2417253835454,0.12028267733115783,0.41273696329311055,-0.2924542859619527,22.277182067628324,18.822817932371677,-0.5050505050505083,2.9554473052267136,MSR
2025-03-28,19.7,19.7,19.1,19.3,1157147,20.495,20.137142857142855,20.137142857142855,45.526717456145605,0.04859939250797396,0.33990944913608323,-0.29131005662810927,22.310112001763905,18.679887998236097,-2.030456852791873,2.942752285588523,MSR
2025-03-31,19.4,19.4,18.2,18.4,2526810,20.39,20.08888888888889,20.08888888888889,40.0633243043935,-0.07991143625672237,0.2559452720575221,-0.33585670831424447,22.432598963652875,18.347401036347126,-4.6632124352331665,3.0973127874443818,MSR
2025-04-01,18.6,21.3,18.3,20.9,4826070,20.43,20.11081081081081,20.11081081081081,55.896052626078884,0.019744312560192157,0.20870508015805614,-0.18896076759786398,22.48000641847519,18.379993581524808,13.586956521739136,4.391162163141078,MSR
2025-04-02,20.9,21.9,20.2,20.5,2195693,20.419999999999998,20.121052631578948,20.121052631578948,53.46262704486557,0.06568834012261249,0.18010173215096742,-0.11441339202835493,22.466408921424115,18.37359107857588,-1.9138755980861122,4.369054786789806,MSR
