time,open,high,low,close,volume,symbol
2025-02-10,6.291,6.383,6.2,6.383,983356,MST
2025-02-11,6.383,6.656,6.383,6.565,4605368,MST
2025-02-12,6.565,6.839,6.383,6.656,5855005,MST
2025-02-13,6.656,6.656,6.383,6.565,3130330,MST
2025-02-14,6.565,6.656,6.291,6.291,4146234,MST
2025-02-17,6.291,6.474,6.2,6.383,2472516,MST
2025-02-18,6.291,6.383,6.2,6.383,1910770,MST
2025-02-19,6.291,6.474,6.2,6.291,3225069,MST
2025-02-20,6.2,6.383,6.109,6.109,1389358,MST
2025-02-21,6.2,6.291,6.109,6.291,1428821,MST
2025-02-24,6.291,6.291,6.109,6.291,1622036,MST
2025-02-25,6.2,6.383,6.109,6.2,2507621,MST
2025-02-26,6.109,6.291,6.109,6.2,1660548,MST
2025-02-27,6.2,6.291,6.109,6.291,1921941,MST
2025-02-28,6.291,6.291,6.109,6.291,599308,MST
2025-03-03,6.2,6.291,6.109,6.2,586107,MST
2025-03-04,6.109,6.2,6.018,6.2,1769309,MST
2025-03-05,6.109,6.291,6.109,6.2,3914474,MST
2025-03-06,6.109,6.291,6.109,6.2,2328952,MST
2025-03-07,6.109,6.2,6.018,6.109,1850601,MST
2025-03-10,6.109,6.2,6.018,6.109,2170702,MST
2025-03-11,6.018,6.2,6.018,6.2,945843,MST
2025-03-12,6.109,6.383,6.109,6.291,2407608,MST
2025-03-13,6.2,6.383,6.109,6.291,2810117,MST
2025-03-14,6.291,6.291,6.109,6.2,2283329,MST
2025-03-17,6.109,6.2,6.018,6.109,1197819,MST
2025-03-18,6.109,6.109,6.018,6.109,311585,MST
2025-03-19,6.018,6.109,5.927,5.927,1011705,MST
2025-03-20,5.927,6.109,5.836,6.109,2245313,MST
2025-03-21,5.927,6.2,5.927,6.018,2885352,MST
2025-03-24,5.927,6.109,5.927,6.018,1589484,MST
2025-03-25,5.927,6.018,5.744,5.927,2623446,MST
2025-03-26,5.927,6.109,5.836,6.018,2870526,MST
2025-03-27,5.927,6.109,5.836,6.018,1876327,MST
2025-03-28,5.927,6.018,5.836,5.927,1214042,MST
2025-03-31,5.836,5.927,5.744,5.927,807873,MST
2025-04-01,5.836,5.927,5.744,5.836,1082366,MST
2025-04-02,5.836,6.109,5.744,6.109,5651583,MST
2025-04-03,5.927,5.927,5.562,5.836,4224170,MST
2025-04-04,5.562,5.744,5.38,5.562,3308276,MST
2025-04-08,5.471,5.562,5.015,5.015,3445195,MST
2025-04-09,4.741,4.924,4.559,4.559,1995360,MST
2025-04-10,4.559,5.015,4.103,5.015,1750975,MST
2025-04-11,5.197,5.288,4.924,5.288,3981950,MST
2025-04-14,5.288,5.38,5.106,5.38,3492184,MST
2025-04-15,5.38,5.38,5.106,5.288,2027507,MST
2025-04-16,5.197,5.288,5.106,5.197,920543,MST
2025-04-17,5.106,5.197,5.015,5.106,779624,MST
2025-04-18,5.106,5.471,5.015,5.471,3343153,MST
2025-04-21,5.288,5.471,5.197,5.38,4579096,MST
2025-04-22,5.38,5.38,4.924,5.197,2960534,MST
2025-04-23,5.197,5.38,5.106,5.288,3626035,MST
2025-04-24,5.197,5.288,5.106,5.288,1132306,MST
2025-04-25,5.197,5.288,5.106,5.106,1892881,MST
