time,open,high,low,close,volume,symbol
2025-02-10,57.472,57.472,56.585,56.585,5927400,MWG
2025-02-11,56.585,56.585,55.599,55.599,5986000,MWG
2025-02-12,55.993,56.486,55.599,55.599,4848400,MWG
2025-02-13,55.205,55.205,54.022,54.022,11353700,MWG
2025-02-14,54.318,54.515,53.036,54.416,11169000,MWG
2025-02-17,54.416,54.416,53.332,53.332,5933200,MWG
2025-02-18,53.233,54.219,53.036,53.726,4497600,MWG
2025-02-19,53.923,55.303,53.628,55.008,7547500,MWG
2025-02-20,55.106,55.895,54.909,55.895,6194500,MWG
2025-02-21,55.993,57.472,55.796,57.275,10123600,MWG
2025-02-24,57.275,57.669,56.486,57.571,6243200,MWG
2025-02-25,57.275,57.571,56.585,57.472,7929200,MWG
2025-02-26,57.472,58.261,56.979,57.866,4977600,MWG
2025-02-27,57.866,57.965,57.374,57.768,3222900,MWG
2025-02-28,57.176,57.866,56.979,57.472,5283200,MWG
2025-03-03,57.374,58.261,56.979,57.965,5938000,MWG
2025-03-04,57.866,59.049,57.571,58.655,6414100,MWG
2025-03-05,58.951,59.345,58.458,58.754,7188800,MWG
2025-03-06,58.951,61.021,58.754,61.021,13451900,MWG
2025-03-07,60.922,61.12,60.43,61.021,5404100,MWG
2025-03-10,61.12,61.415,60.528,61.317,8125200,MWG
2025-03-11,60.528,62.303,60.528,62.105,9576900,MWG
2025-03-12,62.105,62.105,61.021,61.81,8817600,MWG
2025-03-13,61.81,61.908,60.331,60.627,7327800,MWG
2025-03-14,60.627,61.415,60.331,60.627,8759800,MWG
2025-03-17,60.824,61.12,60.528,61.12,3541900,MWG
2025-03-18,61.317,61.613,60.528,60.922,5349100,MWG
2025-03-19,60.331,60.528,58.162,58.655,13416400,MWG
2025-03-20,58.951,59.148,58.162,59.148,4063500,MWG
2025-03-21,59.148,59.444,58.557,59.444,3129500,MWG
2025-03-24,58.951,59.444,58.655,59.444,2855200,MWG
2025-03-25,59.542,60.43,59.049,59.641,5513700,MWG
2025-03-26,59.739,60.331,59.641,59.937,2416100,MWG
2025-03-27,59.937,59.937,59.148,59.542,3190000,MWG
2025-03-28,59.247,59.838,58.064,58.951,7228900,MWG
2025-03-31,58.162,58.359,57.275,58.162,6534800,MWG
2025-04-01,57.768,58.064,56.881,57.768,5640900,MWG
2025-04-02,57.768,58.852,57.176,57.965,7441200,MWG
2025-04-03,54.318,55.501,53.923,53.923,14956500,MWG
2025-04-04,50.177,52.74,50.177,52.05,28985900,MWG
