time,open,high,low,close,volume,sma_20,sma_50,sma_200,rsi_14,macd,macd_signal,macd_hist,bb_upper,bb_lower,daily_return,volatility_20d,symbol
2025-02-10,17.909,17.909,17.682,17.773,227900,17.773,17.773,17.773,,0.0,0.0,0.0,,,,,NAF
2025-02-11,17.773,17.864,17.637,17.864,277700,17.8185,17.8185,17.8185,,0.007259259259257078,0.0014518518518514157,0.005807407407405663,,,0.5120126033871575,,NAF
2025-02-12,17.864,17.864,17.546,17.773,181100,17.80333333333333,17.80333333333333,17.80333333333333,,0.005604727234356233,0.002282426928352379,0.0033223003060038536,,,-0.5094043887147404,,NAF
2025-02-13,17.727,17.773,17.546,17.773,240800,17.795749999999998,17.795749999999998,17.795749999999998,,0.004244569924427566,0.0026748555275674163,0.0015697143968601496,,,0.0,,NAF
2025-02-14,17.727,17.909,17.409,17.909,475300,17.8184,17.8184,17.8184,,0.013979551292152337,0.0049357946804844,0.009043756611667937,,,0.7652056490181636,,NAF
2025-02-17,17.909,17.909,17.5,17.773,158900,17.81083333333333,17.81083333333333,17.81083333333333,,0.01059835947151555,0.00606830763869063,0.00453005183282492,,,-0.7593947177396809,,NAF
2025-02-18,17.727,17.818,17.637,17.773,185800,17.80542857142857,17.80542857142857,17.80542857142857,,0.007828498535442208,0.006420345818040947,0.001408152717401261,,,0.0,,NAF
2025-02-19,17.727,17.773,17.5,17.773,330000,17.801375,17.801375,17.801375,,0.005569165909907525,0.006250109836414263,-0.0006809439265067375,,,0.0,,NAF
2025-02-20,17.727,17.727,17.591,17.727,211700,17.793111111111113,17.793111111111113,17.793111111111113,,6.605156329086981e-05,0.0050132981817895845,-0.004947246618498715,,,-0.2588195577561403,,NAF
2025-02-21,17.727,17.727,17.455,17.682,207100,17.782,17.782,17.782,,-0.007836001575089568,0.002443438230413754,-0.010279439805503322,,,-0.25385005923168613,,NAF
2025-02-24,17.637,17.727,17.5,17.727,234500,17.777,17.777,17.777,,-0.010348026095758911,-0.00011485463482077901,-0.010233171460938132,,,0.2544960977265198,,NAF
2025-02-25,17.727,17.727,17.546,17.727,210800,17.772833333333335,17.772833333333335,17.772833333333335,,-0.012198210251884944,-0.0025315257582336124,-0.009666684493651332,,,0.0,,NAF
2025-02-26,17.682,17.773,17.637,17.773,226700,17.772846153846153,17.772846153846153,17.772846153846153,,-0.009839258120624805,-0.003993072230711851,-0.005846185889912954,,,0.2594911716590431,,NAF
2025-02-27,17.773,19.0,17.682,18.773,603300,17.844285714285714,17.844285714285714,17.844285714285714,86.7804792138684,0.07189313181834578,0.011184168579099676,0.0607089632392461,,,5.626512125133631,,NAF
2025-02-28,18.773,18.955,18.546,18.682,316800,17.900133333333333,17.900133333333333,17.900133333333333,80.97378873349771,0.12784992585237376,0.03451732003375449,0.09333260581861927,,,-0.48473872050285305,,NAF
2025-03-03,18.546,18.591,18.364,18.546,361400,17.9405,17.9405,17.9405,73.10126915313754,0.15938473683797838,0.05949080339459927,0.0998939334433791,,,-0.7279734503800372,,NAF
2025-03-04,18.546,18.682,18.455,18.637,379200,17.981470588235293,17.981470588235293,17.981470588235293,74.86235696472431,0.18953440656359177,0.08549952402839778,0.104034882535194,,,0.4906718429850132,,NAF
2025-03-05,18.637,19.273,18.591,19.182,846800,18.048166666666667,18.048166666666667,18.048166666666667,82.3256738321586,0.254471789892051,0.11929397720112843,0.13517781269092255,,,2.9242903900842387,,NAF
2025-03-06,19.182,19.273,18.909,18.909,360200,18.093473684210526,18.093473684210526,18.093473684210526,70.9605284599172,0.2806709159768346,0.15156936495626966,0.12910155102056492,,,-1.4232092586800138,,NAF
2025-03-07,18.909,19.046,18.727,18.864,435000,18.131999999999998,18.131999999999998,18.131999999999998,69.26315837956115,0.29440902426574667,0.18013729681816507,0.1142717274475816,19.168202581290778,17.095797418709218,-0.2379819133745742,,NAF
2025-03-10,18.818,18.818,18.546,18.727,454200,18.1797,18.160333333333334,18.160333333333334,64.22623975679365,0.2908886358964793,0.20228756463382794,0.08860107126265135,19.233993297851566,17.125406702148435,-0.7262510602205285,1.5267111110921616,NAF
2025-03-11,18.637,18.682,18.273,18.318,578800,18.2024,18.1675,18.1675,52.05550650982904,0.2521887460243022,0.2122678009119228,0.0399209451123794,19.247583720943982,17.15721627905602,-2.184012388529921,1.6205917325931571,NAF
2025-03-12,18.318,18.637,18.273,18.591,401800,18.243299999999998,18.185913043478262,18.185913043478262,57.80336525436271,0.2407721514404102,0.2179686710176203,0.0228034804227899,19.281731225708423,17.204868774291572,1.4903373730756675,1.6401341858300562,NAF
2025-03-13,18.637,18.637,18.273,18.364,406800,18.27285,18.19333333333333,18.19333333333333,52.19957102923078,0.21097542176424966,0.21657002116694618,-0.005594599402696521,19.28831303153834,17.257386968461656,-1.2210209241030667,1.6718675043733302,NAF
2025-03-14,18.273,18.591,18.273,18.591,373500,18.30695,18.20924,18.20924,56.718316546414464,0.2033343894337598,0.21392289482030893,-0.010588505386549124,19.316755708253346,17.297144291746655,1.2361141363537387,1.6838649373099284,NAF
