time,open,high,low,close,volume,symbol
2025-02-10,21.25,22.2,21.25,21.8,9000,NBB
2025-02-11,21.8,21.95,21.35,21.5,8100,NBB
2025-02-12,21.5,22.0,21.4,21.65,10800,NBB
2025-02-13,21.65,21.9,21.3,21.9,10400,NBB
2025-02-14,21.7,21.75,21.3,21.7,13700,NBB
2025-02-17,21.3,21.8,21.3,21.7,21800,NBB
2025-02-18,21.7,22.0,21.65,21.8,17900,NBB
2025-02-19,22.0,22.05,21.8,21.85,117400,NBB
2025-02-20,21.85,22.15,21.85,22.15,39800,NBB
2025-02-21,22.15,22.15,21.95,22.15,3300,NBB
2025-02-24,22.1,22.2,21.75,22.2,7900,NBB
2025-02-25,22.2,22.3,21.75,22.2,15300,NBB
2025-02-26,21.8,22.1,21.7,21.7,27100,NBB
2025-02-27,21.55,21.95,21.5,21.9,33200,NBB
2025-02-28,21.7,22.8,21.6,22.0,102700,NBB
2025-03-03,22.0,22.5,21.9,21.9,24800,NBB
2025-03-04,22.2,22.5,21.8,22.0,74200,NBB
2025-03-05,22.0,22.0,21.8,21.8,8200,NBB
2025-03-06,22.45,22.45,21.8,22.3,5300,NBB
2025-03-07,22.4,22.4,21.9,21.95,10400,NBB
2025-03-10,21.9,22.4,21.8,22.0,7800,NBB
2025-03-11,21.95,21.95,21.9,21.9,4000,NBB
2025-03-12,22.4,22.4,21.8,21.95,11900,NBB
2025-03-13,21.95,22.2,21.6,21.6,7200,NBB
2025-03-14,21.5,21.75,21.5,21.75,2400,NBB
2025-03-17,21.9,23.0,21.9,22.95,102800,NBB
2025-03-18,22.95,22.95,22.05,22.55,18200,NBB
2025-03-19,22.55,23.0,22.3,22.3,16900,NBB
2025-03-20,22.1,22.5,22.0,22.05,8100,NBB
2025-03-21,22.0,22.1,21.7,22.0,2300,NBB
2025-03-24,21.75,22.0,21.55,22.0,6200,NBB
2025-03-25,21.8,22.4,21.5,22.4,30800,NBB
2025-03-26,22.4,22.4,21.75,21.75,2300,NBB
2025-03-27,21.75,22.35,20.6,21.9,12100,NBB
2025-03-28,22.4,22.4,21.6,22.2,4300,NBB
2025-03-31,22.2,22.3,21.1,21.4,8200,NBB
2025-04-01,21.45,22.2,21.45,22.05,11200,NBB
2025-04-02,22.4,22.4,22.2,22.2,1600,NBB
2025-04-03,21.35,22.3,20.65,22.1,148900,NBB
2025-04-04,20.65,22.0,20.6,21.9,148800,NBB
2025-04-08,20.7,21.9,20.4,20.4,135300,NBB
2025-04-09,19.0,21.5,19.0,21.5,247300,NBB
2025-04-10,22.0,22.85,21.8,22.25,201200,NBB
2025-04-11,21.85,22.4,21.75,22.2,14000,NBB
2025-04-14,21.75,22.2,21.0,21.05,66400,NBB
2025-04-15,20.9,21.1,20.05,21.1,65800,NBB
2025-04-16,21.6,21.85,20.25,21.1,69400,NBB
2025-04-17,20.5,21.1,20.25,21.1,39800,NBB
2025-04-18,21.3,21.3,20.65,21.1,31300,NBB
2025-04-21,20.65,21.1,20.65,21.1,11200,NBB
2025-04-22,20.75,21.0,19.65,20.9,63100,NBB
2025-04-23,21.0,21.0,20.55,20.95,13700,NBB
2025-04-24,20.55,21.0,20.55,20.95,28100,NBB
2025-04-25,20.95,22.4,20.95,22.3,206300,NBB
2025-04-28,21.7,22.2,21.7,21.7,15100,NBB
2025-04-29,22.2,22.2,21.35,21.95,18600,NBB
2025-05-05,21.95,22.5,21.65,22.3,37200,NBB
2025-05-06,21.95,22.7,21.75,22.7,52800,NBB
