time,open,high,low,close,volume,symbol
2025-02-10,36.563,36.563,36.563,36.563,25,ND2
2025-02-11,36.563,36.563,36.563,36.563,1,ND2
2025-02-12,36.563,36.563,36.563,36.563,0,ND2
2025-02-13,36.563,36.563,36.563,36.563,0,ND2
2025-02-14,36.563,36.563,36.563,36.563,0,ND2
2025-02-17,36.563,36.563,36.563,36.563,0,ND2
2025-02-18,36.563,36.563,36.563,36.563,0,ND2
2025-02-19,36.563,36.563,36.563,36.563,100,ND2
2025-02-20,36.563,36.563,36.563,36.563,0,ND2
2025-02-21,36.563,36.563,36.563,36.563,0,ND2
2025-02-24,38.438,38.438,36.563,36.563,1500,ND2
2025-02-25,38.344,38.344,38.344,38.344,0,ND2
2025-02-26,37.5,37.5,37.5,37.5,511,ND2
2025-02-27,37.5,37.5,37.5,37.5,0,ND2
2025-02-28,37.5,37.5,37.5,37.5,52,ND2
2025-03-03,37.5,37.5,37.5,37.5,0,ND2
2025-03-04,37.5,37.5,37.5,37.5,1000,ND2
2025-03-05,37.031,37.031,37.031,37.031,201,ND2
2025-03-06,37.031,37.031,37.031,37.031,0,ND2
2025-03-07,37.031,37.031,37.031,37.031,0,ND2
2025-03-10,37.031,37.031,37.031,37.031,100,ND2
2025-03-11,37.031,37.031,37.031,37.031,2,ND2
2025-03-12,37.5,38.813,36.094,37.969,13000,ND2
2025-03-13,38.156,38.156,38.156,38.156,0,ND2
2025-03-14,36.094,37.688,36.094,37.688,2200,ND2
2025-03-17,37.594,38.813,37.031,37.5,17533,ND2
2025-03-18,36.938,36.938,36.188,36.938,1200,ND2
2025-03-19,37.5,38.813,36.563,37.031,7100,ND2
2025-03-20,37.219,37.219,37.219,37.219,5,ND2
2025-03-21,36.563,36.563,36.563,36.563,105,ND2
2025-03-24,36.469,36.563,35.156,36.469,5530,ND2
2025-03-25,37.406,37.406,36.563,36.938,13300,ND2
2025-03-26,37.219,37.219,37.219,37.219,0,ND2
2025-03-27,37.969,37.969,37.969,37.969,400,ND2
2025-03-28,37.969,37.969,37.969,37.969,0,ND2
2025-03-31,37.5,37.5,37.5,37.5,100,ND2
2025-04-01,37.031,37.031,37.031,37.031,100,ND2
2025-04-02,37.875,37.875,37.031,37.031,4609,ND2
2025-04-03,36.563,36.563,36.563,36.563,100,ND2
2025-04-04,36.563,36.563,35.625,36.375,4800,ND2
2025-04-08,37.5,37.5,31.031,36.094,6500,ND2
2025-04-09,36.469,36.469,30.938,35.906,16600,ND2
2025-04-10,36.563,39.844,36.563,39.656,3901,ND2
2025-04-11,38.438,38.438,38.438,38.438,0,ND2
2025-04-14,38.438,38.438,38.438,38.438,0,ND2
2025-04-15,36.563,37.313,36.563,37.313,4200,ND2
2025-04-16,35.625,36.094,35.625,35.625,2300,ND2
2025-04-17,36.563,36.563,35.625,36.469,1700,ND2
2025-04-18,37.5,39.375,37.5,39.375,1100,ND2
2025-04-21,34.594,36.938,34.5,36.938,2000,ND2
2025-04-22,36.469,36.469,36.469,36.469,1000,ND2
2025-04-23,38.438,39.375,36.094,36.094,1600,ND2
2025-04-24,33.0,35.625,33.0,35.625,1100,ND2
2025-04-25,34.313,35.531,34.219,35.531,1400,ND2
2025-04-28,38.344,38.344,38.344,38.344,1000,ND2
2025-04-29,34.219,36.469,34.219,36.469,1200,ND2
2025-05-05,36.0,36.0,31.031,35.906,8400,ND2
2025-05-06,39.094,39.094,34.031,36.469,4900,ND2
2025-05-07,36.469,36.469,36.469,36.469,100,ND2
2025-05-08,32.813,35.625,31.875,35.625,8800,ND2
2025-05-09,35.625,36.375,33.375,36.188,9200,ND2
2025-05-12,33.75,35.906,32.344,35.906,10500,ND2
2025-05-13,35.344,36.469,34.688,36.188,13000,ND2
2025-05-14,36.375,36.375,34.688,36.094,15100,ND2
2025-05-15,35.344,35.344,35.344,35.344,0,ND2
2025-05-16,34.688,35.344,34.688,35.344,4000,ND2
2025-05-19,37.406,37.406,37.406,37.406,100,ND2
2025-05-20,35.625,35.625,35.625,35.625,300,ND2
2025-05-21,37.406,37.406,35.625,35.625,700,ND2
2025-05-22,35.625,35.625,35.625,35.625,200,ND2
2025-05-23,34.688,35.813,34.688,35.625,12200,ND2
2025-05-26,36.094,38.906,36.094,38.906,600,ND2
2025-05-27,35.625,36.188,35.625,36.188,2100,ND2
2025-05-28,35.625,35.625,35.625,35.625,201,ND2
2025-05-29,36.188,36.188,35.625,35.625,3000,ND2
2025-05-30,35.906,35.906,35.906,35.906,235,ND2
2025-06-02,35.906,35.906,35.906,35.906,0,ND2
2025-06-03,35.906,35.906,35.906,35.906,0,ND2
2025-06-04,35.625,35.625,34.688,34.688,2100,ND2
2025-06-05,34.875,34.875,34.781,34.875,4500,ND2
2025-06-06,35.625,36.469,35.625,36.469,204,ND2
2025-06-09,36.094,36.094,36.094,36.094,0,ND2
2025-06-10,35.625,35.625,34.688,35.438,2111,ND2
2025-06-11,36.094,36.094,36.094,36.094,1200,ND2
2025-06-12,35.625,35.625,35.625,35.625,200,ND2
2025-06-13,35.625,35.719,34.688,35.719,4900,ND2
2025-06-16,35.625,35.719,35.625,35.719,7001,ND2
2025-06-17,35.344,35.625,35.344,35.625,3000,ND2
2025-06-18,35.531,35.531,35.344,35.531,700,ND2
2025-06-19,35.719,35.719,35.625,35.719,18600,ND2
2025-06-20,35.625,35.625,35.625,35.625,0,ND2
2025-06-23,37.406,37.406,37.406,37.406,100,ND2
2025-06-24,35.625,35.625,35.625,35.625,200,ND2
2025-06-25,35.531,36.0,35.531,36.0,3900,ND2
2025-06-26,35.625,35.906,35.625,35.906,600,ND2
2025-06-27,35.625,36.0,35.625,36.0,600,ND2
2025-06-30,35.625,35.625,35.625,35.625,500,ND2
2025-07-01,35.625,35.625,35.625,35.625,5100,ND2
2025-07-02,35.625,35.625,35.625,35.625,2000,ND2
2025-07-03,35.625,35.625,35.625,35.625,2200,ND2
2025-07-04,35.625,35.625,35.625,35.625,51,ND2
2025-07-07,35.625,35.625,35.25,35.625,10300,ND2
2025-07-08,35.625,35.625,35.25,35.344,18020,ND2
2025-07-09,35.625,35.625,34.875,35.625,7100,ND2
2025-07-10,35.156,35.719,35.156,35.719,1100,ND2
2025-07-11,35.25,35.25,35.25,35.25,1,ND2
2025-07-14,35.438,35.625,35.438,35.625,2400,ND2
2025-07-15,35.531,35.531,35.531,35.531,0,ND2
2025-07-16,34.781,34.875,34.688,34.781,13000,ND2
2025-07-17,35.625,35.625,34.875,35.531,2200,ND2
2025-07-18,34.781,35.625,34.688,35.625,34300,ND2
2025-07-21,35.531,35.531,35.531,35.531,3100,ND2
2025-07-22,35.531,35.531,35.531,35.531,16100,ND2
2025-07-23,35.531,35.531,35.531,35.531,200,ND2
2025-07-24,35.438,35.531,35.438,35.531,800,ND2
2025-07-25,35.438,35.625,35.438,35.625,1700,ND2
2025-07-28,35.625,35.813,35.625,35.813,1800,ND2
2025-07-29,35.719,35.719,35.719,35.719,0,ND2
2025-07-30,35.719,35.719,35.719,35.719,18,ND2
2025-07-31,35.719,35.719,35.719,35.719,4600,ND2
2025-08-01,35.625,35.719,35.625,35.719,3191,ND2
2025-08-04,35.625,35.719,35.625,35.719,1000,ND2
2025-08-05,35.625,35.719,35.625,35.719,1100,ND2
2025-08-06,35.625,35.719,35.625,35.719,1900,ND2
2025-08-07,35.719,35.719,35.719,35.719,100,ND2
2025-08-08,35.719,35.719,35.625,35.719,5000,ND2
2025-08-11,35.719,37.5,35.625,37.5,10200,ND2
2025-08-12,35.719,35.719,34.688,35.625,8600,ND2
2025-08-13,35.719,35.719,35.719,35.719,100,ND2
2025-08-14,35.719,35.719,35.719,35.719,1807,ND2
2025-08-15,35.813,37.031,35.813,37.031,8056,ND2
2025-08-18,36.188,38.438,36.188,37.875,19001,ND2
2025-08-19,37.969,38.438,37.031,37.688,64000,ND2
2025-08-20,37.781,37.781,36.75,37.5,4000,ND2
2025-08-21,37.969,37.969,37.5,37.5,1600,ND2
2025-08-22,37.5,37.5,35.813,37.406,600,ND2
2025-08-25,36.938,37.406,36.938,37.406,1002,ND2
2025-08-26,37.406,37.406,37.406,37.406,52,ND2
2025-08-27,37.5,37.5,37.031,37.5,300,ND2
2025-08-28,37.5,37.5,37.5,37.5,4600,ND2
2025-08-29,37.5,37.5,37.5,37.5,100,ND2
2025-09-03,37.5,37.5,37.5,37.5,0,ND2
2025-09-04,37.5,37.969,37.031,37.969,1500,ND2
2025-09-05,37.5,37.5,37.5,37.5,1303,ND2
2025-09-08,37.5,37.5,37.5,37.5,0,ND2
2025-09-09,37.5,37.5,37.5,37.5,0,ND2
2025-09-10,37.5,37.5,37.5,37.5,100,ND2
2025-09-11,37.406,37.5,37.031,37.5,3000,ND2
2025-09-12,37.5,37.5,37.5,37.5,301,ND2
2025-09-15,37.5,39.3,37.5,39.0,5204,ND2
2025-09-16,37.9,38.9,37.9,38.9,307,ND2
2025-09-17,38.2,38.2,38.2,38.2,1300,ND2
2025-09-18,38.0,38.4,38.0,38.4,3701,ND2
2025-09-19,38.0,38.9,38.0,38.9,700,ND2
2025-09-22,38.9,38.9,38.9,38.9,109,ND2
2025-09-23,35.5,39.9,35.5,39.9,1000,ND2
2025-09-24,39.3,39.3,39.3,39.3,0,ND2
2025-09-25,39.9,39.9,38.8,38.8,300,ND2
2025-09-26,35.1,39.9,34.1,39.0,15900,ND2
2025-09-29,38.9,39.0,38.9,39.0,300,ND2
2025-09-30,37.6,38.8,36.6,38.8,16500,ND2
2025-10-01,39.0,40.0,39.0,40.0,11000,ND2
2025-10-02,39.6,39.9,39.6,39.9,6000,ND2
2025-10-03,36.8,37.9,36.8,37.9,200,ND2
2025-10-06,37.0,39.9,37.0,39.9,200,ND2
2025-10-07,39.9,39.9,39.9,39.9,500,ND2
2025-10-08,39.0,39.0,39.0,39.0,100,ND2
2025-10-09,37.5,37.9,37.0,37.9,14100,ND2
2025-10-10,39.9,39.9,37.0,37.9,7000,ND2
2025-10-13,38.0,38.0,38.0,38.0,100,ND2
2025-10-14,37.0,38.0,37.0,38.0,9000,ND2
2025-10-15,37.0,37.9,37.0,37.9,10100,ND2
2025-10-16,37.5,39.5,37.5,39.5,2500,ND2
2025-10-17,37.0,39.9,37.0,37.0,44000,ND2
2025-10-20,37.6,37.6,37.0,37.0,37100,ND2
2025-10-21,37.0,37.0,36.3,36.9,2200,ND2
2025-10-22,36.9,36.9,36.9,36.9,900,ND2
2025-10-23,36.6,36.6,35.0,36.0,85800,ND2
2025-10-24,35.9,36.2,35.9,36.2,2000,ND2
2025-10-27,36.5,36.5,36.5,36.5,200,ND2
2025-10-28,36.6,36.6,36.6,36.6,500,ND2
2025-10-29,36.6,36.6,36.6,36.6,27002,ND2
2025-10-30,36.6,36.6,36.6,36.6,2000,ND2
2025-10-31,36.5,36.5,36.5,36.5,5000,ND2
