time,open,high,low,close,volume,symbol
2025-02-10,8.621,8.621,8.337,8.621,210727,NDN
2025-02-11,8.527,8.621,8.432,8.527,77312,NDN
2025-02-12,8.621,8.621,8.432,8.527,76544,NDN
2025-02-13,8.527,8.527,8.337,8.432,131951,NDN
2025-02-14,8.527,8.527,8.432,8.527,23505,NDN
2025-02-17,8.527,8.527,8.432,8.527,55015,NDN
2025-02-18,8.527,8.621,8.432,8.527,159195,NDN
2025-02-19,8.527,8.906,8.527,8.811,358378,NDN
2025-02-20,8.716,9.0,8.716,8.716,213407,NDN
2025-02-21,8.811,8.811,8.621,8.716,117035,NDN
2025-02-24,8.716,8.906,8.621,8.811,155510,NDN
2025-02-25,8.811,8.906,8.716,8.716,172509,NDN
2025-02-26,8.811,8.906,8.716,8.811,186692,NDN
2025-02-27,8.811,9.19,8.811,9.19,811277,NDN
2025-02-28,9.19,9.379,8.906,9.0,531086,NDN
2025-03-03,9.0,9.19,8.906,9.0,443950,NDN
2025-03-04,9.0,9.095,8.811,9.095,350280,NDN
2025-03-05,9.095,9.095,8.906,8.906,194632,NDN
2025-03-06,9.0,9.0,8.811,9.0,155524,NDN
2025-03-07,9.0,9.19,9.0,9.095,415336,NDN
2025-03-10,9.19,9.19,9.0,9.095,161193,NDN
2025-03-11,9.095,9.095,8.906,9.0,209953,NDN
2025-03-12,9.0,9.095,8.906,9.0,264951,NDN
2025-03-13,9.095,9.285,9.095,9.19,613769,NDN
2025-03-14,9.19,9.285,9.0,9.095,183952,NDN
2025-03-17,9.0,9.285,9.0,9.285,339777,NDN
2025-03-18,9.285,9.474,9.19,9.19,333765,NDN
2025-03-19,9.19,9.285,9.095,9.285,226015,NDN
2025-03-20,9.285,9.379,9.095,9.19,169379,NDN
2025-03-21,9.19,9.19,9.0,9.095,162322,NDN
2025-03-24,9.0,9.379,9.0,9.379,318846,NDN
2025-03-25,9.379,9.569,9.379,9.379,443205,NDN
2025-03-26,9.474,9.474,9.285,9.379,106464,NDN
2025-03-27,9.285,9.379,9.19,9.19,135868,NDN
2025-03-28,9.19,9.285,9.095,9.19,69745,NDN
2025-03-31,9.19,9.19,9.0,9.095,247523,NDN
2025-04-01,9.095,9.285,9.095,9.19,101850,NDN
2025-04-02,9.285,9.379,9.095,9.19,152105,NDN
2025-04-03,9.19,9.19,8.337,8.337,550111,NDN
2025-04-04,7.863,7.958,7.579,7.958,764810,NDN
2025-04-08,7.579,7.579,7.2,7.2,296228,NDN
2025-04-09,6.632,7.011,6.537,6.727,510819,NDN
2025-04-10,7.295,7.39,7.2,7.39,138601,NDN
2025-04-11,7.863,7.958,7.484,7.674,210739,NDN
2025-04-14,7.769,8.053,7.579,7.958,206062,NDN
2025-04-15,7.769,7.958,7.769,7.863,128437,NDN
2025-04-16,7.863,8.053,7.769,7.958,58911,NDN
2025-04-17,7.863,7.958,7.674,7.958,106055,NDN
2025-04-18,7.769,8.242,7.769,8.053,242341,NDN
2025-04-21,8.148,8.242,8.053,8.148,61115,NDN
2025-04-22,8.148,8.148,7.484,7.958,224029,NDN
2025-04-23,8.053,8.148,7.863,8.148,72805,NDN
2025-04-24,8.148,8.242,8.053,8.053,90881,NDN
2025-04-25,8.053,8.148,7.958,8.053,90400,NDN
2025-04-28,8.053,8.242,8.053,8.148,87202,NDN
2025-04-29,8.242,8.242,8.053,8.053,87320,NDN
2025-05-05,8.148,8.242,7.958,8.148,71803,NDN
2025-05-06,8.148,8.242,8.148,8.148,113714,NDN
2025-05-07,8.148,8.242,8.053,8.148,153428,NDN
2025-05-08,8.148,8.242,8.148,8.242,88595,NDN
2025-05-09,8.242,8.337,8.148,8.242,165380,NDN
2025-05-12,8.242,8.337,8.148,8.242,175853,NDN
2025-05-13,8.148,8.432,8.148,8.337,200235,NDN
2025-05-14,8.337,8.337,8.242,8.242,163490,NDN
2025-05-15,8.242,8.337,8.148,8.337,215466,NDN
2025-05-16,8.337,8.621,8.337,8.621,280236,NDN
2025-05-19,8.621,8.716,8.432,8.527,175040,NDN
2025-05-20,8.621,8.621,8.432,8.621,107155,NDN
2025-05-21,8.527,8.716,8.527,8.621,127065,NDN
2025-05-22,8.621,9.095,8.621,8.906,428391,NDN
2025-05-23,8.906,9.095,8.811,9.0,103851,NDN
2025-05-26,9.095,9.19,8.906,9.0,282979,NDN
2025-05-27,9.2,9.3,9.0,9.3,154549,NDN
2025-05-28,9.4,9.4,9.0,9.2,236171,NDN
2025-05-29,9.4,9.4,9.1,9.2,681166,NDN
2025-05-30,9.3,9.3,9.0,9.0,380639,NDN
2025-06-02,9.1,9.5,9.0,9.4,382877,NDN
2025-06-03,9.4,9.5,9.3,9.4,147206,NDN
2025-06-04,9.4,9.5,9.3,9.4,310134,NDN
2025-06-05,9.4,9.5,9.2,9.2,178860,NDN
2025-06-06,9.2,9.3,9.1,9.1,95260,NDN
2025-06-09,9.1,9.2,8.9,8.9,85793,NDN
2025-06-10,9.0,9.1,8.9,8.9,190740,NDN
2025-06-11,9.0,9.1,8.8,9.0,42247,NDN
2025-06-12,9.0,9.1,8.9,9.1,95380,NDN
2025-06-13,9.0,9.0,8.7,8.9,185595,NDN
2025-06-16,8.9,9.0,8.8,9.0,122003,NDN
2025-06-17,9.0,9.1,8.9,9.1,177102,NDN
2025-06-18,9.0,9.1,8.9,9.1,100206,NDN
2025-06-19,9.1,9.2,9.0,9.0,205373,NDN
2025-06-20,9.1,9.2,9.0,9.0,81311,NDN
2025-06-23,9.0,9.0,8.9,8.9,81801,NDN
2025-06-24,9.0,9.2,9.0,9.1,161903,NDN
2025-06-25,9.1,9.3,9.1,9.2,166721,NDN
2025-06-26,9.2,9.2,9.1,9.2,90246,NDN
2025-06-27,9.2,9.3,9.1,9.1,68410,NDN
2025-06-30,9.2,9.3,9.1,9.1,94280,NDN
2025-07-01,9.2,9.2,9.1,9.2,94332,NDN
2025-07-02,9.1,9.3,9.0,9.2,137274,NDN
2025-07-03,9.2,10.0,9.2,9.5,623409,NDN
2025-07-04,9.6,9.9,9.6,9.7,217549,NDN
2025-07-07,9.7,9.9,9.6,9.8,254563,NDN
2025-07-08,9.8,10.0,9.7,9.9,566576,NDN
2025-07-09,9.9,10.0,9.8,9.9,270597,NDN
2025-07-10,10.0,10.3,9.9,10.3,686016,NDN
2025-07-11,10.3,11.0,10.1,11.0,889400,NDN
2025-07-14,11.2,11.3,10.7,11.1,794679,NDN
2025-07-15,11.1,11.3,10.5,10.6,683103,NDN
2025-07-16,10.6,10.8,10.4,10.8,429545,NDN
2025-07-17,10.8,11.2,10.8,11.1,949241,NDN
2025-07-18,11.2,11.3,10.9,11.0,914989,NDN
2025-07-21,11.0,11.2,10.8,10.8,666305,NDN
2025-07-22,10.8,11.0,10.6,10.9,427524,NDN
2025-07-23,11.0,11.9,10.9,11.7,1498923,NDN
2025-07-24,11.9,11.9,11.4,11.5,882449,NDN
2025-07-25,11.5,11.6,11.3,11.6,514408,NDN
2025-07-28,11.5,12.0,11.5,12.0,844448,NDN
2025-07-29,12.0,12.6,11.1,11.1,1422048,NDN
2025-07-30,11.3,11.9,11.0,11.5,1006663,NDN
2025-07-31,11.5,11.7,11.2,11.4,603038,NDN
2025-08-01,11.4,11.4,11.1,11.1,303252,NDN
2025-08-04,11.1,11.3,10.9,11.3,490368,NDN
2025-08-05,11.4,11.8,11.0,11.3,1332951,NDN
2025-08-06,11.4,11.5,11.2,11.5,731766,NDN
2025-08-07,11.5,11.8,11.5,11.8,1183708,NDN
2025-08-08,11.8,12.1,11.4,11.7,997621,NDN
2025-08-11,11.8,12.1,11.6,11.7,1530093,NDN
2025-08-12,11.7,11.9,11.5,11.9,1519850,NDN
2025-08-13,11.9,12.5,11.9,12.3,2171212,NDN
2025-08-14,12.3,12.7,12.2,12.2,1226737,NDN
2025-08-15,12.2,12.4,11.6,12.1,1749560,NDN
2025-08-18,12.0,12.9,11.9,12.9,2520575,NDN
2025-08-19,13.1,14.1,13.1,14.1,2423523,NDN
2025-08-20,14.5,14.5,12.9,13.8,1967668,NDN
2025-08-21,13.8,13.9,13.1,13.4,1298748,NDN
2025-08-22,13.5,13.5,12.1,12.3,1661379,NDN
2025-08-25,12.3,12.6,11.7,12.1,621281,NDN
2025-08-26,12.0,12.7,11.9,12.6,789507,NDN
2025-08-27,12.8,12.9,12.3,12.5,535001,NDN
2025-08-28,12.5,12.5,12.3,12.5,497854,NDN
2025-08-29,12.6,12.9,12.5,12.8,774760,NDN
2025-09-03,12.8,13.1,12.7,13.1,830435,NDN
2025-09-04,13.1,13.4,12.8,13.0,581904,NDN
2025-09-05,13.1,13.4,12.6,12.6,1305433,NDN
2025-09-08,12.6,12.6,12.0,12.2,1112899,NDN
2025-09-09,12.2,12.3,11.9,12.2,724602,NDN
2025-09-10,12.2,12.3,12.0,12.1,373098,NDN
2025-09-11,12.0,12.4,11.6,12.4,901456,NDN
2025-09-12,12.1,12.5,12.1,12.4,302611,NDN
2025-09-15,12.3,12.6,12.2,12.5,399107,NDN
2025-09-16,12.5,12.9,12.5,12.6,909690,NDN
2025-09-17,12.7,12.8,12.4,12.6,555568,NDN
2025-09-18,12.7,12.7,12.3,12.5,316940,NDN
