time,open,high,low,close,volume,symbol
2025-02-10,77.048,77.048,76.097,76.572,18200,NSC
2025-02-11,77.048,79.141,76.667,76.953,10500,NSC
2025-02-12,78.475,78.475,78.475,78.475,200,NSC
2025-02-13,78.38,78.38,78.38,78.38,200,NSC
2025-02-14,76.477,79.141,74.48,79.141,4600,NSC
2025-02-17,78.95,81.804,78.95,81.804,18800,NSC
2025-02-18,79.902,83.611,79.902,83.611,11600,NSC
2025-02-19,81.328,86.465,81.328,84.658,2700,NSC
2025-02-20,80.187,84.372,80.187,84.372,800,NSC
2025-02-21,81.424,82.755,81.328,82.755,4300,NSC
2025-02-24,81.899,85.609,81.804,85.514,500,NSC
2025-02-25,84.563,84.563,84.372,84.372,200,NSC
2025-02-26,84.277,84.277,81.804,81.804,1900,NSC
2025-02-27,81.804,83.136,81.804,83.136,900,NSC
2025-02-28,83.611,83.611,83.421,83.516,800,NSC
2025-03-03,83.611,83.611,83.611,83.611,200,NSC
2025-03-04,89.223,89.223,81.994,83.516,7300,NSC
2025-03-05,87.511,87.511,83.421,83.611,31800,NSC
2025-03-06,83.611,84.467,83.611,84.467,700,NSC
2025-03-07,83.706,83.706,83.231,83.231,3000,NSC
2025-03-10,81.899,84.563,77.428,83.231,9300,NSC
2025-03-11,83.231,83.231,83.231,83.231,100,NSC
2025-03-12,81.804,81.804,81.709,81.709,900,NSC
2025-03-13,81.614,81.614,79.997,80.092,7300,NSC
2025-03-14,79.902,79.902,78.189,78.57,4900,NSC
2025-03-17,78.189,78.189,77.999,78.189,7000,NSC
2025-03-18,77.904,78.475,77.809,78.475,2600,NSC
2025-03-19,77.714,79.426,77.714,79.426,5500,NSC
2025-03-20,79.426,80.282,79.426,80.282,15400,NSC
2025-03-21,79.902,80.282,79.902,79.902,3800,NSC
2025-03-24,79.902,79.902,79.902,79.902,0,NSC
2025-03-25,78.57,78.665,78.38,78.38,2400,NSC
2025-03-26,78.38,78.38,77.428,78.38,4400,NSC
2025-03-27,78.38,81.804,78.38,79.426,7300,NSC
2025-03-28,81.328,81.424,79.045,79.141,600,NSC
2025-03-31,78.76,79.141,78.57,79.141,4700,NSC
2025-04-01,79.141,79.141,78.094,78.95,1900,NSC
2025-04-02,78.95,78.95,78.475,78.475,300,NSC
2025-04-03,77.619,77.714,74.194,76.097,19600,NSC
2025-04-04,76.097,77.333,72.292,77.333,3300,NSC
2025-04-08,74.385,79.711,73.243,73.243,9900,NSC
2025-04-09,71.341,74.099,68.582,74.004,31000,NSC
2025-04-10,78.57,79.141,77.999,79.045,7800,NSC
2025-04-11,79.045,81.709,77.048,77.048,1100,NSC
2025-04-14,77.238,77.238,77.143,77.143,200,NSC
2025-04-15,78.475,78.475,76.097,76.477,1500,NSC
2025-04-16,78.38,79.902,78.38,79.902,16400,NSC
2025-04-17,79.902,79.902,79.902,79.902,2200,NSC
2025-04-18,80.377,80.377,80.377,80.377,100,NSC
2025-04-21,80.377,80.377,80.377,80.377,500,NSC
2025-04-22,80.377,80.377,78.38,78.38,1600,NSC
2025-04-23,78.285,78.95,78.285,78.95,4400,NSC
2025-04-24,78.475,79.806,78.475,79.806,3200,NSC
2025-04-25,79.902,81.328,79.902,81.328,3400,NSC
2025-04-28,81.328,81.328,81.328,81.328,1000,NSC
2025-04-29,80.853,81.328,80.853,81.328,2400,NSC
2025-05-05,81.424,81.519,81.424,81.519,3100,NSC
2025-05-06,81.804,82.755,81.804,82.755,300,NSC
2025-05-07,81.709,81.709,79.902,79.902,4500,NSC
2025-05-08,79.902,79.997,79.521,79.521,6200,NSC
2025-05-09,79.331,79.331,79.236,79.331,900,NSC
2025-05-12,79.331,79.331,79.331,79.331,0,NSC
2025-05-13,79.426,80.663,79.331,80.663,400,NSC
2025-05-14,80.853,80.853,80.853,80.853,300,NSC
2025-05-15,80.472,80.472,80.472,80.472,300,NSC
2025-05-16,80.472,80.472,80.472,80.472,700,NSC
2025-05-19,79.711,79.711,79.711,79.711,1300,NSC
2025-05-20,79.711,79.711,79.711,79.711,900,NSC
2025-05-21,79.902,79.902,79.902,79.902,100,NSC
2025-05-22,79.902,79.902,79.902,79.902,0,NSC
2025-05-23,79.806,79.806,79.806,79.806,10000,NSC
2025-05-26,80.853,80.853,80.853,80.853,200,NSC
2025-05-27,80.853,80.853,80.853,80.853,0,NSC
2025-05-28,80.663,80.663,80.377,80.377,1500,NSC
2025-05-29,80.377,80.377,80.377,80.377,0,NSC
2025-05-30,80.377,80.377,80.092,80.092,300,NSC
2025-06-02,79.997,79.997,79.711,79.711,9200,NSC
2025-06-03,79.711,81.709,79.141,81.709,5900,NSC
2025-06-04,81.424,81.424,81.424,81.424,700,NSC
2025-06-05,80.472,80.472,80.472,80.472,600,NSC
2025-06-06,79.902,79.902,79.521,79.521,5500,NSC
2025-06-09,79.521,79.521,79.426,79.426,2600,NSC
2025-06-10,79.141,79.426,78.95,79.426,1600,NSC
2025-06-11,79.331,79.426,79.331,79.426,3300,NSC
2025-06-12,79.426,79.426,79.426,79.426,1000,NSC
2025-06-13,79.997,79.997,78.95,78.95,1800,NSC
2025-06-16,79.902,79.902,79.902,79.902,400,NSC
2025-06-17,79.902,79.902,79.902,79.902,0,NSC
2025-06-18,79.902,79.902,79.902,79.902,0,NSC
2025-06-19,79.902,79.902,79.902,79.902,0,NSC
2025-06-20,81.233,81.233,79.141,79.616,700,NSC
2025-06-23,79.902,79.902,79.426,79.426,2300,NSC
2025-06-24,79.902,79.902,79.902,79.902,100,NSC
2025-06-25,79.902,79.902,79.902,79.902,2000,NSC
2025-06-26,79.902,79.902,79.902,79.902,200,NSC
2025-06-27,79.902,79.902,79.711,79.711,1100,NSC
2025-06-30,79.236,79.902,79.236,79.902,500,NSC
2025-07-01,79.426,79.426,79.426,79.426,400,NSC
2025-07-02,79.426,80.377,79.426,80.377,1500,NSC
2025-07-03,80.377,80.377,80.377,80.377,0,NSC
2025-07-04,80.377,80.377,80.377,80.377,1400,NSC
2025-07-07,80.377,80.472,80.377,80.472,500,NSC
2025-07-08,79.236,80.853,79.236,80.853,500,NSC
2025-07-09,79.902,79.902,79.426,79.426,600,NSC
2025-07-10,79.426,79.902,79.426,79.426,4500,NSC
2025-07-11,79.997,79.997,79.997,79.997,300,NSC
2025-07-14,79.997,79.997,79.997,79.997,500,NSC
2025-07-15,79.902,79.902,79.902,79.902,800,NSC
2025-07-16,79.331,79.997,79.331,79.997,1200,NSC
