time,open,high,low,close,volume,symbol
2025-02-10,19.162,19.162,18.92,18.92,276500,NT2
2025-02-11,18.92,19.114,18.872,19.066,234900,NT2
2025-02-12,19.162,19.356,19.066,19.356,428100,NT2
2025-02-13,19.356,20.614,19.356,20.614,1985100,NT2
2025-02-14,20.517,20.808,20.372,20.421,595400,NT2
2025-02-17,20.421,20.711,20.324,20.324,775100,NT2
2025-02-18,20.324,20.324,19.985,20.324,537100,NT2
2025-02-19,20.517,20.663,20.13,20.469,736100,NT2
2025-02-20,20.663,20.663,20.082,20.082,482800,NT2
2025-02-21,20.033,20.179,19.937,20.179,495000,NT2
2025-02-24,20.082,20.227,19.888,20.082,348400,NT2
2025-02-25,20.275,20.566,20.13,20.566,908500,NT2
2025-02-26,20.566,20.566,20.179,20.179,509500,NT2
2025-02-27,20.082,20.227,19.985,20.033,412100,NT2
2025-02-28,20.082,20.275,19.792,20.033,415600,NT2
2025-03-03,19.888,20.275,19.888,20.082,328200,NT2
2025-03-04,20.13,20.179,19.888,19.937,403200,NT2
2025-03-05,19.937,19.985,19.646,19.646,493000,NT2
2025-03-06,19.695,19.84,19.501,19.501,708600,NT2
2025-03-07,19.501,19.695,19.501,19.55,532100,NT2
2025-03-10,19.646,19.695,19.356,19.501,580600,NT2
2025-03-11,19.453,19.501,19.308,19.453,292400,NT2
2025-03-12,19.453,19.55,19.259,19.308,462100,NT2
2025-03-13,19.308,19.501,19.114,19.114,511600,NT2
2025-03-14,19.114,19.162,18.92,18.92,468000,NT2
2025-03-17,18.92,19.308,18.92,19.259,323300,NT2
2025-03-18,19.259,19.84,19.114,19.404,658100,NT2
2025-03-19,19.453,19.743,19.211,19.211,300700,NT2
2025-03-20,19.211,19.308,18.969,19.211,257500,NT2
2025-03-21,19.162,19.259,19.066,19.066,188300,NT2
2025-03-24,19.066,19.211,19.066,19.066,192900,NT2
2025-03-25,19.162,19.646,19.114,19.646,539300,NT2
2025-03-26,19.695,19.695,19.356,19.356,398900,NT2
2025-03-27,19.404,19.646,19.356,19.356,222200,NT2
2025-03-28,19.501,19.792,19.404,19.453,418400,NT2
2025-03-31,19.453,19.55,19.308,19.308,366100,NT2
2025-04-01,19.453,19.695,19.259,19.308,440200,NT2
2025-04-02,19.453,19.453,19.308,19.308,246500,NT2
2025-04-03,18.049,18.872,18.001,18.001,2008300,NT2
2025-04-04,16.791,17.759,16.791,17.759,1363400,NT2
2025-04-08,16.985,17.759,16.549,16.549,1338900,NT2
2025-04-09,15.63,17.227,15.485,15.727,1557800,NT2
2025-04-10,16.791,16.791,16.791,16.791,83500,NT2
2025-04-11,17.614,17.614,17.13,17.614,897700,NT2
2025-04-14,17.614,17.808,17.372,17.711,449400,NT2
2025-04-15,17.711,17.711,17.275,17.42,417700,NT2
2025-04-16,17.42,17.759,17.42,17.469,357000,NT2
2025-04-17,17.469,17.566,17.082,17.566,697800,NT2
2025-04-18,17.614,18.098,17.614,17.759,351200,NT2
2025-04-21,17.759,18.001,17.42,17.42,486200,NT2
2025-04-22,17.42,17.42,16.211,17.033,1029700,NT2
2025-04-23,16.985,17.178,16.598,16.791,769400,NT2
2025-04-24,16.937,17.082,16.646,16.743,775600,NT2
2025-04-25,16.791,17.033,16.743,16.84,595600,NT2
2025-04-28,16.985,17.227,16.84,17.082,359300,NT2
2025-04-29,17.082,17.178,16.937,17.033,228400,NT2
2025-05-05,17.082,17.711,16.985,17.711,634600,NT2
2025-05-06,17.808,17.808,17.566,17.566,369000,NT2
2025-05-07,17.42,18.195,17.42,18.195,1035100,NT2
2025-05-08,18.243,18.291,17.953,18.098,341900,NT2
2025-05-09,18.098,18.291,17.953,18.098,451200,NT2
2025-05-12,18.437,18.485,18.001,18.049,1017400,NT2
2025-05-13,18.146,18.146,17.953,18.001,528100,NT2
2025-05-14,18.001,18.049,17.904,18.001,446700,NT2
2025-05-15,18.098,18.195,17.808,17.808,603000,NT2
2025-05-16,17.808,18.388,17.711,18.195,1015800,NT2
2025-05-19,18.195,18.243,17.953,18.001,445200,NT2
2025-05-20,17.904,18.146,17.904,18.098,527600,NT2
2025-05-21,18.146,18.146,17.808,17.904,537700,NT2
2025-05-22,17.904,18.195,17.808,17.808,532900,NT2
2025-05-23,17.856,17.953,17.517,17.566,692600,NT2
2025-05-26,17.566,17.759,17.324,17.759,584700,NT2
2025-05-27,17.808,17.904,17.711,17.759,580500,NT2
2025-05-28,17.808,18.195,17.808,17.856,1187700,NT2
2025-05-29,18.001,18.049,17.856,17.904,570500,NT2
2025-05-30,18.001,18.291,17.904,18.049,799100,NT2
2025-06-02,18.098,18.582,17.904,18.485,1256100,NT2
2025-06-03,18.533,18.582,18.291,18.34,763800,NT2
2025-06-04,18.34,18.679,18.195,18.195,937600,NT2
2025-06-05,18.243,18.243,17.904,17.953,1012700,NT2
2025-06-06,18.098,18.195,17.808,17.808,741500,NT2
2025-06-09,17.808,17.904,17.566,17.566,714200,NT2
2025-06-10,17.566,17.711,17.517,17.517,483800,NT2
2025-06-11,17.566,17.566,17.324,17.42,655300,NT2
2025-06-12,17.469,17.662,17.42,17.517,526000,NT2
2025-06-13,17.372,17.469,17.033,17.324,1025500,NT2
2025-06-16,17.324,17.566,17.324,17.469,838200,NT2
2025-06-17,17.614,17.808,17.469,17.566,748100,NT2
2025-06-18,17.566,17.711,17.372,17.711,649900,NT2
2025-06-19,17.808,17.856,17.711,17.711,718700,NT2
2025-06-20,17.856,17.856,17.662,17.711,484500,NT2
2025-06-23,17.614,18.291,17.566,18.243,1375400,NT2
2025-06-24,18.485,19.066,18.485,18.824,2735300,NT2
2025-06-25,18.969,18.969,18.679,18.775,1193100,NT2
2025-06-26,18.775,18.824,18.485,18.582,803800,NT2
2025-06-27,18.63,18.679,18.485,18.679,799400,NT2
2025-06-30,18.775,18.775,18.533,18.63,1043000,NT2
2025-07-01,18.533,18.679,18.291,18.485,869200,NT2
2025-07-02,18.582,18.582,18.34,18.388,809500,NT2
2025-07-03,18.388,18.679,18.291,18.388,824600,NT2
2025-07-04,18.388,18.872,18.388,18.872,900400,NT2
2025-07-07,19.017,19.017,18.727,18.824,920700,NT2
2025-07-08,18.872,19.114,18.775,19.066,1844100,NT2
2025-07-09,19.114,19.259,19.017,19.114,1202100,NT2
2025-07-10,19.211,19.259,19.017,19.066,760600,NT2
2025-07-11,18.969,19.114,18.775,18.775,860700,NT2
