time,open,high,low,close,volume,symbol
2025-02-10,7.5,8.2,7.5,8.0,437284,OCH
2025-02-11,8.0,8.0,7.3,7.3,435319,OCH
2025-02-12,7.3,7.6,7.2,7.4,184407,OCH
2025-02-13,7.5,7.5,7.2,7.4,121090,OCH
2025-02-14,7.4,7.8,7.3,7.3,225791,OCH
2025-02-17,7.3,7.7,7.3,7.6,154518,OCH
2025-02-18,7.7,7.9,7.5,7.5,250158,OCH
2025-02-19,7.5,7.5,7.3,7.5,185078,OCH
2025-02-20,7.5,7.6,7.2,7.4,180720,OCH
2025-02-21,7.4,7.4,7.0,7.2,282800,OCH
2025-02-24,7.2,7.2,6.9,6.9,134520,OCH
2025-02-25,6.9,7.5,6.6,7.5,264235,OCH
2025-02-26,7.7,8.2,7.7,8.2,212668,OCH
2025-02-27,9.0,9.0,7.8,7.9,738808,OCH
2025-02-28,7.9,8.1,7.8,7.9,113283,OCH
2025-03-03,7.9,8.2,7.3,7.5,274509,OCH
2025-03-04,7.5,7.5,7.3,7.5,154701,OCH
2025-03-05,7.4,7.4,7.3,7.3,95529,OCH
2025-03-06,7.3,7.9,7.0,7.6,233272,OCH
2025-03-07,7.6,7.7,7.5,7.5,69035,OCH
2025-03-10,7.5,7.6,7.4,7.5,56202,OCH
2025-03-11,7.5,7.5,7.3,7.5,61345,OCH
2025-03-12,7.5,7.5,7.3,7.4,70625,OCH
2025-03-13,7.4,7.6,7.4,7.5,67700,OCH
2025-03-14,7.5,7.5,7.2,7.3,54700,OCH
2025-03-17,7.2,7.4,7.1,7.1,88800,OCH
2025-03-18,7.1,7.2,6.9,7.1,97441,OCH
2025-03-19,7.1,7.1,6.8,6.9,106801,OCH
2025-03-20,6.9,7.2,6.9,7.2,29666,OCH
2025-03-21,7.1,7.1,6.9,7.1,43400,OCH
2025-03-24,7.0,7.1,6.8,6.9,60100,OCH
2025-03-25,7.0,7.3,6.9,7.2,99000,OCH
2025-03-26,7.1,7.2,7.0,7.1,43002,OCH
2025-03-27,7.1,7.1,6.4,6.4,600300,OCH
2025-03-28,6.4,6.6,6.0,6.5,254860,OCH
2025-03-31,6.4,6.5,6.1,6.2,93000,OCH
2025-04-01,6.3,6.4,6.2,6.3,50601,OCH
2025-04-02,6.3,6.8,6.3,6.6,74510,OCH
2025-04-03,6.4,6.4,6.0,6.0,157101,OCH
2025-04-04,5.8,5.9,5.4,5.4,259644,OCH
2025-04-08,5.5,5.6,4.9,5.1,186600,OCH
2025-04-09,4.7,5.1,4.7,5.1,173110,OCH
