time,open,high,low,close,volume,sma_20,sma_50,sma_200,rsi_14,macd,macd_signal,macd_hist,bb_upper,bb_lower,daily_return,volatility_20d,symbol
2025-02-10,4.48,4.75,4.46,4.68,799200,4.68,4.68,4.68,,0.0,0.0,0.0,,,,,OGC
2025-02-11,4.69,4.85,4.62,4.62,541000,4.65,4.65,4.65,,-0.004786324786325125,-0.0009572649572650249,-0.0038290598290600998,,,-1.2820512820512775,,OGC
2025-02-12,4.62,4.68,4.49,4.52,504000,4.6066666666666665,4.6066666666666665,4.6066666666666665,,-0.01645895731365865,-0.00405760342854375,-0.012401353885114902,,,-2.16450216450218,,OGC
2025-02-13,4.52,4.52,4.45,4.51,115200,4.5825,4.5825,4.5825,,-0.0262143365608436,-0.008488950055003719,-0.01772538650583988,,,-0.22123893805309214,,OGC
2025-02-14,4.51,4.61,4.48,4.5,395100,4.566,4.566,4.566,,-0.03435642187916965,-0.013662444419836908,-0.020693977459332744,,,-0.22172949002217113,,OGC
2025-02-17,4.51,4.71,4.48,4.55,494000,4.5633333333333335,4.5633333333333335,4.5633333333333335,,-0.036355418389207195,-0.018201039213710968,-0.018154379175496227,,,1.1111111111111072,,OGC
2025-02-18,4.56,4.68,4.56,4.57,179700,4.564285714285714,4.564285714285714,4.564285714285714,,-0.035911835388361624,-0.021743198448641102,-0.014168636939720522,,,0.4395604395604602,,OGC
2025-02-19,4.57,4.79,4.57,4.79,869500,4.5925,4.5925,4.5925,,-0.017605189614043226,-0.020915596681721528,0.003310407067678302,,,4.814004376367609,,OGC
2025-02-20,4.8,4.8,4.71,4.75,335600,4.61,4.61,4.61,,-0.006252630222607358,-0.017983003389898694,0.011730373167291336,,,-0.8350730688935326,,OGC
2025-02-21,4.79,4.8,4.71,4.73,179100,4.622,4.622,4.622,,0.0011176385908822084,-0.014162874993742514,0.015280513584624723,,,-0.42105263157893313,,OGC
2025-02-24,4.75,4.81,4.68,4.68,221900,4.627272727272727,4.627272727272727,4.627272727272727,,0.0028907251132368472,-0.010752154972346644,0.013642880085583491,,,-1.0570824524313016,,OGC
