time,open,high,low,close,volume,symbol
2025-02-10,26.162,26.359,25.867,26.064,1809000,PAN
2025-02-11,26.015,26.359,26.015,26.31,1011600,PAN
2025-02-12,26.409,27.049,25.916,26.212,1793700,PAN
2025-02-13,26.113,27.099,26.064,27.099,1900300,PAN
2025-02-14,27.345,27.345,26.655,26.655,1391500,PAN
2025-02-17,26.655,26.754,26.31,26.458,1664600,PAN
2025-02-18,26.31,26.901,26.162,26.852,1982800,PAN
2025-02-19,26.852,27.887,26.852,27.591,3251700,PAN
2025-02-20,27.591,27.887,27.345,27.591,1715500,PAN
2025-02-21,27.542,27.788,27.394,27.788,859800,PAN
2025-02-24,27.788,27.887,27.345,27.739,1203300,PAN
2025-02-25,27.788,28.035,27.197,27.69,1309300,PAN
2025-02-26,27.64,28.084,27.443,27.887,1100200,PAN
2025-02-27,27.788,27.985,27.493,27.985,961200,PAN
2025-02-28,28.035,28.774,27.591,27.838,1404500,PAN
2025-03-03,27.838,27.838,27.099,27.345,1832700,PAN
2025-03-04,27.296,27.69,26.951,27.69,1827900,PAN
2025-03-05,27.936,27.936,27.345,27.64,866700,PAN
2025-03-06,27.64,27.985,27.591,27.936,1122400,PAN
2025-03-07,27.985,28.478,27.739,27.739,1662900,PAN
2025-03-10,27.739,27.838,27.246,27.246,1407100,PAN
2025-03-11,26.704,27.0,25.817,26.409,4528300,PAN
2025-03-12,26.409,26.901,26.064,26.901,1771700,PAN
2025-03-13,26.901,27.0,26.162,26.212,1593500,PAN
2025-03-14,26.212,26.409,26.113,26.113,1010600,PAN
2025-03-17,26.409,26.409,26.015,26.064,814300,PAN
2025-03-18,26.162,26.557,26.162,26.31,788400,PAN
2025-03-19,26.261,26.507,26.113,26.458,865300,PAN
2025-03-20,26.507,26.606,26.162,26.507,589500,PAN
2025-03-21,26.606,26.951,26.409,26.557,979500,PAN
2025-03-24,26.557,26.704,26.212,26.704,474900,PAN
2025-03-25,26.901,26.901,26.409,26.655,759300,PAN
2025-03-26,26.606,26.655,26.409,26.507,575000,PAN
2025-03-27,26.655,26.655,26.409,26.409,229800,PAN
2025-03-28,26.409,26.803,26.113,26.409,961500,PAN
2025-03-31,26.359,26.458,25.965,26.409,673100,PAN
